business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,permanently_closed,opening_hours,url
OPERATIONAL,"8PM6+8HH, Jl. Buay Harayap, Bangun Jaya, Kec. Sungkai Utara, Kabupaten Lampung Utara, Lampung 34555, Indonesia","{'location': {'lat': -4.6669796, 'lng': 104.7120636}, 'viewport': {'northeast': {'lat': -4.665653670107277, 'lng': 104.7133857798927}, 'southwest': {'lat': -4.668353329892721, 'lng': 104.7106861201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PEMANCINGAN.BALONG LESTARI,"[{'height': 2336, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106458436364534222127"">A Google User</a>'], 'photo_reference': 'AUGGfZkLxPoXuw7VxVsS7UUbS4L89O2cIOq-68B5XL6pAcC3YzpXiJU04508GP7UqAnpgqNJpEcVJ2sxx2uiofcKyZU0qWgFN319xQpmlKQeVTXid0oAVz03qPM9gNB8Y8v9-fp8FBMTe4rcrKH2VTBsETJQupq35v_8mPNyua5UKgK35RYu', 'width': 4160}]",ChIJqczZmiO9OC4RYKnmeoXBpOI,5.0,ChIJqczZmiO9OC4RYKnmeoXBpOI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJqczZmiO9OC4RYKnmeoXBpOI
CLOSED_TEMPORARILY,"CQH2+289, Hanakau Jaya, Sungkai Utara, North Lampung Regency, Lampung 34762, Indonesia","{'location': {'lat': -4.572456499999999, 'lng': 104.7508598}, 'viewport': {'northeast': {'lat': -4.571115320107277, 'lng': 104.7522150298927}, 'southwest': {'lat': -4.573814979892721, 'lng': 104.7495153701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu pengantin sungkai,"[{'height': 4064, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100475069464247013583"">Berni Aja</a>'], 'photo_reference': 'AUGGfZnZ4vO-g7Y_n7qQ4W4je0CoAMzNC62dLD54rPzcSYf8OPxh7_Wafcw5AVi1lQDNOqey_FC9WpSjfRdxLSjaZXlDFxVajWYcNfsvjioV3oYGxJOTA-pzA1lum_9ojWrLHkVnm_8RfdE9vCbrZRTqhQLNSKpu-A91XsVCdN9nGk6GvCdl', 'width': 4368}]",ChIJU7c7Wj3BOC4R0iNZM8SFvno,0.0,ChIJU7c7Wj3BOC4R0iNZM8SFvno,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,https://www.google.com/maps/place/?q=place_id:ChIJU7c7Wj3BOC4R0iNZM8SFvno
OPERATIONAL,"8QF5+J33, Baru Raharja, Sungkai Utara, North Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.67599, 'lng': 104.757686}, 'viewport': {'northeast': {'lat': -4.674649920107278, 'lng': 104.7590370798927}, 'southwest': {'lat': -4.677349579892722, 'lng': 104.7563374201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bramara sentosa bee farm,"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100443100838058219095"">Muhammad Khafid</a>'], 'photo_reference': 'AUGGfZmIRU-n0dhS-J61P3MDyAgzdfWdUPQ2jpBBeai9fNEtvNPU9AkOc1Iksb9wPu1QTRbjhLvtDsJgqFhVux9r3ZM3dXjPx0o8OlNSl0KLjl8c6ij19KOlKjAOC1oKCvoB95WhxvW02GWRjBvExoqTYEaikttvEn-GjpcMiPXPZg3zoR-4', 'width': 1440}]",ChIJXZnjcFK7OC4RoewmDCqwfIM,5.0,ChIJXZnjcFK7OC4RoewmDCqwfIM,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJXZnjcFK7OC4RoewmDCqwfIM
OPERATIONAL,"9P3R+8CC, Negara Ratu, Sungkai Utara, North Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.6466973, 'lng': 104.7410013}, 'viewport': {'northeast': {'lat': -4.645328820107277, 'lng': 104.7423213298927}, 'southwest': {'lat': -4.648028479892721, 'lng': 104.7396216701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan lele bapak eko,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111196474987530809402"">A Google User</a>'], 'photo_reference': 'AUGGfZlMy53M6LjAHXY4TD29F8rYkkEczhqrFfMoHTCql_3tSwywcQ5GFxvARdqyGH6IlcjmKKvTVcLdAshbu5Tl4_9a7_jUpsCyOopBy1PRFWxT351YuzOQuCBY0hBGCEcVTJrPCKpUwYEXzbH6YkC-bA5o67rlx15j30oo-acJG--Ota2Q', 'width': 4160}]",ChIJSVrrCwC_OC4Ru8SMZP1GlsA,0.0,ChIJSVrrCwC_OC4Ru8SMZP1GlsA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJSVrrCwC_OC4Ru8SMZP1GlsA
OPERATIONAL,"8RJ3+P85, Unnamed Road, Ketapang, Kec. Sungkai Sel., Kabupaten Lampung Utara, Lampung 34555, Indonesia","{'location': {'lat': -4.6682444, 'lng': 104.8033446}, 'viewport': {'northeast': {'lat': -4.666911270107279, 'lng': 104.8047012798927}, 'southwest': {'lat': -4.669610929892722, 'lng': 104.8020016201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pinus Barisan,"[{'height': 1632, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114328735129186835358"">Masikin Adja</a>'], 'photo_reference': 'AUGGfZkT5oDqoL4A2I3mZmMKgB9KI7yAeyXmb2gAI1rGXHV3x6l14R4uuLfMXVGdwVQQhtyhnlFyw3UXYI5dhJHzkDMsBJ2YwF6iMTiqW9ZbtgUEs7w4nycmf2Lj7dlvdTDvebFUUsHciausqld71DvlaOiVcTc49z6fJfLHMzNuh2LJqLqu', 'width': 3098}]",ChIJmSTsLQK7OC4RBBKsfe5R3ks,5.0,ChIJmSTsLQK7OC4RBBKsfe5R3ks,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJmSTsLQK7OC4RBBKsfe5R3ks
OPERATIONAL,"7QPX+8QW, Agung City, Sungkai Selatan, North Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.7141357, 'lng': 104.7994661}, 'viewport': {'northeast': {'lat': -4.712767520107278, 'lng': 104.8007315298927}, 'southwest': {'lat': -4.715467179892721, 'lng': 104.7980318701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kuil Ketapang II,,ChIJA1NpDwC7OC4Rdo2YgYRZ7Ww,0.0,ChIJA1NpDwC7OC4Rdo2YgYRZ7Ww,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJA1NpDwC7OC4Rdo2YgYRZ7Ww
OPERATIONAL,"9MGH+J2M, Kp.bedeng lima, Tulung Buyut, Kec. Hulu Sungkai, Kabupaten Lampung Utara, Lampung 34555, Indonesia","{'location': {'lat': -4.6234176, 'lng': 104.6775483}, 'viewport': {'northeast': {'lat': -4.622058120107278, 'lng': 104.6788993298927}, 'southwest': {'lat': -4.624757779892722, 'lng': 104.6761996701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung ringgit,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106781709867239624241"">A Google User</a>'], 'photo_reference': 'AUGGfZl-qRu__7AQSgIE_rzm3xdNkO67DdcEHV-Rp0ldP-_XazHcdCCUn5ES6oWW8feX_QHB3H4aZ51Bo0P5rjhNDrS2Xb_1az3n-Y-ZvNiAdCbI4uh4aDcFtT3qOJ7Tlebane8DLCWY6__m69M2aS90XIFM8GACzPbHUgpcixLfE0Aa3gIk', 'width': 5504}]",ChIJJSIkh5m_OC4RiNCSkU-I-sY,4.4,ChIJJSIkh5m_OC4RiNCSkU-I-sY,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJJSIkh5m_OC4RiNCSkU-I-sY
CLOSED_TEMPORARILY,"8MVJ+G4C SP.KANDIS, Gedung Raja, Kec. Hulu Sungkai, Kabupaten Lampung Utara, Lampung, Indonesia","{'location': {'lat': -4.6561807, 'lng': 104.680255}, 'viewport': {'northeast': {'lat': -4.654951120107278, 'lng': 104.6816641798927}, 'southwest': {'lat': -4.657650779892722, 'lng': 104.6789645201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,MBAH RIBUT,,ChIJiaBv0d69OC4R_M-oPgp7czM,0.0,ChIJiaBv0d69OC4R_M-oPgp7czM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,https://www.google.com/maps/place/?q=place_id:ChIJiaBv0d69OC4R_M-oPgp7czM
OPERATIONAL,"8X7C+98, Pakuan Agung, Muara Sungkai, North Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.686561, 'lng': 104.970826}, 'viewport': {'northeast': {'lat': -4.685193620107277, 'lng': 104.9722013798927}, 'southwest': {'lat': -4.687893279892721, 'lng': 104.9695017201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanah keluarga Hi Amir kuto Bumi,,ChIJZXj-FQCzOC4RN_e4za5p-rM,0.0,ChIJZXj-FQCzOC4RN_e4za5p-rM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJZXj-FQCzOC4RN_e4za5p-rM
CLOSED_TEMPORARILY,"8PM5+Q2, Negeri Ratu, Sungkai Utara, North Lampung Regency, Lampung 34555, Indonesia","{'location': {'lat': -4.6655487, 'lng': 104.7075729}, 'viewport': {'northeast': {'lat': -4.664181320107279, 'lng': 104.7089248798927}, 'southwest': {'lat': -4.666880979892722, 'lng': 104.7062252201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan lele bapak eko,,ChIJQSgzyvq9OC4RcAmmugHNHmg,4.0,ChIJQSgzyvq9OC4RcAmmugHNHmg,"['tourist_attraction', 'point_of_interest', 'establishment']",2,True,,https://www.google.com/maps/place/?q=place_id:ChIJQSgzyvq9OC4RcAmmugHNHmg
