business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Kapuas Kanan Hulu, Sintang, Sintang Regency, West Kalimantan 78613, Indonesia","{'location': {'lat': 0.0785187, 'lng': 111.479041}, 'viewport': {'northeast': {'lat': 0.07989402989272222, 'lng': 111.4804176798927}, 'southwest': {'lat': 0.07719437010727778, 'lng': 111.4777180201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Serantung Water Park,{'open_now': False},"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101622588763475471404"">A Google User</a>'], 'photo_reference': 'AUGGfZl_N5V7BeRL8lk_jAMgFpXua4t_AEZtFUARG81KwUYSJDK4Hmc3b8Ju7SvTX9NiE-veREyB9wxN6txV778VbohZDU7SEnvpkO27WiFr7QOWtujoVipyTzW9-8axsFBnZe7Asp6EV44O4J2vlvxlqg0--0YmxBgugUs4iEM_9_Kpl2vD', 'width': 8000}]",ChIJ3TMKhQgi_jER9dV7fYN6u5U,"{'compound_code': '3FHH+CJ Kapuas Kanan Hulu, Sintang Regency, West Kalimantan, Indonesia', 'global_code': '6PGH3FHH+CJ'}",4.4,ChIJ3TMKhQgi_jER9dV7fYN6u5U,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",823.0,,https://www.google.com/maps/place/?q=place_id:ChIJ3TMKhQgi_jER9dV7fYN6u5U
,"Ketungau Hilir, Sintang Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.4889609, 'lng': 111.5706786}, 'viewport': {'northeast': {'lat': 0.65171, 'lng': 111.74086}, 'southwest': {'lat': 0.2411449, 'lng': 111.217191}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ketungau Hilir,,"[{'height': 2366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101582836697573383762"">Dody Fahrudin</a>'], 'photo_reference': 'AUGGfZl0cYswT8j4ZVjBW4ofk1Zt_8Y7amjqjxeF5Xkjx2D4OLGzkX3Ay7eWNQlglhT3c6nFnJ8vqKfDbFnfttPiIbNfq-nNQF8AY4jkOIg4S2_iEiUMvpRrhs9lt3y-QXoerhmV51VWjYYwEs8QihKZOMgpjZIlSQD974GqMhbqDpuf7WZ9', 'width': 1813}]",ChIJnyIB6Hxd_jER6mbo00qxRrg,,,ChIJnyIB6Hxd_jER6mbo00qxRrg,"['administrative_area_level_3', 'political']",,,https://www.google.com/maps/place/?q=place_id:ChIJnyIB6Hxd_jER6mbo00qxRrg
OPERATIONAL,"FHQC+H7M, Kenuak, Ketungau Hilir, Sintang Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.4889609, 'lng': 111.5706786}, 'viewport': {'northeast': {'lat': 0.4903107298927222, 'lng': 111.5720284298927}, 'southwest': {'lat': 0.4876110701072777, 'lng': 111.5693287701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Bukit lalang,,,ChIJc8aFdRxZ_jERhP0i0MkfoFk,,5.0,ChIJc8aFdRxZ_jERhP0i0MkfoFk,"['park', 'point_of_interest', 'establishment']",1.0,,https://www.google.com/maps/place/?q=place_id:ChIJc8aFdRxZ_jERhP0i0MkfoFk
OPERATIONAL,"3FMR+7MF, Kapuas Kiri Hulu, Sintang, Kapuas Kiri Hilir, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78613, Indonesia","{'location': {'lat': 0.083184, 'lng': 111.4916587}, 'viewport': {'northeast': {'lat': 0.08447517989272221, 'lng': 111.4929716298927}, 'southwest': {'lat': 0.08177552010727777, 'lng': 111.4902719701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum Dara Juanti Sintang,{'open_now': False},"[{'height': 958, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107406833333978105248"">Hafidh Yusril</a>'], 'photo_reference': 'AUGGfZkk9NUphpSfQvfyRF76cYSd1MNbCcdhD0CVk8Q-mtp5PwMgsDB5_tsMsnXs3QmMkhsRu9ghRNxkKAhzGuL3ry_v8ok8IUxKJGHL4zgLrxzKrOIVzi8MLacubi2ijX_CA-9fzNxdY4kJt2BPqNf_daRZV4z7NRNMqbrR9pp58Q_zI6fb', 'width': 1500}]",ChIJ236RNREi_jERXC16RCWYJJE,,4.3,ChIJ236RNREi_jERXC16RCWYJJE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",130.0,,https://www.google.com/maps/place/?q=place_id:ChIJ236RNREi_jERXC16RCWYJJE
OPERATIONAL,"3GG4+VG7, Jalan Alambawa, Tj. Puri, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78614, Indonesia","{'location': {'lat': 0.07711169999999999, 'lng': 111.5063153}, 'viewport': {'northeast': {'lat': 0.0784210798927222, 'lng': 111.5077079798927}, 'southwest': {'lat': 0.07572142010727778, 'lng': 111.5050083201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Betang Kobus,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102648348081269538026"">A Google User</a>'], 'photo_reference': 'AUGGfZnzkFgQw_WVed0Zkhh2PV41MhFQ4FykVkqKJTyplBi7pFxqUUTmXl2fIQWtWhQu0yGqPsWknyNK7XnuZMeflbO-ytiD0cRFAFtWdD2TjiLyMvowqKSd1pgoQqAQh7DxPMWN6IxJTTjcu1Bufcbg_FhklerzsfDxPltlN0SLSRRF8xXd', 'width': 4160}]",ChIJLWtqkSQi_jERo60YdmIATac,,4.6,ChIJLWtqkSQi_jERo60YdmIATac,"['tourist_attraction', 'point_of_interest', 'establishment']",177.0,,https://www.google.com/maps/place/?q=place_id:ChIJLWtqkSQi_jERo60YdmIATac
OPERATIONAL,"3JVV+C3R, Kebong, Kelam Permai, Sintang Regency, West Kalimantan 78656, Indonesia","{'location': {'lat': 0.0936188, 'lng': 111.642648}, 'viewport': {'northeast': {'lat': 0.0949673798927222, 'lng': 111.6440028798927}, 'southwest': {'lat': 0.09226772010727777, 'lng': 111.6413032201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Sawah Kumpai,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105544565832463335729"">Dedi Suhaidi</a>'], 'photo_reference': 'AUGGfZlbmpS0p1PXlsRHfpXFtx_NXpdrCrcoh7MGzx-EYArdEcNLoc9pKYOj_SctougWqdjCxSvWgAxTdDCVijjrN01AtM4r-MperKiOfvDVUmcm6h0Ni9kz-KLNvpkq8Pd4pVYTPW4VT7JG9miRBeQ3VNNSBEtEJv4_b2Vz5wvBWtVqUWN4', 'width': 3264}]",ChIJEYrUrv4l_jERvrzpHzf5tlQ,,4.2,ChIJEYrUrv4l_jERvrzpHzf5tlQ,"['tourist_attraction', 'point_of_interest', 'establishment']",24.0,,https://www.google.com/maps/place/?q=place_id:ChIJEYrUrv4l_jERvrzpHzf5tlQ
OPERATIONAL,"3MP5+FMV, Merpak, Kelam Permai, Sintang Regency, West Kalimantan 78656, Indonesia","{'location': {'lat': 0.0862333, 'lng': 111.6591717}, 'viewport': {'northeast': {'lat': 0.09181090000000001, 'lng': 111.6605598298927}, 'southwest': {'lat': 0.08437410000000001, 'lng': 111.6578601701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Kelam Maria Cave,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108193342399976562210"">Yohanes de Deo</a>'], 'photo_reference': 'AUGGfZkp0W0W4lsEi3rqTyGcgfCZju4PNBk3fzISgzDtf1N4Ba3ZUKvNWLsjCfcjY2kYsNfccw2CkHqapfO1omi00fIQ9GL_97xijN16BhFd2lL__Mc5_tij5w7wdKbA8JHbDT60Flk5BFUsIhW7EDMapJvDcdpt2mpektOyBAXsNg9uIs-R', 'width': 4608}]",ChIJ-3WARfMl_jERb0fT9zmutDE,,4.4,ChIJ-3WARfMl_jERb0fT9zmutDE,"['tourist_attraction', 'point_of_interest', 'establishment']",291.0,,https://www.google.com/maps/place/?q=place_id:ChIJ-3WARfMl_jERb0fT9zmutDE
OPERATIONAL,"3MG2+4PM, Kebong, Kelam Permai, Sintang Regency, West Kalimantan 78611, Indonesia","{'location': {'lat': 0.0753281, 'lng': 111.6518084}, 'viewport': {'northeast': {'lat': 0.07667792989272222, 'lng': 111.6531582298927}, 'southwest': {'lat': 0.07397827010727778, 'lng': 111.6504585701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Kelam,{'open_now': False},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108366015416481665612"">Aly Seram-Ambon</a>'], 'photo_reference': 'AUGGfZkaG9tU7B9keIiX418V90B234MsNgwYzEqucc2AAwpKflVkYMr7fBOC_7fpHItoRH1YN1rPiRe9z0wMZnjKnjKUa7CzLcYfhJObBHmH-QBnVUOGDZgShRAE83r4Fau4MKnTw_HXpPcGi7g3PaF8ze2uwHCJlLDmmB8cc8AhY1iUEI3P', 'width': 3264}]",ChIJy4Fs8OQl_jERukl1UrHlQHQ,,4.5,ChIJy4Fs8OQl_jERukl1UrHlQHQ,"['tourist_attraction', 'point_of_interest', 'establishment']",227.0,,https://www.google.com/maps/place/?q=place_id:ChIJy4Fs8OQl_jERukl1UrHlQHQ
OPERATIONAL,"FG3V+5Q, Kenuak, Ketungau Hilir, Sintang Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.4529945999999999, 'lng': 111.544463}, 'viewport': {'northeast': {'lat': 0.453909, 'lng': 111.5457949798927}, 'southwest': {'lat': 0.4502514000000001, 'lng': 111.5430953201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,BUKIT SERIAN DANGKUK PERMAI,,,ChIJI7NPqldd_jER_S_KOLag2S4,,0.0,ChIJI7NPqldd_jER_S_KOLag2S4,"['park', 'point_of_interest', 'establishment']",0.0,,https://www.google.com/maps/place/?q=place_id:ChIJI7NPqldd_jER_S_KOLag2S4
CLOSED_PERMANENTLY,"98RW+J5, Deras River, Ketungau Hilir, Sintang Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.3915659, 'lng': 111.3454066}, 'viewport': {'northeast': {'lat': 0.3929157298927222, 'lng': 111.3467564298927}, 'southwest': {'lat': 0.3902160701072778, 'lng': 111.3440567701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kelabah,,,ChIJP-dWIExv_jER2krwSqYJM-I,,0.0,ChIJP-dWIExv_jER2krwSqYJM-I,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,True,https://www.google.com/maps/place/?q=place_id:ChIJP-dWIExv_jER2krwSqYJM-I
