business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"H99C+CV2, Kuta Parit, Selesai, Langkat Regency, North Sumatra 20762, Indonesia","{'location': {'lat': 3.5682304, 'lng': 98.3715679}, 'viewport': {'northeast': {'lat': 3.569868879892723, 'lng': 98.37293552989271}, 'southwest': {'lat': 3.567169220107278, 'lng': 98.37023587010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kuta parit,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107387021404925619011"">A Google User</a>'], 'photo_reference': 'AUGGfZmeW3cJDpRTjci4oEB3Ejc_S-q-1Z6woHpCRhXGYMW7AXelYTZe_OLU1lBVlIQuC103_zxalJrCZu-mjs_hjeDcuFsuI21EY9J0UFVSaT6VMh0YmEuwT6zPdKtacyrjoRUAIcjTp55hbsV7jDKOXJIkA61bOQ-7O-jniLPdytB66g5-', 'width': 720}]",ChIJ_5mSiczRMDARltWFr_nZBSc,0.0,ChIJ_5mSiczRMDARltWFr_nZBSc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ_5mSiczRMDARltWFr_nZBSc
OPERATIONAL,"HC9X+9FJ, Unnamed Road, Tj. Merahe, Kec. Selesai, Kabupaten Langkat, Sumatera Utara 20762, Indonesia","{'location': {'lat': 3.568456, 'lng': 98.448652}, 'viewport': {'northeast': {'lat': 3.570159229892722, 'lng': 98.44975272989272}, 'southwest': {'lat': 3.567459570107278, 'lng': 98.44705307010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai bandar bingei,,ChIJVzjqwKTXMDARVV0oigZv1n8,0.0,ChIJVzjqwKTXMDARVV0oigZv1n8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJVzjqwKTXMDARVV0oigZv1n8
OPERATIONAL,"HCF5+22J, dsn IV desa, Lau Mulgap, Kec. Selesai, Kabupaten Langkat, Sumatera Utara 20762, Indonesia","{'location': {'lat': 3.5725963, 'lng': 98.4075166}, 'viewport': {'northeast': {'lat': 3.573943779892722, 'lng': 98.40888182989272}, 'southwest': {'lat': 3.571244120107278, 'lng': 98.40618217010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,kebun salak pondoh rasyidah,"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101150504216524015834"">A Google User</a>'], 'photo_reference': 'AUGGfZn-VAVHPGovREarrx1_ln9S0HanSo1jv9nkFcOLYXXqroScAjCm2-Cog7BX4V8rTJZFa9L-cmu6k04mzG3KkpRnJXPKKGunU8DNXuaoQQIIHE7L7nEOwRt-1dMgt0w4wXTmdSyKyspYxN26AzNPXJMUARhYB1xOQTBjPGyaDPoTxB_K', 'width': 480}]",ChIJX7bllx3XMDARCbxysUK12hQ,5.0,ChIJX7bllx3XMDARCbxysUK12hQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJX7bllx3XMDARCbxysUK12hQ
OPERATIONAL,"J976+V4F, Bekulap, Selesai, Langkat Regency, North Sumatra, Indonesia","{'location': {'lat': 3.6146841, 'lng': 98.3602903}, 'viewport': {'northeast': {'lat': 3.61889055, 'lng': 98.36502399999996}, 'southwest': {'lat': 3.61328195, 'lng': 98.35871240000004}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai bekulap,,ChIJJUgaSgDRMDAROmSNrE261UQ,0.0,ChIJJUgaSgDRMDAROmSNrE261UQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJJUgaSgDRMDAROmSNrE261UQ
OPERATIONAL,"J928+HG, Bekulap, Selesai, Langkat Regency, North Sumatra, Indonesia","{'location': {'lat': 3.6013931, 'lng': 98.36636960000001}, 'viewport': {'northeast': {'lat': 3.603217729892721, 'lng': 98.36794182989273}, 'southwest': {'lat': 3.600518070107277, 'lng': 98.3652421701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pohon,,ChIJPxO5QgDRMDARDetutJ-rWq4,0.0,ChIJPxO5QgDRMDARDetutJ-rWq4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJPxO5QgDRMDARDetutJ-rWq4
OPERATIONAL,"GF95+2V4, Unnamed Road, Nambiki, Kec. Selesai, Kabupaten Langkat, Sumatera Utara 20773, Indonesia","{'location': {'lat': 3.5175094, 'lng': 98.459711}, 'viewport': {'northeast': {'lat': 3.518834629892722, 'lng': 98.46108407989273}, 'southwest': {'lat': 3.516134970107277, 'lng': 98.45838442010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata sungai bingai,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112153955512874264222"">A Google User</a>'], 'photo_reference': 'AUGGfZlWPe_AynRg-Xb0usOG-20fEsnXc6uDjZDT1x4NRm-ASRtUnDoKJZrXXkqbmkRa--PNB5DRE5B8vzRTUo8cHnCu-6unNYVsx-POPCUy6KRBNB92IjgTJkksynU_s8HvtUBJFTJDH2rXbGB-ZZL7PsZb85MWFBEWJzLQCTKWnYistYIx', 'width': 4160}]",ChIJ_cYe9wLZMDAROXOSUVZse7s,4.2,ChIJ_cYe9wLZMDAROXOSUVZse7s,"['tourist_attraction', 'point_of_interest', 'establishment']",11,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ_cYe9wLZMDAROXOSUVZse7s
OPERATIONAL,"GF95+3V, Nambiki, Selesai, Langkat Regency, North Sumatra, Indonesia","{'location': {'lat': 3.51844, 'lng': 98.46016829999999}, 'viewport': {'northeast': {'lat': 3.519817579892722, 'lng': 98.46154007989273}, 'southwest': {'lat': 3.517117920107278, 'lng': 98.45884042010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,AR RAHMAN ARUNG JERAM,,ChIJf8y81LjZMDARu5T-RGtc258,5.0,ChIJf8y81LjZMDARu5T-RGtc258,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJf8y81LjZMDARu5T-RGtc258
OPERATIONAL,"J98W+5P2, Pekan Selesai, Selesai, Langkat Regency, North Sumatra 20762, Indonesia","{'location': {'lat': 3.6153565, 'lng': 98.3967775}, 'viewport': {'northeast': {'lat': 3.6160848, 'lng': 98.39923269999998}, 'southwest': {'lat': 3.613280400000001, 'lng': 98.39593750000002}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai 46,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105096808053626140937"">Faisal Nadjar</a>'], 'photo_reference': 'AUGGfZng-RYhVhJIpv5eIt1_bgtT8YWXddM6ZCF_SWmpDaZ-iCkmUkQquzXbS1FpB7NU8jxXWyPkAaVt4AdiluaEUqgUj-EPNgvPqU3UnYzGqK2ROb9w_sU2NNSwk3p-3EPU0YM4er5bljW4d8xTgpAg1O2L-ZwFTJvM4Nk1lZzEo-gbRuMA', 'width': 3264}]",ChIJd__sK63WMDARc80fILVnkmI,3.7,ChIJd__sK63WMDARc80fILVnkmI,"['tourist_attraction', 'point_of_interest', 'establishment']",190,,,https://www.google.com/maps/place/?q=place_id:ChIJd__sK63WMDARc80fILVnkmI
OPERATIONAL,"H9HQ+QCV, Dekat, Kec. Selesai, Kabupaten Langkat, Sumatera Utara, Indonesia","{'location': {'lat': 3.5794996, 'lng': 98.388547}, 'viewport': {'northeast': {'lat': 3.580849429892722, 'lng': 98.38989682989272}, 'southwest': {'lat': 3.578149770107278, 'lng': 98.38719717010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Andi Jenggot,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108955964427998994870"">leo pakpahan</a>'], 'photo_reference': 'AUGGfZksV3itgf5xVysb_zLGzdnwkC7WlO6VaVMZZ7ZLNkNs4S5alLCVW_Oo1hq9fwXW1qNMwaPe08rG8m2KdAVkRp4EP1opcO1HOJDW6_xfVFgIg4GJebYQlCRrEmPsqxRPqh_w45fCiquwd8s2HI38GOAZdY6ZSehxXoD1MYCGK2UyjEI0', 'width': 2340}]",ChIJ1Xn0eDTRMDARS2ZrXs6hdyI,0.0,ChIJ1Xn0eDTRMDARS2ZrXs6hdyI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ1Xn0eDTRMDARS2ZrXs6hdyI
OPERATIONAL,"HCVM+85F, Gg. Tj., Padang Brahrang, Kec. Selesai, Kabupaten Langkat, Sumatera Utara 20761, Indonesia","{'location': {'lat': 3.5933144, 'lng': 98.4329097}, 'viewport': {'northeast': {'lat': 3.594633929892722, 'lng': 98.43425112989273}, 'southwest': {'lat': 3.591934270107278, 'lng': 98.4315514701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai sb,,ChIJsZQTYGrXMDARbfWCVn6laXs,1.0,ChIJsZQTYGrXMDARbfWCVn6laXs,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJsZQTYGrXMDARbfWCVn6laXs
