business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Cinyiru, Banjarsari, Kec. Lebakgedong, Kabupaten Lebak, Banten 42372, Indonesia","{'location': {'lat': -6.596143199999999, 'lng': 106.4114103}, 'viewport': {'northeast': {'lat': -6.594703620107278, 'lng': 106.4129327798927}, 'southwest': {'lat': -6.597403279892721, 'lng': 106.4102331201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lereng Cibolang Lebak,"[{'height': 3774, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116394794433097610655"">Jeffry Tjandra</a>'], 'photo_reference': 'AUGGfZnueFp2L9UU2ekPvrKQgCCXunZcaUbWavhWB9xujYs2okKJs8p-0JLJ81hZPZjfOG9BJTNhi3MrFMy0XgxX5cWTUJCnI1outCPK4TRvgwPTNs44fNa0LqHVY9XA4AHpkpum3juoalTNw_ppOczRpF-18PEnEwVrhE5Us52vLCwzg9dN', 'width': 7244}]",ChIJt7kVMdNxQi4RiHzBnpzCjHs,"{'compound_code': 'CC36+GH Banjarsari, Lebak Regency, Banten, Indonesia', 'global_code': '6P58CC36+GH'}",4.4,ChIJt7kVMdNxQi4RiHzBnpzCjHs,"['tourist_attraction', 'point_of_interest', 'establishment']",871,,https://www.google.com/maps/place/?q=place_id:ChIJt7kVMdNxQi4RiHzBnpzCjHs
OPERATIONAL,"C95W+984, Pasir Gombong, Lebakgedong, Kec. Lebakgedong, Kabupaten Lebak, Banten 42372, Indonesia","{'location': {'lat': -6.5916106, 'lng': 106.3958408}, 'viewport': {'northeast': {'lat': -6.590281420107279, 'lng': 106.3971669798927}, 'southwest': {'lat': -6.592981079892723, 'lng': 106.3944673201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JUT cikomong,,ChIJd36PMgBxQi4Rtn11txE3Mfs,,0.0,ChIJd36PMgBxQi4Rtn11txE3Mfs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJd36PMgBxQi4Rtn11txE3Mfs
OPERATIONAL,"CCH7+P84, Banjar Irigasi, Lebakgedong, Lebak Regency, Banten 42372, Indonesia","{'location': {'lat': -6.570042099999999, 'lng': 106.4138539}, 'viewport': {'northeast': {'lat': -6.568758570107279, 'lng': 106.4151613798927}, 'southwest': {'lat': -6.571458229892723, 'lng': 106.4124617201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah ama dunik,"[{'height': 2576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111045214741176142573"">A Google User</a>'], 'photo_reference': 'AUGGfZkDlETfi5C36ePsqa5xet92LqSnS8KIz8jPXSmGrKfvkMaGFbZhPN9no-d55O3LrXRbLWqwfQvAY2g6zO-T47Zp0aYdaW_oPDb86gp1NSk1vKv4RknZBeWH5rra97UM_UK0boKo5_Q7vbRy4AOG0A-NxAI1-5alySkNo5PfJC-UY7Up', 'width': 1932}]",ChIJ-8Ha7jVxQi4RUt9NMrEg-p4,,5.0,ChIJ-8Ha7jVxQi4RUt9NMrEg-p4,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJ-8Ha7jVxQi4RUt9NMrEg-p4
OPERATIONAL,"998V+F2R, Ciladaeun, Lebakgedong, Lebak Regency, Banten 42372, Indonesia","{'location': {'lat': -6.6337589, 'lng': 106.3925238}, 'viewport': {'northeast': {'lat': -6.630517999999998, 'lng': 106.3935911298927}, 'southwest': {'lat': -6.634839200000001, 'lng': 106.3908914701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Sajodo,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116600115873530577355"">Choki Pratama</a>'], 'photo_reference': 'AUGGfZnZt8NE0o_5o-tNNJR0iRZGu1n47giNJkkhlU3eshuTHRJLYe95VdE6HWEyFFCZRnGKyr4OPzB5CGw6utW0c9woVgXhq1riamB0SpAqAcfYwZ6YqyPthsfYZx59TQYBHTrk4M2ofmLvco1-8Z-al3-dqybxP4SLuEosCCv2rbrOmM9o', 'width': 5184}]",ChIJW4HfhElxQi4RgjF8HGMt3-g,,5.0,ChIJW4HfhElxQi4RgjF8HGMt3-g,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJW4HfhElxQi4RgjF8HGMt3-g
OPERATIONAL,"99JJ+9WG, Cihinis, Kec. Lebakgedong, Kabupaten Lebak, Banten, Indonesia","{'location': {'lat': -6.6190625, 'lng': 106.3823125}, 'viewport': {'northeast': {'lat': -6.617792620107278, 'lng': 106.3836384798927}, 'southwest': {'lat': -6.620492279892722, 'lng': 106.3809388201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Air Cihinis,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114633924151440383663"">Sahali Ali</a>'], 'photo_reference': 'AUGGfZko9OQwE_SSvdI3j6iLmA3azgaDBUVQfgTQBaGYgOzfC3niLvIq7Td2ru_Ht6y2lwMp_JCz9fp3xkklks0r6PSqf9Cd1FvOJc1OXWw4d15WpZkw5h3iL5sO4QSGqyVHlKEkmcrcmARpvHu8qK0_4Q-Dunbh9LG6AIyRtBu15CV5UHvQ', 'width': 2352}]",ChIJlXyhWGdxQi4RDNEkNqQ4YN4,,4.3,ChIJlXyhWGdxQi4RDNEkNqQ4YN4,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJlXyhWGdxQi4RDNEkNqQ4YN4
OPERATIONAL,"CCG5+589, Runyu, Banjar Irigasi, Kec. Lebakgedong, Kabupaten Lebak, Banten 42372, Indonesia","{'location': {'lat': -6.575343999999999, 'lng': 106.408713}, 'viewport': {'northeast': {'lat': -6.573791370107278, 'lng': 106.4100116798927}, 'southwest': {'lat': -6.576491029892722, 'lng': 106.4073120201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Finish Arung jeram,,ChIJ5_Y5IgBxQi4R7kTTs1PkBEw,,0.0,ChIJ5_Y5IgBxQi4R7kTTs1PkBEw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ5_Y5IgBxQi4R7kTTs1PkBEw
OPERATIONAL,"CC36+CJ4, Cinyiru, Banjarsari, Kec. Lebakgedong, Kabupaten Lebak, Banten 42372, Indonesia","{'location': {'lat': -6.5964995, 'lng': 106.4115847}, 'viewport': {'northeast': {'lat': -6.595184120107279, 'lng': 106.4130128298927}, 'southwest': {'lat': -6.597883779892722, 'lng': 106.4103131701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Selfie Cibolang,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104339525428147863278"">Fajar</a>'], 'photo_reference': 'AUGGfZnyuRWzrRECxpIJODBY7eylGgAVnubAVlBjoV2xj7YSl-Dch35Vl2FWmJZE9OrA0hPrv2IAnb4t9U-uCBYgU33dC1Eb4nAV30ylyLpPZihMS8riOyvmKTjyMOj7vaJtyuPaY6wv4vQ6HXfXSgqTZQjLQkF3l7tP2uKE30TSHpZx6u0p', 'width': 3264}]",ChIJTwacQZ1xQi4Rmr7IiN43NYQ,,4.8,ChIJTwacQZ1xQi4Rmr7IiN43NYQ,"['tourist_attraction', 'point_of_interest', 'establishment']",28,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJTwacQZ1xQi4Rmr7IiN43NYQ
OPERATIONAL,"C989+645, Kp. Cibarani, Lebaksangka, Kec. Lebakgedong, Kabupaten Lebak, Banten 42372, Indonesia","{'location': {'lat': -6.5844987, 'lng': 106.3678657}, 'viewport': {'northeast': {'lat': -6.583100370107277, 'lng': 106.37103445}, 'southwest': {'lat': -6.585800029892722, 'lng': 106.36680945}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Cibarani,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109712433340992430823"">Agung Herdiansyah</a>'], 'photo_reference': 'AUGGfZk8OATK_6oReKsnsaV56aL08DoWU6WsOxOlk-tO1z84ivwvrLR3ZUakXOB59GtOEgMh_VvaAOAtRfGs3S84N9-4XU4VZ3nn78AilJVTpYjdroyRyNvgreYo0AsHsZqg-UVfCW4IDtJqkXIx6MwXNwTXBAndaoeYEYr6zRUiHOABUZ9V', 'width': 4000}]",ChIJ0e_6sWlxQi4R7xJ7k1xBA3k,,4.7,ChIJ0e_6sWlxQi4R7xJ7k1xBA3k,"['tourist_attraction', 'point_of_interest', 'establishment']",18,,https://www.google.com/maps/place/?q=place_id:ChIJ0e_6sWlxQi4R7xJ7k1xBA3k
OPERATIONAL,"C9PH+Q7P, Giriharja, Cipanas, Lebak Regency, Banten, Indonesia","{'location': {'lat': -6.5630622, 'lng': 106.3793965}, 'viewport': {'northeast': {'lat': -6.561643320107279, 'lng': 106.3808218298927}, 'southwest': {'lat': -6.564342979892722, 'lng': 106.3781221701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Neng Een tempat nganjang,,ChIJIWf3DgBxQi4ROuEzAYciAzM,,0.0,ChIJIWf3DgBxQi4ROuEzAYciAzM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJIWf3DgBxQi4ROuEzAYciAzM
OPERATIONAL,"C96P+8PG, Lebaksangka, Lebakgedong, Lebak Regency, Banten 42372, Indonesia","{'location': {'lat': -6.589199499999999, 'lng': 106.3868279}, 'viewport': {'northeast': {'lat': -6.587782970107278, 'lng': 106.3881966298927}, 'southwest': {'lat': -6.590482629892722, 'lng': 106.3854969701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Lebaksangka,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112493332369735256876"">Eko Siswanto</a>'], 'photo_reference': 'AUGGfZkZaU17U0-_a_sAmkTNuattySHZYKYaZinFYEGNseIdyeNaNLb7uHN8-M34CIMcr6Mah3QIMs9cu5Q3hXGk5nWFI-QwevVc5P5tHaYk9r8qp3rygbXvc5yi3ZG0LnRIC0yHFL0tHrNEpiU6jNf_08R8TX700BSPFbmagwl0l8LGh0dn', 'width': 640}]",ChIJKZCpxKVxQi4R2fG0BT9nRco,,4.3,ChIJKZCpxKVxQi4R2fG0BT9nRco,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,https://www.google.com/maps/place/?q=place_id:ChIJKZCpxKVxQi4R2fG0BT9nRco
