business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"96VF+F3, Kanekes, Leuwidamar, Lebak Regency, Banten 42362, Indonesia","{'location': {'lat': -6.6062601, 'lng': 106.2227315}, 'viewport': {'northeast': {'lat': -6.604879470107278, 'lng': 106.2241221298927}, 'southwest': {'lat': -6.607579129892722, 'lng': 106.2214224701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,wisata Suku Baduy,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112690314076111663353"">A Google User</a>'], 'photo_reference': 'AUGGfZmUMNwUVL4bvhk7uWe7QD0YQ5wjBihKFVJxQXUIW1llRW19tihprBRjhw4ldUhsz2kd1ifbnu9aJ0t-qe0sofkRf-gJhwo8F-AGtoQn6tQ3TUDVtotdDn13NXdatGg879zbk7OVkGtNkCvsYBXr_6SOXbEWgdjkwcuxYyXAwdUrGdM', 'width': 1600}]",ChIJ6-tMdaVpQi4R49K6EILZjT8,4.5,ChIJ6-tMdaVpQi4R49K6EILZjT8,"['tourist_attraction', 'point_of_interest', 'establishment']",33.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6-tMdaVpQi4R49K6EILZjT8
OPERATIONAL,"G52R+V4, Wantisari, Leuwidamar, Lebak Regency, Banten, Indonesia","{'location': {'lat': -6.497775499999999, 'lng': 106.1903138}, 'viewport': {'northeast': {'lat': -6.496006120107278, 'lng': 106.1921393798927}, 'southwest': {'lat': -6.498705779892722, 'lng': 106.1894397201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung wa Amir,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100978572391844485457"">A Google User</a>'], 'photo_reference': 'AUGGfZkmsv5mOedDguJosZZIxwghnZ0IsZC16hfM2jFnfRdMSdRFR8F7OZLtWf6kl_AbFi4dHYSoNJNwmETD0zS2nKLWciOlTTqFxtzY4xdi8puyBmIVImPLGpxMwyv6AgROw2drwN4EOQi1hdnD2uxuOwOPFC-7VF-l8EScfApp8FsyBxNR', 'width': 3072}]",ChIJ7fE_DABrQi4R3clSrulxkS0,5.0,ChIJ7fE_DABrQi4R3clSrulxkS0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7fE_DABrQi4R3clSrulxkS0
OPERATIONAL,"Kadujangkung, Bojong Menteng, Kec. Leuwidamar, Kabupaten Lebak, Banten 42362, Indonesia","{'location': {'lat': -6.5958483, 'lng': 106.2256021}, 'viewport': {'northeast': {'lat': -6.594510420107278, 'lng': 106.2269264798927}, 'southwest': {'lat': -6.597210079892721, 'lng': 106.2242268201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tourism Village Baduy,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100097778005133151007"">tegar mey rendu Tegar93</a>'], 'photo_reference': 'AUGGfZl-ueQFBXAoI0kTbvFbFu4gCXXvXeokRd_qbqJOumDIwsBuXk9MvL4GvvVqaY8oj1XyMhPGZMd4BgUD9X0PLlkkFrxbo093CiWPORFhyHqdljrO_HwgaX7yMEw0fpGPIvWHVVpR6MApLTs1jgw90IMbQUNSmvz8ZTupnQjAq-oS0wV9', 'width': 3456}]",ChIJR-kwBRdpQi4RcpsYDeNup88,4.7,ChIJR-kwBRdpQi4RcpsYDeNup88,"['tourist_attraction', 'point_of_interest', 'establishment']",2780.0,{'open_now': False},"{'compound_code': 'C63G+M6 Bojong Menteng, Lebak Regency, Banten, Indonesia', 'global_code': '6P58C63G+M6'}",,https://www.google.com/maps/place/?q=place_id:ChIJR-kwBRdpQi4RcpsYDeNup88
OPERATIONAL,"86VR+Q8, Kanekes, Leuwidamar, Lebak Regency, Banten, Indonesia","{'location': {'lat': -6.655611899999999, 'lng': 106.2407913}, 'viewport': {'northeast': {'lat': -6.654332120107277, 'lng': 106.2421880798927}, 'southwest': {'lat': -6.657031779892721, 'lng': 106.2394884201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Banten,,ChIJ0xZY4KxnQi4R0eBNoyJ45EQ,0.0,ChIJ0xZY4KxnQi4R0eBNoyJ45EQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0xZY4KxnQi4R0eBNoyJ45EQ
OPERATIONAL,"C7P2+6VW, desa, RT.RW/RW.01 02, Dusun Turus, Tenjolayar, Kec. Leuwidamar, Kabupaten Lebak, Banten, Indonesia","{'location': {'lat': -6.564395600000001, 'lng': 106.2522143}, 'viewport': {'northeast': {'lat': -6.563401170107277, 'lng': 106.2538911298927}, 'southwest': {'lat': -6.566100829892721, 'lng': 106.2511914701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Balong ibu lili,,ChIJpzFYfABpQi4RsCbshmTqsKw,0.0,ChIJpzFYfABpQi4RsCbshmTqsKw,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJpzFYfABpQi4RsCbshmTqsKw
OPERATIONAL,"96PC+2V, Keboncau, Bojongmanik, Lebak Regency, Banten, Indonesia","{'location': {'lat': -6.6147024, 'lng': 106.2223867}, 'viewport': {'northeast': {'lat': -6.613980320107278, 'lng': 106.2235233798927}, 'southwest': {'lat': -6.616679979892722, 'lng': 106.2208237201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Leuwi Buleud,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110732571385890047198"">Laurio Leonald</a>'], 'photo_reference': 'AUGGfZn3vUqXAEHg9fUTrj2GlMmW0i4AD2ohcvywFYB9CBn8IgbCxRrmD4jU8koofeEVMf85Wv1zfgYPAWHuAe2pEmGeUMiE-OdHMLVXEzZeTt_HOxd__5pvyIBQfhGIvu5qEuCp3ARRL5pOdX5GZV1RZIpoE8ouUlw-fMr58iQzhntPrmkn', 'width': 4096}]",ChIJJZnjgC1pQi4RS9DfYrhpJyI,3.7,ChIJJZnjgC1pQi4RS9DfYrhpJyI,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJJZnjgC1pQi4RS9DfYrhpJyI
OPERATIONAL,"C64G+C3G, Bojong Menteng, Leuwidamar, Lebak Regency, Banten, Indonesia","{'location': {'lat': -6.5939614, 'lng': 106.225046}, 'viewport': {'northeast': {'lat': -6.592655020107277, 'lng': 106.2264106798927}, 'southwest': {'lat': -6.595354679892721, 'lng': 106.2237110201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PAKET WISATA BADUY,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108569899729394191235"">A Google User</a>'], 'photo_reference': 'AUGGfZl0CcYq10Hylpba2mLrf5PdRAS91mOux2a9G57n18AxDeOfodzaBoMQA9jSsIXp1GJupkOO6U0edbNwpYCiXc6MmObYPnpp4RCPYTQ_Q34EBzyF_8hZaB1G6CxAk6GqxdDRgutyHVWSpM-wUYJRLvKyifWajBxCoHc5ueurj_Cz87vJ', 'width': 3072}]",ChIJY_UvDABpQi4RlYMvyfsm-CY,5.0,ChIJY_UvDABpQi4RlYMvyfsm-CY,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJY_UvDABpQi4RlYMvyfsm-CY
OPERATIONAL,"C7P2+6VW, Cisimeut, Leuwidamar, Lebak Regency, Banten, Indonesia","{'location': {'lat': -6.564395600000001, 'lng': 106.2522143}, 'viewport': {'northeast': {'lat': -6.563401170107277, 'lng': 106.2538911298927}, 'southwest': {'lat': -6.566100829892721, 'lng': 106.2511914701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai batu luhur,,ChIJW78YewBpQi4RfkpzbHuROeU,0.0,ChIJW78YewBpQi4RfkpzbHuROeU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJW78YewBpQi4RfkpzbHuROeU
OPERATIONAL,"C64G+93R, Bojong Menteng, Leuwidamar, Lebak Regency, Banten 42362, Indonesia","{'location': {'lat': -6.5940459, 'lng': 106.2252469}, 'viewport': {'northeast': {'lat': -6.592718020107278, 'lng': 106.2266216798927}, 'southwest': {'lat': -6.595417679892722, 'lng': 106.2239220201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tour Guide Baduy,,ChIJDZOOfABpQi4RtAqM9nqOwtg,0.0,ChIJDZOOfABpQi4RtAqM9nqOwtg,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJDZOOfABpQi4RtAqM9nqOwtg
OPERATIONAL,"Kp. Kaduketug Rangkasbitung, Banten 42362, Indonesia","{'location': {'lat': -6.5984406, 'lng': 106.2245073}, 'viewport': {'northeast': {'lat': -6.597125170107278, 'lng': 106.2258829298927}, 'southwest': {'lat': -6.599824829892722, 'lng': 106.2231832701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Kampung Kadu ketug,"[{'height': 1627, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116911889282963630751"">deri faqih</a>'], 'photo_reference': 'AUGGfZls7lN6ar5-0x_VCLwUkcKf_-S-3nPfOKDr7uJCyqTLpztKZQNpgJ0qavp8IAozAooZhjAhpr51mo0iYKSTnlBjuTv9vBrY_fob4TMh_M6yXJOpxjTAWRNI7S5lhiQ4It_Mz7UpF9uVP65uaUx0V3JfH5-KjlTSTYz8TqI73Ey4i5Bt', 'width': 1302}]",ChIJETkTljdpQi4REjseRZMA-as,5.0,ChIJETkTljdpQi4REjseRZMA-as,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,{'open_now': True},"{'compound_code': 'C62F+JR Kanekes, Lebak Regency, Banten, Indonesia', 'global_code': '6P58C62F+JR'}",,https://www.google.com/maps/place/?q=place_id:ChIJETkTljdpQi4REjseRZMA-as
