business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"73M8+428, Lembar, Kec. Lembar, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83364, Indonesia","{'location': {'lat': -8.7172092, 'lng': 116.0650658}, 'viewport': {'northeast': {'lat': -8.71584582010728, 'lng': 116.0664136298928}, 'southwest': {'lat': -8.718545479892724, 'lng': 116.0637139701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Eco Wisata Mangrove Forest Lembar Selatan,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115419228230666546140"">puguh dadang</a>'], 'photo_reference': 'AUGGfZnlwC1eKgcdo33ClLiv8G_CIBHO4KNaEoyNGqvSjey_38TQSvrRNxL25JamSnvHS-i89oWtOZViqlyMhvUvYhiC0KipuIxgBnIZDmZr42RjMUZL6Iwn7EQCrFnAC9pvBHjwWKwSSbCxfuZ4MbrNmqZvmmBHZF37JwzfBHv4ch3IjWXk', 'width': 4608}]",ChIJY9Ov0gy9zS0RsF-5dHYEhWw,4.0,ChIJY9Ov0gy9zS0RsF-5dHYEhWw,"['tourist_attraction', 'point_of_interest', 'establishment']",536,,,,https://www.google.com/maps/place/?q=place_id:ChIJY9Ov0gy9zS0RsF-5dHYEhWw
OPERATIONAL,"73H5+P74, Pelabuhan, Kec. Lembar, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83364, Indonesia","{'location': {'lat': -8.7207419, 'lng': 116.0582094}, 'viewport': {'northeast': {'lat': -8.719557970107278, 'lng': 116.0595248798927}, 'southwest': {'lat': -8.722257629892722, 'lng': 116.0568252201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Cemare Lembar,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104753378071454895187"">Faisal Rahman</a>'], 'photo_reference': 'AUGGfZlAQjlK5mYml6GBjaEptOMd3jXzVCtFe1AQChsbgmAGvGbU_poA8Lr20ar7qsDZ-oDjIGm5AO8pYXsFxqBeTof-qAIau98fmurBYTrddNryUCEdrnDJ-71kF7gt7O-6XXNT-8IiAnmBxHtJYBOQz8ek7PoYi25JmjMatkMqRip_0sno', 'width': 8000}]",ChIJ9-JgBOm9zS0RMouKCTcYqzM,4.3,ChIJ9-JgBOm9zS0RMouKCTcYqzM,"['tourist_attraction', 'point_of_interest', 'establishment']",640,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ9-JgBOm9zS0RMouKCTcYqzM
OPERATIONAL,"74R4+HQC, Jembatan Kembar, Lembar, West Lombok Regency, West Nusa Tenggara 83364, Indonesia","{'location': {'lat': -8.708561, 'lng': 116.1068901}, 'viewport': {'northeast': {'lat': -8.707123170107277, 'lng': 116.1090588}, 'southwest': {'lat': -8.70982282989272, 'lng': 116.1061672}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung Batu Idung,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107089142691311151240"">Jauhari Amrullah</a>'], 'photo_reference': 'AUGGfZmTHVn8dv8Ry_bk6AQyPnH6bHGGXrS3zXPEu5oNXp2hkWV0NgmGx0_vHE4TOyVq5uZ1yWwWDzaw74OU9Apnwh8BwhcIGEtZzgKcPBqzZpMVv5WOeHTb_fZfdMUffZfKyx1p6NfV2N4oWKjRO79xsv2u-X5WQqGvRt37pNMT5or-OVYG', 'width': 3264}]",ChIJT3K63fW8zS0RvplhCOn1E0g,4.4,ChIJT3K63fW8zS0RvplhCOn1E0g,"['tourist_attraction', 'point_of_interest', 'establishment']",493,,,,https://www.google.com/maps/place/?q=place_id:ChIJT3K63fW8zS0RvplhCOn1E0g
OPERATIONAL,"7384+W9X, Lembar, West Lombok Regency, West Nusa Tenggara 83364, Indonesia","{'location': {'lat': -8.7323483, 'lng': 116.0559267}, 'viewport': {'northeast': {'lat': -8.72895035, 'lng': 116.0577666798927}, 'southwest': {'lat': -8.733480949999999, 'lng': 116.0550670201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PANTE CEMARE LEMBAR,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110656430496209108896"">malik abdul azis</a>'], 'photo_reference': 'AUGGfZm5r34kz4U8ZVKMv9_eKqwzb6ts3RLZ4E1GbolxypvBeKnDGRAi86TK8rXeAcMLzXIutMmwJXo9wK8h2RxmOGvgbgpPRAKFzh6zvUwYh8Wi8UA5K5fRVeO8iOhg2XinKxWySEPOQDvNwKN9zOK3rCr7Ym4xwKxSA-BfDevFN_-77arM', 'width': 4608}]",ChIJG8TmTPa9zS0RpNrCeLwFTi4,4.5,ChIJG8TmTPa9zS0RpNrCeLwFTi4,"['tourist_attraction', 'point_of_interest', 'establishment']",23,,,,https://www.google.com/maps/place/?q=place_id:ChIJG8TmTPa9zS0RpNrCeLwFTi4
OPERATIONAL,"Lembar, West Lombok Regency, West Nusa Tenggara 83364, Indonesia","{'location': {'lat': -8.7207253, 'lng': 116.0620695}, 'viewport': {'northeast': {'lat': -8.719360220107278, 'lng': 116.0633978798927}, 'southwest': {'lat': -8.722059879892722, 'lng': 116.0606982201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ekowisata Lembar Selatan (ELS),"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106812444172551501646"">A Google User</a>'], 'photo_reference': 'AUGGfZk44pfrBdFBuiEFCTCs2-dG_2oG25nb1hh1kDtVBq-oVI5c5fqxGoZH_mOHWS74bt4gKwopNFBQIEFUNNsrcBLrF7osSIOWj1Png-SymTrTrOLvtyTEytSnGma6Rm7DcUdgQT8mN1An4zZe3SFb4gQNwqShkE77hATug307wwhVXErK', 'width': 638}]",ChIJNei7wim9zS0RY1SS2mUqdPo,5.0,ChIJNei7wim9zS0RY1SS2mUqdPo,"['tourist_attraction', 'point_of_interest', 'establishment']",4,{'open_now': False},"{'compound_code': '73H6+PR Lembar, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R73H6+PR'}",,https://www.google.com/maps/place/?q=place_id:ChIJNei7wim9zS0RY1SS2mUqdPo
OPERATIONAL,"Unnamed Road, Lembar, West Lombok Regency, West Nusa Tenggara 83364, Indonesia","{'location': {'lat': -8.729815199999999, 'lng': 116.0561026}, 'viewport': {'northeast': {'lat': -8.728599270107278, 'lng': 116.0578552298927}, 'southwest': {'lat': -8.731298929892722, 'lng': 116.0551555701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Napak Tilas,"[{'height': 2998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111339100574240527748"">Agung Wahyudi</a>'], 'photo_reference': 'AUGGfZkZmJ1NY9moL08xFWNurfQ_2RpWWb5ngWnw4ywuObunUUytMrnUjrUtCOrPdmb0SVv2dMAIVPrsU0H6N0o_tu63rnnQQi3X91ZU4H1qcMbtrghur_YlHp9H5sStXKwvZHGiN_GH0MJ8YX1ykfGjntasA-3kcuzIMqc44pziUQo32GD0', 'width': 3998}]",ChIJF8kbnmq9zS0RIbR-trtrixE,4.6,ChIJF8kbnmq9zS0RIbR-trtrixE,"['tourist_attraction', 'point_of_interest', 'establishment']",64,{'open_now': False},"{'compound_code': '73C4+3C Lembar, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R73C4+3C'}",,https://www.google.com/maps/place/?q=place_id:ChIJF8kbnmq9zS0RIbR-trtrixE
OPERATIONAL,"Sekotong Tengah, Sekotong, West Lombok Regency, West Nusa Tenggara 83365, Indonesia","{'location': {'lat': -8.7642217, 'lng': 116.0468177}, 'viewport': {'northeast': {'lat': -8.76294947010728, 'lng': 116.0481675298927}, 'southwest': {'lat': -8.765649129892724, 'lng': 116.0454678701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mangrove Sekotong Tengah,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105975947630832324026"">Tisna Pratama</a>'], 'photo_reference': 'AUGGfZnD7FntzOL270bfcx1mySdW5eHKRDx1PPTBn44LUuTMjCYMK7jKQUIxI148gbkbOXHZ_Amo61wgPfxFuTpzDQkbO_TsACSekaN1WNy0zV1fOTpqKHAzaD8bcEX9bTbwTxlzEYw3yI8O4GY7xgvF7rsQK03gX2JNwSAOQj8A_upbqP-i', 'width': 4000}]",ChIJHWZOs4ijzS0R3ghavw9NpbE,4.4,ChIJHWZOs4ijzS0R3ghavw9NpbE,"['tourist_attraction', 'point_of_interest', 'establishment']",143,{'open_now': False},"{'compound_code': '62PW+8P Sekotong Tengah, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R62PW+8P'}",,https://www.google.com/maps/place/?q=place_id:ChIJHWZOs4ijzS0R3ghavw9NpbE
OPERATIONAL,"Lembar, West Lombok Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.680349699999999, 'lng': 116.0714314}, 'viewport': {'northeast': {'lat': -8.674992899999998, 'lng': 116.07500155}, 'southwest': {'lat': -8.6821353, 'lng': 116.07024135}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kokok BELINTAK F7K,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110689242293663170016"">A Google User</a>'], 'photo_reference': 'AUGGfZmIFuj4upqSONL-1wz-fqqdrz1K8ZEE9dGzS8V_49ZuRBH5cFTDackh_XiRjRJO3OMGzl46rwTV4Gwf0kI3cpR9n7sbFp9LstoFCEV9irVbUKBjj2D66u0xvJNVa1sh0PfZMUZsyxH_yhWDG7Xj4_lHgJMSyXQux-oaK92aitzH3gtE', 'width': 3900}]",ChIJgUupXhy9zS0RqomZP3pBhnc,5.0,ChIJgUupXhy9zS0RqomZP3pBhnc,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},"{'compound_code': '839C+VH Lembar, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R839C+VH'}",,https://www.google.com/maps/place/?q=place_id:ChIJgUupXhy9zS0RqomZP3pBhnc
OPERATIONAL,"732X+87P, Dusun pelepok, Labuan Tereng, Kec. Lembar, Kabupaten Lombok Barat, Nusa Tenggara Bar., Indonesia","{'location': {'lat': -8.749172, 'lng': 116.0981981}, 'viewport': {'northeast': {'lat': -8.747794920107278, 'lng': 116.0994388298927}, 'southwest': {'lat': -8.750494579892722, 'lng': 116.0967391701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bunbeleng sunset view,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111839239691606577197"">A Google User</a>'], 'photo_reference': 'AUGGfZkTBBCQNXyVXcxt1cKBLj9rttK4ktydMpaKv8jBP-ksLC_TaNYRN_J6T2KZI7zMHDed5Z3LCW8cSFDWxWjWvm4BnHmAquJULtpMgerxoZpOWIYltj00riRcD2vq6S94X43xxZzmiRc2ng_4hNXJgeJdmgo0CvB_SR1J8z5jCtMj2xzL', 'width': 4160}]",ChIJc5lYgQS9zS0RfL8cPMTlr5Q,4.5,ChIJc5lYgQS9zS0RfL8cPMTlr5Q,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJc5lYgQS9zS0RfL8cPMTlr5Q
OPERATIONAL,"Desa Cendi Manik, Kecamatan Sekotong, Sekotong Tengah, Kec. Sekotong, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83365, Indonesia","{'location': {'lat': -8.7662221, 'lng': 116.0523414}, 'viewport': {'northeast': {'lat': -8.764853870107277, 'lng': 116.0537034798927}, 'southwest': {'lat': -8.767553529892721, 'lng': 116.0510038201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Regional Ecotourism Mangrove Bagek Twins (Twins),"[{'height': 2620, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115021402505083372231"">Suaidi ms</a>'], 'photo_reference': 'AUGGfZkKUgieyO894jzMACyL55QTFTQL0EF1EkjIuY7XPjrnOOFBjffDsa0FGsoGkjNBQ1rMHKfSfBInJ8IbpePNx0zBLwCVsr1XDr48uZemwMFM18E22rjw9exYPo-lADPejM-bfa62vao-0cCsbVHMWNuK0OjUxU_FMeVJK5qGtNjr3Gi6', 'width': 4656}]",ChIJe-HCp6SizS0Rg8FfFbOJgHI,4.3,ChIJe-HCp6SizS0Rg8FfFbOJgHI,"['tourist_attraction', 'point_of_interest', 'establishment']",144,{'open_now': False},"{'compound_code': '63M2+GW Sekotong Tengah, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R63M2+GW'}",,https://www.google.com/maps/place/?q=place_id:ChIJe-HCp6SizS0Rg8FfFbOJgHI
