business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,permanently_closed,url
OPERATIONAL,"9954+HXF, Kopang Rembiga, Kopang, Central Lombok Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.641064, 'lng': 116.3574136}, 'viewport': {'northeast': {'lat': -8.639430670107277, 'lng': 116.3586315798927}, 'southwest': {'lat': -8.642130329892721, 'lng': 116.3559319201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Longtun,ChIJjeOmXgC1zS0RPr4U1wiBtJA,0.0,ChIJjeOmXgC1zS0RPr4U1wiBtJA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJjeOmXgC1zS0RPr4U1wiBtJA
OPERATIONAL,"Kopang Rembiga, Kopang, Central Lombok Regency, West Nusa Tenggara 83553, Indonesia","{'location': {'lat': -8.6349336, 'lng': 116.3574263}, 'viewport': {'northeast': {'lat': -8.63363837010728, 'lng': 116.3587644798927}, 'southwest': {'lat': -8.636338029892723, 'lng': 116.3560648201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,LONGTUN WATERPARK KOPANG,ChIJTQA161m1zS0Ry87RY7rk1OU,4.2,ChIJTQA161m1zS0Ry87RY7rk1OU,"['tourist_attraction', 'point_of_interest', 'establishment']",810,{'open_now': False},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110560212928385405156"">A Google User</a>'], 'photo_reference': 'AUGGfZkxgsKiVxDfDXr12_Qm3Vbl6yCQYQiG1omQy8V1m-NS2zn_v-lrA4is-StD-uZvB34PnKVUQTpFg6mo77voea6WYAjiMU6tLLT-asNGYVxlZjZC65SEy4ROhc4owuduqYu1WXw4sbHbdhxWelt9rOASCPcSRNfegQ4MKA2FmtokgJR6', 'width': 3456}]","{'compound_code': '9984+2X Kopang Rembiga, Central Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R9984+2X'}",,https://www.google.com/maps/place/?q=place_id:ChIJTQA161m1zS0Ry87RY7rk1OU
OPERATIONAL,"Lendang Ara, Kopang, Central Lombok Regency, West Nusa Tenggara 83553, Indonesia","{'location': {'lat': -8.5913311, 'lng': 116.3749243}, 'viewport': {'northeast': {'lat': -8.589982120107278, 'lng': 116.3762705298928}, 'southwest': {'lat': -8.592681779892722, 'lng': 116.3735708701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA TANDUNG-ANDUNG,ChIJ2UA4wU21zS0RllcbY74ktbI,4.3,ChIJ2UA4wU21zS0RllcbY74ktbI,"['tourist_attraction', 'point_of_interest', 'establishment']",75,{'open_now': False},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108656127001079479900"">A Google User</a>'], 'photo_reference': 'AUGGfZlHdhr9C7JRBItPg4kxT7FpfXYqikuVfmsIXO4BuVWj4hQ-c86o2W_34mT8r5JNGNgdBOjwmwDLGLa5kIq6KR_PQspBzN5KmRfG3d2JFKRg2-GzuL2-Hki0YZRefibiDvpBJy9g9NeBvKtHhx60YEfQZnuEvR9sFB_SB3SzY7ZDcjkp', 'width': 3840}]","{'compound_code': 'C95F+FX Lendang Ara, Central Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RC95F+FX'}",,https://www.google.com/maps/place/?q=place_id:ChIJ2UA4wU21zS0RllcbY74ktbI
OPERATIONAL,"Montong Bulok,Mt.Gamang, Montong Gamang, Kec. Kopang, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83553, Indonesia","{'location': {'lat': -8.6487323, 'lng': 116.373811}, 'viewport': {'northeast': {'lat': -8.647424420107278, 'lng': 116.3752886798927}, 'southwest': {'lat': -8.650124079892722, 'lng': 116.3725890201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Alfathanah's warkop dan mancing mania,ChIJo0wYL-GzzS0RVnoloyFtuvk,4.3,ChIJo0wYL-GzzS0RVnoloyFtuvk,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113300879986472402693"">A Google User</a>'], 'photo_reference': 'AUGGfZm-Snho32dyyZwsbzBiYDI1IS8N0sAYCSQgq0PhReFWbctDvfRPfkypK8wKRLWdXNU-UoH1gtFCVUD6N2SoxGPouaTuYW6NQc1zX1slnhLcShe4ZoBRD7O6K25WxOkilDmFPdr5B892lveM5Utp8jljG4AoY1QbG5XRb_t8lW7ZeNV1', 'width': 1280}]","{'compound_code': '992F+GF Montong Gamang, Central Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R992F+GF'}",,https://www.google.com/maps/place/?q=place_id:ChIJo0wYL-GzzS0RVnoloyFtuvk
CLOSED_TEMPORARILY,"9965+XMF, Dusun pendagi, desa, Kopang Rembiga, Kec. Kopang, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83553, Indonesia","{'location': {'lat': -8.6375682, 'lng': 116.3591667}, 'viewport': {'northeast': {'lat': -8.636238520107279, 'lng': 116.3604140798927}, 'southwest': {'lat': -8.638938179892723, 'lng': 116.3577144201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ruwo,ChIJZ7LOKSS1zS0RAxVGjyapKrY,4.0,ChIJZ7LOKSS1zS0RAxVGjyapKrY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106377248170716964067"">A Google User</a>'], 'photo_reference': 'AUGGfZmUIyqRLa_wMN53up-hG_-7yb1T-g0y4ZuHfRTwrx4V0t-vES_gluO6PlgMILgrBdnA2AwjDZfu0Vn9_UHvpAfcwdGBdWkXpri9QzgxWmjfBVUb5x88mezqrV_Gt0ftBoITz74mSkJi5YcL0Wn8Ia55Pl7yuZjwgiGV1L75nfUT8PpW', 'width': 2448}]",,True,https://www.google.com/maps/place/?q=place_id:ChIJZ7LOKSS1zS0RAxVGjyapKrY
OPERATIONAL,"88HG+VVP, Monggas, Kopang, Central Lombok Regency, West Nusa Tenggara 83553, Indonesia","{'location': {'lat': -8.6702873, 'lng': 116.3272085}, 'viewport': {'northeast': {'lat': -8.669012670107277, 'lng': 116.3284254798927}, 'southwest': {'lat': -8.67171232989272, 'lng': 116.3257258201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BENDUNGAN BAGE,ChIJkcDYS3KzzS0RFVbQGMxMTyo,0.0,ChIJkcDYS3KzzS0RFVbQGMxMTyo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 3998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114156517563880035987"">A Google User</a>'], 'photo_reference': 'AUGGfZkMMKcDUUN10CH2AaVbAGVRUKFhq5reIjPOdLpiZRKCEEPBokjN7be2GbeJDgQhRondnbKmL9hqdz6-0GBpj7TImCzUYq25gbKa4XIXPNWgfqWabJ1m1R9HkGCi8xiVJ--4PKNweXdY0aYItDABOhyLrDrjnSEQzR0Y6xvSbRnqtwLE', 'width': 2246}]",,,https://www.google.com/maps/place/?q=place_id:ChIJkcDYS3KzzS0RFVbQGMxMTyo
OPERATIONAL,"99V9+794, Dusun jurit, Bebuaq, Kec. Kopang, Kabupaten Lombok Tengah, Nusa Tenggara Bar., Indonesia","{'location': {'lat': -8.6068626, 'lng': 116.3684465}, 'viewport': {'northeast': {'lat': -8.605510420107278, 'lng': 116.3698149298927}, 'southwest': {'lat': -8.608210079892721, 'lng': 116.3671152701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Bangket Jurit,ChIJCWzWVLy1zS0RIjzUxc8xzjs,3.3,ChIJCWzWVLy1zS0RIjzUxc8xzjs,"['tourist_attraction', 'point_of_interest', 'establishment']",4,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116375462710402701979"">A Google User</a>'], 'photo_reference': 'AUGGfZmG_YGTq72gcCGsriIuvxHAibQnNr7bBeTLyonV0VpLAFIxe2t4Zsva5yHjrRDcbJ_QL0d4La6_WzD0JwJqF9cG8em1hGNtgrlgwmlF2hZo0JmQJVMfmUD-xDNr8ZiwcaEcAlqxP3iQJUyHwvwVdZCSd5yXv2IfQ1-gMhGV8CXX-Q0C', 'width': 3264}]",,,https://www.google.com/maps/place/?q=place_id:ChIJCWzWVLy1zS0RIjzUxc8xzjs
OPERATIONAL,"99Q7+Q8P, Bebuaq, Kopang, Central Lombok Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.6105407, 'lng': 116.3633167}, 'viewport': {'northeast': {'lat': -8.607393849999996, 'lng': 116.3653157298927}, 'southwest': {'lat': -8.611589649999999, 'lng': 116.3626160701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan antigalo,ChIJpRrj_dW1zS0RI8shBObGs5w,0.0,ChIJpRrj_dW1zS0RI8shBObGs5w,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJpRrj_dW1zS0RI8shBObGs5w
OPERATIONAL,"Jalan Pariwisata Aik Bukak Desa Aik Bukak Kecamatan Batukliang Utara, Aik Bukaq, Praya, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83550, Indonesia","{'location': {'lat': -8.5769292, 'lng': 116.3440371}, 'viewport': {'northeast': {'lat': -8.575713920107276, 'lng': 116.3459708298927}, 'southwest': {'lat': -8.57841357989272, 'lng': 116.3432711701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Aik Bukak,ChIJSzwWNfK1zS0RTMNWg37sa0Q,4.1,ChIJSzwWNfK1zS0RTMNWg37sa0Q,"['tourist_attraction', 'point_of_interest', 'establishment']",472,{'open_now': False},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105374274116238618385"">Irsan agus salim</a>'], 'photo_reference': 'AUGGfZmg8dCsmWqkDqJJBQfCGSsVbR1v1o7puWDJ7OuFHY1W4drI0JhQmsMDht3LuYBWabxXVTgn0kCV4iB7LD0HSBzYff9Zvuky5T12_N9pdWkLlK60KNrHOE7qzpBA_NibcJEpOUJ8-vHY4TvBS7uXB35EqQ6ftmYwY3_Frh2wNEy0DWvg', 'width': 1280}]","{'compound_code': 'C8FV+6J Aik Bukaq, Central Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RC8FV+6J'}",,https://www.google.com/maps/place/?q=place_id:ChIJSzwWNfK1zS0RTMNWg37sa0Q
OPERATIONAL,"Sumbek wajageseng, Kec. Kopang, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83553, Indonesia","{'location': {'lat': -8.5720903, 'lng': 116.3776666}, 'viewport': {'northeast': {'lat': -8.570684370107278, 'lng': 116.3788790798927}, 'southwest': {'lat': -8.573384029892722, 'lng': 116.3761794201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lombok inn vacations tour guide,ChIJg4yVini1zS0RG_SD5zGyDyc,5.0,ChIJg4yVini1zS0RG_SD5zGyDyc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107924702820955696469"">A Google User</a>'], 'photo_reference': 'AUGGfZlTeUTkitIA1hDpUiKh4QPzs_LHPq92oCiU0fn3HHOSHmEUK4mDEsqrFF5kEjhCeVbAYFaVD6l9DQGA91KaHGuQeoelubZaecuT10EbWCUgjMxmAFlINTwN2cEU8TcbTOyUor1UCVsMxVBlQcCvbm4DxJrqIVMcz0bnK046QUtdoNES', 'width': 3456}]","{'compound_code': 'C9HH+53 Waja Geseng, Central Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RC9HH+53'}",,https://www.google.com/maps/place/?q=place_id:ChIJg4yVini1zS0RG_SD5zGyDyc
