business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"9FVF+P29, Masbagik Utara Baru, Masbagik, East Lombok Regency, West Nusa Tenggara 83661, Indonesia","{'location': {'lat': -8.6047058, 'lng': 116.4727958}, 'viewport': {'northeast': {'lat': -8.603716370107279, 'lng': 116.4740930798927}, 'southwest': {'lat': -8.606416029892722, 'lng': 116.4713934201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Air Pancor Kopong,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115090881468295724551"">Guhkun ccb</a>'], 'photo_reference': 'AUGGfZnHhy7m5sQr-oDUNL40NxhW2UrkATx3Eklycvt0y-PRrjHotHzz8b-jMnyUkyDWdIUIit5gs6QfL67XfRHjCBFbu19-vLAFeJUISd1KhTsBLPi3Hja9OAfDkiFCcIl6lUHHm3f6CDZXyRj2CY32lJo1mT2MgTO2n9XqyjbTBdHSW7II', 'width': 4608}]",ChIJjZ7yiPJLzC0R2ERRXA3vbO4,4.4,ChIJjZ7yiPJLzC0R2ERRXA3vbO4,"['tourist_attraction', 'point_of_interest', 'establishment']",11,,,https://www.google.com/maps/place/?q=place_id:ChIJjZ7yiPJLzC0R2ERRXA3vbO4
OPERATIONAL,"9FRR+F5M, East Masbagik, Masbagik, East Lombok Regency, West Nusa Tenggara 83661, Indonesia","{'location': {'lat': -8.6089822, 'lng': 116.490442}, 'viewport': {'northeast': {'lat': -8.607873070107278, 'lng': 116.4912842}, 'southwest': {'lat': -8.610572729892722, 'lng': 116.4879154}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,pengembul Rempung,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100444786366488568574"">Fiekzu verye</a>'], 'photo_reference': 'AUGGfZknBwD9k2xhsAuA3nxXzTXEp3AKAwLwskdUcOwWBdMtoiGLwh_nEIP4cH54YqnFifGVh8w1b20YZU-qmkVfmc7JMVW90uoNkHH9TeQyH2ad7y6LQBmWE8RjaJVl42ZVcJ73Qc95EEAvJgPmIdsnf1YHIqJkWynk1pvvQZsZj8Ugye1a', 'width': 1800}]",ChIJlVxnaQBLzC0RVOqMEb3XD64,0.0,ChIJlVxnaQBLzC0RVOqMEb3XD64,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJlVxnaQBLzC0RVOqMEb3XD64
OPERATIONAL,"9FQM+945, East Masbagik, Masbagik, East Lombok Regency, West Nusa Tenggara 83661, Indonesia","{'location': {'lat': -8.611602999999999, 'lng': 116.4828715}, 'viewport': {'northeast': {'lat': -8.610178920107275, 'lng': 116.4841930298927}, 'southwest': {'lat': -8.612878579892719, 'lng': 116.4814933701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kokok senayu,,"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109212657925369796190"">A Google User</a>'], 'photo_reference': 'AUGGfZkc0OV8YSS1cJJfH6FUFGabLS1-FWpp88QlO0Or8gZaOoZZDeBPvPVeMNbEKECNZnb4aGoP3BOxPV6M2kAD1uFwmYAvqYMLAPKfH-u2VOYVONZLDgcePjRvmkNrs7CLomcQAJJkIWTpYvUTkaZ3WdAndl71lhdMiRRHpHmFNbIIYa8O', 'width': 2304}]",ChIJNfEeWUJLzC0RgNTS7OxfVKs,4.8,ChIJNfEeWUJLzC0RgNTS7OxfVKs,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,,https://www.google.com/maps/place/?q=place_id:ChIJNfEeWUJLzC0RgNTS7OxfVKs
OPERATIONAL,"FC3M+77C, North Lendang Nangka, Masbagik, East Lombok Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.5468191, 'lng': 116.4331269}, 'viewport': {'northeast': {'lat': -8.545495370107277, 'lng': 116.4344706798927}, 'southwest': {'lat': -8.548195029892721, 'lng': 116.4317710201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang ke tempat wisata,{'open_now': True},"[{'height': 1248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106698653436862196841"">A Google User</a>'], 'photo_reference': 'AUGGfZksDP9-S7I6BBvSt_GNJR1heyDq_MCs3EfxmvODSrkbMC0j7IXoaAAzdS4Qq_6y8gUa4EgQiAyDf7SRCQH9t3jMePNBnBk1l4mJsTbzPvo1QU9924SgykQgXOknwByQG3hR_J4UuPHENq5qyr72-mwRLap8ZBCuKPMJ2af1c0rPAg4', 'width': 720}]",ChIJT1VPazg1zC0RUdfu_vXG9P8,4.0,ChIJT1VPazg1zC0RUdfu_vXG9P8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJT1VPazg1zC0RUdfu_vXG9P8
OPERATIONAL,"Jl. Masbagik - Pancor, Masbagik Sel., Kec. Masbagik, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83661, Indonesia","{'location': {'lat': -8.630583, 'lng': 116.484085}, 'viewport': {'northeast': {'lat': -8.629259520107277, 'lng': 116.4854177798927}, 'southwest': {'lat': -8.631959179892721, 'lng': 116.4827181201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GRACE RINJANI MOUNTAIN,,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111667363434457008809"">A Google User</a>'], 'photo_reference': 'AUGGfZlR8TIO2C--y0ER7Yufq89gyyZ4OLEycL3_JBIVoIKL4CTthL9-4nkFx3XGSteQeTnpGQA37SmxrRv8rTV_kFFFfZqKAp8B1VgYqt3zwclu9Hl_YGbRoyDrJpmOGrwmus6vs3SWJFwzl41HD_8E-z5HdWIyHJRK-2oaQP3gOl4qt2sT', 'width': 4032}]",ChIJWx-vp7VLzC0RAhzLDY1Jg78,0.0,ChIJWx-vp7VLzC0RAhzLDY1Jg78,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': '9F9M+QJ South Masbagik, East Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R9F9M+QJ'}",,https://www.google.com/maps/place/?q=place_id:ChIJWx-vp7VLzC0RAhzLDY1Jg78
OPERATIONAL,"9CPR+22F, Kesik, Masbagik, East Lombok Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.614925699999999, 'lng': 116.4400439}, 'viewport': {'northeast': {'lat': -8.611298400000003, 'lng': 116.4415391298927}, 'southwest': {'lat': -8.616134799999996, 'lng': 116.4388394701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kesik,,,ChIJaTdB9r5LzC0RZxBE7RR_rvQ,4.2,ChIJaTdB9r5LzC0RZxBE7RR_rvQ,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,https://www.google.com/maps/place/?q=place_id:ChIJaTdB9r5LzC0RZxBE7RR_rvQ
OPERATIONAL,"9CPV+RXG, Kesik, Masbagik, East Lombok Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.612929, 'lng': 116.4449554}, 'viewport': {'northeast': {'lat': -8.611638170107277, 'lng': 116.4464464798927}, 'southwest': {'lat': -8.61433782989272, 'lng': 116.4437468201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situs Budaya Makam Cocek,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113115310070163067378"">ari simatupang</a>'], 'photo_reference': 'AUGGfZlXZlDbWZZ2DM1D5HTgtNHe3Lt7kyryjOC4X4DPqLHwn1OjiLTUJArUG_nEVh40XodpK3Yeyd3UpeLtkTHIG1ww79L7PgbFodzYJOMNOR3XRGqzYpqLGJXkTvemayKHbJ9Y68BpmHIFnWpfYBWfVKuuB0LqV4BXWEtm_YmtnVLFdsaK', 'width': 4608}]",ChIJhcXcLVZLzC0Rgy6_tQ86dHA,0.0,ChIJhcXcLVZLzC0Rgy6_tQ86dHA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJhcXcLVZLzC0Rgy6_tQ86dHA
OPERATIONAL,"CC7R+J73, North Lendang Nangka, Masbagik, East Lombok Regency, West Nusa Tenggara 83662, Indonesia","{'location': {'lat': -8.5860484, 'lng': 116.4407124}, 'viewport': {'northeast': {'lat': -8.584574670107278, 'lng': 116.4424357298927}, 'southwest': {'lat': -8.587274329892722, 'lng': 116.4397360701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pancor Siwaq,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104114138806444896408"">A Google User</a>'], 'photo_reference': 'AUGGfZkPRt4CtK33UeuTM6DB21ImiscpK3_yyNYUcZxWE1XK4pi8zp2AOsZGU8bc-jtrI_H6CFQzaoVTLLYkWIYjy7xDN4syX6aqUf_KoyO13_Ks3GBELGC-nUQnC7lN2Omb6DGZZrQJVccYg_5X22K8MQn5WxrUZ6Yv4mA3thn4U8JbVIrP', 'width': 1600}]",ChIJ6UmDguRLzC0RKkrOhSj6jlQ,5.0,ChIJ6UmDguRLzC0RKkrOhSj6jlQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJ6UmDguRLzC0RKkrOhSj6jlQ
OPERATIONAL,"CC8M+X5, North Lendang Nangka, Masbagik, East Lombok Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.5825534, 'lng': 116.4329479}, 'viewport': {'northeast': {'lat': -8.58119252010728, 'lng': 116.4343281798927}, 'southwest': {'lat': -8.583892179892723, 'lng': 116.4316285201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mq masri garden,,"[{'height': 446, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106166565503797390938"">lalu roby anmadinata</a>'], 'photo_reference': 'AUGGfZnS1UEmtOxNPdmenbSlwlAs-mR3Tsz-RRZu68NC4DNZapfmo0XZWjWGgxvgtqSzva9StHr0aPlgZLrrtA7DVGduZjLzS72ig2q-_DMUeZA-dGH0dFSQCxbZbF-XYhCjy7ZxLzc8WL_p3nQ6UqB69NPa0od9-6aaIOeJwRkI2XlhcelG', 'width': 1080}]",ChIJ89MzuGZLzC0RYTQuyVjnNN8,0.0,ChIJ89MzuGZLzC0RYTQuyVjnNN8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ89MzuGZLzC0RYTQuyVjnNN8
OPERATIONAL,"9FRJ+974, East Masbagik, Masbagik, East Lombok Regency, West Nusa Tenggara 83661, Indonesia","{'location': {'lat': -8.609134000000001, 'lng': 116.4807573}, 'viewport': {'northeast': {'lat': -8.607787520107278, 'lng': 116.4820977298927}, 'southwest': {'lat': -8.610487179892722, 'lng': 116.4793980701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam renang,,,ChIJ0baSiAtLzC0RHjok6TVfDwM,0.0,ChIJ0baSiAtLzC0RHjok6TVfDwM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ0baSiAtLzC0RHjok6TVfDwM
