business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Jl. Srikaya 2 No.28, Sukodono, Kutorenon, Kec. Sukodono, Kabupaten Lumajang, Jawa Timur 67352, Indonesia","{'location': {'lat': -8.104582299999999, 'lng': 113.2366529}, 'viewport': {'northeast': {'lat': -8.103223520107278, 'lng': 113.2379959298927}, 'southwest': {'lat': -8.105923179892722, 'lng': 113.2352962701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok Ghibah,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118189633933658825407"">david premana</a>'], 'photo_reference': 'AUGGfZmj3rwj4FQMewgJAfMm61abgFZmgMuP7N0P1hlOutWcseiw0t7I_yQq-pVkZXejoKyOG1YvlHNtGAKFMBOtbyxX1PQhr1tRZ5B9w97RbCM9BMEPNvfM3FK90TDTt4Qx8ayQaeXfdZM-5DBdxEjbUpGPnhOT94fcw4Lef2s38hAVHe9M', 'width': 1600}]",ChIJOwoy_ZRd1i0R807x9TvKEds,"{'compound_code': 'V6WP+5M Kutorenon, Lumajang Regency, East Java, Indonesia', 'global_code': '6P3MV6WP+5M'}",5.0,ChIJOwoy_ZRd1i0R807x9TvKEds,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJOwoy_ZRd1i0R807x9TvKEds
OPERATIONAL,"V6G2+97Q, Kali, Klanting, Kec. Sukodono, Kabupaten Lumajang, Jawa Timur, Indonesia","{'location': {'lat': -8.1240279, 'lng': 113.2007354}, 'viewport': {'northeast': {'lat': -8.12258937010728, 'lng': 113.2021163798927}, 'southwest': {'lat': -8.125289029892723, 'lng': 113.1994167201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali klanting,,ChIJ8a4EGwBd1i0RC86mcIezrOU,,0.0,ChIJ8a4EGwBd1i0RC86mcIezrOU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ8a4EGwBd1i0RC86mcIezrOU
OPERATIONAL,"V6HP+Q4W, Sekarputih, Sumberejo, Kec. Sukodono, Kabupaten Lumajang, Jawa Timur 67316, Indonesia","{'location': {'lat': -8.12051, 'lng': 113.2353142}, 'viewport': {'northeast': {'lat': -8.119206220107277, 'lng': 113.2366848798927}, 'southwest': {'lat': -8.12190587989272, 'lng': 113.2339852201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,MAKAM KH. ANAS ABDUL HALIM,"[{'height': 864, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113833873998735125838"">A Google User</a>'], 'photo_reference': 'AUGGfZk9qAsoEmKJqMJBa-RVbSqqp1KUsxvJY4a8hPjhWITz-VurmFL5O8A5_nPG4-Vgr1ghxig3n1lf09so_Sb_ew88VwhO3e_AqbqWeY_FwvUcr_dtTG2CHL1Uu3ruoJchoEqQyUod4GRVgnXVER2amK5QpzY_INS6P1TFrOTCb9oypBSH', 'width': 1152}]",ChIJGXWkfyFd1i0RuSmrKFSPsr4,,5.0,ChIJGXWkfyFd1i0RuSmrKFSPsr4,"['tourist_attraction', 'point_of_interest', 'establishment']",3,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJGXWkfyFd1i0RuSmrKFSPsr4
OPERATIONAL,"W7C3+RRQ, Area Sawah, Wonorejo, Kec. Kedungjajang, Kabupaten Lumajang, Jawa Timur 67358, Indonesia","{'location': {'lat': -8.0779205, 'lng': 113.2546167}, 'viewport': {'northeast': {'lat': -8.076358520107277, 'lng': 113.2558506798927}, 'southwest': {'lat': -8.079058179892721, 'lng': 113.2531510201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sendang Arya Wiraraja,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114046927768289133460"">emmy ermawati</a>'], 'photo_reference': 'AUGGfZn1F3NLEUSbGkAWyz8RkPuVxVgntC4Dq8_bImv_PK9n5TwB2Cgq4sNYzw8vkPiUuP1TRxnuYW9h9BeGBTjIev9A8XoEt0iLI-brikxJxej9Wj0PchGVk3X5OvTn9dFStiOnrmRs5GaAlHwqmKc6960zwfsNWZhx-7vONA8fUx8jl8ly', 'width': 4608}]",ChIJCQUW9k5d1i0RLd_Bi44RKjM,,4.1,ChIJCQUW9k5d1i0RLd_Bi44RKjM,"['tourist_attraction', 'point_of_interest', 'establishment']",143,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJCQUW9k5d1i0RLd_Bi44RKjM
OPERATIONAL,"W6FP+W23, Krajan, Wonorejo, Kec. Kedungjajang, Kabupaten Lumajang, Jawa Timur 67358, Indonesia","{'location': {'lat': -8.0752781, 'lng': 113.2350115}, 'viewport': {'northeast': {'lat': -8.074045420107279, 'lng': 113.2363934798927}, 'southwest': {'lat': -8.076745079892723, 'lng': 113.2336938201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WaterBoom KWT,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117087921670945103903"">ariyanti sulthoni</a>'], 'photo_reference': 'AUGGfZnBUDw4Xp9CSTEMy7RPmW1auDDcPrvdNj2-zJL3Uw6dSmJ_tAWXRoPBsX1Zn55F-LsykubwH-W2x9zvi0B-Pu8hrn0LGS4nNEy4hCNrRnI1_v0ujZda7zsxGGSj9zKby5X0kyyKtbtNtZG4t2R869bWCyALmkyqJNd4f_LfEaNuebJP', 'width': 4000}]",ChIJ9ziO6vZc1i0RN_DnTttgUdg,,4.2,ChIJ9ziO6vZc1i0RN_DnTttgUdg,"['tourist_attraction', 'point_of_interest', 'establishment']",1417,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJ9ziO6vZc1i0RN_DnTttgUdg
OPERATIONAL,"V7F4+JX6, Krajan II, Boreng, Kec. Lumajang, Kabupaten Lumajang, Jawa Timur, Indonesia","{'location': {'lat': -8.125967, 'lng': 113.257377}, 'viewport': {'northeast': {'lat': -8.124639070107277, 'lng': 113.2587206298927}, 'southwest': {'lat': -8.12733872989272, 'lng': 113.2560209701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lukman home,,ChIJldItr1td1i0R4FCwrd2v3tw,,0.0,ChIJldItr1td1i0R4FCwrd2v3tw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJldItr1td1i0R4FCwrd2v3tw
OPERATIONAL,"V59R+PJ6, Area Sawah/Kebun, Banjarwaru, Kec. Lumajang, Kabupaten Lumajang, Jawa Timur 67316, Indonesia","{'location': {'lat': -8.1307239, 'lng': 113.191509}, 'viewport': {'northeast': {'lat': -8.129454920107277, 'lng': 113.1928243298927}, 'southwest': {'lat': -8.13215457989272, 'lng': 113.1901246701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KULINER SD INPRES BANJARWARU,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113110731325023935061"">Su Tikno</a>'], 'photo_reference': 'AUGGfZmiqedry44byqg5PqtpjN_lpwidZe-eHdh6m769pmJhPbcTproSbUqD32CLQBnh2fsY_TJRnLdTK3aWaXQMKEiYiyv4lTFhuNuKmVx7AgaSY2S9O4IhYAjY3NT33gCJVli3VpxOTBwLYxrFHLvI7Os4aFKi8B8VCMIEmIwaQccRR36z', 'width': 4000}]",ChIJV8Mam5xD1i0RFgk_KKXZ_sQ,,3.0,ChIJV8Mam5xD1i0RFgk_KKXZ_sQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJV8Mam5xD1i0RFgk_KKXZ_sQ
OPERATIONAL,"V58P+H9, Sawah, Purwosono, Kec. Sumbersuko, Kabupaten Lumajang, Jawa Timur, Indonesia","{'location': {'lat': -8.1335152, 'lng': 113.1859042}, 'viewport': {'northeast': {'lat': -8.131839170107279, 'lng': 113.1868092298927}, 'southwest': {'lat': -8.134538829892723, 'lng': 113.1841095701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali dadap,,ChIJLXfVuPZp1i0R3d0SWCrARK4,,5.0,ChIJLXfVuPZp1i0R3d0SWCrARK4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJLXfVuPZp1i0R3d0SWCrARK4
OPERATIONAL,"V69M+FXW, Gg. Asri, Jogoyudan, Kec. Lumajang, Kabupaten Lumajang, Jawa Timur 67316, Indonesia","{'location': {'lat': -8.1312614, 'lng': 113.2349608}, 'viewport': {'northeast': {'lat': -8.12991157010728, 'lng': 113.2363106298927}, 'southwest': {'lat': -8.132611229892724, 'lng': 113.2336109701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Alghifari Tour & Travel,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114471770969346916021"">A Google User</a>'], 'photo_reference': 'AUGGfZmxvmRjdGa5oyIX8pNUc7eSEfjQI-nAB65So_ahELSsBL9JGDnP5mkOhuHSTV-jjqFEoaNBy-e9XP5PkmvTp1LGR8Fq9VsVCBrUSqaxfJSa6AkfXQZ66D98UpSxFLEx0v-4SFRm2Rqn5yB_wleTkJ3pN_ee5iFC01qwuVT2hGhWuMUJ', 'width': 963}]",ChIJi8ELKABn1i0RV2fLKH5i_P4,,5.0,ChIJi8ELKABn1i0RV2fLKH5i_P4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJi8ELKABn1i0RV2fLKH5i_P4
OPERATIONAL,"V57R+999, Perjuangan, Petahunan, Sumbersuko, Lumajang Regency, East Java 67316, Indonesia","{'location': {'lat': -8.136593099999999, 'lng': 113.1909863}, 'viewport': {'northeast': {'lat': -8.135270970107278, 'lng': 113.1923061298927}, 'southwest': {'lat': -8.137970629892722, 'lng': 113.1896064701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,POKMAS MAJU MAPAN,,ChIJV3LT6ztp1i0RidvzNO7InUs,,0.0,ChIJV3LT6ztp1i0RidvzNO7InUs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJV3LT6ztp1i0RidvzNO7InUs
