business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Sanjaran, Petahunan, Sumbersuko, Lumajang Regency, East Java 67316, Indonesia","{'location': {'lat': -8.140125099999999, 'lng': 113.1776281}, 'viewport': {'northeast': {'lat': -8.138778120107277, 'lng': 113.1789905798927}, 'southwest': {'lat': -8.141477779892721, 'lng': 113.1762909201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tumpak Selo,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116644129085441040405"">A Google User</a>'], 'photo_reference': 'AUGGfZk-ziDojQ7URB5wbcBqxLD1fUvVKScdofMCR85mdYTlo6OF0uniiHk9fB17Ye0_wNMIh6XZ7J3iuX1fSG1zBDMHINPDr5Z7UllGLzYY-pupg-yPbdAX3lZgPq0AzplrCBwWzhgt7irizEdTQGnivLdJNaA18MUXhWxbsAhXyAuigfvn', 'width': 3264}]",ChIJZ-a5941p1i0R739u1OQUsmU,"{'compound_code': 'V55H+W3 Petahunan, Lumajang Regency, East Java, Indonesia', 'global_code': '6P3MV55H+W3'}",4.5,ChIJZ-a5941p1i0R739u1OQUsmU,"['tourist_attraction', 'point_of_interest', 'establishment']",437,,https://www.google.com/maps/place/?q=place_id:ChIJZ-a5941p1i0R739u1OQUsmU
OPERATIONAL,"Dusun Darungan, Purwosono, Sumbersuko, Lumajang Regency, East Java 67316, Indonesia","{'location': {'lat': -8.1389342, 'lng': 113.1622865}, 'viewport': {'northeast': {'lat': -8.13797527010728, 'lng': 113.1636559298927}, 'southwest': {'lat': -8.140674929892723, 'lng': 113.1609562701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali sejuk purwosono,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112843179953864581657"">A Google User</a>'], 'photo_reference': 'AUGGfZmJZ0UznhOQ37goMGmeZa6ud3y02qDNsHaWOpn8eamu78VyPsINRdicEyV8wOBuY9NOVVxU1kkjS16sDgc-78TlFyP-Pa2zkHQaZzJyHKa6Gc8VXyRbEWZ4p26g7QhhLJ13e2FHXY0eNl6fUrssnCHj4g5u9LStZgOpwGKDJXtpi4sB', 'width': 1080}]",ChIJK4LdtF1p1i0RdZzmINCFBws,"{'compound_code': 'V566+CW Purwosono, Lumajang Regency, East Java, Indonesia', 'global_code': '6P3MV566+CW'}",4.4,ChIJK4LdtF1p1i0RdZzmINCFBws,"['tourist_attraction', 'point_of_interest', 'establishment']",281,,https://www.google.com/maps/place/?q=place_id:ChIJK4LdtF1p1i0RdZzmINCFBws
OPERATIONAL,"R5VQ+278, Krobyoan, Mojosari, Sumbersuko, Lumajang Regency, East Java 67316, Indonesia","{'location': {'lat': -8.1574511, 'lng': 113.1882038}, 'viewport': {'northeast': {'lat': -8.156066820107277, 'lng': 113.1895594798927}, 'southwest': {'lat': -8.158766479892721, 'lng': 113.1868598201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,POKMAS MBAH RINGGIT,,,ChIJ_dptiglp1i0RY1khPAeP1Zk,,0.0,ChIJ_dptiglp1i0RY1khPAeP1Zk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ_dptiglp1i0RY1khPAeP1Zk
OPERATIONAL,"V57R+999, Perjuangan, Petahunan, Sumbersuko, Lumajang Regency, East Java 67316, Indonesia","{'location': {'lat': -8.136593099999999, 'lng': 113.1909863}, 'viewport': {'northeast': {'lat': -8.135270970107278, 'lng': 113.1923061298927}, 'southwest': {'lat': -8.137970629892722, 'lng': 113.1896064701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,POKMAS MAJU MAPAN,,,ChIJV3LT6ztp1i0RidvzNO7InUs,,0.0,ChIJV3LT6ztp1i0RidvzNO7InUs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJV3LT6ztp1i0RidvzNO7InUs
OPERATIONAL,"V58P+H9, Sawah, Purwosono, Kec. Sumbersuko, Kabupaten Lumajang, Jawa Timur, Indonesia","{'location': {'lat': -8.1335152, 'lng': 113.1859042}, 'viewport': {'northeast': {'lat': -8.131839170107279, 'lng': 113.1868092298927}, 'southwest': {'lat': -8.134538829892723, 'lng': 113.1841095701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali dadap,,,ChIJLXfVuPZp1i0R3d0SWCrARK4,,5.0,ChIJLXfVuPZp1i0R3d0SWCrARK4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJLXfVuPZp1i0R3d0SWCrARK4
OPERATIONAL,"V623+GCR, Jalan Raya, Gedongsari, Labruk Kidul, Kec. Sumbersuko, Kabupaten Lumajang, Jawa Timur 67316, Indonesia","{'location': {'lat': -8.1487817, 'lng': 113.2034554}, 'viewport': {'northeast': {'lat': -8.147427520107277, 'lng': 113.2047959298927}, 'southwest': {'lat': -8.15012717989272, 'lng': 113.2020962701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Basecamp Rakyat Alam,{'open_now': False},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117382074201641740483"">A Google User</a>'], 'photo_reference': 'AUGGfZmiswTKZuZchKMsxtvyKdusxhc8cAoCsf4Ys5BgSEmy6-qnxxHQgz2sPAPdq7sfiidrg2GxfZgzvKQrXFYwwN4dJjj2XJO_uMiWm_9JNxNKiMJR396Y9GFis6QHWtKfG5kiT7c8yWVv0HXh8bnEPP6PPWaDdozh5ylVgOrFeVvvyDp-', 'width': 1200}]",ChIJeZkDTaRn1i0Rf7RSq-1tGXY,,4.0,ChIJeZkDTaRn1i0Rf7RSq-1tGXY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJeZkDTaRn1i0Rf7RSq-1tGXY
OPERATIONAL,"V55F+P5G, Jl. Pemandian, Selokambang, Purwosono, Kec. Sumbersuko, Kabupaten Lumajang, Jawa Timur 67316, Indonesia","{'location': {'lat': -8.1406975, 'lng': 113.1729468}, 'viewport': {'northeast': {'lat': -8.139023020107276, 'lng': 113.1744344798927}, 'southwest': {'lat': -8.14172267989272, 'lng': 113.1717348201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GRAHA USAHA INOVASI DESA PURWOSONO,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104331378293498479201"">A Google User</a>'], 'photo_reference': 'AUGGfZmNo9LF98EtjaqdxUhx8b29sg_cEX4i7NifR8NN5kNRAwAOqd-owrj9jrQjEkuMXjzgk-_LZ2KZF_4WuggIR9K-hxu-pmVqGHhfHU5NhK5cb94owTOfednKBr-rNoe_NkS5efCJ5uWRo4UatcpyeYMHSC42TIJzajRqwr4v6ngTIHgm', 'width': 3264}]",ChIJAWLbsk1p1i0RDy4DXb1GtwU,,5.0,ChIJAWLbsk1p1i0RDy4DXb1GtwU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJAWLbsk1p1i0RDy4DXb1GtwU
OPERATIONAL,"Pemandian Alam Selokambang, Pancen, Purwosono, Kec. Sumbersuko, Kabupaten Lumajang, Jawa Timur 67316, Indonesia","{'location': {'lat': -8.1424898, 'lng': 113.173332}, 'viewport': {'northeast': {'lat': -8.141123220107277, 'lng': 113.1747610798927}, 'southwest': {'lat': -8.143822879892722, 'lng': 113.1720614201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Guide purwosono,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104331378293498479201"">A Google User</a>'], 'photo_reference': 'AUGGfZlqwI6IG6wH4btAO2YeuRPQWniQcRzzylmbdAdYuVn-mowZH9xq2zT6120vtAD4DiZh5u0TosgycJyhPNsC2ycJFteHNkhi7YzLf_HuK2MiabwbqpCgLyWLNHbVaTGhTSNRicIuZQ0Rry8YHn2wvY7VXu2qSA3dM8DMOsYx78ZcmxNy', 'width': 4000}]",ChIJp9OI5lNp1i0RDLKWHya3SZU,"{'compound_code': 'V55F+28 Purwosono, Lumajang Regency, East Java, Indonesia', 'global_code': '6P3MV55F+28'}",5.0,ChIJp9OI5lNp1i0RDLKWHya3SZU,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJp9OI5lNp1i0RDLKWHya3SZU
OPERATIONAL,"Selokambang, Sentul, Sumbersuko, Lumajang Regency, East Java 67316, Indonesia","{'location': {'lat': -8.152426, 'lng': 113.1639366}, 'viewport': {'northeast': {'lat': -8.151074070107278, 'lng': 113.1652827298927}, 'southwest': {'lat': -8.153773729892722, 'lng': 113.1625830701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali Asem Tubing Adventure,{'open_now': False},"[{'height': 899, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104880725415634309399"">Chip Cell</a>'], 'photo_reference': 'AUGGfZkO8PlF-2_a8Gaz2vCtsiUqgBJYxS-vJFea9j1-6RHIdsBtzs4s-GSozYetEldc1iuKjcX5lMxM66qzQu9_d3LWQXoUSPFjKs1nej_TJ4xI0q3G7owVArFueF1mKCm5AiQgrGEwUitwIZzMR6CAzFaYT0iyL0aBM50In6COJCh-718g', 'width': 1599}]",ChIJHVwQvIhp1i0Rct37r65ate8,"{'compound_code': 'R5X7+2H Sentul, Selokambang, Lumajang Regency, East Java, Indonesia', 'global_code': '6P3MR5X7+2H'}",4.3,ChIJHVwQvIhp1i0Rct37r65ate8,"['tourist_attraction', 'point_of_interest', 'establishment']",15,,https://www.google.com/maps/place/?q=place_id:ChIJHVwQvIhp1i0Rct37r65ate8
OPERATIONAL,"Jl. Letkol Slamet Wardoyo No.10, Jurang Mangu, Labruk Kidul, Kec. Sumbersuko, Kabupaten Lumajang, Jawa Timur 67316, Indonesia","{'location': {'lat': -8.1426451, 'lng': 113.2061646}, 'viewport': {'northeast': {'lat': -8.141309120107278, 'lng': 113.2075369298927}, 'southwest': {'lat': -8.144008779892722, 'lng': 113.2048372701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali laban dam kapit,{'open_now': True},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100357690530038455942"">A Google User</a>'], 'photo_reference': 'AUGGfZlF9F1VVmTSGwxgfr3txx87KZA4A6Yr8NxHrwqjMZJwor2Q50f-HxOUGLeSziAk3elUNk3YM2tvD9m3NRktSYlLh42qxNXjp8hc6vxT3BMg552V2dBfzKo82zgLRk-KFCfR2dq6C8AgTt0SFP0VFs0eqM_VUnIVc3wUyT34TgOU5rR8', 'width': 4608}]",ChIJv-ojEehn1i0RN6S9rAZFqLo,"{'compound_code': 'V644+WF Labruk Kidul, Lumajang Regency, East Java, Indonesia', 'global_code': '6P3MV644+WF'}",4.9,ChIJv-ojEehn1i0RN6S9rAZFqLo,"['tourist_attraction', 'point_of_interest', 'establishment']",10,,https://www.google.com/maps/place/?q=place_id:ChIJv-ojEehn1i0RN6S9rAZFqLo
