business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Jl. Tabang, Bolong, Kec. Walenrang Utara, Kabupaten Luwu, Sulawesi Selatan 91951, Indonesia","{'location': {'lat': -2.8332827, 'lng': 120.1227582}, 'viewport': {'northeast': {'lat': -2.831993420107278, 'lng': 120.1241209798928}, 'southwest': {'lat': -2.834693079892722, 'lng': 120.1214213201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bawah Pohon,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104153733508515419961"">A Google User</a>'], 'photo_reference': 'AUGGfZkQYV1ramml7Va7dhAKHX7ch9iVXf_dTA3w0Km-55kisXf0kKoSdW1wgXOWKW9SyOIIt6-V5gcrTM9d7c5Gkaj0QQNuYbKMzKiN_yHWOJmdJSd5WZ7hxK2pV94X4va8BtX-LvQRBA1EtgxP_JBB0G6SP_daQsupPu9MeWSzIEd7rRad', 'width': 4000}]",ChIJ-2OuYbDZky0Ro9D7ITh52Ag,"{'compound_code': '548F+M4 Bolong, Luwu Regency, South Sulawesi, Indonesia', 'global_code': '6Q92548F+M4'}",5.0,ChIJ-2OuYbDZky0Ro9D7ITh52Ag,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJ-2OuYbDZky0Ro9D7ITh52Ag
OPERATIONAL,"5479+RFQ, Jl. Tabang, Bolong, Kec. Walenrang Utara, Kabupaten Luwu, Sulawesi Selatan 91951, Indonesia","{'location': {'lat': -2.8354185, 'lng': 120.1187359}, 'viewport': {'northeast': {'lat': -2.8332912, 'lng': 120.1202647798927}, 'southwest': {'lat': -2.8361276, 'lng': 120.1175651201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Ikan,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105814042659974121825"">A Google User</a>'], 'photo_reference': 'AUGGfZnvsLGusGcmuIoAEKEjKGjgP0i0TqCUz7nFcWmD5-ZA4MMqDTgzH4JI1rN-BddQLVgK8NGLy73CjhOi39j1x-38rK-1TF4rfqjfgzQOaR9fJ9NT3KXoDkQ936m6Ydq2RHlaXEnoKncuzuDPPCXTO7boWWMqRZ1Dm3mPyMiUU6jRnLHt', 'width': 3120}]",ChIJHR3PYZjZky0R1Pd1Z8lCcDk,,0.0,ChIJHR3PYZjZky0R1Pd1Z8lCcDk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJHR3PYZjZky0R1Pd1Z8lCcDk
OPERATIONAL,"545H+CF9, Bulo, Walenrang, Luwu Regency, South Sulawesi 91951, Indonesia","{'location': {'lat': -2.8414524, 'lng': 120.1287201}, 'viewport': {'northeast': {'lat': -2.839918670107277, 'lng': 120.1300777298927}, 'southwest': {'lat': -2.842618329892722, 'lng': 120.1273780701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KANDANG PABUNTANG,,,ChIJ1VxfHADZky0Rv6qohI8UG2E,,0.0,ChIJ1VxfHADZky0Rv6qohI8UG2E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ1VxfHADZky0Rv6qohI8UG2E
OPERATIONAL,"744R+6G, Salutubu, Walenrang Utara, Luwu Regency, South Sulawesi, Indonesia","{'location': {'lat': -2.74444, 'lng': 120.1413124}, 'viewport': {'northeast': {'lat': -2.743300970107277, 'lng': 120.1429056298927}, 'southwest': {'lat': -2.746000629892722, 'lng': 120.1402059701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mandian sungai,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112317903664203013400"">Boodaz Poolau</a>'], 'photo_reference': 'AUGGfZntxt-Xc6BMJqA8ltPKL_64UpLzQ8DzY_18ecXRXDhVo_smjh_NzbZ7LGRJuJCtAUQR8O88Mmm87PXqROBdn39ZLJ8dgf9LNwrZSQvy4mW5TK03QGRDUjm1z_z89qzhSoGRlPVFUBuM7tqbR_sU0-ajpyGqjqSFMwdj2xFQem_BEVr6', 'width': 4160}]",ChIJnZSGMgDVky0Rt0UV776i9Wc,,4.0,ChIJnZSGMgDVky0Rt0UV776i9Wc,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJnZSGMgDVky0Rt0UV776i9Wc
OPERATIONAL,"54G7+V3W, Bosso, Walenrang Utara, Luwu Regency, South Sulawesi, Indonesia","{'location': {'lat': -2.8227558, 'lng': 120.1127167}, 'viewport': {'northeast': {'lat': -2.821524020107278, 'lng': 120.1141076298927}, 'southwest': {'lat': -2.824223679892723, 'lng': 120.1114079701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Permandian Alam Makawa,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114305949306168577529"">A Google User</a>'], 'photo_reference': 'AUGGfZmtIS5bpo0FnMyFnt_bGIJviTjUgq-xALGvuzKc23FrjuRCt7XIqqtw2wp5EQzPP9geibq2aT5Saxj9rcUs62ZX4iL7hk0tMeK4_j0AO1thtcsagWKynCn8AFaiR8PAyUX6iAtl8jSMHqGR6FD1nazeoidDLCBH9pVKElFMjmxwpKCy', 'width': 405}]",ChIJ8ba27L3Zky0RSXmbXIFJpzQ,,4.0,ChIJ8ba27L3Zky0RSXmbXIFJpzQ,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJ8ba27L3Zky0RSXmbXIFJpzQ
OPERATIONAL,"537J+3G, Sangtandung, Walenrang Utara, Luwu Regency, South Sulawesi, Indonesia","{'location': {'lat': -2.837284, 'lng': 120.0812792}, 'viewport': {'northeast': {'lat': -2.835934170107278, 'lng': 120.0826290298927}, 'southwest': {'lat': -2.838633829892722, 'lng': 120.0799293701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Limbong Buta,,"[{'height': 3748, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102339272205870881924"">A Google User</a>'], 'photo_reference': 'AUGGfZns18AcefHWlYJb2--UQ9uRryRKyjpoYIeTsLnivGIGcBwxO5cM2g9yGI5zZryFMa_pIsncXx5CHgtDdxIps__zBS1JRYOi6OFwgiGSZKJ2ZmWo1uPm-rrPXbjjG2OZ-3MN0j9jW0ouoZZH1DYKtBNKvPsz0OspDSOs4hRyEohxZvnO', 'width': 2968}]",ChIJFQW7bznZky0RFVddRRLGPgk,,5.0,ChIJFQW7bznZky0RFVddRRLGPgk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJFQW7bznZky0RFVddRRLGPgk
OPERATIONAL,"54G7+VM4, Bosso, Walenrang Utara, Luwu Regency, South Sulawesi, Indonesia","{'location': {'lat': -2.822861, 'lng': 120.1142077}, 'viewport': {'northeast': {'lat': -2.821801620107277, 'lng': 120.1154311798927}, 'southwest': {'lat': -2.824501279892722, 'lng': 120.1127315201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai makawa,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105300705773510303697"">Andi Dirgahayu</a>'], 'photo_reference': 'AUGGfZlDeJZ1sA8Wpcy6DUebyieYuNkzddL97shRvmfzt6ByCjUxZCwdbIYyt4RHk23xga_HdhEXftmgWoO3LAYswVCnx271cDdxrdBZ66d65nosRhZnhpwMEGt3y1drMMDOEED-P9SeWSw5lrXIeDxlWdZPolObq9ldl9gWFcTKXQZTN9G5', 'width': 3120}]",ChIJ2a77PMvZky0RhjCkjt__Z20,,0.0,ChIJ2a77PMvZky0RhjCkjt__Z20,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ2a77PMvZky0RhjCkjt__Z20
OPERATIONAL,"63QH+VPW, Unnamed Road, Siteba, Kec. Walenrang Utara, Kabupaten Luwu, Sulawesi Selatan 91952, Indonesia","{'location': {'lat': -2.7602621, 'lng': 120.0793294}, 'viewport': {'northeast': {'lat': -2.758629970107277, 'lng': 120.0803872798927}, 'southwest': {'lat': -2.761329629892722, 'lng': 120.0776876201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun Andulan,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113818933034506611987"">Afriyadi Iyt</a>'], 'photo_reference': 'AUGGfZk0WgOYdzVi3fmhZLtganhRPYc3yNzYdKKUzjt-DlJqcw8RCtWITk6CRtqOx7ejuwhJlGNqhuOiIhKTFczcct6oY3ZAvgCRAw_evJonxrYIfHkrOPHa_yUt2hvfQrZ4U0KpIURNr67FegiPZeXe5sjUf9l3x1NUvoEjVJhqwx1GcYGG', 'width': 2448}]",ChIJJ_0rQ6_Xky0RUV0GAjFhcTU,,4.8,ChIJJ_0rQ6_Xky0RUV0GAjFhcTU,"['tourist_attraction', 'point_of_interest', 'establishment']",8,,https://www.google.com/maps/place/?q=place_id:ChIJJ_0rQ6_Xky0RUV0GAjFhcTU
OPERATIONAL,"8533+97X, Kalotok, Sabbang, North Luwu Regency, South Sulawesi 91952, Indonesia","{'location': {'lat': -2.6965197, 'lng': 120.1532244}, 'viewport': {'northeast': {'lat': -2.695169870107278, 'lng': 120.1545742298928}, 'southwest': {'lat': -2.697869529892722, 'lng': 120.1518745701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sarambualla,,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107121841070798032273"">Jusman Lee</a>'], 'photo_reference': 'AUGGfZkjcBZdSJyllHtJmATwIKoEuNgXoE8_KvVrJ-Iw8BPb5hCQ8oKv2Nzwc0FswoV0flc4Sc3b3_ziTLnUk8RyA86ANhj-y5EMCoHvT7ntzlj-3kqyW-3p52LFcJxrfkF4cfgqi0HwNM6Kx2jVQpbMabmzp-pSwN4pQbEMpUXYx6hyNCEA', 'width': 3096}]",ChIJVVVVVSl-kS0RjHAQ4ucYxzU,,4.3,ChIJVVVVVSl-kS0RjHAQ4ucYxzU,"['tourist_attraction', 'point_of_interest', 'establishment']",52,,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVSl-kS0RjHAQ4ucYxzU
OPERATIONAL,"43W6+V83, Ilan Batu, West Walenrang, Luwu Regency, South Sulawesi, Indonesia","{'location': {'lat': -2.8528531, 'lng': 120.0608103}, 'viewport': {'northeast': {'lat': -2.851904320107277, 'lng': 120.0621091798927}, 'southwest': {'lat': -2.854603979892722, 'lng': 120.0594095201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai simbuang,,,ChIJ2R-cL-bbky0RgJGIVnTxjdI,,0.0,ChIJ2R-cL-bbky0RgJGIVnTxjdI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ2R-cL-bbky0RgJGIVnTxjdI
