business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Pandu No.01, Kauman, Kec. Karangrejo, Kabupaten Magetan, Jawa Timur 63395, Indonesia","{'location': {'lat': -7.5556543, 'lng': 111.4327275}, 'viewport': {'northeast': {'lat': -7.554312470107277, 'lng': 111.4341104298927}, 'southwest': {'lat': -7.557012129892721, 'lng': 111.4314107701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"MALIKA ""MALIOBORO KAUMAN""",{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101247204789770204467"">A Google User</a>'], 'photo_reference': 'AUGGfZnSxYFdJSXVhyHm8e_Mx18cXyXDO7Avf6zXCv0o9K9H5-fqYIfZ0BoqMLYejn6PpOi-yr-Z-MN3Xv4rcEQdhhZgNYNmIvZJyHMpVmFSnCAM27ZydqhogeqZyPHrvKeF2r8MyyQp8efHHRN9xZFSf1ecWqP35eaV4adw9GWlk5ydralZ', 'width': 1920}]",ChIJGbzceL_reS4RszvqxATCxH0,"{'compound_code': 'CCVM+P4 Kauman, Magetan Regency, East Java, Indonesia', 'global_code': '6P4HCCVM+P4'}",5.0,ChIJGbzceL_reS4RszvqxATCxH0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJGbzceL_reS4RszvqxATCxH0
OPERATIONAL,"Jl. Raya sentul, Pandean, Randugede, Kec. Plaosan, Kabupaten Magetan, Jawa Timur 63361, Indonesia","{'location': {'lat': -7.6897522, 'lng': 111.2901784}, 'viewport': {'northeast': {'lat': -7.688350370107277, 'lng': 111.2916430298927}, 'southwest': {'lat': -7.691050029892721, 'lng': 111.2889433701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Randugede Hidden Paradise,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110839264135493657638"">Rofiana Komalasari</a>'], 'photo_reference': 'AUGGfZlYXS5UviGkFovaHllH5RUfuv5suGl8JgYBvldExTDzsaz2j9mTVL6OVZGjCH2-E67xO-qj_KG3gwMj4f6_LncA3K9rK2VnY14A5EjX4Qze6GbT6jFjhip0DS-5UgsWY-yaiefoAo2MJ3Lz2Y2w2aDG6BCOls4c4ZYpKnEA4FMU09u3', 'width': 4608}]",ChIJLbCNe--ReS4RMp2JX3T9Ya4,"{'compound_code': '876R+33 Randugede, Magetan Regency, East Java, Indonesia', 'global_code': '6P4H876R+33'}",4.2,ChIJLbCNe--ReS4RMp2JX3T9Ya4,"['tourist_attraction', 'point_of_interest', 'establishment']",389,https://www.google.com/maps/place/?q=place_id:ChIJLbCNe--ReS4RMp2JX3T9Ya4
OPERATIONAL,"CCJ2+7J7, Gentong, Geplak, Kec. Karas, Kabupaten Magetan, Jawa Timur 63395, Indonesia","{'location': {'lat': -7.5693489, 'lng': 111.4015496}, 'viewport': {'northeast': {'lat': -7.568508170107278, 'lng': 111.4027510298927}, 'southwest': {'lat': -7.571207829892722, 'lng': 111.4000513701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dung Mbud,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105244711095036746932"">Akhmad Yusuf</a>'], 'photo_reference': 'AUGGfZn8W0uNrTOR05NPZH6xTncZ7e6fE7aSUlkVAnkVGdGu9fSF4EUcpIB-CPmRk3GLCYMqPsFI34yc8luRCn3eJeZZk0Bx8vAkUNBASRWmbzraDPAe4m6lPeYzNz2FsMQ90RmgSvRbRRLauf8jLSD9dQh5WDrj-Mi_IAHBQj67yF1FP08h', 'width': 4160}]",ChIJY9MAkQrreS4REfDQnMzKuiY,,4.4,ChIJY9MAkQrreS4REfDQnMzKuiY,"['tourist_attraction', 'point_of_interest', 'establishment']",50,https://www.google.com/maps/place/?q=place_id:ChIJY9MAkQrreS4REfDQnMzKuiY
OPERATIONAL,"88Q7+3R8, Unnamed Road, Jeruk, Candirejo, Kec. Magetan, Kabupaten Magetan, Jawa Timur 63319, Indonesia","{'location': {'lat': -7.662341, 'lng': 111.3145877}, 'viewport': {'northeast': {'lat': -7.660940520107279, 'lng': 111.3159509798927}, 'southwest': {'lat': -7.663640179892723, 'lng': 111.3132513201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jejeruk DAM - Magetan,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110312871216332609109"">catur ibnu saputro</a>'], 'photo_reference': 'AUGGfZlb3O7lRGGsF2uNfg8q1VARRuSaKyJQnonOfA24wnuXcY_YniAO7SXZdiys07mMozIcFN_o4Namz4MO3tw5jFzOcIQ07O2CsZS-KdO4udL0xDp4CezibITGHeCQT66fBwDbCxwfYat3w0kmakwoY5uvGAhkT5R62-shGzCvt8HDNK2O', 'width': 3264}]",ChIJXbV-wyaSeS4RWIbVLMj8RvE,,4.4,ChIJXbV-wyaSeS4RWIbVLMj8RvE,"['tourist_attraction', 'point_of_interest', 'establishment']",149,https://www.google.com/maps/place/?q=place_id:ChIJXbV-wyaSeS4RWIbVLMj8RvE
OPERATIONAL,"CCW6+V4H, Kutu, Kauman, Kec. Karangrejo, Kabupaten Magetan, Jawa Timur 63395, Indonesia","{'location': {'lat': -7.5528178, 'lng': 111.4103665}, 'viewport': {'northeast': {'lat': -7.55147657010728, 'lng': 111.4117468798927}, 'southwest': {'lat': -7.554176229892724, 'lng': 111.4090472201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Panti Pijat (Massage) Pak Narno,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106654103862850746214"">rachmad ardiansyah</a>'], 'photo_reference': 'AUGGfZkB0mqQ9Y4dQoY2CS8a8PgomVVuu-UWXZAW8Ea1TDXDppL2F7ShsWkBRhd5nD1HN1FG6Ns-6R97mFb3jiwlAMh4WD979TCtlA_0n5FonaLVnKtMUefJ5EjhnIejmU_GQiaqJv66iZh0X3R9bFfOj2TB0gdRIGj4KN8zboFSgsz3eh76', 'width': 1920}]",ChIJZeXcuS7reS4RUmxczJ64hQA,,4.8,ChIJZeXcuS7reS4RUmxczJ64hQA,"['tourist_attraction', 'point_of_interest', 'establishment']",17,https://www.google.com/maps/place/?q=place_id:ChIJZeXcuS7reS4RUmxczJ64hQA
OPERATIONAL,"89VG+JH, Ngranget, Tamanan, Kec. Sukomoro, Kabupaten Magetan, Jawa Timur 63391, Indonesia","{'location': {'lat': -7.6556152, 'lng': 111.3764333}, 'viewport': {'northeast': {'lat': -7.654262370107277, 'lng': 111.3777411298927}, 'southwest': {'lat': -7.656962029892721, 'lng': 111.3750414701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata kebun Jeruk Griya Inggil Rososiro,{'open_now': False},"[{'height': 1472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102914953886427971367"">siti mukhodimah Wilistiyani</a>'], 'photo_reference': 'AUGGfZllst_TnwIACjL_rihH1W2H8i3rQwwFcPKOnSf33pI8gq_mvO-8SUGzRGNaoG00p1I53MC5eLxGzJNCOsMvGR3LjfXMEPDkW7niBC4pNSMnB9KLjedTiCfSNPI9KRc2NocATtCkB7NVyN02axTludZkYE9SatS4TgtF0hayAxIO2tTL', 'width': 3264}]",ChIJp-osAumTeS4RMLz9n4RBZlE,,4.5,ChIJp-osAumTeS4RMLz9n4RBZlE,"['tourist_attraction', 'point_of_interest', 'establishment']",14,https://www.google.com/maps/place/?q=place_id:ChIJp-osAumTeS4RMLz9n4RBZlE
OPERATIONAL,"99W2+9FP, Menggolo, Truneng, Kec. Sukomoro, Kabupaten Magetan, Jawa Timur 63391, Indonesia","{'location': {'lat': -7.6040257, 'lng': 111.3511884}, 'viewport': {'northeast': {'lat': -7.602620470107279, 'lng': 111.3525645298927}, 'southwest': {'lat': -7.605320129892723, 'lng': 111.3498648701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agrotourism Magetan Green Garden,{'open_now': False},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114368538936134189763"">Jauhar Mufid</a>'], 'photo_reference': 'AUGGfZlncqPtVv6fDNDUCiNtD5lfA5EIBPkj79CDz5VS_x3z8S3LEna-qgR3AV01QgiMmHfF4b6CKOIzvPeASguncUSsPaHezSkRSx7sy3l6SlNXpNOkokafqUlzRbcwIz0NJax6i0b3-aiOcu76U4oaqsSZYfVB3v-hZvnrsBdGBQMpKXPY', 'width': 3456}]",ChIJR3QBwhWTeS4R0rzT5kyuWcM,,4.1,ChIJR3QBwhWTeS4R0rzT5kyuWcM,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",440,https://www.google.com/maps/place/?q=place_id:ChIJR3QBwhWTeS4R0rzT5kyuWcM
OPERATIONAL,"87GR+8GQ, Unnamed Road, Nitikan, Plaosan, Magetan Regency, East Java 63361, Indonesia","{'location': {'lat': -7.674161400000001, 'lng': 111.2913597}, 'viewport': {'northeast': {'lat': -7.672788170107277, 'lng': 111.2926959798927}, 'southwest': {'lat': -7.675487829892721, 'lng': 111.2899963201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Kelen Magetan,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102282002005114421163"">Derva Olvan</a>'], 'photo_reference': 'AUGGfZnXZagwSOAUbUiOPBT_XAaIRu80gL3veLINNW7-3C1b_GgMvqVm-gBDKGW2hBbFaumrrHbtILn26NlBsV_wN0knO8AF2M7CRj3LmGBcygCjIg494dsWuoex29aCn-V9hCSNlN0x9Hqn5JiCFenUBn8rHKs5K7q6sf6dyM0KmCfzHfC6', 'width': 4608}]",ChIJy_Y8mbOReS4RFADmISREcs8,,4.4,ChIJy_Y8mbOReS4RFADmISREcs8,"['tourist_attraction', 'point_of_interest', 'establishment']",32,https://www.google.com/maps/place/?q=place_id:ChIJy_Y8mbOReS4RFADmISREcs8
OPERATIONAL,"9C76+JP7, RT./Rw/RW.16/03, Duwet, Kec. Bendo, Kabupaten Magetan, Jawa Timur 63384, Indonesia","{'location': {'lat': -7.635977899999999, 'lng': 111.4118398}, 'viewport': {'northeast': {'lat': -7.634624720107276, 'lng': 111.4131812798927}, 'southwest': {'lat': -7.63732437989272, 'lng': 111.4104816201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Duwet,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102066598003539402095"">A Google User</a>'], 'photo_reference': 'AUGGfZkpwuP0F1bkjD3tdligIiYl-qLizIxEpC8BOQ2osQ1q1R3weeR4q2s2h9pSXFqHYRvscSLccdRoRFY-8Rys8o2Pw3eF87PChGn1qvdWTp61lrwnz5d9ebiXBFKHayFDE6Ad3ig_a1ggnrLNBsgLOltPrdyaMloV0GUzPlTwUW7fzkPH', 'width': 3264}]",ChIJjZLaKA2VeS4RKFzeFhhgyqQ,,4.7,ChIJjZLaKA2VeS4RKFzeFhhgyqQ,"['tourist_attraction', 'point_of_interest', 'establishment']",7,https://www.google.com/maps/place/?q=place_id:ChIJjZLaKA2VeS4RKFzeFhhgyqQ
OPERATIONAL,"87GR+9F4, Nitikan, Kec. Plaosan, Kabupaten Magetan, Jawa Timur 63361, Indonesia","{'location': {'lat': -7.6740868, 'lng': 111.2912045}, 'viewport': {'northeast': {'lat': -7.672786170107279, 'lng': 111.2925776798927}, 'southwest': {'lat': -7.675485829892723, 'lng': 111.2898780201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wahana kelen,{'open_now': False},"[{'height': 3557, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105519723942075588335"">aldi zaenal</a>'], 'photo_reference': 'AUGGfZlkKOF65-WdSM4Bg220kWjiv0XB5kqYQ3yHzuYJZXTWpn-AUzIJiTLkQOK9mHmCyVr5CjLsW3_I-YqsxwUGWTGyxfTB8YvEhzCkK6ml0TA4HHZkWFWscmsx3hMBBW9CWnGbQ4OuSR2scCST15nGWp7DP633ZvcxhlZF6lBAuTFbeVTl', 'width': 2667}]",ChIJn1Fy4wKReS4RKHQVSWVHexo,,4.0,ChIJn1Fy4wKReS4RKHQVSWVHexo,"['tourist_attraction', 'point_of_interest', 'establishment']",2,https://www.google.com/maps/place/?q=place_id:ChIJn1Fy4wKReS4RKHQVSWVHexo
