business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,photos,plus_code,permanently_closed,url
OPERATIONAL,"M776+J2F, Batu Majang, Long Bagun, Mahakam Ulu Regency, East Kalimantan 75767, Indonesia","{'location': {'lat': 0.6640691, 'lng': 115.2600506}, 'viewport': {'northeast': {'lat': 0.6654189298927222, 'lng': 115.2614004298928}, 'southwest': {'lat': 0.6627192701072777, 'lng': 115.2587007701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Besar,{'open_now': True},ChIJDZjYHABJBjIRmmrUth1CJ98,0.0,ChIJDZjYHABJBjIRmmrUth1CJ98,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJDZjYHABJBjIRmmrUth1CJ98
OPERATIONAL,"H52X+8G, Long Bagun Ulu, Long Bagun, Mahakam Ulu Regency, East Kalimantan, Indonesia","{'location': {'lat': 0.5508566, 'lng': 115.1987998}, 'viewport': {'northeast': {'lat': 0.5547154999999999, 'lng': 115.2018142}, 'southwest': {'lat': 0.5495703000000001, 'lng': 115.197795}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Kahang Hunge Buyang,,ChIJn0MKIMJLBjIRrge3qJSF8DA,5.0,ChIJn0MKIMJLBjIRrge3qJSF8DA,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108589303804986248968"">innal</a>'], 'photo_reference': 'AUGGfZkWJ9iEjSvAcn-RWAuylfwBtXlGT4lGef5iIuzdW34Q_tcCpYHL8YSKT10hbObhPzWGVb4LRW3gzwQVnVcYYfv4VSXrqJm4qj-fGpwv8OR1Lz3G57szV2lcRlUNVPOp2GJEtjeYs9JHT8pGKe1W_OvzjvniyrSxMX_sqhMRYGBRyAFN', 'width': 2250}]",,,https://www.google.com/maps/place/?q=place_id:ChIJn0MKIMJLBjIRrge3qJSF8DA
OPERATIONAL,"F7CJ+JF, Ujoh Bilang, Long Bagun, Mahakam Ulu Regency, East Kalimantan, Indonesia","{'location': {'lat': 0.4715625, 'lng': 115.2811875}, 'viewport': {'northeast': {'lat': 0.4729811500000001, 'lng': 115.28227925}, 'southwest': {'lat': 0.4673065499999999, 'lng': 115.27791225}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Dinding Long Melaham,,ChIJX2IBomK3BzIRV0xUAh1iCXQ,5.0,ChIJX2IBomK3BzIRV0xUAh1iCXQ,"['tourist_attraction', 'point_of_interest', 'establishment']",10,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115854061222221497884"">A Google User</a>'], 'photo_reference': 'AUGGfZnRhUr3nGrv2V-oIy7QAaP8eakMIXfB7GS3ItIJi5VLAjUrHchN02qI3OwDxfoFWnJ7dIlTy3q6mh33lxuUwJW-L717V4S3q9Z0pHQPyy31qGiMWisWk_G-ndgGOPogfoA0QFNLtKl3xu8Hj-LJP2Q9zui5CUH9oATrThXilLcYfPbf', 'width': 720}]",,,https://www.google.com/maps/place/?q=place_id:ChIJX2IBomK3BzIRV0xUAh1iCXQ
OPERATIONAL,"H49G+77, Long Bagun Ulu, Long Bagun, Mahakam Ulu Regency, East Kalimantan, Indonesia","{'location': {'lat': 0.5681875, 'lng': 115.1256875}, 'viewport': {'northeast': {'lat': 0.5696234798927221, 'lng': 115.1270496798927}, 'southwest': {'lat': 0.5669238201072776, 'lng': 115.1243500201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jantur Jangau,,ChIJUdKHGgtNBjIR20aQvRuD01w,5.0,ChIJUdKHGgtNBjIR20aQvRuD01w,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117660700283516593237"">SAPAR WADI</a>'], 'photo_reference': 'AUGGfZlL0IIkepmWEBjlAaS8BYz5v4vW_lKwqWmijE-_FSLtc_rW0LSOy8Sx_ubzAVakaPKQcJwIrdTROzKzToMOGNsWuqu8TcxPFrGvTRFp9zJbJM_nhic_826tCADMqlnSIcnPWc-XQeyVLnUKU6rXf67SIxcx6mLUsXCfkOExJynrr_vE', 'width': 899}]",,,https://www.google.com/maps/place/?q=place_id:ChIJUdKHGgtNBjIR20aQvRuD01w
OPERATIONAL,"F7Q2+94, Ujoh Bilang, Long Bagun, Mahakam Ulu Regency, East Kalimantan, Indonesia","{'location': {'lat': 0.488426, 'lng': 115.250356}, 'viewport': {'northeast': {'lat': 0.4897758298927221, 'lng': 115.2517058298927}, 'southwest': {'lat': 0.4870761701072777, 'lng': 115.2490061701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Berburu,,ChIJi6NseAC1BzIRKVzCURim_co,0.0,ChIJi6NseAC1BzIRKVzCURim_co,"['park', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJi6NseAC1BzIRKVzCURim_co
OPERATIONAL,"G72C+CQR, RT.14/RW.Tikah, Ujoh Bilang, Kec. Long Bagun, Mahakam Ulu, Kalimantan Timur, Indonesia","{'location': {'lat': 0.5011152999999999, 'lng': 115.2719048}, 'viewport': {'northeast': {'lat': 0.5024651298927221, 'lng': 115.2732546298927}, 'southwest': {'lat': 0.4997654701072777, 'lng': 115.2705549701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Rumah Budayawan Art,,ChIJd7Ok3V21BzIRHtPBog5AP6Q,0.0,ChIJd7Ok3V21BzIRHtPBog5AP6Q,"['park', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJd7Ok3V21BzIRHtPBog5AP6Q
OPERATIONAL,"F6RC+WC, Long Bagun Ilir, Long Bagun, Kabupaten Kutai Barat, East Kalimantan 75767, Indonesia","{'location': {'lat': 0.4923497000000001, 'lng': 115.2210307}, 'viewport': {'northeast': {'lat': 0.4932622798927222, 'lng': 115.2240292}, 'southwest': {'lat': 0.4905626201072777, 'lng': 115.2200312}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Kelekup,,ChIJYz2jRwC1BzIR8Cx7XdK7zAw,4.5,ChIJYz2jRwC1BzIR8Cx7XdK7zAw,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 2352, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113553687204052982075"">mukhlis san</a>'], 'photo_reference': 'AUGGfZlv_IumFhNgE80AkNp9MubPK07mtb2lj2e2990Cu5DxLTjYxBiVi5ba40wPgWFBU0M0f8OrB-I4hsExnt24g7DoMAWU0sVK6i1i8sq1RphSZIITai9W8xpJemltmH0APqY7hRKmzwmvX73iC4DIUHZ2dcNZXQbxlKj2FoBIO9B-LAjK', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJYz2jRwC1BzIR8Cx7XdK7zAw
OPERATIONAL,"Ujoh Bilang, Long Bagun, Mahakam Ulu Regency, East Kalimantan, Indonesia","{'location': {'lat': 0.5011152999999999, 'lng': 115.2719048}, 'viewport': {'northeast': {'lat': 0.5024651298927221, 'lng': 115.2732546298927}, 'southwest': {'lat': 0.4997654701072777, 'lng': 115.2705549701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Hutan belantara,,ChIJ336PBfC1BzIRUJKaQyjDNFQ,0.0,ChIJ336PBfC1BzIRUJKaQyjDNFQ,"['park', 'point_of_interest', 'establishment']",0,"[{'height': 1792, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101277995698402212837"">A Google User</a>'], 'photo_reference': 'AUGGfZnKlO4UxqAFr290BJOfI2vxzIPQqJyu_1fBVsMN2EWpaDsBvGPoaRkld2I11n8x7qngpi5V3G6LwzPD05o5q1k4ptKqJB4SNL5OrZC0Rr3t5mZyrbPENe4PRuXq16kCH6DI8y1UcwPsxDz1ctyOHVcCAci73nEcqrjLs8dq8BzQCZv3', 'width': 828}]","{'compound_code': 'G72C+CQ Ujoh Bilang, Mahakam Ulu Regency, East Kalimantan, Indonesia', 'global_code': '6PGQG72C+CQ'}",,https://www.google.com/maps/place/?q=place_id:ChIJ336PBfC1BzIRUJKaQyjDNFQ
CLOSED_TEMPORARILY,"G72C+CQR, Ujoh Bilang, Long Bagun, Kabupaten Kutai Barat, East Kalimantan 75767, Indonesia","{'location': {'lat': 0.5011152999999999, 'lng': 115.2719048}, 'viewport': {'northeast': {'lat': 0.5024651298927221, 'lng': 115.2732546298927}, 'southwest': {'lat': 0.4997654701072777, 'lng': 115.2705549701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Longmahalam,,ChIJbVcozem1BzIRr5WwdyDw4ZQ,5.0,ChIJbVcozem1BzIRr5WwdyDw4ZQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,True,https://www.google.com/maps/place/?q=place_id:ChIJbVcozem1BzIRr5WwdyDw4ZQ
OPERATIONAL,"P27X+W9, Long Bagun Ulu, Long Bagun, Mahakam Ulu Regency, East Kalimantan, Indonesia","{'location': {'lat': 0.7148223, 'lng': 115.0483822}, 'viewport': {'northeast': {'lat': 0.7161721298927222, 'lng': 115.0497320298928}, 'southwest': {'lat': 0.7134724701072778, 'lng': 115.0470323701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Riam Udang,,ChIJ9VdScwBbBjIRyZKpOkoA0e0,5.0,ChIJ9VdScwBbBjIRyZKpOkoA0e0,"['point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9VdScwBbBjIRyZKpOkoA0e0
OPERATIONAL,"WRP8+3R, Long Tuyoq, Long Pahangai, Mahakam Ulu Regency, East Kalimantan, Indonesia","{'location': {'lat': 0.9352486000000001, 'lng': 114.8171169}, 'viewport': {'northeast': {'lat': 0.9365984298927225, 'lng': 114.8184667298927}, 'southwest': {'lat': 0.9338987701072782, 'lng': 114.8157670701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tepai River,,ChIJHazdOACJBjIR8Iem3bYQwY8,5.0,ChIJHazdOACJBjIR8Iem3bYQwY8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJHazdOACJBjIR8Iem3bYQwY8
OPERATIONAL,"4GW7+2P, Memahak Teboq, Long Hubung, Mahakam Ulu Regency, East Kalimantan, Indonesia","{'location': {'lat': 0.1450152, 'lng': 115.5142571}, 'viewport': {'northeast': {'lat': 0.1463650298927222, 'lng': 115.5156069298927}, 'southwest': {'lat': 0.1436653701072778, 'lng': 115.5129072701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batoq Ba'ang,{'open_now': True},ChIJiRAhyXjlBzIRIRWskprAWg0,0.0,ChIJiRAhyXjlBzIRIRWskprAWg0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJiRAhyXjlBzIRIRWskprAWg0
