business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Leuwikujang, Leuwimunding, Majalengka Regency, West Java 45473, Indonesia","{'location': {'lat': -6.742557499999999, 'lng': 108.3542212}, 'viewport': {'northeast': {'lat': -6.741196420107277, 'lng': 108.3555029298927}, 'southwest': {'lat': -6.743896079892721, 'lng': 108.3528032701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sanghyangdora Campground (Situ Cibaringkeng),{'open_now': True},"[{'height': 1211, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117387083315003712070"">nurisah rustandi</a>'], 'photo_reference': 'AUGGfZl82zltA9V8YmPCXOQQT6PsGex7-Mug-lL80T_DIXHFts3Pe5UtbA79xxFEkcvq_mjueySzeZY36pquP2y0f6g-xvISV_UuljQIF3eTuPXzceD6QJv2JYkN4kpSozGoMMNAYoW9OaPtjM1FR4hOxJSUBSboU9UuzCcZBNF9LDKiIaUL', 'width': 1600}]",ChIJJzxxh5Ehby4RL4BOsiIeVgk,"{'compound_code': '7943+XM Leuwikujang, Majalengka Regency, West Java, Indonesia', 'global_code': '6P5C7943+XM'}",4.6,ChIJJzxxh5Ehby4RL4BOsiIeVgk,"['tourist_attraction', 'point_of_interest', 'establishment']",372,,https://www.google.com/maps/place/?q=place_id:ChIJJzxxh5Ehby4RL4BOsiIeVgk
OPERATIONAL,"Mirat, Leuwimunding, Majalengka Regency, West Java 45473, Indonesia","{'location': {'lat': -6.7378462, 'lng': 108.360678}, 'viewport': {'northeast': {'lat': -6.735998470107278, 'lng': 108.3614354798927}, 'southwest': {'lat': -6.738698129892722, 'lng': 108.3587358201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cadas Gantung,{'open_now': False},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108782319393464241509"">Mukidin Mukidin</a>'], 'photo_reference': 'AUGGfZmIWmExJ5o0h1D5wBLm23Xg6EMzvDxfozJNGTC4SiNwASNfQ712JEgPbPqWInEysHDzqB8LZD7wJd6692TPVlYQt4NJrH0-hQwwO1ByakHLs83ffoAROw6jNHvK-BCMbwzRw2_eJPzJN4GNHeC1d5F2PWXwpPuzy1xMhzNDuRDYZDLg', 'width': 2560}]",ChIJYckByZ4gby4RrNZci122Q-4,"{'compound_code': '7966+V7 Mirat, Majalengka Regency, West Java, Indonesia', 'global_code': '6P5C7966+V7'}",4.2,ChIJYckByZ4gby4RrNZci122Q-4,"['tourist_attraction', 'point_of_interest', 'establishment']",1104,,https://www.google.com/maps/place/?q=place_id:ChIJYckByZ4gby4RrNZci122Q-4
OPERATIONAL,"79C3+FGX, Parungjaya, Leuwimunding, Majalengka Regency, West Java 45473, Indonesia","{'location': {'lat': -6.727948199999999, 'lng': 108.3537369}, 'viewport': {'northeast': {'lat': -6.726307870107278, 'lng': 108.3546433798927}, 'southwest': {'lat': -6.729007529892723, 'lng': 108.3519437201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Keluarga Maun,{'open_now': True},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105321578359205328976"">A Google User</a>'], 'photo_reference': 'AUGGfZmTNZNXTexDS9kXynV9RmyDkXN-N7zk0ROluOc5rm2crpj5LTT0AS7sDJpHZKrRHOTUJsI37t9dq-lYAZeqyYchC5Xxorxi1IRX2lEMYQoGmjQygBXQ1WniX36-2hFMdzwjCDOGsZ2sRK5huebbqwsX1oBhp2ltC28nh-RLkhE9pRue', 'width': 4624}]",ChIJdxQiR87fbi4RNkvNHWdHNyg,,5.0,ChIJdxQiR87fbi4RNkvNHWdHNyg,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJdxQiR87fbi4RNkvNHWdHNyg
OPERATIONAL,"79C3+FGX, Desa parung jaya,blok manis dukuh peundeuy, Parungjaya, Kec. Leuwimunding, Kabupaten Majalengka, Jawa Barat 45473, Indonesia","{'location': {'lat': -6.7290978, 'lng': 108.3531151}, 'viewport': {'northeast': {'lat': -6.727415220107278, 'lng': 108.3540300798927}, 'southwest': {'lat': -6.730114879892722, 'lng': 108.3513304201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KOLAM RENANG WISATA PAGER TOYA,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113235365728212870202"">A Google User</a>'], 'photo_reference': 'AUGGfZlkr-PPvfV7eIznwWzp0HDxr8rctHL9OaetQ4H_1wOy_ca7h_9zq_BdC9UU9GXXUD3_-xKkw0bxB1RDC2GSXr6b_lvKM_oRX1qQf-lPdHFXoTshnY6Zt_h8DeZf4gypSG3GBCerGv3V78ZFPrDfGeBvIxtOGM4FX0l4UK4VLgdhw3zW', 'width': 4000}]",ChIJBZAMrJTfbi4R4hg9pZ6IBJQ,,4.1,ChIJBZAMrJTfbi4R4hg9pZ6IBJQ,"['tourist_attraction', 'point_of_interest', 'establishment']",41,,https://www.google.com/maps/place/?q=place_id:ChIJBZAMrJTfbi4R4hg9pZ6IBJQ
OPERATIONAL,"787X+V48, Mirat, Leuwimunding, Majalengka Regency, West Java, Indonesia","{'location': {'lat': -6.7353445, 'lng': 108.3478277}, 'viewport': {'northeast': {'lat': -6.733994670107278, 'lng': 108.3491775298927}, 'southwest': {'lat': -6.736694329892722, 'lng': 108.3464778701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SITUS MAKAM BELANDA,,,ChIJRz7XQdjfbi4RK_VOxqza8OA,,0.0,ChIJRz7XQdjfbi4RK_VOxqza8OA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJRz7XQdjfbi4RK_VOxqza8OA
OPERATIONAL,"_, Blok Kliwon No.77, RT./RW/RW.002/005, Parungjaya, Kec. Leuwimunding, Kabupaten Majalengka, Jawa Barat, Indonesia","{'location': {'lat': -6.7275798, 'lng': 108.3593639}, 'viewport': {'northeast': {'lat': -6.72673955, 'lng': 108.3604732798927}, 'southwest': {'lat': -6.73010055, 'lng': 108.3577736201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gambang gantung,,,ChIJyc7IU-Pfbi4Rajv7Zp7KxA4,"{'compound_code': '79C5+XP Parungjaya, Majalengka Regency, West Java, Indonesia', 'global_code': '6P5C79C5+XP'}",0.0,ChIJyc7IU-Pfbi4Rajv7Zp7KxA4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJyc7IU-Pfbi4Rajv7Zp7KxA4
OPERATIONAL,"788Q+HJM, Ciparay, Leuwimunding, Majalengka Regency, West Java, Indonesia","{'location': {'lat': -6.7335321, 'lng': 108.3390293}, 'viewport': {'northeast': {'lat': -6.732195620107277, 'lng': 108.3404708798927}, 'southwest': {'lat': -6.734895279892721, 'lng': 108.3377712201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SABA EXOTIC LAND,{'open_now': True},,ChIJj4IYiJnfbi4RKJLgWvN4b4Q,,0.0,ChIJj4IYiJnfbi4RKJLgWvN4b4Q,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJj4IYiJnfbi4RKJLgWvN4b4Q
OPERATIONAL,"786W+9WV, Leuwimunding, Majalengka Regency, West Java 45473, Indonesia","{'location': {'lat': -6.738464, 'lng': 108.3480303}, 'viewport': {'northeast': {'lat': -6.737263620107278, 'lng': 108.3491442298927}, 'southwest': {'lat': -6.739963279892722, 'lng': 108.3464445701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam pemancingan SISGAW,{'open_now': True},"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108187891937860477449"">A Google User</a>'], 'photo_reference': 'AUGGfZnovshcwqK5F22Pa5xMrYS5PnZ2hg2UT49dgWrrXPluzyLDe6H7MscUYAx-whqtfGaK3aq4fl5e3rBM-BggpFixCiIWeHt7PvNhpvesVMWCeRnzCPLW0krICqCMSoZZeSRQCkgqdrKS2mDqGlxuZxbAMQ3IsgI1f_MQhxWSPgY3n14s', 'width': 720}]",ChIJP_q7VqQhby4RQJPXqd8OUNY,,0.0,ChIJP_q7VqQhby4RQJPXqd8OUNY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJP_q7VqQhby4RQJPXqd8OUNY
OPERATIONAL,"68RW+VVC, Mencut, Rajawangi, Kec. Leuwimunding, Kabupaten Majalengka, Jawa Barat 45473, Indonesia","{'location': {'lat': -6.7578198, 'lng': 108.3471357}, 'viewport': {'northeast': {'lat': -6.756478570107277, 'lng': 108.3484551298927}, 'southwest': {'lat': -6.759178229892721, 'lng': 108.3457554701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embung Pangangonan,,,ChIJRx91NwAhby4Rf9EQKkP94jc,,0.0,ChIJRx91NwAhby4Rf9EQKkP94jc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJRx91NwAhby4Rf9EQKkP94jc
OPERATIONAL,"7983+3M, Mirat, Leuwimunding, Majalengka Regency, West Java, Indonesia","{'location': {'lat': -6.7348433, 'lng': 108.3541983}, 'viewport': {'northeast': {'lat': -6.733493470107278, 'lng': 108.3555481298927}, 'southwest': {'lat': -6.736193129892722, 'lng': 108.3528484701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pertigaan cilopang peuntas,,,ChIJiVnJGCLfbi4RqL_RHksmspk,,0.0,ChIJiVnJGCLfbi4RqL_RHksmspk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJiVnJGCLfbi4RqL_RHksmspk
