business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"59PR+JX7, Padaherang, Sindangwangi, Majalengka Regency, West Java 45474, Indonesia","{'location': {'lat': -6.8134589, 'lng': 108.3924277}, 'viewport': {'northeast': {'lat': -6.811847420107277, 'lng': 108.3937732298927}, 'southwest': {'lat': -6.814547079892721, 'lng': 108.3910735701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cikuda Lake,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114190511216428743374"">yumeiho jakarta</a>'], 'photo_reference': 'AUGGfZmx7aAEIVjHwcw7FyXxtVpbH8ZNhywrV_ai0TABI4q9Yxss4XErJ0DLRspZ0ZYSFcnxLxAIWJFHGdIHbiuKyLyAOm_W-G_uLaaJU8zkpkRPN1BSZhZbk2NpiDWPkjK9rzGEmq6lQyRoAN0d6VFgLi46-kPDZDC7P-Stf7wjKf0zPIj0', 'width': 3264}]",ChIJSU0yfIghby4RDRcJ3cD_oMI,4.3,ChIJSU0yfIghby4RDRcJ3cD_oMI,"['tourist_attraction', 'point_of_interest', 'establishment']",276,,,https://www.google.com/maps/place/?q=place_id:ChIJSU0yfIghby4RDRcJ3cD_oMI
OPERATIONAL,"Jl. Dukuh Pasir, Bantaragung, Kec. Sindangwangi, Kabupaten Majalengka, Jawa Barat 45474, Indonesia","{'location': {'lat': -6.823917, 'lng': 108.3819985}, 'viewport': {'northeast': {'lat': -6.822404620107277, 'lng': 108.3831747298927}, 'southwest': {'lat': -6.825104279892721, 'lng': 108.3804750701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Cipeuteuy,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112257678163335627584"">A Google User</a>'], 'photo_reference': 'AUGGfZk60yJqwgO9FwjtDA-V7iAHLQhbrUY-2OhfJKd5fDBZXPHfPvi3ZnTHhaMaAEAXOUCfriDGNDnw39BswYvAdLVz03b9C40Lhe1esORejz7KT6m9NLchCBA6Lo7D3YOIRnbE9r9Z5VddpRtwN7VR5ocwWgwD_IC-Y3XClOAOJI63OmL9', 'width': 4160}]",ChIJVVVVVanVaS4RjK1etCWyWTw,4.4,ChIJVVVVVanVaS4RjK1etCWyWTw,"['tourist_attraction', 'point_of_interest', 'establishment']",1467,{'open_now': False},"{'compound_code': '59GJ+CQ Bantaragung, Majalengka Regency, West Java, Indonesia', 'global_code': '6P5C59GJ+CQ'}",https://www.google.com/maps/place/?q=place_id:ChIJVVVVVanVaS4RjK1etCWyWTw
OPERATIONAL,"5, Lengkong Kulon, Kec. Sindangwangi, Kabupaten Majalengka, Jawa Barat 45474, Indonesia","{'location': {'lat': -6.7890427, 'lng': 108.3894815}, 'viewport': {'northeast': {'lat': -6.787630020107278, 'lng': 108.3907782298927}, 'southwest': {'lat': -6.790329679892722, 'lng': 108.3880785701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Kiara Danu,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103733870924644312927"">Rina Dianawati</a>'], 'photo_reference': 'AUGGfZlklA3vw0ATj34ZnBrtuj1tEcEhVmCyFz3F-FacwjdlNc6Zaiy3bjx79esFdSvS_LTpY7X3EhFO4FlueDVCnNX1_iUxEw2TMWG0gADWeqQX8FfEwhxXaj-iEsowh8sMUNojK3o5BWP916pxF7l6V_82tJA1K6455jweYtXh0JpF0tHI', 'width': 4000}]",ChIJvWerN4Mhby4RmhmgVh22y9o,4.5,ChIJvWerN4Mhby4RmhmgVh22y9o,"['tourist_attraction', 'point_of_interest', 'establishment']",793,{'open_now': False},"{'compound_code': '696Q+9Q Lengkong Kulon, Majalengka Regency, West Java, Indonesia', 'global_code': '6P5C696Q+9Q'}",https://www.google.com/maps/place/?q=place_id:ChIJvWerN4Mhby4RmhmgVh22y9o
OPERATIONAL,"Jl. Desa Padaherang - Lengkong No. 2, Padaherang, Kec. Sindangwangi, Kabupaten Majalengka, Jawa Barat 45474, Indonesia","{'location': {'lat': -6.801991999999999, 'lng': 108.3913285}, 'viewport': {'northeast': {'lat': -6.800409070107277, 'lng': 108.39234175}, 'southwest': {'lat': -6.803108729892722, 'lng': 108.38828875}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Camping Ground Curug Leles,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104224343619269091623"">A Google User</a>'], 'photo_reference': 'AUGGfZlHGmjxsIFShHEd5F5pHNbpT0we09f_nOZzR4UCfwxe3eT0DsjmN4n41bGKVYk1yCGb0VskdIjGwuchEkAtYwnAWGSZf6NvWr_qD307UNQwvwAmHQBMl96ntIzVuFvE_zr_DUdvrFy0rrkRqDICUgVbtN2z4ArubyAiK7pDR6zNFxO_', 'width': 4160}]",ChIJa0bHFpohby4RSQwGQK3ptSs,4.5,ChIJa0bHFpohby4RSQwGQK3ptSs,"['tourist_attraction', 'point_of_interest', 'establishment']",656,{'open_now': False},"{'compound_code': '59XR+6G Padaherang, Majalengka Regency, West Java, Indonesia', 'global_code': '6P5C59XR+6G'}",https://www.google.com/maps/place/?q=place_id:ChIJa0bHFpohby4RSQwGQK3ptSs
OPERATIONAL,"Jln Talagaherang no 1 Blok Heuleut, Padaherang, Kec. Sindangwangi, Kabupaten Majalengka, Jawa Barat 45474, Indonesia","{'location': {'lat': -6.792637, 'lng': 108.3860189}, 'viewport': {'northeast': {'lat': -6.791323370107278, 'lng': 108.3874069798927}, 'southwest': {'lat': -6.794023029892722, 'lng': 108.3847073201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Talagaherang Diving Spot,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101214206223747837568"">A Google User</a>'], 'photo_reference': 'AUGGfZnDAsUSUHR50Olb5bilPdspantft-EQugZeq4Tg7ZocoRqfWxFdsNyBNZEHar4lLnkgqAF-8dKFdbuHzOTEXUmpW9zbjCOEDD5jN1lx-8FuAKFDbJ9himizftsipNc4YE_5_UnNreESSnJSFzrHi-tP4AOc3zKiPqObQfUewhlj3PZo', 'width': 4608}]",ChIJ-RpEw38hby4REhuvB-VUoho,5.0,ChIJ-RpEw38hby4REhuvB-VUoho,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': False},"{'compound_code': '694P+WC Padaherang, Majalengka Regency, West Java, Indonesia', 'global_code': '6P5C694P+WC'}",https://www.google.com/maps/place/?q=place_id:ChIJ-RpEw38hby4REhuvB-VUoho
OPERATIONAL,"Kawasan ekologi batu asahan, Bantaragung, Kec. Sindangwangi, Kabupaten Majalengka, Jawa Barat 45474, Indonesia","{'location': {'lat': -6.8251407, 'lng': 108.3860138}, 'viewport': {'northeast': {'lat': -6.823790870107277, 'lng': 108.3873636298927}, 'southwest': {'lat': -6.826490529892721, 'lng': 108.3846639701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Purbawangi,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102824911313823578597"">rini panggabean</a>'], 'photo_reference': 'AUGGfZnP25wr11QNjnoRD-6p7ku8hwZdYsGoB-tvJ_9np5lAWq7p9kXzhhafJJ1-19DNDA4vb3pT_hWAPQrDWKHvLHQvXfW8Yj5xBhVppVa4TKgRGhmBNydS_v8Phlh7AsZeiRQGKF31kGEY0IX78diobancu_d6-gRGSdXFzT4EBeIWt-vV', 'width': 4000}]",ChIJs5plMd4jby4Rw5KmPDhiA4o,5.0,ChIJs5plMd4jby4Rw5KmPDhiA4o,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,"{'compound_code': '59FP+WC Bantaragung, Majalengka Regency, West Java, Indonesia', 'global_code': '6P5C59FP+WC'}",https://www.google.com/maps/place/?q=place_id:ChIJs5plMd4jby4Rw5KmPDhiA4o
OPERATIONAL,"Lengkong Kulon, Sindangwangi, Majalengka Regency, West Java 45474, Indonesia","{'location': {'lat': -6.7826876, 'lng': 108.3788378}, 'viewport': {'northeast': {'lat': -6.781294970107278, 'lng': 108.3801205798927}, 'southwest': {'lat': -6.783994629892722, 'lng': 108.3774209201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Goprak,"[{'height': 3060, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117491617195161340085"">sakti yulianto</a>'], 'photo_reference': 'AUGGfZll0C6tgUUFyZK6dnSKRi5LMcnGRA0e1Jg8dCJHXM0l9CffgLzdMVViCyO4UIdfzSlGD2VD4Yn95OxoBcqQOOjMKhPLK0xBht5G8VmtU7UvxOkM-85wwmP5yJ_e9xp9PUUeRU2GbaOqVgs-TiNF7F3oSfkSB2KtdHChExlfYOTML29b', 'width': 4080}]",ChIJ2-FwfPYhby4RTbqf4GQBJwI,4.9,ChIJ2-FwfPYhby4RTbqf4GQBJwI,"['tourist_attraction', 'point_of_interest', 'establishment']",12,{'open_now': False},"{'compound_code': '698H+WG Lengkong Kulon, Majalengka Regency, West Java, Indonesia', 'global_code': '6P5C698H+WG'}",https://www.google.com/maps/place/?q=place_id:ChIJ2-FwfPYhby4RTbqf4GQBJwI
OPERATIONAL,"59WF+2FW, Jl. Burujul, Sindangwangi, Kec. Sindangwangi, Kabupaten Majalengka, Jawa Barat 45474, Indonesia","{'location': {'lat': -6.8048784, 'lng': 108.3737014}, 'viewport': {'northeast': {'lat': -6.803567470107278, 'lng': 108.3750579798927}, 'southwest': {'lat': -6.806267129892722, 'lng': 108.3723583201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Temen,,ChIJB__ra3shby4R5fpAt0o0S6M,5.0,ChIJB__ra3shby4R5fpAt0o0S6M,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJB__ra3shby4R5fpAt0o0S6M
OPERATIONAL,"69CR+F6C, Lengkong Kulon, Sindangwangi, Majalengka Regency, West Java 45474, Indonesia","{'location': {'lat': -6.790551499999999, 'lng': 108.3867614}, 'viewport': {'northeast': {'lat': -6.789224420107278, 'lng': 108.3881069298927}, 'southwest': {'lat': -6.791924079892722, 'lng': 108.3854072701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,talaga herang,,ChIJvZTqGAAhby4RbGeetYb9GEk,5.0,ChIJvZTqGAAhby4RbGeetYb9GEk,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJvZTqGAAhby4RbGeetYb9GEk
OPERATIONAL,"698J+7JX, Jerukleueut, Sindangwangi, Majalengka Regency, West Java 45474, Indonesia","{'location': {'lat': -6.784273, 'lng': 108.3816148}, 'viewport': {'northeast': {'lat': -6.782736820107278, 'lng': 108.3831033298927}, 'southwest': {'lat': -6.785436479892722, 'lng': 108.3804036701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah mang sayur,,ChIJ7_uNEgAhby4R_DVu4dQISrM,0.0,ChIJ7_uNEgAhby4R_DVu4dQISrM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ7_uNEgAhby4R_DVu4dQISrM
