business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,url
OPERATIONAL,"5C4X+548, Sayur Matinggi I, Sayur Matinggi, South Tapanuli Regency, North Sumatra 22774, Indonesia","{'location': {'lat': 1.1554148, 'lng': 99.44782149999999}, 'viewport': {'northeast': {'lat': 1.156764629892722, 'lng': 99.44917132989272}, 'southwest': {'lat': 1.154064970107278, 'lng': 99.44647167010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aek libung,ChIJI5xJsSD3KzAR0AxRHahghx0,4.0,ChIJI5xJsSD3KzAR0AxRHahghx0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJI5xJsSD3KzAR0AxRHahghx0
OPERATIONAL,"WG3F+44J, Rumbio, Panyabungan Utara, Mandailing Natal Regency, North Sumatra 22976, Indonesia","{'location': {'lat': 0.9028324, 'lng': 99.52275999999999}, 'viewport': {'northeast': {'lat': 0.9042127798927222, 'lng': 99.52411807989273}, 'southwest': {'lat': 0.9015131201072779, 'lng': 99.52141842010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aek Godang Rumbio,ChIJD1hNd_jrKzARiq9NsxQIjPM,4.8,ChIJD1hNd_jrKzARiq9NsxQIjPM,"['tourist_attraction', 'point_of_interest', 'establishment']",5,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112391970446193687253"">A Google User</a>'], 'photo_reference': 'AUGGfZmfIE2BImkA3DnCQIlywxr8ogS1764ZAMZW79dLwKnoQA1YXvDe_SJF-DmZNQ1MKs5F3CkRVjwUVFDybi2S-ZOkoa89DX3Vxt5VHoHve97htsWgJonD6uzuvNjs7hwRrTxGqGATvIYqgetFuwYbJRnySDk70oslABGChukqeQQF4BaT', 'width': 4032}]",,https://www.google.com/maps/place/?q=place_id:ChIJD1hNd_jrKzARiq9NsxQIjPM
OPERATIONAL,"Muara Upu, Muara Batang Toru, South Tapanuli Regency, North Sumatra 22738, Indonesia","{'location': {'lat': 1.3323998, 'lng': 98.84562319999999}, 'viewport': {'northeast': {'lat': 1.333749629892722, 'lng': 98.84697302989271}, 'southwest': {'lat': 1.331049970107278, 'lng': 98.84427337010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Barat,ChIJx7ZMzf63LjARgFKA85IPVUQ,4.2,ChIJx7ZMzf63LjARgFKA85IPVUQ,"['tourist_attraction', 'point_of_interest', 'establishment']",55,{'open_now': True},"[{'height': 2352, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110173725468971636937"">Afdi Kurniawan</a>'], 'photo_reference': 'AUGGfZmNwAOwU_Vaf-Fvxx3NBbCN05LL5rPw7RItk-iKLnnJYzloClUHqqh7mEWXI-qQbXoQ9WI5v7ZAeGrZZnaZ4uqqesUpoIcOceywSs7pc9Y4F9cjOekk5O4ME5KtmlYcojc4F4E2wPKjesFyTmttxs2GYbROU7Ua9Sa4y0cpwGjQD4h9', 'width': 4160}]","{'compound_code': '8RJW+X6 Muara Upu, South Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHW8RJW+X6'}",https://www.google.com/maps/place/?q=place_id:ChIJx7ZMzf63LjARgFKA85IPVUQ
OPERATIONAL,"VG32+PM8, Runding, Panyabungan Barat, Mandailing Natal Regency, North Sumatra 22977, Indonesia","{'location': {'lat': 0.8542945, 'lng': 99.5016899}, 'viewport': {'northeast': {'lat': 0.8550794000000002, 'lng': 99.50346012989272}, 'southwest': {'lat': 0.8519398, 'lng': 99.50076047010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Calina lestari farm,ChIJvX6Yn7vBKzARBx9WlwzL_PU,0.0,ChIJvX6Yn7vBKzARBx9WlwzL_PU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104032937144326449835"">Putra Lubis</a>'], 'photo_reference': 'AUGGfZlLFCxSKFoAucRbx3OqOX9JUOKpMr_H2IImGo9UXG7YwszgQaF0znEnf-dKs9v_PbJyOpgmLz4jpDyUWvwvTLE0W_vq09Yr1gVuGDmDg88CCPHPTUUsQMr801_0Uncu7Jc-WgiyzLs9_070BvqDLSuWi6q4-KRm4OJ1ZyLnbuuh9g6n', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJvX6Yn7vBKzARBx9WlwzL_PU
OPERATIONAL,"Huta Raja, Panyabungan Selatan, Mandailing Natal Regency, North Sumatra 22952, Indonesia","{'location': {'lat': 0.727806, 'lng': 99.568822}, 'viewport': {'northeast': {'lat': 0.7290669798927223, 'lng': 99.569611}, 'southwest': {'lat': 0.7263673201072779, 'lng': 99.56645500000003}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Thermal Baths Huta Raja,ChIJoxPqlZS3KzARIDUPc5KSPm0,4.5,ChIJoxPqlZS3KzARIDUPc5KSPm0,"['tourist_attraction', 'point_of_interest', 'establishment']",228,{'open_now': True},"[{'height': 2912, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110624706168909534546"">Rizky Rizaldi Rizaldi</a>'], 'photo_reference': 'AUGGfZn4Kwuw3vw4oE5NZV0OqerOk1SYn22fb237_SbGtRmgQS4e3J_YtXV9yHVav6bs9mBb4KrlpF2PiIgR8-ktb4IDhjqgaJmtgsHmsUiJ66NhjXYP83cAApUfpC95__66-EeUvAIB2D5fMfy03UIDtyyCmiL1blHgpZfnPzH5Kop2l4N4', 'width': 5184}]","{'compound_code': 'PHH9+4G Huta Raja, Mandailing Natal Regency, North Sumatra, Indonesia', 'global_code': '6MGXPHH9+4G'}",https://www.google.com/maps/place/?q=place_id:ChIJoxPqlZS3KzARIDUPc5KSPm0
OPERATIONAL,"Aek Libung, Sayur Matinggi, South Tapanuli Regency, North Sumatra 22774, Indonesia","{'location': {'lat': 1.1563422, 'lng': 99.4226297}, 'viewport': {'northeast': {'lat': 1.157577929892722, 'lng': 99.42363982989274}, 'southwest': {'lat': 1.154878270107278, 'lng': 99.42094017010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aek Sijorni,ChIJAQAAAED5KzARnBmY85uvNV8,4.3,ChIJAQAAAED5KzARnBmY85uvNV8,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",3500,{'open_now': True},"[{'height': 2296, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115780961764853988087"">Al</a>'], 'photo_reference': 'AUGGfZl6dYIzE0xpaXuxfpebZ669H4oahEYfFSJg2c5OsY3k8hiX67Y5VIt38IB-6tadXFUwvBXBM9DJn7jRbRw1cWYdn7eI-zRao4sYX1EIlrTQhKdIcoJ9TJ73iecy_ekRrMLQW4CHFlDiUgEsMv-6rOeyCqq4qzamCSvt1o3voROmjUJ9', 'width': 4080}]","{'compound_code': '5C4F+G3 Aek Libung, South Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHX5C4F+G3'}",https://www.google.com/maps/place/?q=place_id:ChIJAQAAAED5KzARnBmY85uvNV8
OPERATIONAL,"WGM4+V3, Jambur Padang Matinggi, Panyabungan Utara, Mandailing Natal Regency, North Sumatra 22978, Indonesia","{'location': {'lat': 0.9346336, 'lng': 99.5051483}, 'viewport': {'northeast': {'lat': 0.9358989499999998, 'lng': 99.50797535000001}, 'southwest': {'lat': 0.9308375500000005, 'lng': 99.50420595}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai pasir kahona,ChIJS4A8BgDrKzARZn4ImxxBVNs,0.0,ChIJS4A8BgDrKzARZn4ImxxBVNs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': False},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112674102125662592337"">A Google User</a>'], 'photo_reference': 'AUGGfZn5dmbbb7trBz8CDg7i6lbHHBzhXS_qLawxGZ5S9f_JTm3ILpRG6ZzryWv78ZDbNSylchg4q7xEQ9RMj0C_4Tj7rXhwnmAiJK9QZ_GLeLOldKbBsk5QjlwgOeXGZFu8ksIwsmbLZMmDsi9jfEJH_XD6urnnkfcYmnjCH2U1dZcPumEk', 'width': 3200}]",,https://www.google.com/maps/place/?q=place_id:ChIJS4A8BgDrKzARZn4ImxxBVNs
OPERATIONAL,"MC34+MF7 panatapan purba baru panyabungan, Huta Lobu, Kec. Batang Natal, Kabupaten Mandailing Natal, Sumatera Utara 22912, Indonesia","{'location': {'lat': 0.6541604999999999, 'lng': 99.406167}, 'viewport': {'northeast': {'lat': 0.6555103298927221, 'lng': 99.40751682989271}, 'southwest': {'lat': 0.6528106701072776, 'lng': 99.40481717010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Huta lobu Farm,ChIJWb6ybQDNKzARsqxADZOUKGA,0.0,ChIJWb6ybQDNKzARsqxADZOUKGA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJWb6ybQDNKzARsqxADZOUKGA
OPERATIONAL,"PG5V+92C, Aek Milas, Kec. Panyabungan Sel., Kabupaten Mandailing Natal, Sumatera Utara 22994, Indonesia","{'location': {'lat': 0.7084277999999999, 'lng': 99.5425245}, 'viewport': {'northeast': {'lat': 0.7100058298927222, 'lng': 99.54374112989274}, 'southwest': {'lat': 0.7073061701072778, 'lng': 99.54104147010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemandian Aek Milas,ChIJCVyuTSrIKzARAuCIwaJqfPI,4.3,ChIJCVyuTSrIKzARAuCIwaJqfPI,"['tourist_attraction', 'point_of_interest', 'establishment']",41,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108190406992328679210"">A Google User</a>'], 'photo_reference': 'AUGGfZk--t3016zTaD9G6iYV7BrzUgRVqxF7OymlwGYdLFjVAZJ-RDqdKCabARdUq5PSL-B8p4H62yrk65NkwDzcCiWzR1hAy1xUZGxU2cutco7nQEdQyrpLxp_WFDpz-lVEAUWGPCfpXVToP5Qg2etejfME6lScC2_6TBJutpFzjqoQo9YG', 'width': 1920}]",,https://www.google.com/maps/place/?q=place_id:ChIJCVyuTSrIKzARAuCIwaJqfPI
OPERATIONAL,"VG23+MM, Runding, Panyabungan Barat, Mandailing Natal Regency, North Sumatra, Indonesia","{'location': {'lat': 0.8516553, 'lng': 99.5042112}, 'viewport': {'northeast': {'lat': 0.8530108798927221, 'lng': 99.50556392989272}, 'southwest': {'lat': 0.8503112201072777, 'lng': 99.50286427010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ujung kampung sopo Godang,ChIJr5jhz0fBKzARHaifbvE5Uk8,4.0,ChIJr5jhz0fBKzARHaifbvE5Uk8,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107190404498357849260"">A Google User</a>'], 'photo_reference': 'AUGGfZn0APJjo8sIA1SYUXa0UiAdvQ8Onn4NvCKulPWjAgWA9ECylBAHYLdISql3IOakOxeJzZkbbksfzr-_kjS8pEiJVFv7vnD74ql3jJNB8gcNk9JRwEpDjGoITDU5lL7fKjw0xODXxBCK5PATz9aNUq6DTuO6kl17nVjtonnhIqshb3_F', 'width': 3000}]",,https://www.google.com/maps/place/?q=place_id:ChIJr5jhz0fBKzARHaifbvE5Uk8
