business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,opening_hours,plus_code,url
OPERATIONAL,"8PM5+PW9, Rana Mbeling, Kota Komba, East Manggarai Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6657155, 'lng': 120.709868}, 'viewport': {'northeast': {'lat': -8.664365670107278, 'lng': 120.7112178298927}, 'southwest': {'lat': -8.667065329892722, 'lng': 120.7085181701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah Marawio,ChIJ44NS60kPsy0R86rGkiC3Ghs,0.0,ChIJ44NS60kPsy0R86rGkiC3Ghs,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ44NS60kPsy0R86rGkiC3Ghs
OPERATIONAL,"6P44+XG2, Rongga Koe, Kota Komba, East Manggarai Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.792612, 'lng': 120.7062535}, 'viewport': {'northeast': {'lat': -8.791262170107279, 'lng': 120.7076033298927}, 'southwest': {'lat': -8.793961829892723, 'lng': 120.7049036701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wae woda,ChIJ2QjXYgAXsy0Rk7UQK9ordZg,0.0,ChIJ2QjXYgAXsy0Rk7UQK9ordZg,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2QjXYgAXsy0Rk7UQK9ordZg
OPERATIONAL,"8MPQ+JXW, Mokel, Kota Komba, East Manggarai Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6633861, 'lng': 120.6899626}, 'viewport': {'northeast': {'lat': -8.66260817010728, 'lng': 120.6909131298927}, 'southwest': {'lat': -8.665307829892724, 'lng': 120.6882134701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,MUKUN,ChIJHz_0q8gPsy0Rh16cCaHnGCI,3.3,ChIJHz_0q8gPsy0Rh16cCaHnGCI,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110983641827885393160"">A Google User</a>'], 'photo_reference': 'AUGGfZk9wEOENbbxNxGw6d8NK_3XhhQv1AquuSA_eTLEm6iwS1nrE8_SjoFXuiHf98DFBZsKH-VFhKEpyKWGuwR8gmaL5D-dUKzKk3gmav-VtfbV5FG3aS34r0AqgbgLlgvM1Wz8fh25WgNx2Hydag5kx-xY-8P4Zi4AE5UWomZbuKlfUeg3', 'width': 3264}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJHz_0q8gPsy0Rh16cCaHnGCI
OPERATIONAL,"4JVM+3Q9, Tanah Rata, Kota Komba, East Manggarai Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8573305, 'lng': 120.6344691}, 'viewport': {'northeast': {'lat': -8.855980670107279, 'lng': 120.6358189298927}, 'southwest': {'lat': -8.858680329892723, 'lng': 120.6331192701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,MBITUTILU LOYOLA,ChIJwS7A7Ls9sy0R6vS_n1j8En0,4.0,ChIJwS7A7Ls9sy0R6vS_n1j8En0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 2136, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100351545000846616272"">LELO YOSEP LAURENTIUS</a>'], 'photo_reference': 'AUGGfZkhEvpXqYiBhhfrgq487h1pGExj2rp5SUN-WNen_SLfw_P4eyRGYjN4GLnlpzLTrK8Y9pLvYavaL7BgBoUXOEbpIepkROUCwfjf3I8lICTH2bbagtpRq8JGyzK1E15uA-v8V0890nrvVuRPp_lBNB2JMxQJWqwMF605KOLBhw--PGOA', 'width': 4624}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJwS7A7Ls9sy0R6vS_n1j8En0
OPERATIONAL,"6P6H+7J8, Komba, Kota Komba, East Manggarai Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.789346, 'lng': 120.7290766}, 'viewport': {'northeast': {'lat': -8.787976870107277, 'lng': 120.7304576298927}, 'southwest': {'lat': -8.790676529892721, 'lng': 120.7277579701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wae Mangot,ChIJJT_fGQAZsy0R4vxE0xqD4qI,0.0,ChIJJT_fGQAZsy0R4vxE0xqD4qI,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJJT_fGQAZsy0R4vxE0xqD4qI
OPERATIONAL,"8PV2+6Q3, Rana Mbeling, Kota Komba, East Manggarai Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.656984399999999, 'lng': 120.701928}, 'viewport': {'northeast': {'lat': -8.655649520107279, 'lng': 120.7032041798928}, 'southwest': {'lat': -8.658349179892722, 'lng': 120.7005045201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,MANUS,ChIJqxGgmLkPsy0Re8b3ywaJz2E,3.3,ChIJqxGgmLkPsy0Re8b3ywaJz2E,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101359601232507444609"">A Google User</a>'], 'photo_reference': 'AUGGfZk7KZ1IzdoyNFtBN7Qd0XzQfyQ6HRKx6p18TQkm8D79dgYPGtFoAJ_yLeWqzfUVIkwHvMdIZYJTNEf0dR3mg8gdFddjqlWFUXGMn2oG5tPS8IGu2BIWZtJO_69VYtZTuNDJJD_BOIExPnw5ORV5fQ1eoOv2qi-Tv3SiyB5DrEZXNNRh', 'width': 4160}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJqxGgmLkPsy0Re8b3ywaJz2E
OPERATIONAL,"4P5V+2M, Watu Nggene, Kota Komba, East Manggarai Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8924754, 'lng': 120.7442026}, 'viewport': {'northeast': {'lat': -8.89112557010728, 'lng': 120.7455524298927}, 'southwest': {'lat': -8.893825229892723, 'lng': 120.7428527701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tj. Bendera,ChIJeSgKQwAjsy0RTE_HnO1zVos,0.0,ChIJeSgKQwAjsy0RTE_HnO1zVos,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJeSgKQwAjsy0RTE_HnO1zVos
OPERATIONAL,"4MRH+J2R, Tanah Rata, Kota Komba, East Manggarai Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8583958, 'lng': 120.6775054}, 'viewport': {'northeast': {'lat': -8.85711642010728, 'lng': 120.67822985}, 'southwest': {'lat': -8.859816079892724, 'lng': 120.67533205}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lodhe kota,ChIJeVIX6Vc9sy0RfS_V4CRLrkQ,0.0,ChIJeVIX6Vc9sy0RfS_V4CRLrkQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJeVIX6Vc9sy0RfS_V4CRLrkQ
OPERATIONAL,"9P33+QWP, Rana Mbeling, Kota Komba, East Manggarai Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.645549299999999, 'lng': 120.7048294}, 'viewport': {'northeast': {'lat': -8.644199470107278, 'lng': 120.7061792298927}, 'southwest': {'lat': -8.646899129892722, 'lng': 120.7034795701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,CENGKA NAI,ChIJqXb400sPsy0RUMW-H2zylpY,5.0,ChIJqXb400sPsy0RUMW-H2zylpY,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 1282, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102592658981181278322"">A Google User</a>'], 'photo_reference': 'AUGGfZnKAPJtMKqvocATUrzWKgyXk9timtjChkWztNDglop2-DOXg3XwXfAylx8r55SRbk10CYRqD-ICdS5kbHX1HgKrWhKKthRBQpHUu55o_4mQVa1RW8-3MLtALMK62JCD7VePejZwfOB8a5Px_Bq0epxK69HDhgXue71vuj5Mr6IhXkVP', 'width': 1080}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJqXb400sPsy0RUMW-H2zylpY
OPERATIONAL,"4QQP+J8, Watu Nggene, Kota Komba, East Manggarai Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8609745, 'lng': 120.7858432}, 'viewport': {'northeast': {'lat': -8.859647820107279, 'lng': 120.7870813798927}, 'southwest': {'lat': -8.862347479892723, 'lng': 120.7843817201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mausui Beach,ChIJf0e55iwjsy0RayJnjIQi1sc,5.0,ChIJf0e55iwjsy0RayJnjIQi1sc,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 9248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111470177413290889284"">Abdul Haris Manggala Putra</a>'], 'photo_reference': 'AUGGfZnRCJvHK-SJhhxkEvaNI1gh8SgNsokKJL-Qx5SSkCo0_mSc3UtuS1_3GLW2SNDkZyPol4cZy4-4qK5OpOv0NlIXysgFpHtcUyUXV80S08GNDKW8xY-v6PSFxkZNrrEGcIRYrWr67TJ64sz6ZuIvaC0KP2dQ4YPP0zAY-n7cw3WFCyZZ', 'width': 6936}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJf0e55iwjsy0RayJnjIQi1sc
