business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"9M39+PP, Karangan Purun, Sayan, Melawi Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.6455709, 'lng': 111.6699854}, 'viewport': {'northeast': {'lat': -0.6442210701072778, 'lng': 111.6713352298927}, 'southwest': {'lat': -0.6469207298927223, 'lng': 111.6686355701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Jembatan Gantung,"[{'height': 9216, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107467973433832094204"">A Google User</a>'], 'photo_reference': 'AUGGfZnR2ZN8wrPVnmow5JEuOoUtuD4mK3ikT9CB3mznxkLcCkTdcXoMKrVCGVpg5YXq16bL415Ueg4DLqGLhNIUVOmeIjTCqBIF-1N3bJu0UxfygjGXzPnvrzbp-ZMn80wXhzILmY54FcUntUJ3R2zbomi9D_VB8LwS0b9eiJ6n7JRb9Hi2', 'width': 6912}]",ChIJHdfPRgAFAS4R5WcGKvI4NT8,4.0,ChIJHdfPRgAFAS4R5WcGKvI4NT8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJHdfPRgAFAS4R5WcGKvI4NT8
OPERATIONAL,"7QXV+5Q, Meta Bersatu, Sayan, Melawi Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.7020898999999999, 'lng': 111.794402}, 'viewport': {'northeast': {'lat': -0.7005688701072776, 'lng': 111.7956523798927}, 'southwest': {'lat': -0.7032685298927221, 'lng': 111.7929527201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gurung Kelasi,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116485079585326150710"">Frengki Aza</a>'], 'photo_reference': 'AUGGfZkN9Kjqm1-2pDqFEMSe_3dyy8pDlMsKNkplAXd2J4nqdqS7heT5bEvLXfj09xHGuigHuVnxSc9fRRmdLIieWKk_QrK6UChHSVVIrnB7irRqvLdF2Wvc3X2dgWTb2DWZnt3Dv9sd6WEZkoqs9S0jCdS4q_1tbdX0W6zqyZ1zWRXLc5-S', 'width': 3264}]",ChIJSXOPbAAdAS4Rv69eXfYirwM,5.0,ChIJSXOPbAAdAS4Rv69eXfYirwM,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJSXOPbAAdAS4Rv69eXfYirwM
OPERATIONAL,"5RWP+J5, Nanga Raku, Sayan, Melawi Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.8033942, 'lng': 111.8353791}, 'viewport': {'northeast': {'lat': -0.8019341201072778, 'lng': 111.8364007}, 'southwest': {'lat': -0.8046337798927223, 'lng': 111.8323143}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KEBUN VISA,,ChIJ2RF2NwAfAS4R9Lkglx5WrFE,0.0,ChIJ2RF2NwAfAS4R9Lkglx5WrFE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2RF2NwAfAS4R9Lkglx5WrFE
OPERATIONAL,"7MX8+XCG, Nanga Sayan, Sayan, Melawi Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.7000681, 'lng': 111.6660725}, 'viewport': {'northeast': {'lat': -0.6987182701072777, 'lng': 111.6674223298927}, 'southwest': {'lat': -0.7014179298927222, 'lng': 111.6647226701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Melawi,,ChIJHRedYgAPAS4RRPLpARwBjGU,0.0,ChIJHRedYgAPAS4RRPLpARwBjGU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJHRedYgAPAS4RRPLpARwBjGU
OPERATIONAL,"5GRQ+374, Loka Jaya, Tanah Pinoh, Melawi Regency, West Kalimantan 79674, Indonesia","{'location': {'lat': -0.8098590999999999, 'lng': 111.5381899}, 'viewport': {'northeast': {'lat': -0.8085355701072777, 'lng': 111.5396436798927}, 'southwest': {'lat': -0.8112352298927222, 'lng': 111.5369440201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Teluk Pelanjung,"[{'height': 2528, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106267015723171123073"">A Google User</a>'], 'photo_reference': 'AUGGfZlSrCzP8RvWgdtpJV2q203xa3t4KPQS7dULVBpZFEiUJghDSunNR_qk0_Et47v3cvDmevNMBS0h7EIv-BZ2exzpFg-iKg0UFUTyloi9jOe24KL9dQTe8WZa4uLAFyvPsGH25oCmZIUVRlr30S-SLsW84UTsTI6Wx4AKA2GsTx4KzJxY', 'width': 1200}]",ChIJwyXMd_4VAS4RUYIFyVerIK8,3.7,ChIJwyXMd_4VAS4RUYIFyVerIK8,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJwyXMd_4VAS4RUYIFyVerIK8
OPERATIONAL,"Pelempai Jaya, Ella Hilir, Melawi Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.4266282, 'lng': 111.974273}, 'viewport': {'northeast': {'lat': -0.4252783701072777, 'lng': 111.9756228298927}, 'southwest': {'lat': -0.4279780298927222, 'lng': 111.9729231701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Riam Batang Tikar,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101220717441668667348"">A Google User</a>'], 'photo_reference': 'AUGGfZmhe72_eGnVzKzPGAhO4sq7NVMrH27VV6NvWuBrmfqcQYmHufoByL806TNV1WYHXmYq9JeulDv5sXBWsVCtGwJPLRAs7-rF1JmN0Fmf0-HEO2utQ0H21jXOGuwC3npb5EUeC-JodpzLEL0wnjI9HZwf_Ear2rUoiiYl0SmWdJzzKrs-', 'width': 4000}]",ChIJlzeb3plRAC4RkgapkPdy8vc,5.0,ChIJlzeb3plRAC4RkgapkPdy8vc,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': False},"{'compound_code': 'HXFF+8P Pelempai Jaya, Melawi Regency, West Kalimantan, Indonesia', 'global_code': '6PFHHXFF+8P'}",,https://www.google.com/maps/place/?q=place_id:ChIJlzeb3plRAC4RkgapkPdy8vc
OPERATIONAL,"PFCG+F4M, Belonsat, Belimbing, Melawi Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.2787808, 'lng': 111.4752851}, 'viewport': {'northeast': {'lat': -0.2774309701072778, 'lng': 111.4766349298927}, 'southwest': {'lat': -0.2801306298927222, 'lng': 111.4739352701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Andre,,ChIJA0LXbgC_AS4RYP3ijLyjPT4,0.0,ChIJA0LXbgC_AS4RYP3ijLyjPT4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJA0LXbgC_AS4RYP3ijLyjPT4
OPERATIONAL,"9945+C2H, Belaban Ella, Menukung, Melawi Regency, West Kalimantan 79682, Indonesia","{'location': {'lat': -0.6439485, 'lng': 112.3576199}, 'viewport': {'northeast': {'lat': -0.6425986701072778, 'lng': 112.3589697298927}, 'southwest': {'lat': -0.6452983298927222, 'lng': 112.3562700701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Riam Bindang,,ChIJ7dv1-QiPAC4Rxzho8tugfu8,1.0,ChIJ7dv1-QiPAC4Rxzho8tugfu8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7dv1-QiPAC4Rxzho8tugfu8
OPERATIONAL,"PFCG+F4M, Belonsat, Belimbing, Melawi Regency, West Kalimantan 78655, Indonesia","{'location': {'lat': -0.2787808, 'lng': 111.4752851}, 'viewport': {'northeast': {'lat': -0.2774309701072778, 'lng': 111.4766349298927}, 'southwest': {'lat': -0.2801306298927222, 'lng': 111.4739352701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Keratob,,ChIJ0RMvIG6_AS4Rl6hMfvZ-dMI,5.0,ChIJ0RMvIG6_AS4Rl6hMfvZ-dMI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0RMvIG6_AS4Rl6hMfvZ-dMI
OPERATIONAL,"MP9M+69R, Desa Nyangau, Sidomulyo, Ella Hilir, Kabupaten Melawi, Kalimantan Barat 79672, Indonesia","{'location': {'lat': -0.331892, 'lng': 111.733398}, 'viewport': {'northeast': {'lat': -0.3305435701072777, 'lng': 111.7347176798927}, 'southwest': {'lat': -0.3332432298927221, 'lng': 111.7320180201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Destinasi wisata Cahai Dahat,,ChIJU2zPbYW3AS4Rqb0sur4CbA8,0.0,ChIJU2zPbYW3AS4Rqb0sur4CbA8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJU2zPbYW3AS4Rqb0sur4CbA8
