business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,opening_hours,url
OPERATIONAL,"GJ54+3WG, RT.02, Jambi Tulo, Kec. Maro Sebo, Kabupaten Muaro Jambi, Jambi, Indonesia","{'location': {'lat': -1.4923121, 'lng': 103.6073332}, 'viewport': {'northeast': {'lat': -1.491071370107278, 'lng': 103.6128061}, 'southwest': {'lat': -1.493771029892722, 'lng': 103.6055089}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok kebun key,ChIJ4x4zEACLJS4RC7cMFFSkGXo,0.0,ChIJ4x4zEACLJS4RC7cMFFSkGXo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4x4zEACLJS4RC7cMFFSkGXo
OPERATIONAL,"GJ4J+V4M, Baru, Maro Sebo, Muaro Jambi Regency, Jambi 36382, Indonesia","{'location': {'lat': -1.4927962, 'lng': 103.6302952}, 'viewport': {'northeast': {'lat': -1.491358320107278, 'lng': 103.6315170798927}, 'southwest': {'lat': -1.494057979892722, 'lng': 103.6288174201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ECOPARK Lubuk Penyengat,ChIJ2ZrJcZ2LJS4RCkOudUnYd8k,0.0,ChIJ2ZrJcZ2LJS4RCkOudUnYd8k,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2ZrJcZ2LJS4RCkOudUnYd8k
OPERATIONAL,"FJ4F+J4M, Niaso, Maro Sebo, Muaro Jambi Regency, Jambi 36382, Indonesia","{'location': {'lat': -1.5434186, 'lng': 103.6228011}, 'viewport': {'northeast': {'lat': -1.542051420107278, 'lng': 103.6242812798927}, 'southwest': {'lat': -1.544751079892722, 'lng': 103.6215816201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Vila teratai putih datok sarkoni,ChIJi9MHqiOLJS4RLcudLJWHxwg,3.0,ChIJi9MHqiOLJS4RLcudLJWHxwg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4064, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117307720520609674895"">Topik Akbar</a>'], 'photo_reference': 'AUGGfZnKGJdEhfMzizl2YyWKuXFj2qVHU2HyhZWVMty5kHmVE2Uq8nTZBNq7-qaLJVzKylcgTqa4T3i_NpLCfK5aXYcEg4pAVpH7zACoBYM2HcabP8_hyxcrY6cGGP6kIHOVsILDu2NzbEwP2WqaPpOVnqHof_sST2-__qHBrW6ccMmRaIFd', 'width': 3048}]",,,https://www.google.com/maps/place/?q=place_id:ChIJi9MHqiOLJS4RLcudLJWHxwg
OPERATIONAL,"Maro Sebo, Jambi Luar Kota, Muaro Jambi Regency, Jambi 36363, Indonesia","{'location': {'lat': -1.6743665, 'lng': 103.4407412}, 'viewport': {'northeast': {'lat': -1.673030970107278, 'lng': 103.4419049298927}, 'southwest': {'lat': -1.675730629892722, 'lng': 103.4392052701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,wisata lubuk snanit,ChIJHeWHP1F7Ly4Rk8zgpaZkbhE,3.9,ChIJHeWHP1F7Ly4Rk8zgpaZkbhE,"['tourist_attraction', 'point_of_interest', 'establishment']",14,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106567967242942919656"">Sagu Lengket</a>'], 'photo_reference': 'AUGGfZkeItazHv8gYkB8xn2iUPgoLzz-FpCdLri7VDcuGLXX8qGX_yHgQozmQ9fX0X_EzthwcYn5FKYllUMYqR2KIw_vOfpvy7-LrNFho7S_gmFqzJB1J6ZolqX6Vbbs9kp0yIWY-ySkHoTkJYtMll5LsXwh69xvtKon44h-ydL3XQmJh5yz', 'width': 4096}]","{'compound_code': '8CGR+77 Maro Sebo, Muaro Jambi Regency, Jambi, Indonesia', 'global_code': '6PC58CGR+77'}",,https://www.google.com/maps/place/?q=place_id:ChIJHeWHP1F7Ly4Rk8zgpaZkbhE
OPERATIONAL,"GH5M+2M7, Jambi Kecil, Maro Sebo, Muaro Jambi Regency, Jambi, Indonesia","{'location': {'lat': -1.4924578, 'lng': 103.5841871}, 'viewport': {'northeast': {'lat': -1.491131970107278, 'lng': 103.5869264}, 'southwest': {'lat': -1.493831629892722, 'lng': 103.583274}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lubuk panjang,ChIJF-fLDgOLJS4RyAXzHyD7_TU,5.0,ChIJF-fLDgOLJS4RyAXzHyD7_TU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJF-fLDgOLJS4RyAXzHyD7_TU
OPERATIONAL,"RT 01 No. 56 Desa Muara Jambi Kec. Maro Sebo Kab. Muaro Jambi Privinsi Jambi, Muaro Jambi, Kec. Maro Sebo, Kabupaten Muaro Jambi, Jambi 36382, Indonesia","{'location': {'lat': -1.481581, 'lng': 103.6653366}, 'viewport': {'northeast': {'lat': -1.480123920107278, 'lng': 103.6667452298927}, 'southwest': {'lat': -1.482823579892722, 'lng': 103.6640455701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA AMANAH,ChIJFYkJBAWNJS4R3yL_1QIL-FY,5.0,ChIJFYkJBAWNJS4R3yL_1QIL-FY,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111823540260855148902"">A Google User</a>'], 'photo_reference': 'AUGGfZlUxVaisRN-gXKS1v3jsrXxAFZTRIyqFRupAg-PHDDqxxC2z5uRcy0jnaxK5cjHq2HrXh2yoluEUgD2dg7lv2Mx79Ce6BFpwOc0P01L2d07izuVwYGit7OBfWXrSSMyoB0UnhsiZAvGrstPEkndIyVOE1vEnraqhU4yWYwQahQh9jgI', 'width': 1080}]","{'compound_code': 'GM98+94 Muaro Jambi, Muaro Jambi Regency, Jambi, Indonesia', 'global_code': '6PC5GM98+94'}",,https://www.google.com/maps/place/?q=place_id:ChIJFYkJBAWNJS4R3yL_1QIL-FY
OPERATIONAL,"GJHQ+MM6, Danau Lamo, Maro Sebo, Muaro Jambi Regency, Jambi, Indonesia","{'location': {'lat': -1.4708333, 'lng': 103.6391462}, 'viewport': {'northeast': {'lat': -1.469327120107278, 'lng': 103.6408943}, 'southwest': {'lat': -1.472026779892722, 'lng': 103.6339019}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Candi Koto Mahligai,ChIJ324i3QbzJS4RvWtJLY01WjQ,0.0,ChIJ324i3QbzJS4RvWtJLY01WjQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ324i3QbzJS4RvWtJLY01WjQ
OPERATIONAL,"GMCG+J7X, Muaro Jambi, Maro Sebo, Muaro Jambi Regency, Jambi 36382, Indonesia","{'location': {'lat': -1.4783872, 'lng': 103.675743}, 'viewport': {'northeast': {'lat': -1.477433170107278, 'lng': 103.6772636798927}, 'southwest': {'lat': -1.480132829892722, 'lng': 103.6745640201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Kelari,ChIJtTNtvl-NJS4Ra6UFSvquONM,5.0,ChIJtTNtvl-NJS4Ra6UFSvquONM,"['tourist_attraction', 'point_of_interest', 'establishment']",6,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114179056782901377735"">A Google User</a>'], 'photo_reference': 'AUGGfZkZQZCBwIDlLZvfZD_-W2G-FIxnB38HMp_HMI66Uz9iKrG-JuwcwfOx_HLILfSE7fmTmDi81PM3LIn4TqHhEzk8Ab2CkGWUEflZn-qxueohkNhOzPn1tLdw0YzrU7I4WHXHoVdVun_9G7Hy_fz7boMiQOv1ArC6xOo9c1u7gj7s0IDc', 'width': 3120}]",,,https://www.google.com/maps/place/?q=place_id:ChIJtTNtvl-NJS4Ra6UFSvquONM
OPERATIONAL,"CG5H+XRF, Mendalo Laut, Jambi Luar Kota, Muaro Jambi Regency, Jambi 36361, Indonesia","{'location': {'lat': -1.5900691, 'lng': 103.5295314}, 'viewport': {'northeast': {'lat': -1.588718270107278, 'lng': 103.5309127798927}, 'southwest': {'lat': -1.591417929892722, 'lng': 103.5282131201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tepian sungai batanghari,ChIJrctUaHJjLy4RCzjx720XzW8,0.0,ChIJrctUaHJjLy4RCzjx720XzW8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJrctUaHJjLy4RCzjx720XzW8
OPERATIONAL,"9Q22+58G, Gelam River, Sungai Gelam, Muaro Jambi Regency, Jambi, Indonesia","{'location': {'lat': -1.6495539, 'lng': 103.7508349}, 'viewport': {'northeast': {'lat': -1.64759395, 'lng': 103.7520745798927}, 'southwest': {'lat': -1.65543375, 'lng': 103.7493749201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,jembatan awas Buaya,ChIJWSeklFubJS4RkhpmbLYPaAU,0.0,ChIJWSeklFubJS4RkhpmbLYPaAU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJWSeklFubJS4RkhpmbLYPaAU
