business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,url
OPERATIONAL,"Nganti, Sanga Desa, Musi Banyuasin Regency, South Sumatra 30759, Indonesia","{'location': {'lat': -2.7816355, 'lng': 103.3775185}, 'viewport': {'northeast': {'lat': -2.780285670107278, 'lng': 103.3788683298927}, 'southwest': {'lat': -2.782985329892722, 'lng': 103.3761686701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Area persawahan krismon,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103898135752840041875"">A Google User</a>'], 'photo_reference': 'AUGGfZkxYNd2_o5sl-R95DX59sXPKX1eXfYpXVHPa2ILpR9eVWUawXd5Ci4JBdA4-k950NonrYeOoiZY2Y9Gl04jq3xEBEjWnN6M7xV7brccs9wjIkF77Ruiv3CO5qSVX1WQD1gqA-yjASOm2ipwRRmmubPlx27WsTgRwwuC-LtyPMy3uao', 'width': 4080}]",ChIJcYYDQCVxMC4Riuk8mn9tN4A,"{'compound_code': '699H+82 Nganti, Musi Banyuasin Regency, South Sumatra, Indonesia', 'global_code': '6P95699H+82'}",5.0,ChIJcYYDQCVxMC4Riuk8mn9tN4A,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJcYYDQCVxMC4Riuk8mn9tN4A
OPERATIONAL,"7CFX+XX2, Terusan, Sanga Desa, Musi Banyuasin Regency, South Sumatra 30759, Indonesia","{'location': {'lat': -2.7251065, 'lng': 103.4499002}, 'viewport': {'northeast': {'lat': -2.723859870107277, 'lng': 103.4511772798927}, 'southwest': {'lat': -2.726559529892722, 'lng': 103.4484776201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Penyeberangan Perahu Getek Desa Kemang Sanga Desa,,ChIJ_QnYm4BzMC4R_xOe8reiolo,,5.0,ChIJ_QnYm4BzMC4R_xOe8reiolo,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJ_QnYm4BzMC4R_xOe8reiolo
OPERATIONAL,"7FMW+WH, Tanjung Raya, Sanga Desa, Musi Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.7152183, 'lng': 103.4964037}, 'viewport': {'northeast': {'lat': -2.713859020107277, 'lng': 103.4977242298927}, 'southwest': {'lat': -2.716558679892722, 'lng': 103.4950245701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pinggir Sungai Musi Desa Keban I,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105536611090277791101"">A Google User</a>'], 'photo_reference': 'AUGGfZkK-ro7adVaxdEWt_svs3YGq5N1xbzWB114GQj68q7u1NexDD7jwu1M5pEgzBNfEjmKfvPrHQQnur8bPOKWL45OKSEqCG-JEHhrqeoQCIQblvmGpeuyOKWkDjUQwx6BzxBPD4zNqq5lExyEDlVdeB0WBOu3BjwLTFeyqow0reayiRgl', 'width': 3456}]",ChIJ57rKGyF1MC4RMDDenR6FiJw,,4.5,ChIJ57rKGyF1MC4RMDDenR6FiJw,"['tourist_attraction', 'point_of_interest', 'establishment']",17,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ57rKGyF1MC4RMDDenR6FiJw
OPERATIONAL,"89MC+5GF, Ulak Embacang, Sanga Desa, Musi Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.6670538, 'lng': 103.3713041}, 'viewport': {'northeast': {'lat': -2.665703970107278, 'lng': 103.3726539298927}, 'southwest': {'lat': -2.668403629892722, 'lng': 103.3699542701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Waduk,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100848747095219883751"">heru jepryadi</a>'], 'photo_reference': 'AUGGfZmUk7PyxXKJIcQGuCYx3w42OXQVBwiONFjJ-fRKrQeG-AJWNcnMzZNGxwNucfkwnkyjTXq2KaiPg7P99xn90Rf0mc-oRCXkTRY0a7Cgt3CrKf3pGA7wfO3phHLBV6EYRHrmqIaA0RvpsB729s4TzRYw5vEtlHXaHWK8jkjGMB6i-orX', 'width': 2160}]",ChIJr3IwdE0NMC4REHDBPz9xBNo,,0.0,ChIJr3IwdE0NMC4REHDBPz9xBNo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJr3IwdE0NMC4REHDBPz9xBNo
OPERATIONAL,"Ngulak belakang SMK, Jud I, Kec. Sanga Desa, Kabupaten Musi Banyuasin, Sumatera Selatan, Indonesia","{'location': {'lat': -2.78016, 'lng': 103.400803}, 'viewport': {'northeast': {'lat': -2.778428320107278, 'lng': 103.40160045}, 'southwest': {'lat': -2.781127979892723, 'lng': 103.39841065}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun zulpikar mei,,ChIJUUv3-lRxMC4RP-fz9KYDyHc,,0.0,ChIJUUv3-lRxMC4RP-fz9KYDyHc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJUUv3-lRxMC4RP-fz9KYDyHc
OPERATIONAL,"8C2V+QRG, Terusan, Sanga Desa, Musi Banyuasin Regency, South Sumatra 30759, Indonesia","{'location': {'lat': -2.698068, 'lng': 103.4445891}, 'viewport': {'northeast': {'lat': -2.697005670107278, 'lng': 103.4486445}, 'southwest': {'lat': -2.699705329892722, 'lng': 103.4432373}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,danau ulak libok,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114872902047764909399"">Halim Alpatah</a>'], 'photo_reference': 'AUGGfZlGxQTquVgfkPuv1pM3i3E9ggYqPj0tAW6TuK9EC2qII43woMZnRKN170-KsntR-L48vE8_iH3iun6lEoDiYhsWy2G50IgYMnohL2zkwMu_Md-47HgSfjKAh_6VOz1Oj7o1WQoEg8UqHn_TLSZlWnC7NRb-DERzh_kCz2sngLVKOdDr', 'width': 4160}]",ChIJje3rkG0NMC4R4CPnTC34QuE,,4.0,ChIJje3rkG0NMC4R4CPnTC34QuE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJje3rkG0NMC4R4CPnTC34QuE
OPERATIONAL,"Terusan, Sanga Desa, Musi Banyuasin Regency, South Sumatra 30759, Indonesia","{'location': {'lat': -2.7136901, 'lng': 103.4361804}, 'viewport': {'northeast': {'lat': -2.712340270107278, 'lng': 103.4375302298927}, 'southwest': {'lat': -2.715039929892722, 'lng': 103.4348305701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Ulak libok,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110941302066555008922"">A Google User</a>'], 'photo_reference': 'AUGGfZn9MZPATuqHBDo-3kygSr6OlfGNQHL1kTl879EI6AeGG80S3dqOOFJIrxeghfzjDlh9HaEa9a-EeCfyK7-VIjrQ27hX-lcgSiOURdl3e4w5QevlixFzc3-tH0XKezgbKKyjuLn5Vas0jDACxj-kdNCrOQn-lWsqIWJ0wGC6xRthSS-C', 'width': 4608}]",ChIJ918mYOtzMC4RZjbTtIozXJo,"{'compound_code': '7CPP+GF Terusan, Musi Banyuasin Regency, South Sumatra, Indonesia', 'global_code': '6P957CPP+GF'}",4.0,ChIJ918mYOtzMC4RZjbTtIozXJo,"['tourist_attraction', 'point_of_interest', 'establishment']",7,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ918mYOtzMC4RZjbTtIozXJo
CLOSED_TEMPORARILY,"6F79+6MV, Ngulak III, Sanga Desa, Musi Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.7868883, 'lng': 103.4691617}, 'viewport': {'northeast': {'lat': -2.785538470107277, 'lng': 103.4705115298927}, 'southwest': {'lat': -2.788238129892722, 'lng': 103.4678118701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Lapo,,ChIJby_V8mp3MC4RhEM8l2UIR5w,,0.0,ChIJby_V8mp3MC4RhEM8l2UIR5w,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,https://www.google.com/maps/place/?q=place_id:ChIJby_V8mp3MC4RhEM8l2UIR5w
CLOSED_TEMPORARILY,"7FF2+2V, Terusan, Sanga Desa, Musi Banyuasin Regency, South Sumatra 30759, Indonesia","{'location': {'lat': -2.7269133, 'lng': 103.451025}, 'viewport': {'northeast': {'lat': -2.725714070107278, 'lng': 103.4522263798927}, 'southwest': {'lat': -2.728413729892723, 'lng': 103.4495267201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun sawit,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110013103912031785724"">A Google User</a>'], 'photo_reference': 'AUGGfZlc89QdleQoeY5jNCQaQfiZlBTohr_t__mUOUHln6NDqPkJt2qPXe4W_q_hQe62PjET0HfaVldTfmpxCqCK-AmvmSl0aPSDCKIcJbXWigrVxC4V2NHHBiVH8P0bviBoow633adzkS1jm3U-FIEtZVyH1MtXhzB9aPwCuN4KnwCq5Kt6', 'width': 1920}]",ChIJOddWbTlzMC4RKoKSv7m3l4c,,5.0,ChIJOddWbTlzMC4RKoKSv7m3l4c,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,True,https://www.google.com/maps/place/?q=place_id:ChIJOddWbTlzMC4RKoKSv7m3l4c
CLOSED_TEMPORARILY,"89F5+GF, Ulak Embacang, Sanga Desa, Musi Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.6761664, 'lng': 103.3586927}, 'viewport': {'northeast': {'lat': -2.67122705, 'lng': 103.3600734798927}, 'southwest': {'lat': -2.67781285, 'lng': 103.3573738201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau,,ChIJtfvjbcwTMC4RgU56mzuE87w,,0.0,ChIJtfvjbcwTMC4RgU56mzuE87w,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,https://www.google.com/maps/place/?q=place_id:ChIJtfvjbcwTMC4RgU56mzuE87w
