business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"3PHM+X27, Moor, Moora, Nabire Regency, Papua, Indonesia","{'location': {'lat': -2.9200912, 'lng': 135.7325552}, 'viewport': {'northeast': {'lat': -2.918741370107278, 'lng': 135.7339050298927}, 'southwest': {'lat': -2.921441029892722, 'lng': 135.7312053701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung tiroine,{'open_now': True},"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105581488421499332150"">Christian Tawaru</a>'], 'photo_reference': 'AUGGfZklGpr6Lce7qjIGhnQL3wbQXbUc7q2xj-_3xF9kt3UmwhSdVqnAwU2wW_70ujnja9KYD0kz6cmwJFW7v_BsTE2tFYU6M4MZrvLMsT9fl1SSnpFJAx7_JpJTa34kbCl6yOEsd5FgGjyXeEs-38r87see3OEmgNvvGmYqkZxabVHAiw7_', 'width': 3072}]",ChIJXyKrIDLzHmgRXrVgr7ibcU8,1.5,ChIJXyKrIDLzHmgRXrVgr7ibcU8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJXyKrIDLzHmgRXrVgr7ibcU8
OPERATIONAL,"J876+6P, Wanggar Pantai, Yaro District, Nabire Regency, Papua, Indonesia","{'location': {'lat': -3.3869408, 'lng': 135.3117927}, 'viewport': {'northeast': {'lat': -3.385894520107278, 'lng': 135.3130749798927}, 'southwest': {'lat': -3.388594179892722, 'lng': 135.3103753201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Bitangur,,,ChIJvQM8GACVH2gRt4VgeZVpKqo,0.0,ChIJvQM8GACVH2gRt4VgeZVpKqo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJvQM8GACVH2gRt4VgeZVpKqo
OPERATIONAL,"RM7P+98M, Nifasi, Makimi, Nabire Regency, Papua, Indonesia","{'location': {'lat': -3.1865313, 'lng': 135.685807}, 'viewport': {'northeast': {'lat': -3.185181470107278, 'lng': 135.6871568298927}, 'southwest': {'lat': -3.187881129892723, 'lng': 135.6844571701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Manggrove Tanjung kotouki,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100082564665516478477"">A Google User</a>'], 'photo_reference': 'AUGGfZkD7b4RwJ85CgWCqGkgkya1CTq4jTTxPJcSWXd7treK7G3WUPtBRvgv4EM4idsEEUa9AXhMb6rHRwy-qI2E1ooIOJ-UXiLqGIeSNieMciElguFcy6z6x-y1X8jfI1dFFBu4AXAxn8YCWblRdqBQDnvfyWsEfzVp7gnI55rafms-L0BL', 'width': 4160}]",ChIJX5eIaQADH2gRgwtFa8I4hks,5.0,ChIJX5eIaQADH2gRgwtFa8I4hks,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJX5eIaQADH2gRgwtFa8I4hks
OPERATIONAL,"VP23+R9F, Nifasi, Makimi, Nabire Regency, Papua 98861, Indonesia","{'location': {'lat': -3.1479497, 'lng': 135.7034164}, 'viewport': {'northeast': {'lat': -3.146934670107278, 'lng': 135.7051854798927}, 'southwest': {'lat': -3.149634329892723, 'lng': 135.7024858201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Tisya,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118348135945118591673"">A Google User</a>'], 'photo_reference': 'AUGGfZmDEMVGbaMpF2pSVEvQ_LL0C2d09bAa3loIYBgCQCn0s7BJixy-bxhMK9I362-QRhZK_6jDVwXT0qtvhce_aGZvnyTjqdEnwGdcCs46fsEOmpWTQfaRRfeBmBAWpl5bS9KT0dNOQampntMmmDiKQYQp9eJuogdRpkB8eKbcz_wljKsN', 'width': 2250}]",ChIJ4fw6JsL9HmgRoOnpl8rxF7M,4.7,ChIJ4fw6JsL9HmgRoOnpl8rxF7M,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJ4fw6JsL9HmgRoOnpl8rxF7M
OPERATIONAL,"3PG7+RJ, Moor, Moora, Nabire Regency, Papua 98861, Indonesia","{'location': {'lat': -2.922953, 'lng': 135.714098}, 'viewport': {'northeast': {'lat': -2.921603170107278, 'lng': 135.7154478298927}, 'southwest': {'lat': -2.924302829892722, 'lng': 135.7127481701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,MANOTOHERI,,,ChIJDysDknTzHmgRuQesavOjAMs,0.0,ChIJDysDknTzHmgRuQesavOjAMs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJDysDknTzHmgRuQesavOjAMs
OPERATIONAL,"GCXH+QH, Bumi Raya, Nabire Barat, Nabire Regency, Papua, Indonesia","{'location': {'lat': -3.4505728, 'lng': 135.4289576}, 'viewport': {'northeast': {'lat': -3.449479570107278, 'lng': 135.4301296798928}, 'southwest': {'lat': -3.452179229892722, 'lng': 135.4274300201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali mati,,,ChIJxTqVhoWRH2gR3Mt1-rmUZLc,0.0,ChIJxTqVhoWRH2gR3Mt1-rmUZLc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJxTqVhoWRH2gR3Mt1-rmUZLc
OPERATIONAL,"G66V+4V, Wanggar Pantai, Yaro District, Nabire Regency, Papua, Indonesia","{'location': {'lat': -3.4896612, 'lng': 135.2447137}, 'viewport': {'northeast': {'lat': -3.488328220107277, 'lng': 135.2460524298927}, 'southwest': {'lat': -3.491027879892722, 'lng': 135.2433527701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TANJAKAN WAMI - YARO,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103882410664208050373"">Ano NYmous</a>'], 'photo_reference': 'AUGGfZn_ie7yvwpt7oZlGW6yvoK7TQfaVSKuKYdUcE-MZLBsyPh1js-HvPYOCZ6zganHyUVvhBSPz-9LFEAZq6sIZso1ipQG1tvQ6ji0lc9_8CaBPtnLk4I7KoWL-Hbdvncl0k8wJjzOOhfvjypKtbPeuStNO0woYvhKfjPvBQXKK9YOoKh2', 'width': 3024}]",ChIJAX-HIADzH2gRCdWoRu8v7uA,0.0,ChIJAX-HIADzH2gRCdWoRu8v7uA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJAX-HIADzH2gRCdWoRu8v7uA
OPERATIONAL,"VGWW+5V, Mambor, Napan, Nabire Regency, Papua, Indonesia","{'location': {'lat': -3.1045777, 'lng': 135.5471611}, 'viewport': {'northeast': {'lat': -3.103227870107277, 'lng': 135.5485109298927}, 'southwest': {'lat': -3.105927529892722, 'lng': 135.5458112701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Meips Island,,"[{'height': 2240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104429059888355951416"">NOFRISKI RINGKUANGAN</a>'], 'photo_reference': 'AUGGfZmWi_YCbRaRgCckMuzKnLrYCZdO99C-N3c5AX1xqRzD6Fx5uk9PLHiheqvQk58yHZ-QsTBvk5USvmxuJ5bekl4_VUFCsou9xTePURWqS26UG1fsHPV86orPYydGwvoyHEs-oa-5-T81ATq6ru32mW5WpeZFSNiopEypvnOXqf4N7mlm', 'width': 4000}]",ChIJSaQ2T15VHmgRx8rYM0Ovp-k,5.0,ChIJSaQ2T15VHmgRx8rYM0Ovp-k,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJSaQ2T15VHmgRx8rYM0Ovp-k
OPERATIONAL,"MJ9J+MGV, Air Mandidi, Teluk Kimi, Nabire Regency, Papua, Indonesia","{'location': {'lat': -3.3307718, 'lng': 135.6312874}, 'viewport': {'northeast': {'lat': -3.329421970107277, 'lng': 135.6326372298927}, 'southwest': {'lat': -3.332121629892722, 'lng': 135.6299375701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Telaga MAMAE,,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118007972158784845053"">Julian Adha</a>'], 'photo_reference': 'AUGGfZnoJN1FYqK2ZBxRKB0XWj8Hdbr8a65eMTJpGnJj5Q-mO4FUwGHUaxeEqPFLNJsT1EVYcIBM97za3tFFvTe0tQG9RS_yMvGi5NbGPD5epTvALviPJzkswJdQxtUnvkPInaIQXJCFm-F30xmwctCiUr6CyqwiRsr-neRuzJ_nPa83jRr4', 'width': 4000}]",ChIJ6wCoxyILH2gR1E2DMJMbzcU,4.3,ChIJ6wCoxyILH2gR1E2DMJMbzcU,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJ6wCoxyILH2gR1E2DMJMbzcU
OPERATIONAL,"MHGR+RQ, Kimi, Teluk Kimi, Nabire Regency, Papua, Indonesia","{'location': {'lat': -3.322895, 'lng': 135.5919558}, 'viewport': {'northeast': {'lat': -3.321545170107278, 'lng': 135.5933056298927}, 'southwest': {'lat': -3.324244829892722, 'lng': 135.5906059701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TELAGA ROBBY,{'open_now': True},"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102116733466107143247"">A Google User</a>'], 'photo_reference': 'AUGGfZltKh7LfUjx0pxatEY5-TqZB1tYcvPkHf26HqTz8_lXN0eDCmpX9irH89OhwrKtj7BMyn_LgGHtiiUgKK0E88AxaUeqGGs4ltHfJpHrWVcbo83aFRUP2bSZShXSsHJX2t9nJl5TTWjpigersG2NVTAq7w-bwqz9aA9ZrfsC7YMoXu1T', 'width': 1040}]",ChIJ9wDeIeihH2gRNwCLtspHZdQ,4.0,ChIJ9wDeIeihH2gRNwCLtspHZdQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJ9wDeIeihH2gRNwCLtspHZdQ
