business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Blandongan, Jatimulyo, Mantingan, Ngawi Regency, East Java 63261, Indonesia","{'location': {'lat': -7.3677135, 'lng': 111.1490773}, 'viewport': {'northeast': {'lat': -7.366314470107279, 'lng': 111.1502301298927}, 'southwest': {'lat': -7.369014129892723, 'lng': 111.1475304701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,lapak kolong mantingan,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114460051568069598396"">A Google User</a>'], 'photo_reference': 'AUGGfZketiWselkcKyyFszTrUttS2hztEArlsNJmR_kOul7bE0GD43M7TNdhNZf9LiaobQKU_0-CzyZdNL0tyUHgF59uemic8Di6SgBs__SeWyDMD9wsvF_LUC5WBnqsl9O7ZK4RvwOREUS7iJhKmaPlI5uq5Y3g4Yj4tZ7-Ni7QCRWjJOqa', 'width': 3000}]",ChIJsdoPODb5eS4RGIyzuPcOR0E,"{'compound_code': 'J4JX+WJ Jatimulyo, Ngawi Regency, East Java, Indonesia', 'global_code': '6P4HJ4JX+WJ'}",5.0,ChIJsdoPODb5eS4RGIyzuPcOR0E,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJsdoPODb5eS4RGIyzuPcOR0E
OPERATIONAL,"M533+M6H, Dusun Trangil, Mantingan, Kec. Mantingan, Kabupaten Ngawi, Jawa Timur 63261, Indonesia","{'location': {'lat': -7.345811, 'lng': 111.153116}, 'viewport': {'northeast': {'lat': -7.344880950000002, 'lng': 111.1545596298927}, 'southwest': {'lat': -7.348601149999997, 'lng': 111.1518599701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Bukit lintang, Trangil Heritage Tourism",,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108290521245733208579"">A Google User</a>'], 'photo_reference': 'AUGGfZnFcnVJQnY2hxfCShJbMRa5vXW6gmVAZ8tlt57kZM7pYoBuTNurjk8XZgxq4S6_suUXsYfOhy1fgi1P9vzL0hv923KI9bcPz9_RAHUoL1oS4khovDByscFmLi_I5gelNCMnPoUpBffSB0p5vg-SbZyV-q28UJHTr4Cojg9OWtwIGPw0', 'width': 2448}]",ChIJazuJIQn_eS4RuLEWYxFGZsc,,4.9,ChIJazuJIQn_eS4RuLEWYxFGZsc,"['tourist_attraction', 'point_of_interest', 'establishment']",11,,https://www.google.com/maps/place/?q=place_id:ChIJazuJIQn_eS4RuLEWYxFGZsc
OPERATIONAL,"H5G4+33, Pakah IV, Pakah, Kec. Mantingan, Kabupaten Ngawi, Jawa Timur 63261, Indonesia","{'location': {'lat': -7.4247652, 'lng': 111.1551833}, 'viewport': {'northeast': {'lat': -7.423319970107279, 'lng': 111.1566710798927}, 'southwest': {'lat': -7.426019629892723, 'lng': 111.1539714201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Grojogan Mojoroto (Growista),,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107097548538177820951"">A Google User</a>'], 'photo_reference': 'AUGGfZkoYxEwJUumxDz0uoSz64shRW1xpqzQmkPPbvV5dVGV9o99jfiCQ02VrkQqH3rDReNabvs-RqtGGCtQSPqIf4Fp0TAOPYrVoAAduWZUv1mJ6mP9HoLIpHa34WMzwZ0rFP-Qir6uV4ft3JBEuPvrXcc3v6SKx-cYhPdy-DaS3YfFA_Ud', 'width': 1599}]",ChIJv24TCFL5eS4RAzmNIEuG4ss,,5.0,ChIJv24TCFL5eS4RAzmNIEuG4ss,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJv24TCFL5eS4RAzmNIEuG4ss
OPERATIONAL,"H49G+3XR, Jl. Mantingan, Kedungbendo, ketanggung, Kec. Mantingan, Kabupaten Ngawi, Jawa Timur 63261, Indonesia","{'location': {'lat': -7.4322671, 'lng': 111.1273762}, 'viewport': {'northeast': {'lat': -7.430917270107278, 'lng': 111.1287260298927}, 'southwest': {'lat': -7.433616929892722, 'lng': 111.1260263701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam renang,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111051173416376054991"">bang tommy D winarto</a>'], 'photo_reference': 'AUGGfZmFigM1HL3mFNNj6STe_L7V3cYHYFdK-p01GXHgmMdlPiqTlMIcDVuVNzjQmWh41CnKA_yF1xWoGkaGGCARX6Usc_G0Y-0MTTohULFQEMa974fFuUd1b6x7oIlG_yq86B6OWuZMTsj_qXWhV-U7Gom-Ts1trpUx4Q0NiyAY8zI4abBs', 'width': 1920}]",ChIJ24vzWyL3eS4RSaKNRpG5MaY,,0.0,ChIJ24vzWyL3eS4RSaKNRpG5MaY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ24vzWyL3eS4RSaKNRpG5MaY
OPERATIONAL,"J42P+6H, Pakah I, Pakah, Kec. Mantingan, Kabupaten Ngawi, Jawa Timur 63261, Indonesia","{'location': {'lat': -7.3994839, 'lng': 111.1363891}, 'viewport': {'northeast': {'lat': -7.398134070107276, 'lng': 111.1377389298927}, 'southwest': {'lat': -7.40083372989272, 'lng': 111.1350392701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wana Wisata Lembah Cepitan Pakah,,"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113196736759710396544"">Ervi Anto</a>'], 'photo_reference': 'AUGGfZlqzOuWgvoRVz9Wf71HVkpqjt0Vkt2LW4JhAGuh1PuFSXbznfd-Zph9UBkyLWuKdTLZhax0P_z1qsu9UOJoAyqwS-tWxG-PW66nuR0tWk3SYEqnEI9bQcFKG2w8omFQ7f-XwcfymYYrw8LReauQX5Ue-398Kb5HeRCbua_OYz3IuC-x', 'width': 1600}]",ChIJ8eiKut_5eS4ROfbtnwaY9w4,,5.0,ChIJ8eiKut_5eS4ROfbtnwaY9w4,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,https://www.google.com/maps/place/?q=place_id:ChIJ8eiKut_5eS4ROfbtnwaY9w4
OPERATIONAL,"J596+XX4, Dusun Ngrancang, Desa, Talang, Mantingan, Kec. Mantingan, Kabupaten Ngawi, Jawa Timur 63261, Indonesia","{'location': {'lat': -7.380106899999999, 'lng': 111.1624598}, 'viewport': {'northeast': {'lat': -7.378495870107277, 'lng': 111.1669472}, 'southwest': {'lat': -7.381195529892721, 'lng': 111.160964}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Waduk kalibening,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103831090413113810067"">A Google User</a>'], 'photo_reference': 'AUGGfZnGoaOqr5jEILXwZjZ_e1ONq04uqeF49PAX3LUQ8vl_3ipz4wj00ER_r4Xly7P3WlBKM4pzf47yOaJ_0jhkVkWqSTxyAoNpzB8bHJaUAtyHXR48UDQssim5gpQ-0MtFUXF-7OLMwiz_-_sUolKre3NFDP0K_-2DaAsCZ3rlIQLAz6w', 'width': 4608}]",ChIJeTfeAA35eS4RS1Ufe736igE,,4.1,ChIJeTfeAA35eS4RS1Ufe736igE,"['tourist_attraction', 'point_of_interest', 'establishment']",42,,https://www.google.com/maps/place/?q=place_id:ChIJeTfeAA35eS4RS1Ufe736igE
OPERATIONAL,"H49Q+V9, Pakah IV, Pakah, Kec. Mantingan, Kabupaten Ngawi, Jawa Timur, Indonesia","{'location': {'lat': -7.4302765, 'lng': 111.1384379}, 'viewport': {'northeast': {'lat': -7.429572220107278, 'lng': 111.13975885}, 'southwest': {'lat': -7.432271879892722, 'lng': 111.13447505}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BENDUNGAN KALI SANGIT,,,ChIJT0IDrhv3eS4RbbMWs84U73E,,0.0,ChIJT0IDrhv3eS4RbbMWs84U73E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJT0IDrhv3eS4RbbMWs84U73E
OPERATIONAL,"H5G4+X2X, Pakah III, Pakah, Kec. Mantingan, Kabupaten Ngawi, Jawa Timur 63261, Indonesia","{'location': {'lat': -7.4226654, 'lng': 111.1549024}, 'viewport': {'northeast': {'lat': -7.421284370107276, 'lng': 111.1562423798927}, 'southwest': {'lat': -7.42398402989272, 'lng': 111.1535427201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Dukuh Krawang dan Mojoroto,,,ChIJnX-RFeX5eS4Rd1bGNMYbsO8,,5.0,ChIJnX-RFeX5eS4Rd1bGNMYbsO8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJnX-RFeX5eS4Rd1bGNMYbsO8
OPERATIONAL,"J572+478, Losari, Kedungharjo, Kec. Mantingan, Kabupaten Ngawi, Jawa Timur 63261, Indonesia","{'location': {'lat': -7.3872137, 'lng': 111.1507131}, 'viewport': {'northeast': {'lat': -7.385853670107278, 'lng': 111.1520639798927}, 'southwest': {'lat': -7.388553329892722, 'lng': 111.1493643201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Wisata Embung Losari, Losari Park",{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108674774331051298714"">Daris Ridho</a>'], 'photo_reference': 'AUGGfZk5pibkqEDm122OnU-SFNnBpGLRN98rM1dbKQ7j_QXPv-VoQ-7UlmOMtaQZ94Vn4Jb_uPLi3mESl-32-8jESEHEyb_o-lSmIe-6a-YGJC5uzMXJxt2OBEwsDkG2V3ikdh2fsPYHlKcVUjDQxxYniDCI_gEFjUiClCRati2cbyO2Q2Sg', 'width': 4080}]",ChIJWcXWniP5eS4Rda-dGDZ1Y74,,4.7,ChIJWcXWniP5eS4Rda-dGDZ1Y74,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,https://www.google.com/maps/place/?q=place_id:ChIJWcXWniP5eS4Rda-dGDZ1Y74
OPERATIONAL,"Unnamed Road, Pakah I, Pakah, Kec. Mantingan, Kabupaten Ngawi, Jawa Timur 63261, Indonesia","{'location': {'lat': -7.405187600000001, 'lng': 111.1373081}, 'viewport': {'northeast': {'lat': -7.403837770107279, 'lng': 111.1386579298927}, 'southwest': {'lat': -7.406537429892722, 'lng': 111.1359582701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lembah Cepitan Park,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105003115996545944441"">Annas amrul Haq</a>'], 'photo_reference': 'AUGGfZk7lNZc5UgnuJJYVJvmBYlgFsRcHnZhi9xk-tKFeiW7lMa4N5I5vbuwZNjoBTIxCDPCbSViv7ffrUQx8zCU0jupAkvFRN2yD-6aCaT-e3N5iiJkwnTxJlMcDUI6C_cDRjVYw1Ut_od99dJj0HerpLvQj5rje9lAA4kTV7qXOtz6wDMi', 'width': 3024}]",ChIJ_eo8EGn5eS4R2piMty8BeTc,"{'compound_code': 'H4VP+WW Pakah, Ngawi Regency, East Java, Indonesia', 'global_code': '6P4HH4VP+WW'}",5.0,ChIJ_eo8EGn5eS4R2piMty8BeTc,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJ_eo8EGn5eS4R2piMty8BeTc
