business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"WCX7+QXF, Sirombu, West Nias Regency, North Sumatra 22863, Indonesia","{'location': {'lat': 0.9494401, 'lng': 97.4149259}, 'viewport': {'northeast': {'lat': 0.9510242798927221, 'lng': 97.41633972989271}, 'southwest': {'lat': 0.9483246201072778, 'lng': 97.41364007010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Sirombu,{},"[{'height': 6120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101110576504125887135"">periaman lase</a>'], 'photo_reference': 'AUGGfZlD8nTXOv6vKugMmmst7Dj3OPzQHy5ViViX5vsYC8nMjgm2kHehhiS_n6tujuVcFAZmjRWizG3qh8CIEPoxvx1DBX_v98NoqtkHwFy5__JLtRtcNBajbKLnwe_2-V1Hi_bMOGUumhR4cTTqgGAAZAJ0MNcVT3M9NvrGkErJBELyYtFl', 'width': 8160}]",ChIJLeazbRZrJjAR7o-a4wHfxQQ,4.5,ChIJLeazbRZrJjAR7o-a4wHfxQQ,"['tourist_attraction', 'point_of_interest', 'establishment']",110,,,https://www.google.com/maps/place/?q=place_id:ChIJLeazbRZrJjAR7o-a4wHfxQQ
OPERATIONAL,"XC46+66, Sirombu, West Nias Regency, North Sumatra, Indonesia","{'location': {'lat': 0.9556032999999999, 'lng': 97.41051300000001}, 'viewport': {'northeast': {'lat': 0.956962679892722, 'lng': 97.41199542989273}, 'southwest': {'lat': 0.9542630201072778, 'lng': 97.40929577010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Baru Sirombu,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100979315946930561356"">Bintang Rahmat Wananda</a>'], 'photo_reference': 'AUGGfZn4xaPepk4KreoZRqdn26i6FD-hKU44GZQPXSRoviLHAgvlJkAMMEcwxO-87kNmC87yMdCAAcqqUN_KP13VofKmVo7p8BPUxzrSRA3LwKF0Bb0YaNse06axjtLNb5KDlUYOoqfDQ9S7w376bGVlY-Blk96PxVSt3MxZLBbXwb2T1Fpd', 'width': 4032}]",ChIJq5j3Nv9rJjARpAIRv27lRJg,5.0,ChIJq5j3Nv9rJjARpAIRv27lRJg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJq5j3Nv9rJjARpAIRv27lRJg
OPERATIONAL,"XC26+8GW, Sirombu, West Nias Regency, North Sumatra 22863, Indonesia","{'location': {'lat': 0.9508658, 'lng': 97.4113405}, 'viewport': {'northeast': {'lat': 0.9522366298927221, 'lng': 97.41269612989272}, 'southwest': {'lat': 0.9495369701072778, 'lng': 97.40999647010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bumi Aekhula,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113556303344249823226"">Andre Firdaus</a>'], 'photo_reference': 'AUGGfZlUlo804qVTlYcOXI9WqvmiLmXxytnyqRNQuW7m65XjGCaWI4pDohZVbjfHmgzhsUWVRVD_ymfdMBIwGl3U7f1K4QqK8YilZ-JEAnJ9pXOyDFk_2N_DioAOkg9DtrwXrjYR3xSl2LmiBDVUYdvsXxkLszyKSFxIgKBspG_PTto6Z0VE', 'width': 4000}]",ChIJ11erxr5rJjARH_BLSAyvxOc,5.0,ChIJ11erxr5rJjARH_BLSAyvxOc,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJ11erxr5rJjARH_BLSAyvxOc
OPERATIONAL,"WCW5+RCP, Sirombu, West Nias Regency, North Sumatra, Indonesia","{'location': {'lat': 0.9470995000000001, 'lng': 97.4085844}, 'viewport': {'northeast': {'lat': 0.9483517298927221, 'lng': 97.41005527989272}, 'southwest': {'lat': 0.9456520701072778, 'lng': 97.40735562010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Zitambai Nasi - Desa Sirombu - Kec Sirombu,,,ChIJdWTMIwBrJjARJMuYOZgUYSE,0.0,ChIJdWTMIwBrJjARJMuYOZgUYSE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJdWTMIwBrJjARJMuYOZgUYSE
OPERATIONAL,"WCW6+22G, Sirombu, West Nias Regency, North Sumatra, Indonesia","{'location': {'lat': 0.9450637, 'lng': 97.4100751}, 'viewport': {'northeast': {'lat': 0.9462422798927222, 'lng': 97.41140762989272}, 'southwest': {'lat': 0.943542620107278, 'lng': 97.40870797010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,pantai Toziro,{'open_now': True},"[{'height': 3060, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114292629627995629748"">Yoga Ilhamsyah</a>'], 'photo_reference': 'AUGGfZlGo7Ji57v8khdSvCq2E58qA3waZ5Cc5POqKZxLxyp9rBj-GEWh-cN8hcdjPMk8gPyUHkIEPZq6nmIFSW78UQdY4wErhMVUc8ViLNZLzxBV5bcgu7BW31PLO3xz1z5p98GnqpWioEWBzY2T6jvVZpYihC0Zmj3p3I-R1vejnhzQWsx6', 'width': 4080}]",ChIJj1aeQPVrJjARJr4OhEh6eBA,4.4,ChIJj1aeQPVrJjARJr4OhEh6eBA,"['tourist_attraction', 'point_of_interest', 'establishment']",11,,,https://www.google.com/maps/place/?q=place_id:ChIJj1aeQPVrJjARJr4OhEh6eBA
OPERATIONAL,"WFJR+MVX, Unnamed Road, Togim Bogi, Kec. Sirombu, Kabupaten Nias Barat, Sumatera Utara 22863, Indonesia","{'location': {'lat': 0.9317499, 'lng': 97.4922393}, 'viewport': {'northeast': {'lat': 0.93633825, 'lng': 97.49402522989274}, 'southwest': {'lat': 0.9302204500000001, 'lng': 97.49132557010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kamadu Beach,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104502633533380721043"">A Google User</a>'], 'photo_reference': 'AUGGfZmw-c_SQT52rBDMAQ3BSXmz6RSuyOILw2XX6JpXv-kUJABxhjvDUqoyYGJ7fWVFgbbYRQvcdFaQaGjeSjWTgWLoXRr9D_0szp0KOFqhVtv3WSViyPBA65V3NED4-HvMDMF3L1UArudT76ORhVv3p8788xuGaBNveTRNjhxpfwsR_M9L', 'width': 1952}]",ChIJAZWjHgkVJjARAYGiKGWr0DY,3.8,ChIJAZWjHgkVJjARAYGiKGWr0DY,"['tourist_attraction', 'point_of_interest', 'establishment']",20,,,https://www.google.com/maps/place/?q=place_id:ChIJAZWjHgkVJjARAYGiKGWr0DY
OPERATIONAL,"XC38+PXC, Sirombu, West Nias Regency, North Sumatra 22863, Indonesia","{'location': {'lat': 0.9543083, 'lng': 97.4173848}, 'viewport': {'northeast': {'lat': 0.95584825, 'lng': 97.41886657989272}, 'southwest': {'lat': 0.94968845, 'lng': 97.41616692010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Sirombu,,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108894375249799127037"">Berkat March</a>'], 'photo_reference': 'AUGGfZm72eURWYXU5NT-cIM3y5SBExinex0sxPVBxCCmZqcRZumziY2wtRQZRVGH44P6rl3rbZj2Sx0iBo37OIQJyy88AsEJRGot_U6Wo8QzA6q8dQSQCIsjN29Yns3AR2SD6v8WrXzcsp1qPtEmYCmjznS-n4tDzdktsYt2OHhFsjGIDhXz', 'width': 4000}]",ChIJ4SToGNprJjAR5prEH0e9M9c,5.0,ChIJ4SToGNprJjAR5prEH0e9M9c,"['park', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJ4SToGNprJjAR5prEH0e9M9c
OPERATIONAL,"Jl. Lingkar pantai Sirombu, Afulu, Onolimburaya, Kec. Mandrehe Bar., Kabupaten Nias Barat, Sumatera Utara 22812, Indonesia","{'location': {'lat': 0.9793883999999999, 'lng': 97.4071414}, 'viewport': {'northeast': {'lat': 0.980764929892722, 'lng': 97.40860932989273}, 'southwest': {'lat': 0.9780652701072777, 'lng': 97.40590967010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Nona Sebolo,{'open_now': True},"[{'height': 2128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105974086577354729460"">A Google User</a>'], 'photo_reference': 'AUGGfZkU38Chkgoup4qRmvYcdmrLCc-ePNyz8OkHBsixl-BK1Xftxu13l-5RkyJ587EwNM168ME4R6dmseMq9-wAFGoPi5HLZq8eFNyqDR8dvAiHk4_a1_ZviE8wLHH9CMVAZ8z8cj3pv4mTNmEhABO4mNX-w8iFnQPt2loH7GFxY0qfKheU', 'width': 4608}]",ChIJK_btl8ptJjAR-Ho05VKLPkk,5.0,ChIJK_btl8ptJjAR-Ho05VKLPkk,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"{'compound_code': 'XCH4+QV Onolimburaya, West Nias Regency, North Sumatra, Indonesia', 'global_code': '6MGVXCH4+QV'}",,https://www.google.com/maps/place/?q=place_id:ChIJK_btl8ptJjAR-Ho05VKLPkk
OPERATIONAL,"WFJR+VP5, Unnamed Road, Togim Bogi, Kec. Sirombu, Kabupaten Nias Barat, Sumatera Utara 22863, Indonesia","{'location': {'lat': 0.9321431000000001, 'lng': 97.491872}, 'viewport': {'northeast': {'lat': 0.9363312499999998, 'lng': 97.49361987989272}, 'southwest': {'lat': 0.9307470500000005, 'lng': 97.49092022010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Pantai Kumadu, Tetehosi",{'open_now': True},"[{'height': 1486, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110201562409042847895"">Iman Gaabriell</a>'], 'photo_reference': 'AUGGfZlZopabhMm6TAJy20ns3xPrvnBQu8lWLHadNB7MRjzKW17uNVuUf0uV_cqy1MTXNUXcNcmuV1T4oUP-MYxLbG7siekoNRlNp897rQpwVlUoKRava06HYiFcrJVo6SugsgDFPcvvzp0QDggq3LaXqwR0pS8JqiqU3pTaZRZHXO0wUdFW', 'width': 1242}]",ChIJc29r3ZUVJjARn6VLJU7D3Q8,4.2,ChIJc29r3ZUVJjARn6VLJU7D3Q8,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,https://www.google.com/maps/place/?q=place_id:ChIJc29r3ZUVJjARn6VLJU7D3Q8
OPERATIONAL,"XCM4+4M6, Sisarahili II, West Mandrehe, West Nias Regency, North Sumatra 22812, Indonesia","{'location': {'lat': 0.9827872999999999, 'lng': 97.4066325}, 'viewport': {'northeast': {'lat': 0.9841425298927221, 'lng': 97.40800627989272}, 'southwest': {'lat': 0.9814428701072778, 'lng': 97.40530662010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ZEBOLO City,,,ChIJ-Y-MTgBtJjARL0Ecnq4LW78,0.0,ChIJ-Y-MTgBtJjARL0Ecnq4LW78,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ-Y-MTgBtJjARL0Ecnq4LW78
