business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,permanently_closed,photos,url
OPERATIONAL,"5X4F+89H, Tinampak II, Salang, Nunukan Regency, North Kalimantan, Indonesia","{'location': {'lat': 4.1558247, 'lng': 116.9734861}, 'viewport': {'northeast': {'lat': 4.157180029892722, 'lng': 116.9748158798927}, 'southwest': {'lat': 4.154480370107278, 'lng': 116.9721162201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit kenangan,{'open_now': True},ChIJGXR7JQBtFjIRayQMnxA_GX4,0.0,ChIJGXR7JQBtFjIRayQMnxA_GX4,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJGXR7JQBtFjIRayQMnxA_GX4
CLOSED_TEMPORARILY,"36Q5+J8V, Pembeliangan, Sebuku, Nunukan Regency, North Kalimantan 77482, Indonesia","{'location': {'lat': 4.0891169, 'lng': 117.2083081}, 'viewport': {'northeast': {'lat': 4.092824000000001, 'lng': 117.2103775}, 'southwest': {'lat': 4.0878812, 'lng': 117.2076183}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mujair,,ChIJU-j7Y-fZFTIRfZBno--uZs4,5.0,ChIJU-j7Y-fZFTIRfZBno--uZs4,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,True,,https://www.google.com/maps/place/?q=place_id:ChIJU-j7Y-fZFTIRfZBno--uZs4
OPERATIONAL,"3JJ5+97M, Linsayung, Lumbis Ogong, Nunukan, Nunukan Regency, North Kalimantan, Indonesia","{'location': {'lat': 4.0809649, 'lng': 116.6081653}, 'viewport': {'northeast': {'lat': 4.082314729892722, 'lng': 116.6095151298927}, 'southwest': {'lat': 4.079615070107278, 'lng': 116.6068154701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondasi 3 petak,,ChIJcbjI9VdRFjIRnWL8h3kRSJc,0.0,ChIJcbjI9VdRFjIRnWL8h3kRSJc,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJcbjI9VdRFjIRnWL8h3kRSJc
,"Sebuku, Nunukan Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.9521753, 'lng': 117.1264753}, 'viewport': {'northeast': {'lat': 4.182024999999999, 'lng': 117.46418}, 'southwest': {'lat': 3.859645, 'lng': 116.618887}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sebuku,,ChIJ1cEa5aFxFjIRdKOPBF69fEc,,ChIJ1cEa5aFxFjIRdKOPBF69fEc,"['administrative_area_level_3', 'political']",,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107532980563924950806"">Iqra Imran</a>'], 'photo_reference': 'AUGGfZkFLTW8mo8vlaG79uZH7KlNw9q9nKP0jr8k2hfXssQ3x0v06CG3AIU99ccuFkNI1ruTULja_UXxl33kHpmI598Sr0g4Yb9u7W8oaE_6sS-EcgoGgEIE79YOJ7qJznsYCuEL-RihlqNVN7LPNBEVaHCa4qGQfhtb3HZugRSkc7WKPkqd', 'width': 4608}]",https://www.google.com/maps/place/?q=place_id:ChIJ1cEa5aFxFjIRdKOPBF69fEc
CLOSED_TEMPORARILY,"2XHJ+G5M, Tetaban, Tulin Onsoi, Nunukan, Nunukan Regency, North Kalimantan 77482, Indonesia","{'location': {'lat': 4.0288263, 'lng': 116.9804069}, 'viewport': {'northeast': {'lat': 4.030031979892723, 'lng': 116.9818884798927}, 'southwest': {'lat': 4.027332320107279, 'lng': 116.9791888201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Di ujung kaltara,,ChIJcYJsjKFlFjIRQOiUUHrorzQ,0.0,ChIJcYJsjKFlFjIRQOiUUHrorzQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,True,,https://www.google.com/maps/place/?q=place_id:ChIJcYJsjKFlFjIRQOiUUHrorzQ
CLOSED_TEMPORARILY,"3JJ5+97M, Linsayung, Lumbis Ogong, Nunukan, Nunukan Regency, North Kalimantan, Indonesia","{'location': {'lat': 4.0809649, 'lng': 116.6081653}, 'viewport': {'northeast': {'lat': 4.082314729892722, 'lng': 116.6095151298927}, 'southwest': {'lat': 4.079615070107278, 'lng': 116.6068154701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tunggal J_M,,ChIJ_3gjVnlRFjIR-kM0ZMBKQ1w,0.0,ChIJ_3gjVnlRFjIR-kM0ZMBKQ1w,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,True,,https://www.google.com/maps/place/?q=place_id:ChIJ_3gjVnlRFjIR-kM0ZMBKQ1w
OPERATIONAL,"VMF6+H8, Tanjung Hilir, Lumbis, Nunukan Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.8739769, 'lng': 116.6607677}, 'viewport': {'northeast': {'lat': 3.875326729892723, 'lng': 116.6621175298927}, 'southwest': {'lat': 3.872627070107278, 'lng': 116.6594178701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Suyadon,,ChIJByRlKub3FjIRpuh5uOs6gTE,3.0,ChIJByRlKub3FjIRpuh5uOs6gTE,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,"[{'height': 4208, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114871526006983770112"">A Google User</a>'], 'photo_reference': 'AUGGfZkS1A1pPPw1crJJvcqgNHeDzo9L5NrooF7CxdP2ed-6t_abY6HNUpEMDgI5j3tF4Gbc3ahbBsOrGy1T5cAzuX4K1KQ4FiDxAHytjIXeSvDJh7uB5w3ea0RvSSkYy54w8LsqWBmmY-dCw9PAnx1BpX-MwU6-UsygCrgCT6zpPiMPxwqf', 'width': 2366}]",https://www.google.com/maps/place/?q=place_id:ChIJByRlKub3FjIRpuh5uOs6gTE
OPERATIONAL,"2XQP+74, Tetaban, Sebuku, Nunukan Regency, North Kalimantan 77482, Indonesia","{'location': {'lat': 4.0381959, 'lng': 116.9853843}, 'viewport': {'northeast': {'lat': 4.039552579892722, 'lng': 116.9867444298928}, 'southwest': {'lat': 4.036852920107278, 'lng': 116.9840447701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rumah Pak Adi,,ChIJ5Y4Q5kN7FjIRkEjOHLoYx7Y,4.0,ChIJ5Y4Q5kN7FjIRkEjOHLoYx7Y,"['lodging', 'point_of_interest', 'establishment']",3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ5Y4Q5kN7FjIRkEjOHLoYx7Y
OPERATIONAL,"7XM4+WV4, Desa, Tinampak I, Tulin Onsoi, Kabupaten Nunukan, Kalimantan Utara 77482, Indonesia","{'location': {'lat': 4.2847563, 'lng': 116.9572091}, 'viewport': {'northeast': {'lat': 4.286106129892722, 'lng': 116.9585589298927}, 'southwest': {'lat': 4.283406470107278, 'lng': 116.9558592701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Objek Wisata Busoi Tampilon,{'open_now': True},ChIJKUzL8kQTFjIRx1T6atiurTs,5.0,ChIJKUzL8kQTFjIRx1T6atiurTs,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110759539755455517315"">Dedy Explore</a>'], 'photo_reference': 'AUGGfZnJ3DTqLzJcVbrONzgcmuoYqC4K2NICJqEfQLOso6xCiAEVsqia6X3ZvXgoSdtVKoZi1adK9rR19kuR5vdsKEtGFHgB3Wqn-uZV7MCECcmtNWCxh1NZqPNgC2qYieMRVF_maEqg74RV9zmkAMFaz0LG9qG7LT9pwhdpHzUC1yUSezry', 'width': 3000}]",https://www.google.com/maps/place/?q=place_id:ChIJKUzL8kQTFjIRx1T6atiurTs
CLOSED_TEMPORARILY,"3JJ5+97M, Linsayung, Lumbis Ogong, Nunukan, Nunukan Regency, North Kalimantan, Indonesia","{'location': {'lat': 4.0809649, 'lng': 116.6081653}, 'viewport': {'northeast': {'lat': 4.082314729892722, 'lng': 116.6095151298927}, 'southwest': {'lat': 4.079615070107278, 'lng': 116.6068154701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondasi luar awal,,ChIJUUMQpUdRFjIRga9AB40f5js,0.0,ChIJUUMQpUdRFjIRga9AB40f5js,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,True,,https://www.google.com/maps/place/?q=place_id:ChIJUUMQpUdRFjIRga9AB40f5js
OPERATIONAL,"5G6M+HH, North Nunukan, Nunukan, Nunukan Regency, North Kalimantan, Indonesia","{'location': {'lat': 4.1614432, 'lng': 117.5339538}, 'viewport': {'northeast': {'lat': 4.162793029892723, 'lng': 117.5353036298927}, 'southwest': {'lat': 4.160093370107279, 'lng': 117.5326039701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,EKO WISATA MANGROVE,,ChIJ0wnH0GfBFTIRT9nFCDzke2w,5.0,ChIJ0wnH0GfBFTIRT9nFCDzke2w,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ0wnH0GfBFTIRT9nFCDzke2w
