business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"VJRX+87W, Jl. Lintas KTM, Tugu Harum, Kec. Belitang Madang Raya, Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan 32382, Indonesia","{'location': {'lat': -4.1091489, 'lng': 104.6482079}, 'viewport': {'northeast': {'lat': -4.107792020107278, 'lng': 104.6494941298927}, 'southwest': {'lat': -4.110491679892722, 'lng': 104.6467944701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Monumen Pluralisme, Belitang",{'open_now': True},"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106709799834344425075"">Algi fahri</a>'], 'photo_reference': 'AUGGfZl314qImHvnAGDnpc59I6TMDvkk6IXBKRuHEnSo0w7lV-mizSVy02Vu5e_VpoilIfp4lyxRwGtPMp6X_me5-xy69TPE5YuPq9kcMTYu6KI60V6j_6vENsNrgVQTe_zdE12XiykWoEa2Ff8urrGXBmIHweMtIauPIvW9k63GrTaGLpuq', 'width': 720}]",ChIJmXKZDM8ZOS4RrHHxjjB0lKY,4.0,ChIJmXKZDM8ZOS4RrHHxjjB0lKY,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJmXKZDM8ZOS4RrHHxjjB0lKY
OPERATIONAL,"2Q3C+JV, Srijaya, Belitang II, East Ogan Komering Ulu Regency, South Sumatra, Indonesia","{'location': {'lat': -3.9959795, 'lng': 104.7722333}, 'viewport': {'northeast': {'lat': -3.994617070107278, 'lng': 104.7735870298927}, 'southwest': {'lat': -3.997316729892722, 'lng': 104.7708873701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bull 1,,"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117602146338394467107"">debby cool</a>'], 'photo_reference': 'AUGGfZkuMGmEiUYmNM2y8cl8bjE2n6C1uqcvtUGwvEab0cgNaELtLTBf-5_qAdJVm2pXDjJuTFhPOedciD_w8DEWvX1NbDM_NRl9LS-k4m4hFHZPWrVI5KfkUVLpGAznSIr0N6q3KxoEaT9AoP4peMC4L1qHXOoxv04zD2oUdoJ7-RgN-MTf', 'width': 1040}]",ChIJw2dEzI45OS4RORFlnJOx4UY,5.0,ChIJw2dEzI45OS4RORFlnJOx4UY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJw2dEzI45OS4RORFlnJOx4UY
OPERATIONAL,"VPQG+48X, Senu Marga, Belitang III, East Ogan Komering Ulu Regency, South Sumatra 32385, Indonesia","{'location': {'lat': -4.112127099999999, 'lng': 104.7258443}, 'viewport': {'northeast': {'lat': -4.110530520107279, 'lng': 104.7269921798927}, 'southwest': {'lat': -4.113230179892723, 'lng': 104.7242925201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Senumarga,,,ChIJM_VsfAAjOS4RJu34yG0QrPs,0.0,ChIJM_VsfAAjOS4RJu34yG0QrPs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJM_VsfAAjOS4RJu34yG0QrPs
OPERATIONAL,"XH9C+J8, Pandan Sari I, Belitang Madang Raya, East Ogan Komering Ulu Regency, South Sumatra, Indonesia","{'location': {'lat': -4.0308768, 'lng': 104.5707806}, 'viewport': {'northeast': {'lat': -4.029528170107279, 'lng': 104.5721336298927}, 'southwest': {'lat': -4.032227829892723, 'lng': 104.5694339701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempat angker,{'open_now': True},"[{'height': 3824, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109708655858172174145"">Pascalis Diaz</a>'], 'photo_reference': 'AUGGfZm_UAZ_KfnZdo5TTnLh-ifSzmYSymYu0GLDDIfEieO5Fuo2gGCkUETiLDgbah3sxP0JkF1FOQLGtH8DxEWJ93LCkjXxhqQDb65DvEeF4jaaQF6xUhEiY-_BkjarIkLRYiDHNvC1WlQo86rXiiaShGvnyKDIqukLuScClQEui8fJ3zGg', 'width': 4832}]",ChIJR84TmMgXOS4R0U31urFHyEU,5.0,ChIJR84TmMgXOS4R0U31urFHyEU,"['point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJR84TmMgXOS4R0U31urFHyEU
OPERATIONAL,"Jl. Raya Belitang No.1, Karang Tengah, Kec. Buay Madang Tim., Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan 32361, Indonesia","{'location': {'lat': -4.188503, 'lng': 104.582828}, 'viewport': {'northeast': {'lat': -4.187122070107278, 'lng': 104.5841829798927}, 'southwest': {'lat': -4.189821729892722, 'lng': 104.5814833201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai merian,,,ChIJBVnlOncfOS4RlWbu0H3gl80,0.0,ChIJBVnlOncfOS4RlWbu0H3gl80,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'RH6M+H4 Central Karang, East Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76RH6M+H4'}",https://www.google.com/maps/place/?q=place_id:ChIJBVnlOncfOS4RlWbu0H3gl80
OPERATIONAL,"VJVX+446 Taman Singa Apor, Tugu Harum, Kec. Belitang, Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan 32382, Indonesia","{'location': {'lat': -4.1072039, 'lng': 104.6477771}, 'viewport': {'northeast': {'lat': -4.105815070107278, 'lng': 104.6491364298927}, 'southwest': {'lat': -4.108514729892722, 'lng': 104.6464367701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Singa Apor,{},"[{'height': 422, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114193339162553669502"">jhani wijaya</a>'], 'photo_reference': 'AUGGfZnIFbqNPUZ3tnqPUCWFPIviGTpsAUjxiD6g90BXodCKEdpgXskyaBVX9hRakdaPYpkxcgGPXp9xTSlzK7fP5mnqa3XXoiNWxMqBhh64xUp6K-hEab0PCuF3h2EZvdQFm8NOyAAGszkbMy8e6Hb9Dpb7WZPdSRg684yfapUCyO5YhLhD', 'width': 727}]",ChIJbYj2ze0ZOS4RGZ9DCqk_kos,4.3,ChIJbYj2ze0ZOS4RGZ9DCqk_kos,"['park', 'point_of_interest', 'establishment']",66,,https://www.google.com/maps/place/?q=place_id:ChIJbYj2ze0ZOS4RGZ9DCqk_kos
OPERATIONAL,"VJWV+P4M, Tugu Harum, Belitang Madang Raya, East Ogan Komering Ulu Regency, South Sumatra 32382, Indonesia","{'location': {'lat': -4.1032054, 'lng': 104.6428136}, 'viewport': {'northeast': {'lat': -4.101880070107277, 'lng': 104.6441846798927}, 'southwest': {'lat': -4.104579729892721, 'lng': 104.6414850201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ANDRE Maya Polsek Belitang 1,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112766547777593330726"">A Google User</a>'], 'photo_reference': 'AUGGfZlcrHyrBbDgd8lmG9rCKNh0VqTHZdaDcB_hETCCMHmg7iI7hXVlyzshgn-eTtqH8RaOv6Mr8sA81Hye72G-aaC5DgKnKjTDGeuEtZVilUwuzUgKOgE9ghj2YnKBFWEsUefNbV8Tqd3yb-Xc8QQS4uat7HZvsD69rM2Cu0EpTpFIM7b-', 'width': 1600}]",ChIJbbmctI0ZOS4RP3RSIRnxHnk,5.0,ChIJbbmctI0ZOS4RP3RSIRnxHnk,"['lodging', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJbbmctI0ZOS4RP3RSIRnxHnk
OPERATIONAL,"Unnamed Road, 32382, Tugu Harum, Kec. Belitang Madang Raya, Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan 32382, Indonesia","{'location': {'lat': -4.1049042, 'lng': 104.6437273}, 'viewport': {'northeast': {'lat': -4.103538320107277, 'lng': 104.6450968298927}, 'southwest': {'lat': -4.106237979892721, 'lng': 104.6423971701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Kacang Tugu Harum,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101165803114773497767"">Beni Saputra</a>'], 'photo_reference': 'AUGGfZlvAIAouXcz_T2bag1dGXmuCkCubQCiPh3HSogUqqZqT1AZDMPdHsry9qDRJW6fqx31nRpc9GKPL9Bz1LiFXjFJCgnKjnY8-A1S7JkEM0AitOp_T2TQqF8DQLVGBbPQeGGj9hq5lKmos8X8qSRxBAfhK4Zy46ky4wEWmS2G7TxEUj_S', 'width': 2448}]",ChIJPRmWXRoYOS4RmiWHuKeDz0w,4.2,ChIJPRmWXRoYOS4RmiWHuKeDz0w,"['point_of_interest', 'establishment']",86,"{'compound_code': 'VJWV+2F Tugu Harum, East Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76VJWV+2F'}",https://www.google.com/maps/place/?q=place_id:ChIJPRmWXRoYOS4RmiWHuKeDz0w
OPERATIONAL,"VJRX+C65, Jl. Raya Gumawang, Gumawang, Kec. Belitang, Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan 32382, Indonesia","{'location': {'lat': -4.1089784, 'lng': 104.6481097}, 'viewport': {'northeast': {'lat': -4.107630770107277, 'lng': 104.6494795298927}, 'southwest': {'lat': -4.110330429892721, 'lng': 104.6467798701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Tugu Gerbang KOta Belitang,,"[{'height': 1968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100697284912281767196"">Rasyid Milliandra</a>'], 'photo_reference': 'AUGGfZmBCY8OvBWIsZPRthRAOtb-B34Ni6dTscN9stfHdePMZBBS_aqZlrgSrLFjF5ispR_Ci2n7tzdkEZ-ZQmFhUosALU0hKO7c8NmtauIB141CQpgr7varBXYTid8bltt7l0c5xJa4q1slEoEV5bhrEX7eAf96iaDOZSP-hU0yyENBtaTK', 'width': 4144}]",ChIJG1OSy3MZOS4R-0VfJbto5pI,4.4,ChIJG1OSy3MZOS4R-0VfJbto5pI,"['park', 'point_of_interest', 'establishment']",9,,https://www.google.com/maps/place/?q=place_id:ChIJG1OSy3MZOS4R-0VfJbto5pI
OPERATIONAL,"VJRX+868Jl. Raya Gumawang, Gumawang, Kec. Belitang, Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan 32382, Indonesia","{'location': {'lat': -4.109270299999999, 'lng': 104.6480997}, 'viewport': {'northeast': {'lat': -4.107920520107278, 'lng': 104.6494497298927}, 'southwest': {'lat': -4.110620179892722, 'lng': 104.6467500701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SIMPANG EMPAT KOTA GUMAWANG BK10,{},"[{'height': 716, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117020599895449946225"">A Google User</a>'], 'photo_reference': 'AUGGfZnlsY3gnKWHt3ETXcpeqOseqWYlav13vEUJ8JMHWv3h3Aez32UZ8wLdtLdrWTZRG0OKZfSdNSrNvrSvflLhcTG1WG_UURP1UW7hmNZtoNDp9sKkYcHDDFOVzMgpEfb8AGUqg_ipFRqHblLmsUbJh8ZhXG064Ud5_-vgZb_hIAPBgIlb', 'width': 1040}]",ChIJpyjTMlQZOS4RBBMXf5vwMP8,4.7,ChIJpyjTMlQZOS4RBBMXf5vwMP8,"['amusement_park', 'point_of_interest', 'establishment']",13,"{'compound_code': 'VJRX+76 Gumawang, East Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76VJRX+76'}",https://www.google.com/maps/place/?q=place_id:ChIJpyjTMlQZOS4RBBMXf5vwMP8
