business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"QMJQ+QG, Sijantung Jae, Dolok, North Padang Lawas Regency, North Sumatra, Indonesia","{'location': {'lat': 1.7818867, 'lng': 99.68882459999999}, 'viewport': {'northeast': {'lat': 1.783236529892722, 'lng': 99.6901744298927}, 'southwest': {'lat': 1.780536870107278, 'lng': 99.68747477010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Bendungan Parigi kecamatan Dolok, kabupaten Padang lawas utara","[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114505161853784894486"">A Google User</a>'], 'photo_reference': 'AUGGfZk10AspIFxJcYJ1jKYNTgCASaFEUMNmHYMSSSDJoHicxDu6Dt_NHMlgoUYzyCF2u4vui4drf2Vlh0n03cPH4tLakmWy5OF2J2cz46daZDIh1afKb_ZjMGU2w6iDh12zf9gyCjcoy6lBHmEoQscznHe2AXkYnZ63EUBxSWOTi16XIree', 'width': 1080}]",ChIJPUzEOABNLDAReqrL0AEmxjw,3.0,ChIJPUzEOABNLDAReqrL0AEmxjw,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJPUzEOABNLDAReqrL0AEmxjw
OPERATIONAL,"WHM4+J44, Sunge Pining, Dolok, North Padang Lawas Regency, North Sumatra 22758, Indonesia","{'location': {'lat': 1.9340052, 'lng': 99.555318}, 'viewport': {'northeast': {'lat': 1.935476279892723, 'lng': 99.55657502989273}, 'southwest': {'lat': 1.932776620107278, 'lng': 99.55387537010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Aek Bilah,,ChIJj1yO2Nq3LTARUHL8T7yjn38,3.8,ChIJj1yO2Nq3LTARUHL8T7yjn38,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,,,https://www.google.com/maps/place/?q=place_id:ChIJj1yO2Nq3LTARUHL8T7yjn38
OPERATIONAL,"QJR6+98, Rongkare, Dolok, North Padang Lawas Regency, North Sumatra, Indonesia","{'location': {'lat': 1.7909391, 'lng': 99.6108246}, 'viewport': {'northeast': {'lat': 1.792087879892722, 'lng': 99.61217037989272}, 'southwest': {'lat': 1.789388220107278, 'lng': 99.60947072010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Sibayo,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111630171645606494745"">A Google User</a>'], 'photo_reference': 'AUGGfZmPr346Tblq-fQ4BwjNsbhgnkz4MsnyVC5kDkEJo81iB3NINYOqQ4sX9-WhAmIwmT5SmJ2AKYUlFf9oe_ECL_aVMyu-3HXqSJRezYL0Hh1PdaiK4g9mudi1zKr3B7N97S5eAp_X2ioW7RJiXUPJT-IZHa8v7ZgNRt_IIF6SNTJWQs6K', 'width': 4128}]",ChIJIQeQLDJLLDARlHeQt3AH780,0.0,ChIJIQeQLDJLLDARlHeQt3AH780,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJIQeQLDJLLDARlHeQt3AH780
OPERATIONAL,"Janji Manahan Sil, Dolok, North Padang Lawas Regency, North Sumatra 22756, Indonesia","{'location': {'lat': 1.8123627, 'lng': 99.82165359999999}, 'viewport': {'northeast': {'lat': 1.81402745, 'lng': 99.82233792989273}, 'southwest': {'lat': 1.80736845, 'lng': 99.81963827010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Janjimanahan Sil,"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102473098772300205360"">A Google User</a>'], 'photo_reference': 'AUGGfZmMBY-lVnEu6pf_laDq3nwxoIGnMjF7QFvTsWf_uUcA-jremRPN8PuMKqAykQDBxOKTQlAVCkvhIp2wjHuBmepRG77MlMZYP8lm6QMSpqWcZicHh06nBBqiJegpZTBXhg6jgotSJuyMFQBfLvfgRkKeL7ZF_V4hng-m8eGTk_1Z-cU', 'width': 1040}]",ChIJKSezT0yrLTARuAT1EqeXvMU,4.1,ChIJKSezT0yrLTARuAT1EqeXvMU,"['tourist_attraction', 'point_of_interest', 'establishment']",13,{'open_now': True},"{'compound_code': 'RR6C+WM Janji Manahan Sil, North Padang Lawas Regency, North Sumatra, Indonesia', 'global_code': '6MHXRR6C+WM'}",,https://www.google.com/maps/place/?q=place_id:ChIJKSezT0yrLTARuAT1EqeXvMU
OPERATIONAL,"XJ39+H6H Sihalo Halo, Gadung Holbung, Kec. Dolok, Kabupaten Padang Lawas Utara, Sumatera Utara 22758, Indonesia","{'location': {'lat': 1.953936, 'lng': 99.6181028}, 'viewport': {'northeast': {'lat': 1.955520279892722, 'lng': 99.61879497989271}, 'southwest': {'lat': 1.952820620107277, 'lng': 99.61609532010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sihalo Halo,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111583443236123489801"">A Google User</a>'], 'photo_reference': 'AUGGfZnpytmEKZR7X46lAlgFIOS95Dde__FNu_GoGapDr_TUIhFpFRlW_zjZNqFXJsmCfLW5kEqsk21qLkgL8FVF8gUc7up9jHhplaBMjlZHvceRdHUPVNX1e-a1cGO9Gq6oeZpO-zndjAZy3qwHoQYesq9ZdgwGNekaUsXprJa2f5ZKdhox', 'width': 960}]",ChIJIXGSNuW3LTARePZmmX7Knd0,5.0,ChIJIXGSNuW3LTARePZmmX7Knd0,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,,https://www.google.com/maps/place/?q=place_id:ChIJIXGSNuW3LTARePZmmX7Knd0
OPERATIONAL,"VHQH+2VC, Unnamed Road, Napa Sundali, Kec. Dolok, Kabupaten Padang Lawas Utara, Sumatera Utara 22758, Indonesia","{'location': {'lat': 1.8875574, 'lng': 99.579646}, 'viewport': {'northeast': {'lat': 1.888907229892722, 'lng': 99.58099582989273}, 'southwest': {'lat': 1.886207570107278, 'lng': 99.57829617010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Paya Ombik,"[{'height': 3864, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105516137035423752551"">Andre Pasaribu</a>'], 'photo_reference': 'AUGGfZnBp6B8QOFnQu7wjzfmx8jp4UVtq1GLbMRLmrtGSo5U97XOKQiYzNJHW5Kif-YoXwHJ9JH_D6ZkW9shhKnlb9e1_uFkXHAXJhtVbRWfR9u-bYnqjU7X3GsBeCqpqdtl8Hbz8Y9lFAloeWCdbldJbf9WwuuVHq2xOg_GcA-Yy63qus_z', 'width': 5152}]",ChIJS4uHP6y3LTARuHC6msmMkP4,5.0,ChIJS4uHP6y3LTARuHC6msmMkP4,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJS4uHP6y3LTARuHC6msmMkP4
OPERATIONAL,"XH3X+57W, Unnamed Road, Sunge Pining, Kec. Dolok, Kabupaten Padang Lawas Utara, Sumatera Utara 22758, Indonesia","{'location': {'lat': 1.9529977, 'lng': 99.5981894}, 'viewport': {'northeast': {'lat': 1.953824329892722, 'lng': 99.59949837989272}, 'southwest': {'lat': 1.951124670107278, 'lng': 99.59679872010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aek Lappining,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101376397169810470828"">A Google User</a>'], 'photo_reference': 'AUGGfZkHu8Jn10n27De0Dvrs_Wobrnr61JrPht0YZat7Oa-VyUJ-w31-RSbXloLU0_z1HO95SQfVyILp_RmBCp_MzJAncvMoqcoDZMEcpuRiWMheQbCLcB_30kZaSsGCROxM2IpaPvcXuxLAgaX7-Yj0lj4c4PU3g2X4I9lYvKbW1ny7qJpu', 'width': 2448}]",ChIJQVXggba3LTAR_kQlYx4l0Zo,4.8,ChIJQVXggba3LTAR_kQlYx4l0Zo,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,,https://www.google.com/maps/place/?q=place_id:ChIJQVXggba3LTAR_kQlYx4l0Zo
OPERATIONAL,"XJ7M+HXC, Unnamed Road, Ps. Sayur Matinggi, Kec. Dolok Sigompulon, Kabupaten Padang Lawas Utara, Sumatera Utara 22756, Indonesia","{'location': {'lat': 1.96394, 'lng': 99.634895}, 'viewport': {'northeast': {'lat': 1.965116429892723, 'lng': 99.63622072989273}, 'southwest': {'lat': 1.962416770107278, 'lng': 99.63352107010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simadihon Lama,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100257911505911957749"">Alam Warda Ritonga</a>'], 'photo_reference': 'AUGGfZmC2ec8RfQ-VCyCJS_3lsFRib6vQ_MbVRch4F0ovJZJP6--n5hAdcv-4hQKpWoyodRnOoKuJdg1bxIjivwcj2Ds1CfnlK9lNLArJ6YAej35eooeyPZcFS9eJEtV7Hcy2MjG9EF-q5TI5ejWlwYa68OkoaFKjRBorJK4mzdr_TeNvYd6', 'width': 3840}]",ChIJY5eKwOO7LTARaHkgt-3fmpw,4.3,ChIJY5eKwOO7LTARaHkgt-3fmpw,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJY5eKwOO7LTARaHkgt-3fmpw
OPERATIONAL,"VJFV+94P, Binanga, Gumbot, Kec. Dolok, Kabupaten Padang Lawas Utara, Sumatera Utara, Indonesia","{'location': {'lat': 1.8734747, 'lng': 99.6428361}, 'viewport': {'northeast': {'lat': 1.874824529892722, 'lng': 99.64418592989274}, 'southwest': {'lat': 1.872124870107277, 'lng': 99.6414862701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun sihorbo,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101099645538786982764"">A Google User</a>'], 'photo_reference': 'AUGGfZkRY14kHhDLLL5Oa4taDOVXfgmypHhCyYHfoLa6VH99j8p8a8smkR7kdsiaf1iaoZY112-DtgniO1HoUFs0-FxEFe12H8RLdLyNr_YaGY9mJ0NgcymKiZVRtDm1aMxaEZtYfOpd8zCHIMqvoDtqwg1V5kWQ63e0LQT9FT0-0Bcws7ac', 'width': 1080}]",ChIJd8GCgnKzLTARhN_Zy-cxkGg,5.0,ChIJd8GCgnKzLTARhN_Zy-cxkGg,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJd8GCgnKzLTARhN_Zy-cxkGg
OPERATIONAL,"RJRJ+JR2, Pasar Sipiongot, Dolok, North Padang Lawas Regency, North Sumatra, Indonesia","{'location': {'lat': 1.8415075, 'lng': 99.63201269999999}, 'viewport': {'northeast': {'lat': 1.842857329892723, 'lng': 99.63336252989271}, 'southwest': {'lat': 1.840157670107278, 'lng': 99.63066287010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Sigitan,"[{'height': 592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102594345605495029123"">A Google User</a>'], 'photo_reference': 'AUGGfZkwsEQ5jfkIq-8LdyQZL5QehhQpiolo29GZLhx-lrvmVzG8kK3WfodaQN0jiO3PXfS8J0OZUNT06vLqNiQ8ZxZGZlp9X1kZf8GWf496-QW4yu-wb-NybADzPjVB4J6MKALUDLtlXJ0dtIHYgS8A9cJrs1EmeceIBfEDtDKdGxUDu7yj', 'width': 1080}]",ChIJ2WyW4Jy1LTARbO2i3CkaDxA,4.8,ChIJ2WyW4Jy1LTARbO2i3CkaDxA,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2WyW4Jy1LTARbO2i3CkaDxA
