business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"C8WG+RQM, Bawah pinang, pasar hilir, Kec. 2 X 11 Kayu Tanam, Kabupaten Padang Pariaman, Sumatera Barat, Indonesia","{'location': {'lat': -0.552901, 'lng': 100.3269258}, 'viewport': {'northeast': {'lat': -0.5515118201072777, 'lng': 100.3281799798927}, 'southwest': {'lat': -0.5542114798927222, 'lng': 100.3254803201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batang kalu,{'open_now': True},"[{'height': 2240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116611458901839897437"">novendi ali</a>'], 'photo_reference': 'AUGGfZlnghcvfy9hi-zE44xV3AFq9bCACiD92LL7GN8OO4Jn7rnSCXRKEWxtlQDJB1R5uTSlDyh2jI-r2OJwVC6HWPb0SMdxAzw_lE1Ya-LQEuDhyuQ80C5xtucGRzGQ4-JBmXreAaiqXFommDkkxwtdmzcmvkma87JIXyBYpVQm8EiVESrN', 'width': 4608}]",ChIJJRNSE8kh1S8RgAGSo_8mQZo,0.0,ChIJJRNSE8kh1S8RgAGSo_8mQZo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJJRNSE8kh1S8RgAGSo_8mQZo
OPERATIONAL,"F3J3+4G8, Kuranji Hilir, Sungai Limau, Padang Pariaman Regency, West Sumatra 25562, Indonesia","{'location': {'lat': -0.5197088, 'lng': 100.0538176}, 'viewport': {'northeast': {'lat': -0.5181681701072779, 'lng': 100.0552179798927}, 'southwest': {'lat': -0.5208678298927223, 'lng': 100.0525183201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Arta Sungai Limau,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102817907798741620990"">Teguh Asdaq</a>'], 'photo_reference': 'AUGGfZnyXAJ5vBRlysp2cVLwMtm1eaUnK3hdux3jZrL7MnLDGqdR1sBkleMM8zxjwsh0aLawjYTTRvZq5skPnvK6zATUTw7bZDtwsNaLdEwhVzKC9cpQT_fZiWL5hH_FnurQ-tp_AD6MO2duK5eHTUSZFqMERmq9UFiZF9XClE7XuRvzRCLN', 'width': 4160}]",ChIJaVhXmWED1S8RUYICKopHTAI,4.2,ChIJaVhXmWED1S8RUYICKopHTAI,"['tourist_attraction', 'point_of_interest', 'establishment']",172,,https://www.google.com/maps/place/?q=place_id:ChIJaVhXmWED1S8RUYICKopHTAI
OPERATIONAL,"98GF+5R, Anduring, 2 X 11 Kayu Tanam, Padang Pariaman Regency, West Sumatra, Indonesia","{'location': {'lat': -0.6246195, 'lng': 100.3245021}, 'viewport': {'northeast': {'lat': -0.6233183701072779, 'lng': 100.3259513298927}, 'southwest': {'lat': -0.6260180298927224, 'lng': 100.3232516701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lolong singongeeh Rimbo Kalam Nagari Anduriang,{'open_now': True},,ChIJmYdM5_bf1C8R8BR-57tRFes,0.0,ChIJmYdM5_bf1C8R8BR-57tRFes,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJmYdM5_bf1C8R8BR-57tRFes
OPERATIONAL,"C4XW+43G, Limau Puruik, V Koto Timur, Padang Pariaman Regency, West Sumatra, Indonesia","{'location': {'lat': -0.5521855, 'lng': 100.1452058}, 'viewport': {'northeast': {'lat': -0.5508417201072777, 'lng': 100.1465456798927}, 'southwest': {'lat': -0.5535413798927222, 'lng': 100.1438460201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jambatan tapi aia kampuang ladang,,"[{'height': 1508, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104169381441968411599"">A Google User</a>'], 'photo_reference': 'AUGGfZk6xxMF4GEi7X9kjgm3FkXMw-w4S5MXqDfuWb4FiuwcKLSwT1NbeRqwgD8u__bbstprVdBpUxD5jYtBFWPfwcqhx2pVjp_OInKGnFaPYa7JeN4Qjr-3QgVxnpadfVKAfXwFoI8jwdFx0Lav0So_-VaTpBYw1S0T7Yd2cjZFOIDH3din', 'width': 1080}]",ChIJEdCkZwAd1S8RqIp6-66Nv2s,5.0,ChIJEdCkZwAd1S8RqIp6-66Nv2s,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJEdCkZwAd1S8RqIp6-66Nv2s
OPERATIONAL,"762P+G6V, Jl. Ketaping, Katapiang, Kec. Batang Anai, Kabupaten Padang Pariaman, Sumatera Barat 25586, Indonesia","{'location': {'lat': -0.7486446, 'lng': 100.2355476}, 'viewport': {'northeast': {'lat': -0.7472239201072778, 'lng': 100.2369556798927}, 'southwest': {'lat': -0.7499235798927222, 'lng': 100.2342560201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bagaga beach,{},"[{'height': 2600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100659818859837956949"">Masril Rustam</a>'], 'photo_reference': 'AUGGfZnurciTr0rRFV9NV906P1QgaFVYH6HTPUGrw5VfebW5zD7i9dtOA1obNxAYgOy5S906MOLiasFKJkWpkgFrnFEL-KLoK9DnAWym3PxuCSK6sn2ocoDFaNanKEMd7vt1rfU8kXVY839FWX4tl-CdQsZOZSXEqwrNIivtrbqa1HxxlsqP', 'width': 4624}]",ChIJDaVwHrDp1C8RNJnpII-EVbU,2.6,ChIJDaVwHrDp1C8RNJnpII-EVbU,"['tourist_attraction', 'point_of_interest', 'establishment']",15,,https://www.google.com/maps/place/?q=place_id:ChIJDaVwHrDp1C8RNJnpII-EVbU
OPERATIONAL,"C6GW+72F, Durian River, Patamuan, Padang Pariaman Regency, West Sumatra, Indonesia","{'location': {'lat': -0.574317, 'lng': 100.2450506}, 'viewport': {'northeast': {'lat': -0.5734396000000002, 'lng': 100.2469203298927}, 'southwest': {'lat': -0.5769491999999999, 'lng': 100.2442206701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,parak pisang,,,ChIJs8sY04Af1S8RhUO2gRD7hQM,0.0,ChIJs8sY04Af1S8RhUO2gRD7hQM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJs8sY04Af1S8RhUO2gRD7hQM
OPERATIONAL,"F76R+GF, Kapalo Hilalang, 2 X 11 Kayu Tanam, Padang Pariaman Regency, West Sumatra, Indonesia","{'location': {'lat': -0.538689, 'lng': 100.291199}, 'viewport': {'northeast': {'lat': -0.5373318201072778, 'lng': 100.2923139798927}, 'southwest': {'lat': -0.5400314798927223, 'lng': 100.2896143201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tapian Mandi Batu Licin,{'open_now': True},"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112103944862713180608"">JAY DATUM</a>'], 'photo_reference': 'AUGGfZl6urblBbbYGtYez1AABuB4YuzQAjf8aZActUy693qfIc0MoUTcQSoJ7gdIgFQAK0J9hA8Qzo7qw4Q-fstkVwUOvybC84UQOf4zfkrVy8rBhhKrVJuuUcmyG9L_k29e8GQdqDyXyJgI0y2E3LLqoW4x2PDKza0X_2RFQsMikfzXzMhN', 'width': 720}]",ChIJXWmSXC4h1S8Rz4ARVA3Xh3A,5.0,ChIJXWmSXC4h1S8Rz4ARVA3Xh3A,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJXWmSXC4h1S8Rz4ARVA3Xh3A
OPERATIONAL,"C6MJ+6QQ, Koto Baru, VII Koto Sungai Sariak, Padang Pariaman Regency, West Sumatra 25573, Indonesia","{'location': {'lat': -0.5669152, 'lng': 100.2319783}, 'viewport': {'northeast': {'lat': -0.5655119701072778, 'lng': 100.2332350798927}, 'southwest': {'lat': -0.5682116298927222, 'lng': 100.2305354201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lubuak Tano Bridge,{'open_now': True},"[{'height': 1500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115457598165826540006"">rudi chalces</a>'], 'photo_reference': 'AUGGfZluWGR7koDcGw8oYC7YXMJvz9ZbI_YsMCC3HenUjD5sz3Nob2pW3gqOirUSW4nbUqycgjiBkd4JpnY7Z_aHm4brb_brgmZ05ep-zRIGimCLWc08gXFm2lMwsUrhwo-t-pwlzptW-JN7FUu4iFY1OYn5VOqkNep6PW6_Fui_4DtVigsi', 'width': 2000}]",ChIJyTSfLzMf1S8RCaMirJFXL_I,4.4,ChIJyTSfLzMf1S8RCaMirJFXL_I,"['tourist_attraction', 'point_of_interest', 'establishment']",243,,https://www.google.com/maps/place/?q=place_id:ChIJyTSfLzMf1S8RCaMirJFXL_I
OPERATIONAL,"G797+X86, Tandikat, Patamuan, Padang Pariaman Regency, West Sumatra 26161, Indonesia","{'location': {'lat': -0.4800981, 'lng': 100.263278}, 'viewport': {'northeast': {'lat': -0.4789636201072777, 'lng': 100.2643298298927}, 'southwest': {'lat': -0.4816632798927221, 'lng': 100.2616301701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lubuak Batu Palimauan,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113746325752930977104"">A Google User</a>'], 'photo_reference': 'AUGGfZmttqMYt877We_wj4wFr7_uBE-R5vx6t6CvlS6Jd0vv55QO7I8GEZc5KpRQ1LMpcO2eSdSClHbVXLw7JFbW5-jnVf8VdMCmd2h0_wuyDxPgvd0Hhsb8FXX7dv86AmU8fS89b73FWIEDM8rJPnJGe0_QAF5Wt5Rte8VhdOWpCdoleqoY', 'width': 3264}]",ChIJfd5DgoAi1S8RcXFgI4mwDdA,4.9,ChIJfd5DgoAi1S8RcXFgI4mwDdA,"['tourist_attraction', 'point_of_interest', 'establishment']",17,,https://www.google.com/maps/place/?q=place_id:ChIJfd5DgoAi1S8RcXFgI4mwDdA
OPERATIONAL,"789H+QPX, Buluh River, Batang Anai, Padang Pariaman Regency, West Sumatra 25581, Indonesia","{'location': {'lat': -0.7305204000000001, 'lng': 100.3293717}, 'viewport': {'northeast': {'lat': -0.7291918701072777, 'lng': 100.3307863298927}, 'southwest': {'lat': -0.7318915298927222, 'lng': 100.3280866701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lubuak Jambu,{'open_now': True},"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105036173094501000725"">A Google User</a>'], 'photo_reference': 'AUGGfZkRgAwrVxM-9gFWrwQDqYauWxjR9gTeUAxB7JgpyM3HzcAj1J9FVOloSvLggtwGojU0A94GHOoPe4j427jibTZEkHdBuRyR9GZ1g0lXfKrlNrydlC74cs0NoaWhbqrHFH8xLhavoNqnRBUOtf9UID-YIq1XjtmiwGVJdg3MVhKqlgBb', 'width': 720}]",ChIJ29dlMTDd1C8RdmVsAb0ThAE,4.0,ChIJ29dlMTDd1C8RdmVsAb0ThAE,"['tourist_attraction', 'point_of_interest', 'establishment']",17,,https://www.google.com/maps/place/?q=place_id:ChIJ29dlMTDd1C8RdmVsAb0ThAE
