business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,price_level,url
OPERATIONAL,"QFW6+2C6, Asemanis Satu, Larangan Tokol, Kec. Tlanakan, Kabupaten Pamekasan, Jawa Timur 69371, Indonesia","{'location': {'lat': -7.2049631, 'lng': 113.4610187}, 'viewport': {'northeast': {'lat': -7.203600070107278, 'lng': 113.4623708298927}, 'southwest': {'lat': -7.206299729892723, 'lng': 113.4596711701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Api Abadi,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110788092251127701686"">A Google User</a>'], 'photo_reference': 'AUGGfZk08a8jxl2aCqgP94kmc0BcSdQHMakZ5DRb49GPKqd1At5msx9Bk6RvuWxZLK-VmsvNvWbuAskMVvrzakBoBSuU0chMEf9SerKbDkvNcE-LiEGa6WgwX2NYeaXTPTSWet0Pwr7HnfKhdtszic38P4-KTDlSvW-Gn4hISuVmTO5umcGl', 'width': 4128}]",ChIJTX5RlJZ-1y0R5WUOTx_CvNo,4.2,ChIJTX5RlJZ-1y0R5WUOTx_CvNo,"['tourist_attraction', 'point_of_interest', 'establishment']",2180,,,https://www.google.com/maps/place/?q=place_id:ChIJTX5RlJZ-1y0R5WUOTx_CvNo
OPERATIONAL,"RFQM+Q36, Jl. Mesigit, Rw. 03, Barurambat Kota, Kec. Pamekasan, Kabupaten Pamekasan, Jawa Timur 69317, Indonesia","{'location': {'lat': -7.1605975, 'lng': 113.4826549}, 'viewport': {'northeast': {'lat': -7.158944400000001, 'lng': 113.4842989}, 'southwest': {'lat': -7.162133599999997, 'lng': 113.4809665}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Alun Alun Pamekasan,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104507801618205005912"">NUSANTARA CAFE</a>'], 'photo_reference': 'AUGGfZkHKMCU0gj86gccrQi1GX0QdmUQ5-lLdFtn-Rko3VB--0opPFMXKCZ-bpxWFj5LbmZxqCWHDENTHQ3wX505e1HB3vWMOjq_gfxl7Rm5uhkztv6xpqzqkyai5cNvJLhiXrvkH4_eHrdrU0STsaRW7OdlurXFy_7fUh5Z6rYJWWLIpWHk', 'width': 4000}]",ChIJryLykON91y0RATxakMwFKrA,4.5,ChIJryLykON91y0RATxakMwFKrA,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",9629,,,https://www.google.com/maps/place/?q=place_id:ChIJryLykON91y0RATxakMwFKrA
OPERATIONAL,"VF2X+9MP, Barat Satu, Sentol, Kec. Pademawu, Kabupaten Pamekasan, Jawa Timur 69323, Indonesia","{'location': {'lat': -7.1490315, 'lng': 113.4992127}, 'viewport': {'northeast': {'lat': -7.147699520107278, 'lng': 113.5006199298927}, 'southwest': {'lat': -7.150399179892722, 'lng': 113.4979202701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Cinta Pamekasan,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112254159240590456242"">Olievia P Mulyana</a>'], 'photo_reference': 'AUGGfZnQWOSil6ZBXMrpdOx_8FOoK6g-j-oTl4BzMjwoxd6V713R1rA0W-e-0hlS6elUDCGh1NiTVIuCPy_cOBIkbR47MbYl6RTvtCDD2YDtDb57YDuQ5-M1DHY4jXtbySFZi70tNcaJfA_45Tx8n4Fvx6x-HJK65VbMGzD-mNaHoZF4JY0', 'width': 3264}]",ChIJleZh7_R91y0ROJXRHoP7DhM,4.0,ChIJleZh7_R91y0ROJXRHoP7DhM,"['tourist_attraction', 'point_of_interest', 'establishment']",768,,,https://www.google.com/maps/place/?q=place_id:ChIJleZh7_R91y0ROJXRHoP7DhM
OPERATIONAL,"RFRG+R82, JL. Kabupaten, Jungcangcang, Pademawu, Sumur Putih, Bugih, Kec. Pamekasan, Kabupaten Pamekasan, Jawa Timur 69317, Indonesia","{'location': {'lat': -7.1580704, 'lng': 113.475623}, 'viewport': {'northeast': {'lat': -7.156769170107278, 'lng': 113.4769577298927}, 'southwest': {'lat': -7.159468829892722, 'lng': 113.4742580701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Revanussy,,,ChIJZ2QXXQB_1y0RlbcdDp1xcRE,0.0,ChIJZ2QXXQB_1y0RlbcdDp1xcRE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJZ2QXXQB_1y0RlbcdDp1xcRE
OPERATIONAL,"VF8F+7H9, Sumber Papan I, Larangan Badung, Kec. Palengaan, Kabupaten Pamekasan, Jawa Timur 69362, Indonesia","{'location': {'lat': -7.134331899999999, 'lng': 113.4739946}, 'viewport': {'northeast': {'lat': -7.132980570107278, 'lng': 113.4753095298927}, 'southwest': {'lat': -7.135680229892722, 'lng': 113.4726098701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,METRO,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116501133378739658877"">serdadu padangpasir</a>'], 'photo_reference': 'AUGGfZmzM-n3Kz1E7NHZYiE4jVhYL4ucZ2KAS30yZM-w2r211rSHWjmrYN1seMr7bIMsPLem1F9K9BgTId5vfCjFbuISvwbOaYx_VIz-OIKGz8jRLU3crS7e5a_hDFkEpycm3CML1VeBGDHAuc3eTgQx3-9UQi8p92DWQPu3zTp4w01NpRf8', 'width': 4000}]",ChIJg4Xm-GrV2S0R49aEclkqYJM,5.0,ChIJg4Xm-GrV2S0R49aEclkqYJM,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJg4Xm-GrV2S0R49aEclkqYJM
OPERATIONAL,"Sebelah timur Bank BCA, Jl. Jokotole No.4, Rw. 03, Barurambat Kota, Kec. Pamekasan, Kabupaten Pamekasan, Jawa Timur 69321, Indonesia","{'location': {'lat': -7.1608255, 'lng': 113.4842413}, 'viewport': {'northeast': {'lat': -7.159443620107277, 'lng': 113.4855931298927}, 'southwest': {'lat': -7.162143279892721, 'lng': 113.4828934701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cìtabğligh,,,ChIJjRquNBl91y0REs4kFHOEj9o,0.0,ChIJjRquNBl91y0REs4kFHOEj9o,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'RFQM+MM Barurambat Kota, Pamekasan Regency, East Java, Indonesia', 'global_code': '6P4MRFQM+MM'}",,https://www.google.com/maps/place/?q=place_id:ChIJjRquNBl91y0REs4kFHOEj9o
OPERATIONAL,"Jl. Kh. Moh. Nuruddin No.4, Keppun, Samiran, Kec. Proppo, Kabupaten Pamekasan, Jawa Timur 69363, Indonesia","{'location': {'lat': -7.1545464, 'lng': 113.4444989}, 'viewport': {'northeast': {'lat': -7.153165070107279, 'lng': 113.4458497798927}, 'southwest': {'lat': -7.155864729892722, 'lng': 113.4431501201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Apriliya,,,ChIJ1bqMAAB_1y0RPPZQfLrnxK8,0.0,ChIJ1bqMAAB_1y0RPPZQfLrnxK8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'RCWV+5Q Samiran, Pamekasan Regency, East Java, Indonesia', 'global_code': '6P4MRCWV+5Q'}",,https://www.google.com/maps/place/?q=place_id:ChIJ1bqMAAB_1y0RPPZQfLrnxK8
OPERATIONAL,"VF5M+3G, Kowel, Pamekasan, Pamekasan Regency, East Java, Indonesia","{'location': {'lat': -7.1428125, 'lng': 113.4836875}, 'viewport': {'northeast': {'lat': -7.141410920107277, 'lng': 113.4851217298927}, 'southwest': {'lat': -7.144110579892721, 'lng': 113.4824220701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,jembatan gantung kowel,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116572009967705253258"">A Google User</a>'], 'photo_reference': 'AUGGfZleeE0tug9a5t89vDvxpShtWOV76-hRlhkbenFmwSQnJb_euZ9DrY7nc1EY6jganh-nW--5UOsiyIrs1QUMKaM-jUvLEdQMjRCEfNYBvydp_FxqumQzraEUCkz2N2raf59uhQklmD3V_R122T1aD3n05zXdeLeXxjqSzSpmiK7yLSie', 'width': 1600}]",ChIJ92e2LrrX2S0RsqJHlNLPDDM,4.4,ChIJ92e2LrrX2S0RsqJHlNLPDDM,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,,https://www.google.com/maps/place/?q=place_id:ChIJ92e2LrrX2S0RsqJHlNLPDDM
OPERATIONAL,"RCWV+5QH, Jl. Kh. Moh. Nuruddin, Keppun, Samiran, Kec. Proppo, Kabupaten Pamekasan, Jawa Timur 69363, Indonesia","{'location': {'lat': -7.1553359, 'lng': 113.4439193}, 'viewport': {'northeast': {'lat': -7.153995820107278, 'lng': 113.4454047798927}, 'southwest': {'lat': -7.156695479892722, 'lng': 113.4427051201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata petik jeruk,,,ChIJlw3a32N_1y0R0v-XLg568l0,0.0,ChIJlw3a32N_1y0R0v-XLg568l0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJlw3a32N_1y0R0v-XLg568l0
OPERATIONAL,"RG72+7G8, Kebon, Sumedangan, Kec. Pademawu, Kabupaten Pamekasan, Jawa Timur, Indonesia","{'location': {'lat': -7.1868422, 'lng': 113.5013229}, 'viewport': {'northeast': {'lat': -7.185584620107279, 'lng': 113.5026322798927}, 'southwest': {'lat': -7.188284279892723, 'lng': 113.4999326201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kelinci pak Jenggu',{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101501871729276780805"">Yudha Wijayanto</a>'], 'photo_reference': 'AUGGfZnzXq6KVmY5jqaYVCZFDTd74djzBVOFn09HIhPLFzVaKl6FddqiyjKvX3AqAfYuNDh3BoWpemGlSmv96iBlYPoCo6WnyXGTl-96CNHzKLEumY2NEI5bQti6EsHk9yNclKcKHlqREghDOKjztC6xMtAqEWpgsGXFhDVjbgb9t7qi-Pxc', 'width': 3120}]",ChIJJ_cwAyZ91y0RzcsCWHktCzk,4.9,ChIJJ_cwAyZ91y0RzcsCWHktCzk,"['tourist_attraction', 'point_of_interest', 'establishment']",10,,,https://www.google.com/maps/place/?q=place_id:ChIJJ_cwAyZ91y0RzcsCWHktCzk
