business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Jl. AMD Lintas Tim. Jl. Cikole Barat, Sukaratu, Kec. Majasari, Kabupaten Pandeglang, Banten 42217, Indonesia","{'location': {'lat': -6.3360957, 'lng': 106.0976987}, 'viewport': {'northeast': {'lat': -6.334821120107278, 'lng': 106.0991338798927}, 'southwest': {'lat': -6.337520779892722, 'lng': 106.0964342201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,CAS Water Park Cikole,{'open_now': False},"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102312377154819168147"">A Google User</a>'], 'photo_reference': 'AUGGfZl2GDrxWYrablLvciYmAZ-uFxlxSQG5EKwhPn9qICjj0b5LIbDctyEFVELWa3UeLGNn6TAXw-kgsGdhXwOn5-HYCn4qUBG-TxZ8Sb5woTgsGIfuWoGKvJN6oyB6n-hbGgIkavVXogZbVUOMkjh_E1pQRUQAws6wEC6070SZ3I5XrC6J', 'width': 800}]",ChIJhf2zwsQ8Qi4Rrrp0eaVPXKE,"{'compound_code': 'M37X+H3 Sukaratu, Pandeglang Regency, Banten, Indonesia', 'global_code': '6P58M37X+H3'}",4.2,ChIJhf2zwsQ8Qi4Rrrp0eaVPXKE,"['tourist_attraction', 'amusement_park', 'restaurant', 'food', 'point_of_interest', 'establishment']",5529,,https://www.google.com/maps/place/?q=place_id:ChIJhf2zwsQ8Qi4Rrrp0eaVPXKE
OPERATIONAL,"M4R4+CG2, Pandeglang, Pandeglang Sub-District, Pandeglang Regency, Banten 42211, Indonesia","{'location': {'lat': -6.308951899999999, 'lng': 106.1062286}, 'viewport': {'northeast': {'lat': -6.307602020107277, 'lng': 106.1075780798927}, 'southwest': {'lat': -6.310301679892721, 'lng': 106.1048784201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ferdy,,,ChIJqdQ5HQAjQi4RKXAVW7tynxQ,,0.0,ChIJqdQ5HQAjQi4RKXAVW7tynxQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJqdQ5HQAjQi4RKXAVW7tynxQ
OPERATIONAL,"M4Q2+45F, Jl. Cikupa, Pandeglang, Kec. Pandeglang, Kabupaten Pandeglang, Banten 42211, Indonesia","{'location': {'lat': -6.3121901, 'lng': 106.1004153}, 'viewport': {'northeast': {'lat': -6.310825720107278, 'lng': 106.1018319298927}, 'southwest': {'lat': -6.313525379892722, 'lng': 106.0991322701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Kaula,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105754404473648970932"">A Google User</a>'], 'photo_reference': 'AUGGfZkc8_a8puMyyq7q72lodxkh9W_oBbvDfxU7PFqJ51rRHB5NcN31qpc23JHct_ORFSyMi0tCKfIxFv9QHsmieug88mo5KQ_oqEJmyTGfFvHZPfyZ4o3gRoStrRrRr1g86gBIC6p7vKk3Wq0FESyDqkDZwK6RHDZuD1HGsij0_otnP6k9', 'width': 4608}]",ChIJD22jI6wjQi4RH9r3UFTkG90,,5.0,ChIJD22jI6wjQi4RH9r3UFTkG90,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJD22jI6wjQi4RH9r3UFTkG90
OPERATIONAL,"P43P+28, Pagadungan, Karang Tanjung, Pandeglang Regency, Banten, Indonesia","{'location': {'lat': -6.2974375, 'lng': 106.1358125}, 'viewport': {'northeast': {'lat': -6.296604770107278, 'lng': 106.1370148298927}, 'southwest': {'lat': -6.299304429892722, 'lng': 106.1343151701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Perumahn dan wisata paniis,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117120113399949119692"">A Google User</a>'], 'photo_reference': 'AUGGfZkpy7j81nKvyzTiL8hlzX0O1V7dSay1ZktY1o7HSqDwE-bXFdxgzTETRedBVlnQpkjP-SCWML3YIwbe-AuLYdYjCzprzrjqIJ0wN0m-ZEgoeXdUYkNODA3zkSI6_X2U1AnaPfGPBQ08UouLT4VsDZorV9KCcn4N9It0-C3TOvttNgnj', 'width': 3000}]",ChIJgYUKTQsjQi4RW04PibE4qZw,,0.0,ChIJgYUKTQsjQi4RW04PibE4qZw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJgYUKTQsjQi4RW04PibE4qZw
OPERATIONAL,"M4F8+5QF, Pandeglang, Pandeglang Sub-District, Pandeglang Regency, Banten, Indonesia","{'location': {'lat': -6.3270611, 'lng': 106.1169299}, 'viewport': {'northeast': {'lat': -6.325804670107278, 'lng': 106.1182615298927}, 'southwest': {'lat': -6.328504329892722, 'lng': 106.1155618701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,pantai karang sari,,,ChIJk-PlvLI9Qi4RLQJw2l8wysg,,1.3,ChIJk-PlvLI9Qi4RLQJw2l8wysg,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJk-PlvLI9Qi4RLQJw2l8wysg
OPERATIONAL,"Jl. Wisata Cipanas, Sukamanah, Kec. Kaduhejo, Kabupaten Pandeglang, Banten 42253, Indonesia","{'location': {'lat': -6.3453781, 'lng': 106.0848484}, 'viewport': {'northeast': {'lat': -6.343970770107278, 'lng': 106.0862012798927}, 'southwest': {'lat': -6.346670429892722, 'lng': 106.0835016201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Air Panas Gunung Torong Hot Spring Park,{'open_now': False},"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111629928091320482108"">A Google User</a>'], 'photo_reference': 'AUGGfZmVfCEZLDi4G4oxvU1djmFZpjVcnL7_RtVkGjpUTmTDTz6KYTUgSpFGqnSp5B4UmH2NbF6euNyMr-FwRWCBAR0Rk_-mXfvMMGml8noIsrH_d9KQrVq4WN80wda8II6CEnrTRdtSlevGWLnO80tByvpaUlxJ0w4y4LF7icJ9fIPjUtq3', 'width': 960}]",ChIJGf_Oe3MwQi4Remp_gh6LLqY,"{'compound_code': 'M33M+RW Sukamanah, Pandeglang Regency, Banten, Indonesia', 'global_code': '6P58M33M+RW'}",4.2,ChIJGf_Oe3MwQi4Remp_gh6LLqY,"['tourist_attraction', 'point_of_interest', 'establishment']",3799,,https://www.google.com/maps/place/?q=place_id:ChIJGf_Oe3MwQi4Remp_gh6LLqY
OPERATIONAL,"M3JX+R2F, Jl. Ciekek, Karaton, Kec. Majasari, Kabupaten Pandeglang, Banten 42218, Indonesia","{'location': {'lat': -6.3165285, 'lng': 106.0977069}, 'viewport': {'northeast': {'lat': -6.315162370107278, 'lng': 106.0990272298927}, 'southwest': {'lat': -6.317862029892722, 'lng': 106.0963275701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,UWA KEBON YETI,,,ChIJ-5tMoXojQi4RtuxWjlHjdhw,,0.0,ChIJ-5tMoXojQi4RtuxWjlHjdhw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ-5tMoXojQi4RtuxWjlHjdhw
OPERATIONAL,"M4R9+4CG, Kabayan, Pandeglang Sub-District, Pandeglang Regency, Banten, Indonesia","{'location': {'lat': -6.3096887, 'lng': 106.118589}, 'viewport': {'northeast': {'lat': -6.308504720107279, 'lng': 106.1198905298927}, 'southwest': {'lat': -6.311204379892723, 'lng': 106.1171908701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kabayan Rice Terracce,,,ChIJm5NACWkjQi4RLlk7YGC0ODc,,0.0,ChIJm5NACWkjQi4RLlk7YGC0ODc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJm5NACWkjQi4RLlk7YGC0ODc
OPERATIONAL,"Komplek ambuleuit, Cigadung, Kec. Karang Tj., Kabupaten Pandeglang, Banten 42251, Indonesia","{'location': {'lat': -6.2839885, 'lng': 106.1131494}, 'viewport': {'northeast': {'lat': -6.282498420107278, 'lng': 106.1145800798927}, 'southwest': {'lat': -6.285198079892722, 'lng': 106.1118804201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Bandrek,{'open_now': False},,ChIJRexdMO8jQi4RdJQ7j9AmiUg,,5.0,ChIJRexdMO8jQi4RdJQ7j9AmiUg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJRexdMO8jQi4RdJQ7j9AmiUg
OPERATIONAL,"Kp. Kedeper, Pagadungan, Kec. Karang Tj., Kabupaten Pandeglang, Banten 42213, Indonesia","{'location': {'lat': -6.3001112, 'lng': 106.1376357}, 'viewport': {'northeast': {'lat': -6.298743470107278, 'lng': 106.1389979798927}, 'southwest': {'lat': -6.301443129892721, 'lng': 106.1362983201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DDG Farm,{'open_now': True},,ChIJYTNa5jAjQi4RlGDanod4-f4,"{'compound_code': 'M4XQ+X3 Pagadungan, Pandeglang Regency, Banten, Indonesia', 'global_code': '6P58M4XQ+X3'}",0.0,ChIJYTNa5jAjQi4RlGDanod4-f4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJYTNa5jAjQi4RlGDanod4-f4
