business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"5H8F+5JP, Minasatene, Pangkajene and Islands Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.8345278, 'lng': 119.5740819}, 'viewport': {'northeast': {'lat': -4.833175120107279, 'lng': 119.5754576298927}, 'southwest': {'lat': -4.835874779892722, 'lng': 119.5727579701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pasar Malam Minasatene Pangkep,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116273132509268049417"">A Google User</a>'], 'photo_reference': 'AUGGfZmRr-DhX1Rya-cJPfeNCPlyRJmCbrC4_YIC5bP1-_bMMam3QcLCPE1qHVaGGKj28avKWIyFTF0PY7dAbLyD20sFwbLm0hjCxgIZLx2BdcrKVLAihM_1eVWxqUDYYadem9Ba2xFviQjBciNu0jg2r9cLqXu1UcS4_2PvGnVNCbYxrYMW', 'width': 3000}]",ChIJ_a--RiFPvi0R9gLz4NKWIF4,4.3,ChIJ_a--RiFPvi0R9gLz4NKWIF4,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,,https://www.google.com/maps/place/?q=place_id:ChIJ_a--RiFPvi0R9gLz4NKWIF4
OPERATIONAL,"4HQV+F9M, Kabba, Minasatene, Pangkajene and Islands Regency, South Sulawesi 90614, Indonesia","{'location': {'lat': -4.8612877, 'lng': 119.5934189}, 'viewport': {'northeast': {'lat': -4.859946670107277, 'lng': 119.5947767798927}, 'southwest': {'lat': -4.862646329892721, 'lng': 119.5920771201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Lamperangan, Desa Kabba, Kec. Minasatene","[{'height': 2885, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116034709767351712495"">Lya Nurliana</a>'], 'photo_reference': 'AUGGfZmSGf9a5YD36emtyUPBEf0b9lzTJTZOg5Pl9w29bIc1c5izRftxx7mNHl_vdqRCPovQMj2jOnnpEIBAwJvKRC96OyXlOlHcWIiiKusJjJszJe4AgMJ7nMSx1N0w0rf1cZaOGBxcvW0oAhd3I31DcX74_LU9ZOhmLXMI24ZmGXBNs6iO', 'width': 5545}]",ChIJt2k0dfJRvi0RTFingrXH33o,4.7,ChIJt2k0dfJRvi0RTFingrXH33o,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJt2k0dfJRvi0RTFingrXH33o
OPERATIONAL,"5H2Q+362, Bontokio, Minasatene, Pangkajene and Islands Regency, South Sulawesi 90614, Indonesia","{'location': {'lat': -4.8498708, 'lng': 119.5880005}, 'viewport': {'northeast': {'lat': -4.848111170107278, 'lng': 119.590013}, 'southwest': {'lat': -4.850810829892722, 'lng': 119.581963}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,MCKK,,ChIJ83EirCFRvi0R24UKvLqeSVI,0.0,ChIJ83EirCFRvi0R24UKvLqeSVI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ83EirCFRvi0R24UKvLqeSVI
OPERATIONAL,"5H7V+62C, Jl. Leangkassi, Biraeng, Kec. Minasatene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614, Indonesia","{'location': {'lat': -4.8369984, 'lng': 119.5925045}, 'viewport': {'northeast': {'lat': -4.835651320107277, 'lng': 119.5938530298927}, 'southwest': {'lat': -4.838350979892721, 'lng': 119.5911533701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Leang Kassi,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116433549585186111393"">A Google User</a>'], 'photo_reference': 'AUGGfZn_F9ey6OvJwaMsVHiTWlpudn054VhvIMoVX6XZlotUR78ghcecGUjhEfHXMhetA8GXmp90c5xIoBXTcF6WfYDMBxV_f-7Qru9tQ4aaAQvGn-vRoTCbxEJe9ijRn-N0DznE1F10TgnYVv1HWOFV9q3dsIQ9o_xSbRiB97l2QfHPImDR', 'width': 4160}]",ChIJn5eg3odPvi0RCJ89KoD2Tzc,4.8,ChIJn5eg3odPvi0RCJ89KoD2Tzc,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,https://www.google.com/maps/place/?q=place_id:ChIJn5eg3odPvi0RCJ89KoD2Tzc
OPERATIONAL,"4HCW+386, Kabba, Minasatene, Pangkajene and Islands Regency, South Sulawesi 90619, Indonesia","{'location': {'lat': -4.879189999999999, 'lng': 119.5960844}, 'viewport': {'northeast': {'lat': -4.878137470107278, 'lng': 119.5969786298927}, 'southwest': {'lat': -4.880837129892722, 'lng': 119.5942789701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Villa Naifah,,ChIJXesWaQBRvi0R5OhFCWs3AH0,2.0,ChIJXesWaQBRvi0R5OhFCWs3AH0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJXesWaQBRvi0R5OhFCWs3AH0
OPERATIONAL,"5JJ2+8HW, Kalabbirang, Minasatene, Pangkajene and Islands Regency, South Sulawesi 90614, Indonesia","{'location': {'lat': -4.819139799999999, 'lng': 119.6014622}, 'viewport': {'northeast': {'lat': -4.817822120107278, 'lng': 119.6028015298927}, 'southwest': {'lat': -4.820521779892722, 'lng': 119.6001018701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dewi lamsang,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108242088324218276854"">Puji Maryani</a>'], 'photo_reference': 'AUGGfZkGOz56kpmN4kvXJ08IhiG1bQoJPQadUSft5UfAqFTJqcGsfrAWdwi43bVA-Cve3I3wJp7YwG2E8RuK0n9E0MYq_szar54aFcDgXHmS_h9pj-07Qo3krRTsWGgVcdpZGinMIPe4wRSYM026lWvaWmAafT7lefwtzXb9BRRprZWytnDH', 'width': 2248}]",ChIJSeGqd69Pvi0RN7gLZbQN5XI,4.1,ChIJSeGqd69Pvi0RN7gLZbQN5XI,"['tourist_attraction', 'point_of_interest', 'establishment']",35,{},,https://www.google.com/maps/place/?q=place_id:ChIJSeGqd69Pvi0RN7gLZbQN5XI
OPERATIONAL,"4JQP+6M6, Panaikang, Minasatene, Pangkajene and Islands Regency, South Sulawesi 90661, Indonesia","{'location': {'lat': -4.861952899999999, 'lng': 119.636627}, 'viewport': {'northeast': {'lat': -4.860603070107278, 'lng': 119.6379768298927}, 'southwest': {'lat': -4.863302729892721, 'lng': 119.6352771701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Leang Lonrong,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105473607854217023196"">Drone Julung Julung</a>'], 'photo_reference': 'AUGGfZmKOcnxn6SQcW1kg8ZStF5o9cm7NLERyLRSTLJEI5IC17SEKos51SG9JNIrJkvNUc2eO2CRlgD2yYjT7s6gY33Xs6Yy5CG9gzt5rVIlulTzTvtk2HgAuouY-TJr7DZYZAv5M7nMJvzJ3Jdl0gVPQE_VgmZeQcCW4REXsNugCqXJf1gr', 'width': 4032}]",ChIJ7wkExu1avi0RncaqKfweWZM,4.2,ChIJ7wkExu1avi0RncaqKfweWZM,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",264,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ7wkExu1avi0RncaqKfweWZM
OPERATIONAL,"6J2H+442 Siloro, Jalan Poros, Bontoa, Kec. Minasatene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90615, Indonesia","{'location': {'lat': -4.7997282, 'lng': 119.6277552}, 'viewport': {'northeast': {'lat': -4.798335720107278, 'lng': 119.6290938298927}, 'southwest': {'lat': -4.801035379892722, 'lng': 119.6263941701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Aneka Tama Siloro Pangkep,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112394648963668538325"">Zainuddin Sallatu</a>'], 'photo_reference': 'AUGGfZlVEnoUkxAItIQ3Vb644v_44XM_nw_aee7OoQaxmvKBPjsboTnzNVqwPzUc18-mMwP_uI1jFj4U608nQA7Ul10upY2AnBvN3EdEEXDLsmlfcqSbJr5eYKYOfXhnH-S4vp2Am9nGOcf6lGYHIda0UARh5nmqsC-s0BWYkjrufrW8ViHG', 'width': 4000}]",ChIJl5T4t2tFvi0RrciJJPM9Kew,4.2,ChIJl5T4t2tFvi0RrciJJPM9Kew,"['tourist_attraction', 'point_of_interest', 'establishment']",13,{},,https://www.google.com/maps/place/?q=place_id:ChIJl5T4t2tFvi0RrciJJPM9Kew
OPERATIONAL,"5JG5+G4P, Kalabbirang, Minasatene, Pangkajene and Islands Regency, South Sulawesi 90614, Indonesia","{'location': {'lat': -4.8236637, 'lng': 119.607814}, 'viewport': {'northeast': {'lat': -4.822327770107278, 'lng': 119.6091353798927}, 'southwest': {'lat': -4.825027429892723, 'lng': 119.6064357201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ADIBA VISHERY,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104009834797437994211"">A Google User</a>'], 'photo_reference': 'AUGGfZmMsTRf-cCQMIAXp2emKXYoCRRvAj3iy0YbIUAicQw2Job1c2zlRAPAu37pcHB49K0k6tLunckRS9mh0hY7NuiA7U_40lj-2D2iXnsGUEWuDQIbxj9PCCDFdpJi8XV4AU0Wtsx5F1nFr0OvH-3ewRiiJGjrJSl9q7Wtc9ZdNhqoW_-t', 'width': 960}]",ChIJne9P57FFvi0RJFtIL7JaC5Y,5.0,ChIJne9P57FFvi0RJFtIL7JaC5Y,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJne9P57FFvi0RJFtIL7JaC5Y
OPERATIONAL,"4HVV+PF4, Kabba, Minasatene, Pangkajene and Islands Regency, South Sulawesi 90614, Indonesia","{'location': {'lat': -4.8557375, 'lng': 119.5936901}, 'viewport': {'northeast': {'lat': -4.854711050000002, 'lng': 119.5947476798928}, 'southwest': {'lat': -4.858816849999998, 'lng': 119.5920480201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Objek Wisata Lamperangan,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114823160351413689846"">A Google User</a>'], 'photo_reference': 'AUGGfZnSlWR04IRirM5-vvaDL-e9mm02OIP9gdGy4KppD6Z75mjQimYhMDH_w2BVcDu0d3dFNVbQriHui5no_jrJuKBeluanGp0oWA_bNQGOmhSp3gcZXTjRZyJhjiGB7Y9qBm2YPjxAeu60j_OOKNqa2NIo8SLXRe_nT7Sd9u5cmvp38KyP', 'width': 4000}]",ChIJB_ayRI9Rvi0RrRSKKzmdK4Q,4.6,ChIJB_ayRI9Rvi0RrRSKKzmdK4Q,"['tourist_attraction', 'point_of_interest', 'establishment']",15,,,https://www.google.com/maps/place/?q=place_id:ChIJB_ayRI9Rvi0RrRSKKzmdK4Q
