business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"82XM+R27, Jl. Pasaman - Lubuk Basung, Panti, Kabupaten Pasaman Barat, Sumatera Barat 26352, Indonesia","{'location': {'lat': 0.3495403, 'lng': 100.0325561}, 'viewport': {'northeast': {'lat': 0.3508903298927222, 'lng': 100.0339058298927}, 'southwest': {'lat': 0.3481906701072777, 'lng': 100.0312061701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kelok Patah Jalan Kuburan Duo,{'open_now': True},"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100099420343776775014"">Arianto Nasution</a>'], 'photo_reference': 'AUGGfZmBx4ohaSJ8k9ux9rgE6XfCojfB3ZZ1BDM2F4HvEz74VY_f1sqxxpxx-_qk-hFkpjMUg8x8KVq2ZDoaD7Z4JJYPGcfghoICTRuiKcpt9Y6nCCeLLrvMugWIgmt8uiOBR398NIdSiALNVhgF_FRzkHg48SGL0pSRCIZuKOgI1OZ5fiEc', 'width': 3264}]",ChIJZ6lXbg_zKjARzwu8w77f-rU,4.3,ChIJZ6lXbg_zKjARzwu8w77f-rU,"['tourist_attraction', 'point_of_interest', 'establishment']",10,,,https://www.google.com/maps/place/?q=place_id:ChIJZ6lXbg_zKjARzwu8w77f-rU
OPERATIONAL,"9V5J+RQ9, Cubadak, Dua Koto, Pasaman Regency, West Sumatra 26311, Indonesia","{'location': {'lat': 0.359542, 'lng': 99.8819923}, 'viewport': {'northeast': {'lat': 0.3609076798927223, 'lng': 99.88331487989271}, 'southwest': {'lat': 0.3582080201072778, 'lng': 99.88061522010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara Tambangan,,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105926024100806863234"">A Google User</a>'], 'photo_reference': 'AUGGfZnQMy07LO3QX9I8gV0UCmKnFvi_yXAQtrSMBPCRoaGO0oUExTD9v9DVmsGvrhisybSivVZcBIpBN7JFIoDytci8gdU19Xx6GxG7B168TvvwVqPqycIEKpSg6wwrzpxfCUWz5-xV1zGPNEZmzIsf1ouoM9_yke6f5Ax_3bUpYjU1IZk', 'width': 720}]",ChIJW2FxP31fKjARa5ILRzEqxKI,4.7,ChIJW2FxP31fKjARa5ILRzEqxKI,"['tourist_attraction', 'point_of_interest', 'establishment']",12,,,https://www.google.com/maps/place/?q=place_id:ChIJW2FxP31fKjARa5ILRzEqxKI
OPERATIONAL,"9XC3+78G, Cubadak, Dua Koto, Pasaman Regency, West Sumatra, Indonesia","{'location': {'lat': 0.370675, 'lng': 99.9533313}, 'viewport': {'northeast': {'lat': 0.3716700298927222, 'lng': 99.95410937989271}, 'southwest': {'lat': 0.3689703701072777, 'lng': 99.95140972010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Porlak sino ilham,,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114382763214659153980"">A Google User</a>'], 'photo_reference': 'AUGGfZk8-a1pqtDch59NL_y3v3XScJK3wzllyQ_FHwbB0wwcFu7-fDusqaEQZt4fvP3CFw2skhVPOUJt_IGDnIuuYYF7zasgcOTcdUEfsrgyumgLmYOEwjX9h8CBKSNyEMJepIo1F_gdeMw8iGpyEFmkbesIlv1hdGoImDw5OXnqLDuidkp0', 'width': 720}]",ChIJi9RfIgD3KjARnAHpScURkgY,0.0,ChIJi9RfIgD3KjARnAHpScURkgY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJi9RfIgD3KjARnAHpScURkgY
OPERATIONAL,"8244+7VP, Cubadak, Dua Koto, Pasaman Regency, West Sumatra, Indonesia","{'location': {'lat': 0.3057248, 'lng': 100.0072166}, 'viewport': {'northeast': {'lat': 0.3070809298927222, 'lng': 100.0085462798927}, 'southwest': {'lat': 0.3043812701072777, 'lng': 100.0058466201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ikan Larangan Paraman Kakar,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109170735318015095840"">A Google User</a>'], 'photo_reference': 'AUGGfZk_Y9tfGM7VRNUXBB7mkJhAQv7yspgEFelju9FUnZDyTEoUZCSppTf1h8grZZFeUSka8qzZy8PbhtcKU9PJc_vFnSfobhym0j3EGp9WroFgE7nqMu4JCj9UiqkOQF4vXI7icSu3YNp9PgxxjRqErViHSl_2i8r8R4IGr9TbfOrVgkC2', 'width': 3120}]",ChIJpfKyawDzKjARjRX7HDdrv5Q,5.0,ChIJpfKyawDzKjARjRX7HDdrv5Q,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJpfKyawDzKjARjRX7HDdrv5Q
OPERATIONAL,"8XFQ+892, Jalan Dolok Sosopan, Tanah Putih, Cubadak, Kec. Dua Koto, Kabupaten Pasaman Barat, Sumatera Barat 26311, Indonesia","{'location': {'lat': 0.3232533, 'lng': 99.9883883}, 'viewport': {'northeast': {'lat': 0.3246378298927222, 'lng': 99.98973492989272}, 'southwest': {'lat': 0.3219381701072777, 'lng': 99.98703527010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam pancing lesbat,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117764043604759654544"">A Google User</a>'], 'photo_reference': 'AUGGfZmCx4wzDdIxd4b7-55VnZxWn-j7b_byt54VwREkCscoyY3oltJUcZVIeeeVlThYHXmi5pZW9KkRfCppLlO0lMN8CSR8HffvppKi2gJThn1kahCRTbi7BUcXrxWouVb0b6I5LOEoe1X_PMOrLym7J7XOPirTnMSNFM1qgM-ahWNnsAJ9', 'width': 1280}]",ChIJX3VTW0P1KjARQ04ffmVnqT4,2.0,ChIJX3VTW0P1KjARQ04ffmVnqT4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJX3VTW0P1KjARQ04ffmVnqT4
OPERATIONAL,"8RV2+G3, Cubadak, Dua Koto, Pasaman Regency, West Sumatra, Indonesia","{'location': {'lat': 0.343802, 'lng': 99.80020999999999}, 'viewport': {'northeast': {'lat': 0.3451518298927223, 'lng': 99.80155982989271}, 'southwest': {'lat': 0.3424521701072778, 'lng': 99.79886017010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Sinuangon,,"[{'height': 692, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117588993091653301324"">A Google User</a>'], 'photo_reference': 'AUGGfZnMiRgqYtsa-DI4XGEjPeP0BZPwu6fpEv9W6zh4y6_Kco_zDf7Mg3R1Y2TvTPt6plNISCFDb9MLodvEWyt-yErkcgUkyCO3uzl4F0bbV38AT1ba2O8g8VN5zFr6vh2I8d-CQKMPxvXSWSMm1As1mBa9zEMz67ygLanUtgd3eRx1Ittu', 'width': 720}]",ChIJuQ1LuqNdKjARH-hHPjYyvtY,5.0,ChIJuQ1LuqNdKjARH-hHPjYyvtY,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJuQ1LuqNdKjARH-hHPjYyvtY
OPERATIONAL,"CW56+3G6, Simpang Tonang, Dua Koto, Pasaman Regency, West Sumatra 26311, Indonesia","{'location': {'lat': 0.4076743, 'lng': 99.91127929999999}, 'viewport': {'northeast': {'lat': 0.4086968, 'lng': 99.91629455}, 'southwest': {'lat': 0.4046068, 'lng': 99.90960754999998}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Lipek Kain,,"[{'height': 1051, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100463735743914716801"">nur jaman</a>'], 'photo_reference': 'AUGGfZmynb0YCCszsDkQGSDU2SLVNFhjCjBuApQmVih7-HUOra0XTdYQfJgXwtKouLpRVzwdXONC1xivbzL8DcM8ztv0r6eWsGn6f8BJmIoJ9Cz4ETXBEFvZmIXNP57LgCAMjfIabWmQKtib8NDrQkBd4qVuik7aOT4DK8rUB8aruY4PPNs-', 'width': 1298}]",ChIJz4_S69L3KjAR16ZqEYGQqOo,3.7,ChIJz4_S69L3KjAR16ZqEYGQqOo,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJz4_S69L3KjAR16ZqEYGQqOo
OPERATIONAL,"925G+P3, Panti, Pasaman Regency, West Sumatra, Indonesia","{'location': {'lat': 0.359259, 'lng': 100.025172}, 'viewport': {'northeast': {'lat': 0.3606088298927222, 'lng': 100.0265218298927}, 'southwest': {'lat': 0.3579091701072777, 'lng': 100.0238221701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kobun kopi,,,ChIJh4UPKwDzKjARkGxjPMHCbm4,0.0,ChIJh4UPKwDzKjARkGxjPMHCbm4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJh4UPKwDzKjARkGxjPMHCbm4
OPERATIONAL,"83W9+HJ5, Panti, Pasaman, Pasaman Regency, West Sumatra 26352, Indonesia","{'location': {'lat': 0.346386, 'lng': 100.0691156}, 'viewport': {'northeast': {'lat': 0.3477007798927222, 'lng': 100.0703984798927}, 'southwest': {'lat': 0.3450011201072778, 'lng': 100.0676988201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Objek Wisata Taman Suaka Alam Rimbo Panti,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116148889942780197966"">A Google User</a>'], 'photo_reference': 'AUGGfZnk1dl-qSP2Z2L79pFXGfDIyyNKBHw8pgcMYAecW-n4eEanP_Qlx8EQWvkwt2YWUcKZO7OQ3m1qKfzHa9NRj-ibPlDIXrmCK0xsk3I9TFJ9fjGwAL6r5gL2nXQiWerDT7WlCn-h29o7Fd341Xtm37rPoMj7DMzPQB-eotfFwsvH27eM', 'width': 4000}]",ChIJ44Y--m3yKjARRy_Nxo2e0fc,4.1,ChIJ44Y--m3yKjARRy_Nxo2e0fc,"['tourist_attraction', 'point_of_interest', 'establishment']",203,,,https://www.google.com/maps/place/?q=place_id:ChIJ44Y--m3yKjARRy_Nxo2e0fc
OPERATIONAL,"8RWV+9C, Cubadak, Dua Koto, Pasaman Regency, West Sumatra, Indonesia","{'location': {'lat': 0.3459794, 'lng': 99.8435069}, 'viewport': {'northeast': {'lat': 0.3473292298927222, 'lng': 99.84485672989273}, 'southwest': {'lat': 0.3446295701072777, 'lng': 99.84215707010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,jembatan batang kundur,,,ChIJ_RHkKQBfKjARIoglZ8un7EI,0.0,ChIJ_RHkKQBfKjARIoglZ8un7EI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ_RHkKQBfKjARIoglZ8un7EI
