business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"WHMF+73H, Kebun Dan Sawah, Pekiringan Ageng, Kec. Kajen, Kabupaten Pekalongan, Jawa Tengah 51161, Indonesia","{'location': {'lat': -7.066806199999999, 'lng': 109.5727226}, 'viewport': {'northeast': {'lat': -7.065554720107277, 'lng': 109.5740467798927}, 'southwest': {'lat': -7.068254379892721, 'lng': 109.5713471201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kajen City View,"[{'height': 867, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116632920926836584039"">A Google User</a>'], 'photo_reference': 'AUGGfZnDmHEZLEoO18C8nn_I77Sx3siU21IKHtvCtq46pCKlm7lrJp1wMOAryntFDwJipqku0qOvdgDlCNXDs8RtoZ5EyuSYlw66sPWS8Zeplp29c6EWTFBfnSTaTmd2XAbn2DYg77asRV__x1MhYjsurGg_5Yur5sYGOR0aHXFwIQP9w1GD', 'width': 1156}]",ChIJM6qGOLIfcC4R-ocySIiDvhQ,4.5,ChIJM6qGOLIfcC4R-ocySIiDvhQ,"['tourist_attraction', 'point_of_interest', 'establishment']",15,,,,https://www.google.com/maps/place/?q=place_id:ChIJM6qGOLIfcC4R-ocySIiDvhQ
OPERATIONAL,"XH6G+WJV, Jl. Kyai Sinangu, Kawedanan, Sinangoh Prendeng, Kec. Kajen, Kabupaten Pekalongan, Jawa Tengah 51161, Indonesia","{'location': {'lat': -7.037507799999999, 'lng': 109.5767895}, 'viewport': {'northeast': {'lat': -7.036198120107277, 'lng': 109.5780692298927}, 'southwest': {'lat': -7.038897779892721, 'lng': 109.5753695701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tamrin Island,,ChIJU_bm2q0fcC4Rs1FO70DmHmw,5.0,ChIJU_bm2q0fcC4Rs1FO70DmHmw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJU_bm2q0fcC4Rs1FO70DmHmw
OPERATIONAL,"XH63+2XJ, Kembangan, Pekiringan Alit, Kajen, Pekalongan Regency, Central Java, Indonesia","{'location': {'lat': -7.0399159, 'lng': 109.5548915}, 'viewport': {'northeast': {'lat': -7.038577020107278, 'lng': 109.5563239798927}, 'southwest': {'lat': -7.041276679892722, 'lng': 109.5536243201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman mas Edy,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117814652001360230218"">A Google User</a>'], 'photo_reference': 'AUGGfZmCCAyof1Rr1qJiDLKKF_YZ28y829BZyFnBz0nxbA0DnJblcHXfc9jRIyvgIu_QIehgxGcfEwXJz0jWSiY4Wz-Qp1HqCdustmPO6w8FiYms4AK17ApgSaaO_34sqMI3MuFb2I_Mdy4XYkqtUBxvbOxiqimGATls2K5gT7dXxQYpPFkC', 'width': 3120}]",ChIJj8bRQFThby4RMkD-FAGJqI4,4.7,ChIJj8bRQFThby4RMkD-FAGJqI4,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJj8bRQFThby4RMkD-FAGJqI4
OPERATIONAL,"XH2W+GPQ, Kembang, Sokoyoso, Kajen, Pekalongan Regency, Central Java 51161, Indonesia","{'location': {'lat': -7.0485127, 'lng': 109.5972467}, 'viewport': {'northeast': {'lat': -7.047146670107277, 'lng': 109.5985540798927}, 'southwest': {'lat': -7.049846329892721, 'lng': 109.5958544201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam ikan D'NANA,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118178559369820922532"">A Google User</a>'], 'photo_reference': 'AUGGfZktdk-e-uHf6mwTy0815F4YDZcOuT--ENl1Ll36VI5Pewg6V4IPigk6N0QLXfCLTIrjjOMC1Kh8aKGwnYqugqmrO3exEXeP87HY9ObkqEW_zSubI_qbibx15zjbZ5phuB1yoVC_becn3LPJa4uledKYxSwUgiu3ULt-SDOxYCdCpFv7', 'width': 4000}]",ChIJM7BGxuAfcC4ROVoprMykcd4,0.0,ChIJM7BGxuAfcC4ROVoprMykcd4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJM7BGxuAfcC4ROVoprMykcd4
OPERATIONAL,"WH95+W29, Unnamed Road, Kebun, Kutorojo, Kec. Kajen, Kabupaten Pekalongan, Jawa Tengah 51161, Indonesia","{'location': {'lat': -7.080211299999999, 'lng': 109.557606}, 'viewport': {'northeast': {'lat': -7.078889820107277, 'lng': 109.5589475798927}, 'southwest': {'lat': -7.08158947989272, 'lng': 109.5562479201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Bintang Kutorojo,"[{'height': 3464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110492934686178661757"">Tatang Sanjaya</a>'], 'photo_reference': 'AUGGfZmcpRNaCcm_vIai5n9t6ZboXZDmbgmU7Y6V2b7G4zVo-aca-V5l8IJu-O6_mt5EYk7kH19cPY1eoCNbMbxRlWLERGVmqTnInyf1PbODX09tvOq-B9GsyIn1bhKPEnO4_7heoQ9fA6KVF8nU4zjTJJojfqsQR0HIKX9ycwxu5hB_oX5m', 'width': 4618}]",ChIJT4zH5OXhby4RvMwsQKRtQjU,4.6,ChIJT4zH5OXhby4RvMwsQKRtQjU,"['tourist_attraction', 'point_of_interest', 'establishment']",51,,,,https://www.google.com/maps/place/?q=place_id:ChIJT4zH5OXhby4RvMwsQKRtQjU
OPERATIONAL,"WHJ6+VC, Sawah Dan Kebun, Kalijoyo, Kec. Kajen, Kabupaten Pekalongan, Jawa Tengah 51161, Indonesia","{'location': {'lat': -7.067762399999999, 'lng': 109.5611224}, 'viewport': {'northeast': {'lat': -7.066233970107278, 'lng': 109.5624009298927}, 'southwest': {'lat': -7.068933629892721, 'lng': 109.5597012701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wadas gantung,,ChIJpVPijx_hby4RwYLsTTIa5dk,4.0,ChIJpVPijx_hby4RwYLsTTIa5dk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJpVPijx_hby4RwYLsTTIa5dk
OPERATIONAL,"WHV7+CMF, Sawah Kebun, Gandarum, Kajen, Pekalongan Regency, Central Java 51161, Indonesia","{'location': {'lat': -7.0564373, 'lng': 109.5641822}, 'viewport': {'northeast': {'lat': -7.055089770107279, 'lng': 109.5655288298927}, 'southwest': {'lat': -7.057789429892723, 'lng': 109.5628291701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gapura Linggoasri,,ChIJyf7sLwDhby4RF-p66Mu5MU8,5.0,ChIJyf7sLwDhby4RF-p66Mu5MU8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJyf7sLwDhby4RF-p66Mu5MU8
OPERATIONAL,"XHG2+Q8Q, Gumante, Kutorejo, Kajen, Pekalongan Regency, Central Java 51161, Indonesia","{'location': {'lat': -7.0226476, 'lng': 109.550595}, 'viewport': {'northeast': {'lat': -7.021298120107277, 'lng': 109.5519448298927}, 'southwest': {'lat': -7.023997779892721, 'lng': 109.5492451701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Brough Jagung,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103105736536133051342"">M.kurdi Irawan</a>'], 'photo_reference': 'AUGGfZlq8XMUrVO-aSKogs7H2-bRXvOOAXFYPs3_UFQIQsvfoQbKSViOZK2Rp7FGaDb4ZE7OPdZjcO4g3MgQLLz4RB91bC5680HnXrabinetTLkSYdhCYC7TeP6O2wKh7cLY2-D9hs39d86L3a4ULs9flkPVfqs9mmfh4TLkY3KsK7B8KFIz', 'width': 2000}]",ChIJCyFWrS_hby4Rd7izizGhGpY,0.0,ChIJCyFWrS_hby4Rd7izizGhGpY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJCyFWrS_hby4Rd7izizGhGpY
OPERATIONAL,"WHV7+RCM, Sawah Kebun, Gandarum, Kajen, Pekalongan Regency, Central Java 51161, Indonesia","{'location': {'lat': -7.055401499999999, 'lng': 109.5635555}, 'viewport': {'northeast': {'lat': -7.054052570107277, 'lng': 109.5648875298927}, 'southwest': {'lat': -7.056752229892721, 'lng': 109.5621878701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jalur Wisata Kajen - Dieng,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102763689815798887069"">A Google User</a>'], 'photo_reference': 'AUGGfZkVyk3Qe1S1rf1tiayaiVCL5TFSHeov8gxvKkykWcgdlLnJ2ihPa_hcGi6pvTWZJhI2CoN5_vHE6WzjCV7FG4kzay9i3XvzIN-Lzxw0HHI_VAhoQAN_r4MTEp0h9_1rtPaI7SvfpQiuO1NjFzLBTTfu_tR9WjjrN_GyzG2OEaD1TY8S', 'width': 2250}]",ChIJMUcRBPPhby4RzlQcOdRqnwU,4.6,ChIJMUcRBPPhby4RzlQcOdRqnwU,"['tourist_attraction', 'point_of_interest', 'establishment']",13,,,,https://www.google.com/maps/place/?q=place_id:ChIJMUcRBPPhby4RzlQcOdRqnwU
OPERATIONAL,"WHFP+9J8, Kebun Dan Sawah, Pekiringan Ageng, Kec. Kajen, Kabupaten Pekalongan, Jawa Tengah 51161, Indonesia","{'location': {'lat': -7.0765783, 'lng': 109.5865655}, 'viewport': {'northeast': {'lat': -7.074989920107278, 'lng': 109.5873729798927}, 'southwest': {'lat': -7.077689579892722, 'lng': 109.5846733201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Dusun Pamutih,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107745279041927290363"">tikno setiawan</a>'], 'photo_reference': 'AUGGfZm_WbUzFkazdV2kyfVjq8X1ckKVnwEGQduF-22ridA9t_L1XvcXPFJj6xoSKguoVHl3TDFRLqYWP2wc2jQ5TAVsYx9tnZaTYfRe8Kx4U_eSzskggM-aqIDt5cU9srRFihWs-80sTCHp2mOX8gzvtZLKcuKAChhe616WL4fjXMZHBmTW', 'width': 4160}]",ChIJU5hewOwfcC4RHImKMWu0pmE,4.7,ChIJU5hewOwfcC4RHImKMWu0pmE,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJU5hewOwfcC4RHImKMWu0pmE
