business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"VM2C+FM2, Pancuang Taba, IV Nagari Bayang Utara, South Pesisir Regency, West Sumatra 25652, Indonesia","{'location': {'lat': -1.148868, 'lng': 100.671641}, 'viewport': {'northeast': {'lat': -1.147551870107278, 'lng': 100.6731225798927}, 'southwest': {'lat': -1.150251529892722, 'lng': 100.6704229201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Pohon Negeri Di Atas Awan,{'open_now': True},"[{'height': 2256, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104144066109946518948"">Nadill Nadill</a>'], 'photo_reference': 'AUGGfZkexPxpOXv_ZgFbQniUZDjlYAeS3555cUkE83kr1Bax_zYKRykXuKMFb4KC2MG1dVw9OxGhShHIsId8U-KXWZtQyzNnPaIZgUt3-mZfAacXUFCO1nqGfd3aiWQp8VqsaomN7QJS5fc6sNy0eVDKzRV76xBh7YM_E5IMwjThaZn3egwZ', 'width': 4000}]",ChIJ-_bx4FNUKy4RZqx8yQ0QQUw,4.4,ChIJ-_bx4FNUKy4RZqx8yQ0QQUw,"['tourist_attraction', 'point_of_interest', 'establishment']",36,,,https://www.google.com/maps/place/?q=place_id:ChIJ-_bx4FNUKy4RZqx8yQ0QQUw
OPERATIONAL,"QHG9+G28, Koto Berapak, Bayang, South Pesisir Regency, West Sumatra 25652, Indonesia","{'location': {'lat': -1.2237007, 'lng': 100.5675857}, 'viewport': {'northeast': {'lat': -1.221925170107278, 'lng': 100.5684695}, 'southwest': {'lat': -1.224624829892722, 'lng': 100.5649343}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Bayang Sani,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102331749007776055551"">coboy lanank</a>'], 'photo_reference': 'AUGGfZkn0Yp65iEO_xVoqxEFge1ooIGOgm239RV9BmewO5QiGXlUwDA1h44OS9TalUJzIV6M07p3IXg2INj2RcD_4yQ2DCR2eNA9krO3_rkm2901NQrIWWC-86QHHTPQvG_A5Q-RuR-27rcw1t4xzz60vr95DuSgHLVdIsfoU1B4N2AmPtfZ', 'width': 4000}]",ChIJXTOkUa5V0y8RPaO9txGToTQ,4.4,ChIJXTOkUa5V0y8RPaO9txGToTQ,"['tourist_attraction', 'point_of_interest', 'establishment']",314,,,https://www.google.com/maps/place/?q=place_id:ChIJXTOkUa5V0y8RPaO9txGToTQ
OPERATIONAL,"RJ58+GX, Puluik Puluik, IV Nagari Bayang Utara, South Pesisir Regency, West Sumatra, Indonesia","{'location': {'lat': -1.1911439, 'lng': 100.6173779}, 'viewport': {'northeast': {'lat': -1.189794070107278, 'lng': 100.6187277298927}, 'southwest': {'lat': -1.192493729892722, 'lng': 100.6160280701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Air Terjun Sarasah Batuang, Puluik-puluik",{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106126534098684550470"">sandy permanaarsel</a>'], 'photo_reference': 'AUGGfZmVmCexfXnpg6GQERzll2YYMIlw7GB-ZoX1EWPWspgqN7P6_qIUBz2ukSOcw50pSZXroYQZusCB_18l0jkD4CbzhipfnQva22oIfKbzSRvZWPF6ESsdmxHaDHGqMJ04osHunSaSEiw18QOtd4LROgCxIa37pfY8CMCF5YI0r5UfOsPk', 'width': 4160}]",ChIJSX2JLACr1C8R-_Wu3xEDtsc,5.0,ChIJSX2JLACr1C8R-_Wu3xEDtsc,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJSX2JLACr1C8R-_Wu3xEDtsc
OPERATIONAL,"KAPUJAN, Koto Berapak, Kec. Bayang, Kabupaten Pesisir Selatan, Sumatera Barat 25652, Indonesia","{'location': {'lat': -1.2145618, 'lng': 100.5457478}, 'viewport': {'northeast': {'lat': -1.213255120107278, 'lng': 100.5470834298927}, 'southwest': {'lat': -1.215954779892722, 'lng': 100.5443837701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BAYANG BUNGO,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111738280208787057947"">Fari Warman</a>'], 'photo_reference': 'AUGGfZlGiHcpjZ3pI-s4O8kYDbcUZp8A3jxRuYuD0fJPdhrl_kzEPTcZba4BRM0vr8L7HVvTK3LDGudGC5dZbgbC0WGJ9LoZHL7nHPqyIfz6NVfhzu3xdZTLTUuA2Kxx15CDKGiJlf7I1uVqs76RCHzwq9rtVqjgLp2ms2KBnNrG4qHbDycV', 'width': 4000}]",ChIJiZEMbjZV0y8RLFeDGmTUGNY,4.8,ChIJiZEMbjZV0y8RLFeDGmTUGNY,"['tourist_attraction', 'point_of_interest', 'establishment']",13,"{'compound_code': 'QGPW+57 Koto Berapak, South Pesisir Regency, West Sumatra, Indonesia', 'global_code': '6PC2QGPW+57'}",,https://www.google.com/maps/place/?q=place_id:ChIJiZEMbjZV0y8RLFeDGmTUGNY
OPERATIONAL,"QHG9+8Q, Koto Berapak, Bayang, South Pesisir Regency, West Sumatra, Indonesia","{'location': {'lat': -1.2241998, 'lng': 100.5694833}, 'viewport': {'northeast': {'lat': -1.221542399999999, 'lng': 100.5743097}, 'southwest': {'lat': -1.2250856, 'lng': 100.5678745}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun tingkek 3 bayang sani,{'open_now': True},,ChIJDUOFzHVV0y8Rvg-SpIvvWYk,0.0,ChIJDUOFzHVV0y8Rvg-SpIvvWYk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJDUOFzHVV0y8Rvg-SpIvvWYk
OPERATIONAL,"QG6R+C89, Koto Berapak, Bayang, South Pesisir Regency, West Sumatra 25652, Indonesia","{'location': {'lat': -1.2389628, 'lng': 100.5408622}, 'viewport': {'northeast': {'lat': -1.23622005, 'lng': 100.54201295}, 'southwest': {'lat': -1.23987705, 'lng': 100.53740995}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,bayang sani,{'open_now': True},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100651554356038718105"">A Google User</a>'], 'photo_reference': 'AUGGfZm0nXyoG1_iENxgCB6bH3ywA7iVQowi3hjVs0Sx-96uI4iFMRET565m74TWZXyrg5pQ-aOvsk440hcO0kSWyaRTPBf7Xj-4Pu0LdMVr6OPcSLKnSSz5yOjrDMteTwQTf67ZQ33HHBTRSspsaDP8eBWIffwvXZ9xnBHHNvhLP3a-pbhF', 'width': 1200}]",ChIJdSB7NVRV0y8RkXqdB3lFUJQ,4.3,ChIJdSB7NVRV0y8RkXqdB3lFUJQ,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,,https://www.google.com/maps/place/?q=place_id:ChIJdSB7NVRV0y8RkXqdB3lFUJQ
OPERATIONAL,"RQ94+X6, Lumpo, IV Nagari Bayang Utara, South Pesisir Regency, West Sumatra, Indonesia","{'location': {'lat': -1.1597928, 'lng': 100.7336496}, 'viewport': {'northeast': {'lat': -1.158442970107278, 'lng': 100.7349994298927}, 'southwest': {'lat': -1.161142629892722, 'lng': 100.7322997701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gn. Rasam,,,ChIJZT176JlXKy4RYFgjQZ5LIjA,0.0,ChIJZT176JlXKy4RYFgjQZ5LIjA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJZT176JlXKy4RYFgjQZ5LIjA
OPERATIONAL,"QM63+H9W, Bukit Siayah, Kenagarian, Lumpo, Kec. Iv Jurai, Kabupaten Pesisir Selatan, Sumatera Barat, Indonesia","{'location': {'lat': -1.2385076, 'lng': 100.6534443}, 'viewport': {'northeast': {'lat': -1.237157770107278, 'lng': 100.6547941298927}, 'southwest': {'lat': -1.239857429892722, 'lng': 100.6520944701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Siayah Lumpo,,,ChIJbY7eHACrLC4R6gHvlI2y7TY,0.0,ChIJbY7eHACrLC4R6gHvlI2y7TY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJbY7eHACrLC4R6gHvlI2y7TY
OPERATIONAL,"QG53+2PG, Jl. Bukik dama, Talaok, Kec. Bayang, Kabupaten Pesisir Selatan, Sumatera Barat 25654, Indonesia","{'location': {'lat': -1.2424376, 'lng': 100.5043399}, 'viewport': {'northeast': {'lat': -1.2413032, 'lng': 100.5066745}, 'southwest': {'lat': -1.2458408, 'lng': 100.5035617}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PAMSIMAS,,"[{'height': 2080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107839519631439619045"">Asrar Rusdi</a>'], 'photo_reference': 'AUGGfZkDx1rxxx_9RIc35hZs5fC5SElUcxLEOw9hSikBbOV8FPz-Qer0khToWknp7_iFdMhDpK31_T_pbqp3GcZniBOHPb5UDL_qkHN0JSbq9IpC8caOdPVwp-8puSwioToBLsRd7WIz3z3RWFigICRPst0GDPnclpYxUYkMeJFjZkQyfOjQ', 'width': 4160}]",ChIJeSrHJaJX0y8RqGyJhabUAhI,5.0,ChIJeSrHJaJX0y8RqGyJhabUAhI,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJeSrHJaJX0y8RqGyJhabUAhI
OPERATIONAL,"PGQG+M9M, Talaok, Bayang, South Pesisir Regency, West Sumatra 25652, Indonesia","{'location': {'lat': -1.2607752, 'lng': 100.525931}, 'viewport': {'northeast': {'lat': -1.25785485, 'lng': 100.5270034}, 'southwest': {'lat': -1.26174865, 'lng': 100.5227138}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,MINA PADI pincuran limao,{'open_now': True},"[{'height': 5760, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116865725541294034276"">A Google User</a>'], 'photo_reference': 'AUGGfZkFEliTkmWW1Se4P-pnByHwcOIyCzrzoEhFhbV_Hh6sbvRkJmff-otbGFdOf1sgpUTt3wLszhmWRkW8UvhUi8TxRL7awoNxj5bP9dozko4BAB0bpG7Gloa6O1wfSbUa-cMmsXcbHVsl40ZdMfJqcjLW-B7ZUN6Hqkjs02X_AYPIGFsv', 'width': 4312}]",ChIJ0Q80n41X0y8RnpNhzs0fwYI,4.2,ChIJ0Q80n41X0y8RnpNhzs0fwYI,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,https://www.google.com/maps/place/?q=place_id:ChIJ0Q80n41X0y8RnpNhzs0fwYI
