business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,photos,plus_code,permanently_closed,url
OPERATIONAL,"3VH6+RP6, Jl. Lintas Nagari Ps. Lama, Air H., Kec. Linggo Sari Baganti, Kabupaten Pesisir Selatan, Sumatera Barat 25668, Indonesia","{'location': {'lat': -1.9204667, 'lng': 100.8617757}, 'viewport': {'northeast': {'lat': -1.918921320107277, 'lng': 100.8632812798927}, 'southwest': {'lat': -1.921620979892722, 'lng': 100.8605816201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PONDOK AYANG,{'open_now': True},ChIJLZRgYI4lLS4RBszCJU9Dlhg,0.0,ChIJLZRgYI4lLS4RBszCJU9Dlhg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJLZRgYI4lLS4RBszCJU9Dlhg
OPERATIONAL,"3VVX+R7P, Unnamed Road, Air H., Linggo Sari Baganti, Air H., Kec. Linggo Sari Baganti, Kabupaten Pesisir Selatan, Sumatera Barat 25668, Indonesia","{'location': {'lat': -1.9054145, 'lng': 100.8981924}, 'viewport': {'northeast': {'lat': -1.904063620107277, 'lng': 100.8995157298927}, 'southwest': {'lat': -1.906763279892722, 'lng': 100.8968160701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bandarasa,,ChIJ_VxpmIUjLS4RPUIsLirL9zk,5.0,ChIJ_VxpmIUjLS4RPUIsLirL9zk,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112626390040678168219"">Depriadi Deff</a>'], 'photo_reference': 'AUGGfZlLDHYAQIhN3dCBdRx-0eC5WAgaZ61NHpgca1UsafQgD9HyLJ7ljF33HtJzGcg6UbztV7DdRAyo0cHDp2xeGVKbqMtb4vUgUD_awhtiMLTaLv7CxpgE5Jfbe_zQMi_Hm9RbZ3Tv5cSTVMYKFUtEz9O-kX5dVwFOHRRKIqdacNG_YN30', 'width': 4608}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ_VxpmIUjLS4RPUIsLirL9zk
OPERATIONAL,"3WJM+XP, Aie Haji, Linggo Sari Baganti, South Pesisir Regency, West Sumatra, Indonesia","{'location': {'lat': -1.9180066, 'lng': 100.9338179}, 'viewport': {'northeast': {'lat': -1.916638870107277, 'lng': 100.9351617798927}, 'southwest': {'lat': -1.919338529892722, 'lng': 100.9324621201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,rumah gueh,,ChIJG6HjHQAjLS4R_TQWfSN4B0c,0.0,ChIJG6HjHQAjLS4R_TQWfSN4B0c,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJG6HjHQAjLS4R_TQWfSN4B0c
OPERATIONAL,"3VR5+3G2, Aie Haji, Linggo Sari Baganti, South Pesisir Regency, West Sumatra, Indonesia","{'location': {'lat': -1.9098967, 'lng': 100.8587064}, 'viewport': {'northeast': {'lat': -1.908568670107277, 'lng': 100.8600315298927}, 'southwest': {'lat': -1.911268329892722, 'lng': 100.8573318701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Live Inayah Musik,,ChIJ1QC2tiAlLS4R5OMAtOBPt_U,3.7,ChIJ1QC2tiAlLS4R5OMAtOBPt_U,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 2576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100195132149409115864"">A Google User</a>'], 'photo_reference': 'AUGGfZl9yu7oov2vBUJqmgA0d-XKvO6vCgGIIIgRYR7R31Up69wpog9prHOdh8kBvVCAD9qnyZEIfeG0vMY1VTRxQF7FST3Pnxdx_rFmqhIwdBxAmN2qXp8DlZMBOoBSlxiY9f3m885F3l92obWsQQu3jCzdjquzEDRDByxDp2CfthY7sbKO', 'width': 1188}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ1QC2tiAlLS4R5OMAtOBPt_U
OPERATIONAL,"Jl. Padang - Muko-Muko No.51, Air H., Kec. Linggo Sari Baganti, Kabupaten Pesisir Selatan, Sumatera Barat 25668, Indonesia","{'location': {'lat': -1.9213219, 'lng': 100.8830674}, 'viewport': {'northeast': {'lat': -1.919988470107277, 'lng': 100.8843935798927}, 'southwest': {'lat': -1.922688129892722, 'lng': 100.8816939201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan Air Haji,{},ChIJl7yp9YQkLS4RbS7CvJrfbNY,4.1,ChIJl7yp9YQkLS4RbS7CvJrfbNY,"['tourist_attraction', 'point_of_interest', 'establishment']",99,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102845444132853789195"">ZanBlue</a>'], 'photo_reference': 'AUGGfZl7RelxDkjvJ1TPxWju6xLHsvulnJBd8QDMzRZIyEYBsxPgjt2JQPDFfmT1LalV4DOih_dHimoWbh38NKJ19S7eEO0S0iqF1_nF0UOabIw1pMJr-Ps3rKdQ0B0P0DpBfZRJVWyn1SjgaF4kxgwQLXVPFZyzjOPgWLt8tnTPhfrYafms', 'width': 3264}]","{'compound_code': '3VHM+F6 Aie Haji, South Pesisir Regency, West Sumatra, Indonesia', 'global_code': '6PC23VHM+F6'}",,https://www.google.com/maps/place/?q=place_id:ChIJl7yp9YQkLS4RbS7CvJrfbNY
OPERATIONAL,"3VH6+RMF, Jl. Lintas Nagari Ps. Lama, Air H., Kec. Linggo Sari Baganti, Kabupaten Pesisir Selatan, Sumatera Barat 25668, Indonesia","{'location': {'lat': -1.9204356, 'lng': 100.8616735}, 'viewport': {'northeast': {'lat': -1.918905770107278, 'lng': 100.8632301798927}, 'southwest': {'lat': -1.921605429892723, 'lng': 100.8605305201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok Mak Cik,{'open_now': True},ChIJNdSmn58lLS4RPOIOB3oyFbg,0.0,ChIJNdSmn58lLS4RPOIOB3oyFbg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113510769839968332341"">A Google User</a>'], 'photo_reference': 'AUGGfZnJ8sqU43vpxvL7sb-iJwyqMUc2Avod0-maiGz5_F0KA_yAs_TRyh9poy4kuKxoXEcfvRxo6GNFKB8d4mM4gu5by4GtnbGCYtmEIUjge-TJ4COiBFSaiSA-ncqb9Wthb-Cx1Tzc0FMVaUPIwhUEkGiPs6Ao_BP6NY2svGnbAkZfb8Pz', 'width': 4032}]",,,https://www.google.com/maps/place/?q=place_id:ChIJNdSmn58lLS4RPOIOB3oyFbg
OPERATIONAL,"4X9J+28, Aie Haji, Linggo Sari Baganti, South Pesisir Regency, West Sumatra, Indonesia","{'location': {'lat': -1.8824201, 'lng': 100.9807592}, 'viewport': {'northeast': {'lat': -1.881070270107277, 'lng': 100.9821090298927}, 'southwest': {'lat': -1.883769929892722, 'lng': 100.9794093701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,AIA bagalia,,ChIJ1TJ_je0ZLS4RWDjeEYVxRug,5.0,ChIJ1TJ_je0ZLS4RWDjeEYVxRug,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117924952178004178187"">Al Hammdy</a>'], 'photo_reference': 'AUGGfZnIscFhaYHKV5v4h9Nxi-0KviSnRJJcipI47wcQmlv0Ef0hkZ2blCZj1sCTunauW2XQqjwkegqNE9bnfK_y-4qBeuoMQN3_ag5DFV-NeZPpMzwS395h0SFKu2ECE1I2f-i4ljEiU7mhDZiZeP9UXB8QSChD7vCSQ02tmH1vEVLQ3OAu', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ1TJ_je0ZLS4RWDjeEYVxRug
OPERATIONAL,"4V8R+W3, East Punggasan, Linggo Sari Baganti, South Pesisir Regency, West Sumatra, Indonesia","{'location': {'lat': -1.8826393, 'lng': 100.8902356}, 'viewport': {'northeast': {'lat': -1.881793120107278, 'lng': 100.890956}, 'southwest': {'lat': -1.884492779892722, 'lng': 100.8880744}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah Poktan Suka Damai,,ChIJv1yKhlwlLS4R0KIa6belo-A,0.0,ChIJv1yKhlwlLS4R0KIa6belo-A,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJv1yKhlwlLS4R0KIa6belo-A
OPERATIONAL,"3VP5+V88, Muara kandis, Kec. Linggo Sari Baganti, Kabupaten Pesisir Selatan, Sumatera Barat, Indonesia","{'location': {'lat': -1.9128284, 'lng': 100.8583351}, 'viewport': {'northeast': {'lat': -1.911144520107278, 'lng': 100.8604069}, 'southwest': {'lat': -1.913844179892722, 'lng': 100.8576445}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Family,{'open_now': True},ChIJV922CSwlLS4R02Qrplp7OPg,4.3,ChIJV922CSwlLS4R02Qrplp7OPg,"['tourist_attraction', 'point_of_interest', 'establishment']",276,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117468739065913320762"">Endi Suhendra</a>'], 'photo_reference': 'AUGGfZkV2ojhUt21saneWtzdT1CokGNrhtfxTseWzkAQ4QytKS2PGIn9pjlQqlHc-awHrRCO6qpsTA0y4fWIu6ybi1GBQ_S4Vz-wjMBBzfbwqZNf-yuvPorEgAXYezfFd-I-cxhJNTqsc9XrJDswxjeZ6vVVsIvp-Uuvd7IXLZoNzauwmnGz', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJV922CSwlLS4R02Qrplp7OPg
OPERATIONAL,"Jl. Padang Pasir, Air H., Kec. Linggo Sari Baganti, Kabupaten Pesisir Selatan, Sumatera Barat 25668, Indonesia","{'location': {'lat': -1.918988, 'lng': 100.8610029}, 'viewport': {'northeast': {'lat': -1.917455770107277, 'lng': 100.8629153298927}, 'southwest': {'lat': -1.920155429892722, 'lng': 100.8602156701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PANTAI SAKATO,{'open_now': True},ChIJ0Sp-2S0lLS4RAJSCZASsOAQ,4.3,ChIJ0Sp-2S0lLS4RAJSCZASsOAQ,"['tourist_attraction', 'point_of_interest', 'establishment']",10,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116692667849224920884"">A Google User</a>'], 'photo_reference': 'AUGGfZnA-gb0Siyx5pd0UTjf-pDJJqA-Hw_x_6jK28WnqsXP9gmHXZzq6nkxbWoByoSudJlarVR7hXH5srlIl-HtPSENsOImXGl2H_UO-_4s2YYJqnVlHpqS4rdj2l00c8Q6gPmiF0NMeH4AYjN07Dg0xb-FQ7vaBBu77jQHxOq3yDcuKG5a', 'width': 3024}]","{'compound_code': '3VJ6+CC Aie Haji, South Pesisir Regency, West Sumatra, Indonesia', 'global_code': '6PC23VJ6+CC'}",,https://www.google.com/maps/place/?q=place_id:ChIJ0Sp-2S0lLS4RAJSCZASsOAQ
