business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"3HH3+82, Lanrisang, Pinrang Regency, South Sulawesi, Indonesia","{'location': {'lat': -3.9217198, 'lng': 119.5526061}, 'viewport': {'northeast': {'lat': -3.920241170107278, 'lng': 119.5543260798927}, 'southwest': {'lat': -3.922940829892722, 'lng': 119.5516264201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Sumpang Saddang,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115806865834101439361"">Bodhiya Wijaya</a>'], 'photo_reference': 'AUGGfZmzt6El2jBwnUA4urljrPmVTNHCtxzMBHdRlBxCnoapft0GjpwAn9TXyx2AFgsW0fUBn7m-WkxcVPF-hrt3nyLwOagMpXsmEXlDPz2UJU7O1dQapjejzOuItkgRqziFw-mmlKogdN9kcv5qMzE-5JmxQ64Ei439WxipNsZPR6bqXodd', 'width': 4032}]",ChIJWygi6FKvlS0R8UL-BewJ04o,5.0,ChIJWygi6FKvlS0R8UL-BewJ04o,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJWygi6FKvlS0R8UL-BewJ04o
OPERATIONAL,"4H4F+JFC, Samaulue, Lanrisang, Pinrang Regency, South Sulawesi, Indonesia","{'location': {'lat': -3.8934341, 'lng': 119.5736394}, 'viewport': {'northeast': {'lat': -3.892045020107278, 'lng': 119.5749366798927}, 'southwest': {'lat': -3.894744679892721, 'lng': 119.5722370201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Basecamp Rumah Kuri,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115806294885211589940"">A Google User</a>'], 'photo_reference': 'AUGGfZm56Ymdtj1scFjJm1ucAxbs0HJ6kZvIQ1ptb6uMAyXuWCUGMMirGuaI8C0asjURpJL_uBiMiTnhQ4ACNZsQM1qOULBpLW_go_Pw3IQp_9sF3YhYinDoqhgmmEVoJmEWMWY8iRIPuIELJehk9rZpFafrNiwiDABTTIy-Vpw6Y7jBBolR', 'width': 1080}]",ChIJ50dtcFKtlS0R1N7QxHDrZbg,5.0,ChIJ50dtcFKtlS0R1N7QxHDrZbg,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJ50dtcFKtlS0R1N7QxHDrZbg
OPERATIONAL,"3HC5+32C, Lotang Salo, Suppa, Pinrang Regency, South Sulawesi 91272, Indonesia","{'location': {'lat': -3.9298165, 'lng': 119.5575118}, 'viewport': {'northeast': {'lat': -3.928393270107278, 'lng': 119.5591049298928}, 'southwest': {'lat': -3.931092929892722, 'lng': 119.5564052701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lawere Beach Bonging Ponging,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102891322951919332452"">Edy Mp</a>'], 'photo_reference': 'AUGGfZnqk-aWXgEfcGI6fMu0HM1F2ocB7LkJRFNkmll4R-X9rvloRJyGkE4A_hVzl7gUcElJmguEOUfFLJ65VGn5FOFq62rGYe5kyrLfoFD71vjU463wM4JzBS0i8rykrC6jDjnPuAzdvXh6xwYuB7uB1R_4jU0eiGSSRgMAXI2qo6Ab8zE_', 'width': 4000}]",ChIJV1JYGV2vlS0RNCencJT20_o,4.4,ChIJV1JYGV2vlS0RNCencJT20_o,"['tourist_attraction', 'point_of_interest', 'establishment']",204,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJV1JYGV2vlS0RNCencJT20_o
OPERATIONAL,"3HV3+GQW, Unnamed Road, Lanrisang, Kec. Lanrisang, Kabupaten Pinrang, Sulawesi Selatan 91272, Indonesia","{'location': {'lat': -3.9061304, 'lng': 119.5544598}, 'viewport': {'northeast': {'lat': -3.905091470107278, 'lng': 119.55529315}, 'southwest': {'lat': -3.907791129892722, 'lng': 119.55195975}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Empang Usaha Ikan Baharuddin,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106912816764833111676"">rahmat mulyono</a>'], 'photo_reference': 'AUGGfZkh-Ua4UX4As112GSFxxkvhcoJmZFqP85Papk4lPg6TDpTn3KuuWnu-e1vyb8Y0HFG2_agEnA8QrFYV0thJOTlwZjq9WrKub6CuFCdvs-rcw1omEIUEF9TvdQDUaraoNm56av-6s3e-TIgDlIy_tYogCko9BIuQF4FPMrHj8e0rjuHJ', 'width': 1200}]",ChIJ1bWgj_qvlS0R9TAkM_BCtFk,5.0,ChIJ1bWgj_qvlS0R9TAkM_BCtFk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJ1bWgj_qvlS0R9TAkM_BCtFk
OPERATIONAL,"3GXQ+R8R, Wae Tuwoe, Lanrisang, Pinrang Regency, South Sulawesi, Indonesia","{'location': {'lat': -3.9007189, 'lng': 119.5390143}, 'viewport': {'northeast': {'lat': -3.899392870107278, 'lng': 119.5403684798927}, 'southwest': {'lat': -3.902092529892722, 'lng': 119.5376688201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempat Mancing Monye/Nur,,ChIJTV0IYwCvlS0RBpDZpMZXWVE,0.0,ChIJTV0IYwCvlS0RBpDZpMZXWVE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJTV0IYwCvlS0RBpDZpMZXWVE
OPERATIONAL,"3HH3+9R, Lanrisang, Pinrang Regency, South Sulawesi, Indonesia","{'location': {'lat': -3.9215148, 'lng': 119.5545296}, 'viewport': {'northeast': {'lat': -3.920066870107279, 'lng': 119.5553009298927}, 'southwest': {'lat': -3.922766529892723, 'lng': 119.5526012701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara Sungai Kariango,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115806865834101439361"">Bodhiya Wijaya</a>'], 'photo_reference': 'AUGGfZkpEDGTfLLpGOIwqz0xDW2-zv_itmN6SGE5ONlo2uRVaxLUZ8i1QSjlCIpzY2OouythkxyN3DbjUnYtSWG3opqEfq2D7wZELv5_dxY1KhsBJO4k8rtI8NOMe0IdfA-xPK4L4YqcffdRav8M7n6vxigU05Fj9gQAdI5dBbh6F9YqaXth', 'width': 4032}]",ChIJ81uFDg6vlS0R0RVQua5iwzU,5.0,ChIJ81uFDg6vlS0R0RVQua5iwzU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJ81uFDg6vlS0R0RVQua5iwzU
OPERATIONAL,"4G9X+MQ, Wae Tuwoe, Lanrisang, Pinrang Regency, South Sulawesi, Indonesia","{'location': {'lat': -3.8808276, 'lng': 119.5493915}, 'viewport': {'northeast': {'lat': -3.879477770107278, 'lng': 119.5507413298927}, 'southwest': {'lat': -3.882177429892722, 'lng': 119.5480416701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Supardi,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107398329889636080435"">A Google User</a>'], 'photo_reference': 'AUGGfZnYmgNmyCb6BOyo2U0QGruicRnL2DZfFRp6cYHo8fsIndk4r4NMdo9JNblBADUOJqnYjfrp_2liBoFDhWoGyWOv6QNaeH2KeP4BI3jxLS_mSs5JYs14smXs20l_7eC_u7mVOOiugL0_xhpm3W1UQQkpG6VuNexY2YF0eTHLByfE4BAf', 'width': 960}]",ChIJ2YxdAQCtlS0R4v8sRdv4jvg,1.0,ChIJ2YxdAQCtlS0R4v8sRdv4jvg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJ2YxdAQCtlS0R4v8sRdv4jvg
OPERATIONAL,"Jl. Dr. Wahidin Sudiro Husodo, Jaya, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91213, Indonesia","{'location': {'lat': -3.7914168, 'lng': 119.6505235}, 'viewport': {'northeast': {'lat': -3.790092970107279, 'lng': 119.6520826298927}, 'southwest': {'lat': -3.792792629892722, 'lng': 119.6493829701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Lasinrang Park,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114938038321644664965"">rama tama</a>'], 'photo_reference': 'AUGGfZmlnT1cLp25xr1qTzLak8QcswcPTD5ne_wp-ZqAQhDfQojyCQXi4gF02wdsmTM6QgWJBq2gJnCfEtONJupDjC4J1db7Gov6gpbuIc4CAJQ-3DG1X_rT3UUxI6rzd5ynrRyNNTZyVr-h_u5JrICGEOT56ywG60Rus2Wk6BVyBw6wS_FV', 'width': 4160}]",ChIJ0XvYFv5MlC0RHSd-0TiamS4,4.2,ChIJ0XvYFv5MlC0RHSd-0TiamS4,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",2489,{'open_now': True},"{'compound_code': '6M52+C6 Jaya, Pinrang Regency, South Sulawesi, Indonesia', 'global_code': '6P8X6M52+C6'}",https://www.google.com/maps/place/?q=place_id:ChIJ0XvYFv5MlC0RHSd-0TiamS4
OPERATIONAL,"4HVP+2FF, Barang Palie, Lanrisang, Pinrang Regency, South Sulawesi 91272, Indonesia","{'location': {'lat': -3.8574353, 'lng': 119.5861581}, 'viewport': {'northeast': {'lat': -3.8543684, 'lng': 119.5878597298927}, 'southwest': {'lat': -3.8584576, 'lng': 119.5851600701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muchtar,,ChIJU6Z8JwCtlS0Rx5rtHULke5c,0.0,ChIJU6Z8JwCtlS0Rx5rtHULke5c,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJU6Z8JwCtlS0Rx5rtHULke5c
OPERATIONAL,"5MR2+PQC, Macorawalie, Watang Sawitto, Pinrang Regency, South Sulawesi 91212, Indonesia","{'location': {'lat': -3.8081889, 'lng': 119.6518333}, 'viewport': {'northeast': {'lat': -3.806836420107278, 'lng': 119.6532935798927}, 'southwest': {'lat': -3.809536079892722, 'lng': 119.6505939201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/monument_pinlet,Monumen Lasinrang,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100055578939919058416"">A Google User</a>'], 'photo_reference': 'AUGGfZkXX81mca5M7GAB5PajclSFoApCsmaedUCyvSteCh6DX5XrWvpRrTca9SoY5tSQloAiiJoMpQt995CjEnwD211xiLE_NRUwrW17-42OH5WsE8Wi7ijEIOkpx8OhfOZ61pUTahvIBXRr1CH9Fd-tecGVDyKsEqAGPNxVRPlDSFuhA6b_', 'width': 3000}]",ChIJiY4uCd9MlC0R2ZHyhrQMJ_k,4.5,ChIJiY4uCd9MlC0R2ZHyhrQMJ_k,"['tourist_attraction', 'point_of_interest', 'establishment']",228,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJiY4uCd9MlC0R2ZHyhrQMJ_k
