business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,url
CLOSED_TEMPORARILY,"PMXC+J2Q, Wonggarasi Timur, Wanggarasi, Pohuwato Regency, Gorontalo, Indonesia","{'location': {'lat': 0.7490764, 'lng': 121.6701021}, 'viewport': {'northeast': {'lat': 0.7504262298927222, 'lng': 121.6714519298927}, 'southwest': {'lat': 0.7477265701072777, 'lng': 121.6687522701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cabang pangi,True,ChIJT6u7Ir7feTIRAI_7tVGS8GU,4.5,ChIJT6u7Ir7feTIRAI_7tVGS8GU,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJT6u7Ir7feTIRAI_7tVGS8GU
OPERATIONAL,"GPMJ+V9, Sidorukun, Randangan, Pohuwato Regency, Gorontalo, Indonesia","{'location': {'lat': 0.534708, 'lng': 121.7309933}, 'viewport': {'northeast': {'lat': 0.5359926298927221, 'lng': 121.7322908298927}, 'southwest': {'lat': 0.5332929701072777, 'lng': 121.7295911701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Li elsa,,ChIJY6vTfwDTeTIR0sW8uId9vCs,5.0,ChIJY6vTfwDTeTIR0sW8uId9vCs,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJY6vTfwDTeTIR0sW8uId9vCs
OPERATIONAL,"GHPM+H74, Wonggarasi Bar, Kec. Lemito, Kabupaten Pohuwato, Gorontalo 96468, Indonesia","{'location': {'lat': 0.5363917, 'lng': 121.5832023}, 'viewport': {'northeast': {'lat': 0.5377782798927223, 'lng': 121.5845369298927}, 'southwest': {'lat': 0.5350786201072779, 'lng': 121.5818372701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga Wonggarasi Barat,,ChIJnw39sKB_dzIRHQ35C-YdmbU,5.0,ChIJnw39sKB_dzIRHQ35C-YdmbU,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115770670090859943093"">115770670090859943093</a>'], 'photo_reference': 'AUGGfZlhwY1rqK8LMJWJhZK7yD89bb7REFWn6NKFukiARsduJLmF9l0_zzi-zRVVjVYYOuD6QdMF_Q6iVfwB1mG1AKZcCy0Plc-2OwjJxFw2XCUmIdP6Ehsc7lF-aeH45ClgdAUX1f1YMrISUJhNhgEbrqQ-_HTBdAWWLvg832PWq1qp16-Z', 'width': 720}]",,,https://www.google.com/maps/place/?q=place_id:ChIJnw39sKB_dzIRHQ35C-YdmbU
OPERATIONAL,"HR35+JV2, Manunggal Karya, Randangan, Pohuwato Regency, Gorontalo 96469, Indonesia","{'location': {'lat': 0.554014, 'lng': 121.8096561}, 'viewport': {'northeast': {'lat': 0.5553638298927223, 'lng': 121.8110059298927}, 'southwest': {'lat': 0.5526641701072778, 'lng': 121.8083062701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,S'MART FARMING,,ChIJaWGbHSbTeTIRFKzCAELkmOo,5.0,ChIJaWGbHSbTeTIRFKzCAELkmOo,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111024827596199444671"">A Google User</a>'], 'photo_reference': 'AUGGfZmleoJJSCO1_0UrfcZVrDb4ocxDHSpXA0h7iITGD_wQ7wALqhTLDY_suVtiFWi2EbyeBnJubp2XM1Xhx3K0kUNG_M6m15sjCShdqGRR-yp3jNWFSSM-ub5bOBXokTI_Po97GdmIOUSB_U3Ta39sTd6X-MzonLVffjv7i8eLyxvOoYNL', 'width': 1080}]",{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJaWGbHSbTeTIRFKzCAELkmOo
OPERATIONAL,"GRG7+C8Q, Motolohu, Randangan, Pohuwato Regency, Gorontalo 96469, Indonesia","{'location': {'lat': 0.5260992, 'lng': 121.8133366}, 'viewport': {'northeast': {'lat': 0.5274468298927223, 'lng': 121.8146597798928}, 'southwest': {'lat': 0.5247471701072778, 'lng': 121.8119601201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah nenek,,ChIJ-asLDwDNeTIRrv9MEeeavcM,0.0,ChIJ-asLDwDNeTIRrv9MEeeavcM,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-asLDwDNeTIRrv9MEeeavcM
OPERATIONAL,"HPW3+FFG, Desa Bukit Harapan, Wonggarasi Tim., Kec. Wanggarasi, Kabupaten Pohuwato, Gorontalo, Indonesia","{'location': {'lat': 0.5961875, 'lng': 121.7036875}, 'viewport': {'northeast': {'lat': 0.5970939298927221, 'lng': 121.7047824798927}, 'southwest': {'lat': 0.5943942701072777, 'lng': 121.7020828201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Air Terjun Batu Kapal,,ChIJwajHIofXeTIRIK40W_-v7bI,0.0,ChIJwajHIofXeTIRIK40W_-v7bI,"['park', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJwajHIofXeTIRIK40W_-v7bI
OPERATIONAL,"JQXX+97F, Mekarti Jaya, Taluditi, Pohuwato Regency, Gorontalo, Indonesia","{'location': {'lat': 0.6484375, 'lng': 121.7981719}, 'viewport': {'northeast': {'lat': 0.6497873298927221, 'lng': 121.7995217298927}, 'southwest': {'lat': 0.6470876701072776, 'lng': 121.7968220701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun taluditi,,ChIJgYxowmfbeTIRG3GEUf2VROo,4.8,ChIJgYxowmfbeTIRG3GEUf2VROo,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102818216335097578544"">A Google User</a>'], 'photo_reference': 'AUGGfZl4txdSCOr_NW8J7b7x7uuJevbo9u1bf4TO0BK6CFuCMAQYOnvQ-zfNd-6U-Ou7rtl8xbCcROgJFH2zlwywp_DlMakyhw6u5mPsKuqz5dgenpMHGjawwq3Nz_jvuvSgiZoXWyI0-0GXljTpJGVMNKJCnkjEOnaZPcuTuzB-ND2Hb0JV', 'width': 1920}]",,,https://www.google.com/maps/place/?q=place_id:ChIJgYxowmfbeTIRG3GEUf2VROo
OPERATIONAL,"JM7P+74, Wonggarasi Timur, Wanggarasi, Pohuwato Regency, Gorontalo, Indonesia","{'location': {'lat': 0.6131443, 'lng': 121.6853334}, 'viewport': {'northeast': {'lat': 0.6144941298927222, 'lng': 121.6866832298927}, 'southwest': {'lat': 0.6117944701072778, 'lng': 121.6839835701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Air terjun Batu Kapal,,ChIJ_zoVA03XeTIRm87MNpNbZ4E,4.4,ChIJ_zoVA03XeTIRm87MNpNbZ4E,"['park', 'point_of_interest', 'establishment']",7.0,"[{'height': 3189, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106944134098716041611"">Ayis Lawani</a>'], 'photo_reference': 'AUGGfZnspXgU9F1DDtrHIFajIfY68fGx7k9SuWzWCGRS9YqDuD95pyChukTLW7AAzS98xu7J90ol8VqdUdbx5lCZvSZTp40MNyDXrrSimeTmdR_VrnKYAzeHEFB7jybPau1UvwegdySTgR2w-cUfHF4EY_5uJXsFE7JBvEC6lwIEQWkzeMuB', 'width': 2156}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ_zoVA03XeTIRm87MNpNbZ4E
OPERATIONAL,"Desa, Makarti Jaya, Kec. Taluditi, Kabupaten Pohuwato, Gorontalo 96268, Indonesia","{'location': {'lat': 0.654142, 'lng': 121.8136094}, 'viewport': {'northeast': {'lat': 0.6555457298927223, 'lng': 121.8149793298927}, 'southwest': {'lat': 0.6528460701072779, 'lng': 121.8122796701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TAMAN WISATA TALAMBUKIT,,ChIJPUvT7WzFeTIRVOuoHkGLdiA,0.0,ChIJPUvT7WzFeTIRVOuoHkGLdiA,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118414624032969182272"">A Google User</a>'], 'photo_reference': 'AUGGfZme-5jImsGIlharkvNIt3JYHG-Sn-RZ6pg7jlaTYMD6S0woo6iSeQoPOIWrjNGFOeePqf6Eb1sBlvtIoYJnMZikGb7S1vw2fHbwPsbZ-7BeHF4UHnNXa9YxMlwCATPI98pZwpaAD9w5mygW_kZ1nZQFujBwAOwmttbFWfOgpRlrYt_z', 'width': 3264}]",{'open_now': False},"{'compound_code': 'MR37+MC Mekarti Jaya, Pohuwato Regency, Gorontalo, Indonesia', 'global_code': '6QG3MR37+MC'}",https://www.google.com/maps/place/?q=place_id:ChIJPUvT7WzFeTIRVOuoHkGLdiA
OPERATIONAL,"HH2R+46X, Lemito Utara, Lemito, Pohuwato Regency, Gorontalo 96468, Indonesia","{'location': {'lat': 0.5503566999999999, 'lng': 121.5906095}, 'viewport': {'northeast': {'lat': 0.5510318298927223, 'lng': 121.59440255}, 'southwest': {'lat': 0.5483321701072777, 'lng': 121.58934515}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BUKIT KEMBAR,,ChIJI6TSD1F-dzIRQQi1OcYO1J0,4.3,ChIJI6TSD1F-dzIRQQi1OcYO1J0,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107841195477515439456"">rival tontoli</a>'], 'photo_reference': 'AUGGfZliEj0LXcUH3YqQO0xbcjxFAoOQEKuFb91i517QPargJmWY7b0sQa3xH0Dn9ub0M7qRM9q88yUx6F3x5NcrkYwLUzif2KfEOugPQQSHuf_rIcRBEJLFk5MOHnYQ7iHmCA37OyvFu5_ZJwx5P3q2OJtDaT9yGatct98r7qiJfq-dMZs', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJI6TSD1F-dzIRQQi1OcYO1J0
