business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,plus_code,opening_hours,permanently_closed,url
OPERATIONAL,"WF8F+8FW, Krajan, Selur, Kec. Ngrayun, Kabupaten Ponorogo, Jawa Timur 63464, Indonesia","{'location': {'lat': -8.0841392, 'lng': 111.4737047}, 'viewport': {'northeast': {'lat': -8.08042325, 'lng': 111.4779614}, 'southwest': {'lat': -8.085377849999999, 'lng': 111.4722858}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sunggah Water Fall - ꦱꦸꦁꦒꦃꦮꦠꦺꦂꦥ꦳ꦭ꧀ꦭ꧀,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113157140236816876160"">Purnomo Sidik Kustiyono</a>'], 'photo_reference': 'AUGGfZkwukaNnuWu3SecDyiyHv1K24-Uve_ldwmAMUg2dCdEZsTih27KCPj53EdL-c87Nn3g4oSzj36NHXLUK-od1TfsGSutqPQFqXf5MFQzWhwPgCWPAov8VZw_GuE6Dqwydfm8mvQKJ5NkWy1m8cCzJ-u10PLRRowaisNjfSlZJsGMvqxf', 'width': 2560}]",ChIJJeBqN0tteS4R_D6Mf2yjQhU,4.3,ChIJJeBqN0tteS4R_D6Mf2yjQhU,"['tourist_attraction', 'point_of_interest', 'establishment']",101.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJJeBqN0tteS4R_D6Mf2yjQhU
OPERATIONAL,"Krajan, Selur, Ngrayun, Ponorogo Regency, East Java 63464, Indonesia","{'location': {'lat': -8.1110092, 'lng': 111.4775071}, 'viewport': {'northeast': {'lat': -8.10957747010728, 'lng': 111.4782225798927}, 'southwest': {'lat': -8.112277129892723, 'lng': 111.4755229201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Watu Semaur,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103075883276066182983"">Asrori 03</a>'], 'photo_reference': 'AUGGfZngb0UC3B1t1FNzDbvy6tJQu8laUUiZ3TLdh6TCMtdpBPeQqhNcvCuLXJp-ubjHC_aEto8b8kOBRARlpxdjrSR7gCtffymy_F1u3c3KhAZRy1rL0efUaNMMrHvxskzT_QXhGw52RVci3aIiQJw8kF78mIkn7h-GYGpHSJ0GkbHcM2w-', 'width': 4000}]",ChIJg7SvJisTeS4R8e2wbA6KB8U,4.3,ChIJg7SvJisTeS4R8e2wbA6KB8U,"['tourist_attraction', 'point_of_interest', 'establishment']",238.0,"{'compound_code': 'VFQH+H2 Selur, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P3HVFQH+H2'}",,,https://www.google.com/maps/place/?q=place_id:ChIJg7SvJisTeS4R8e2wbA6KB8U
OPERATIONAL,"WF28+3F4, Krajan, Selur, Kec. Ngrayun, Kabupaten Ponorogo, Jawa Timur 63464, Indonesia","{'location': {'lat': -8.0998564, 'lng': 111.4661986}, 'viewport': {'northeast': {'lat': -8.098532820107279, 'lng': 111.4675312798927}, 'southwest': {'lat': -8.101232479892722, 'lng': 111.4648316201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,solar farm ngrayun,,ChIJL0rJIABteS4RjsFUOO4vkFo,0.0,ChIJL0rJIABteS4RjsFUOO4vkFo,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJL0rJIABteS4RjsFUOO4vkFo
OPERATIONAL,"Putuk, Selur, Ngrayun, Ponorogo Regency, East Java 63464, Indonesia","{'location': {'lat': -8.1058255, 'lng': 111.487337}, 'viewport': {'northeast': {'lat': -8.104450620107277, 'lng': 111.4889783798927}, 'southwest': {'lat': -8.107150279892721, 'lng': 111.4862787201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Gunung Prongos Ngrayun,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109527736576093755211"">Ricki Firmansyah</a>'], 'photo_reference': 'AUGGfZnmwjmqB1qIvtKdqka96GtZNljB_Jq8rwjV-Xwe6OIx0YjiLOzqMPqfLHrWETmR13hpb4lcTIwwGq9rfIxTDkQBLJgr6BrdgZpdzqbP0EXvR-xjHe5kPVuZxlkhbayMZ-53AaDqmoDjIyqbjrHr9ik5oPtb7K5PzSGWYiDjalAA-w', 'width': 4096}]",ChIJp3YHNe4TeS4Rz90O8di9aHA,5.0,ChIJp3YHNe4TeS4Rz90O8di9aHA,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"{'compound_code': 'VFVP+MW Selur, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P3HVFVP+MW'}",,,https://www.google.com/maps/place/?q=place_id:ChIJp3YHNe4TeS4Rz90O8di9aHA
OPERATIONAL,"WCPX+28, Krajan, Ngrayun, Kec. Ngrayun, Kabupaten Ponorogo, Jawa Timur, Indonesia","{'location': {'lat': -8.064872, 'lng': 111.4483756}, 'viewport': {'northeast': {'lat': -8.063480870107277, 'lng': 111.4497647298927}, 'southwest': {'lat': -8.066180529892721, 'lng': 111.4470650701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tumpak Lego Hill,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107988803091648452806"">A Google User</a>'], 'photo_reference': 'AUGGfZlBQd6cxbHw8TIyaUUZeVc6eHq0kdlrMPrbMyZByXo21DCIVqRTH3z9roh6vyhOlPc31azxuoh_vMOIXGjLfW1-Px4YmImAygR0n-VA35_aPcWOT7C7Rdit6SolHJpfzcB0pCihdyJPUTK0tCDVjW1YzucQxQXgIgHPdUkZFKXFceWh', 'width': 4128}]",ChIJP1CWSDxzeS4RhOqx8frUk_c,4.2,ChIJP1CWSDxzeS4RhOqx8frUk_c,"['tourist_attraction', 'point_of_interest', 'establishment']",88.0,,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJP1CWSDxzeS4RhOqx8frUk_c
OPERATIONAL,"W94R+MX, Plandan, Mrayan, Kec. Ngrayun, Kabupaten Ponorogo, Jawa Timur, Indonesia","{'location': {'lat': -8.0932911, 'lng': 111.3924611}, 'viewport': {'northeast': {'lat': -8.091989570107277, 'lng': 111.3938051798927}, 'southwest': {'lat': -8.09468922989272, 'lng': 111.3911055201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah persinggahan,,ChIJ30xIBgBteS4R2cQ0fqFcJcU,0.0,ChIJ30xIBgBteS4R2cQ0fqFcJcU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ30xIBgBteS4R2cQ0fqFcJcU
OPERATIONAL,"Jl. Ngrayun-Mrayan, Ngembel, Baosan Lor, Kec. Ngrayun, Kabupaten Ponorogo, Jawa Timur 63464, Indonesia","{'location': {'lat': -8.086886999999999, 'lng': 111.4176013}, 'viewport': {'northeast': {'lat': -8.085547470107278, 'lng': 111.4189489798927}, 'southwest': {'lat': -8.088247129892721, 'lng': 111.4162493201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Alas Nggarutan,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109294068126167642815"">Aldiano Sang Penata Jiwa</a>'], 'photo_reference': 'AUGGfZk8Gm0MEnKDoc1Qwy6IXKFuwCL-XQTwzGgK7z3PzWq6cc99bqgETOvAYVoITxZOgWCe0jlhqgn0mPM-Lb-U9zL6n3bIrZBimGQ1l6u0JCX2akyJU3KygfyRPcfz1FdBlx1UFP2UfNkb48T69AneC0zbOlld3LjXuuO1Ee-NBavDsFTe', 'width': 4624}]",ChIJNWRPnsdteS4R_o9NmMUDPYo,4.2,ChIJNWRPnsdteS4R_o9NmMUDPYo,"['tourist_attraction', 'point_of_interest', 'establishment']",9.0,"{'compound_code': 'WC79+62 Baosan Lor, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P3HWC79+62'}",,,https://www.google.com/maps/place/?q=place_id:ChIJNWRPnsdteS4R_o9NmMUDPYo
OPERATIONAL,"WFXX+R7G, Slorok, Cepoko, Kec. Ngrayun, Kabupaten Ponorogo, Jawa Timur 63464, Indonesia","{'location': {'lat': -8.0504464, 'lng': 111.4981976}, 'viewport': {'northeast': {'lat': -8.04909657010728, 'lng': 111.4995474298927}, 'southwest': {'lat': -8.051796229892723, 'lng': 111.4968477701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Bukit Pare - ꦧꦸꦏꦶꦠ꧀ꦥꦫꦺ,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109325042725103581389"">Fariska K. Wahyu</a>'], 'photo_reference': 'AUGGfZkjgQsHHQIIHNoRhd_E3bUgQ1n3pfxDDtF90u_2OHIDxpvGrXw-8O-vY4F1gbTFuGnHM7USaYYgkN9NQu_Lo3bCvnZiUiaUiL2Pfbargwg4oeQgeMWmRjKBe9iuXK37F4yDq5Yk_5x11Y_BM7fDzB0-S4K1AWzvHLhc9GHYk-JtqfZp', 'width': 4000}]",ChIJe1Fi4ZsSeS4Rks-QgJi4dIg,4.2,ChIJe1Fi4ZsSeS4Rks-QgJi4dIg,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",49.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJe1Fi4ZsSeS4Rks-QgJi4dIg
OPERATIONAL,"WCGX+CPF, Krajan, Ngrayun, Kec. Ngrayun, Kabupaten Ponorogo, Jawa Timur 63464, Indonesia","{'location': {'lat': -8.0742992, 'lng': 111.449254}, 'viewport': {'northeast': {'lat': -8.07292302010728, 'lng': 111.4505369298927}, 'southwest': {'lat': -8.075622679892724, 'lng': 111.4478372701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan,"[{'height': 1872, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105688017046661840099"">A Google User</a>'], 'photo_reference': 'AUGGfZndUy1OYyBkS6mOB32MDkI3VeRAFiABo05IpN_axCt2fjBHnj0a8gSOH2e_1HJzdkxrh99SnyzndhRSCoW-sxllzYAzah_8D5XERwtjXDWPqWGUY006LY282lNNrXBnIh1FghH60MCvDwVvBBcsAQ5VWAh4auUnTVWjiAzt18XzbBoq', 'width': 4032}]",ChIJEc_XAGhteS4RZrmjcq0eBt0,5.0,ChIJEc_XAGhteS4RZrmjcq0eBt0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJEc_XAGhteS4RZrmjcq0eBt0
OPERATIONAL,"W98Q+23Q, Krajan, Mrayan, Kec. Ngrayun, Kabupaten Ponorogo, Jawa Timur, Indonesia","{'location': {'lat': -8.0850972, 'lng': 111.3874281}, 'viewport': {'northeast': {'lat': -8.08386637010728, 'lng': 111.3887792798927}, 'southwest': {'lat': -8.086566029892724, 'lng': 111.3860796201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman & Pemancingan Nganjur,,ChIJyVAmKQBteS4R1LEQdXjkqn0,0.0,ChIJyVAmKQBteS4R1LEQdXjkqn0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJyVAmKQBteS4R1LEQdXjkqn0
