business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Jl. Soekarno Hatta No.81-91, Bangunsari, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63411, Indonesia","{'location': {'lat': -7.8663958, 'lng': 111.469729}, 'viewport': {'northeast': {'lat': -7.865045820107278, 'lng': 111.4710803298927}, 'southwest': {'lat': -7.867745479892722, 'lng': 111.4683806701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,MALIOBORO PONOROGO,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116131687845942403876"">Dwi Nova Saputra</a>'], 'photo_reference': 'AUGGfZku7SH6Jet-cTP6gZLqzbCtg5xsIuu-8QH07MXEvPUW2xYdbDcNu8EKul3DfomWIEmzQLHKpggeIzkNuifrAgBRixl1E5koA0GxvZS_90afDSzXn-Yywz8iTwmDKdcC5BQhP1cBh9Kto4L5t2Q_35kbfMeoI0jTTmWMuZtAk3X07lym', 'width': 5184}]",ChIJpZNAR76feS4Re9MNI9SMtZA,"{'compound_code': '4FM9+CV Bangunsari, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FM9+CV'}",4.5,ChIJpZNAR76feS4Re9MNI9SMtZA,"['tourist_attraction', 'point_of_interest', 'establishment']",616.0,,https://www.google.com/maps/place/?q=place_id:ChIJpZNAR76feS4Re9MNI9SMtZA
OPERATIONAL,"Jl. Pramuka No.30, Sultanagung, Nologaten, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63411, Indonesia","{'location': {'lat': -7.8644201, 'lng': 111.4789465}, 'viewport': {'northeast': {'lat': -7.862899220107277, 'lng': 111.4802876298927}, 'southwest': {'lat': -7.865598879892721, 'lng': 111.4775879701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Kota Ponorogo - ꦠꦩꦤ꧀ꦏꦼꦭꦺꦴꦤꦺꦴꦱꦼꦮꦤ꧀ꦝꦺꦴꦤꦺꦴ,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101571322654267356367"">Rya J</a>'], 'photo_reference': 'AUGGfZlDloE84TsZmdLYNJwI1keJjCp1gpNeoD8Aj-4n4KGUBPzflfp6bcUxvFYbKNaJh9wBNklE-AnOVUtsAsE4QyfT86fe3NKbdE96Q14c0faIq7DBhwco62WrHU8H6xPOQxdBpnTjjyZE-wvlAjxQI8tb2zf1mD4R5f6L1rg331vKJ3o2', 'width': 4032}]",ChIJ0blMBiugeS4RwhgMuixgNSw,"{'compound_code': '4FPH+6H Nologaten, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FPH+6H'}",4.3,ChIJ0blMBiugeS4RwhgMuixgNSw,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1579.0,,https://www.google.com/maps/place/?q=place_id:ChIJ0blMBiugeS4RwhgMuixgNSw
OPERATIONAL,"Jl. Ki Ageng Kutu No.1c, Tonatan, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63418, Indonesia","{'location': {'lat': -7.871088599999998, 'lng': 111.4927285}, 'viewport': {'northeast': {'lat': -7.869741170107278, 'lng': 111.4941993798927}, 'southwest': {'lat': -7.872440829892722, 'lng': 111.4914997201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Ponorogo Jeruksing City Park,{'open_now': True},"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104223583880892672052"">Harry Hoo</a>'], 'photo_reference': 'AUGGfZkFg9M5mjRWXKDSBbBzN0vpE_bzSqRm7r1zv1mbGHvAoDD7gno1dKyHeqRA73A9BzCuatToLYzrCaXMif3zBB9bhzWYH3kbzjOwX0957cphsKMGS96JxtSR4ooi5I_oqYxLE60ElcS3nJjbGUlF2pYHiOohgXNkyCPuvqj7dU2_ft_B', 'width': 2988}]",ChIJBRyXrjCgeS4RKTa4HDXFmjg,"{'compound_code': '4FHV+H3 Tonatan, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FHV+H3'}",4.2,ChIJBRyXrjCgeS4RKTa4HDXFmjg,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1177.0,,https://www.google.com/maps/place/?q=place_id:ChIJBRyXrjCgeS4RKTa4HDXFmjg
OPERATIONAL,"Jl. Soekarno Hatta No.2b, Bangunsari, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63413, Indonesia","{'location': {'lat': -7.8713517, 'lng': 111.4702383}, 'viewport': {'northeast': {'lat': -7.870001920107277, 'lng': 111.4715675298927}, 'southwest': {'lat': -7.872701579892721, 'lng': 111.4688678701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,HOS Cokroaminoto Citywalk,{'open_now': True},"[{'height': 2913, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105241402158518588246"">Satrio Yudha</a>'], 'photo_reference': 'AUGGfZlaGzytQQE-qqd3cbuAxypXUiuEkoLzwjS7IbZb50ynZGQhu6VsIQvl6pnSh0raaua3ilRWoIKYbh8cxtYivdlKudkxlP9v44nSTVi3EKACdWT-pr84OU1ffgF99kpAX0VTyaZ-77SJ4521ygLqxQzyIgoLZ53ve6H1mpdpCDHomDBz', 'width': 2913}]",ChIJBTkUS8yfeS4RapbOO8kZGkw,"{'compound_code': '4FHC+F3 Bangunsari, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FHC+F3'}",4.6,ChIJBTkUS8yfeS4RapbOO8kZGkw,"['tourist_attraction', 'point_of_interest', 'establishment']",25.0,,https://www.google.com/maps/place/?q=place_id:ChIJBTkUS8yfeS4RapbOO8kZGkw
OPERATIONAL,"4CFX+3GF, Jl. Laksamana Yos Sudarso Gg. II, Lingkung Dua, Paju, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63415, Indonesia","{'location': {'lat': -7.8773226, 'lng': 111.448873}, 'viewport': {'northeast': {'lat': -7.875960520107277, 'lng': 111.4503615798927}, 'southwest': {'lat': -7.878660179892721, 'lng': 111.4476619201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok Jambu (Wisata Agro & Kuliner),{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112852162192386835069"">Supri Yanto</a>'], 'photo_reference': 'AUGGfZkh-4W0AqGdkvWACrlrdnDaKzTw1HC_H2HvLCrx5JE6aA4Yrkoeyms29XVrEZTWav70lcF4-aH274qTlN4wPTzVyS4hxS8ZLZpjx0-sy9E-3wEeRBzNH2PgJU8Qr3VuvOhS5daRnyX_8z_T8phOCrKBq1xyuO90WaiM-qGn0vIIPphg', 'width': 3120}]",ChIJF-tC8bOfeS4RCbcGD2LLhwE,,4.5,ChIJF-tC8bOfeS4RCbcGD2LLhwE,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0,,https://www.google.com/maps/place/?q=place_id:ChIJF-tC8bOfeS4RCbcGD2LLhwE
OPERATIONAL,"Patung sukowati, Sablak, Keniten, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63412, Indonesia","{'location': {'lat': -7.8528318, 'lng': 111.4698961}, 'viewport': {'northeast': {'lat': -7.85148197010728, 'lng': 111.4712459298927}, 'southwest': {'lat': -7.854181629892723, 'lng': 111.4685462701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,STMJ SUKOWATI,{'open_now': False},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111188711451524069837"">Budiono Sukses</a>'], 'photo_reference': 'AUGGfZkN-AJCrguwgfw-yzAg1veUWA2jNNjawDmE5qQLGGQ3Fb8wYb2BOa6jy5CvH5XD37lKXHBZm4eZaEVuwZp8VZx6stEiTOPpPEJx6uYrSqbuVEBeKNNbIakq-eR97Yy4nk2__f34ZK4dOamG818lPya8fHZb9J1rqTYMOTnzd0EhNXR3', 'width': 3840}]",ChIJPSpVaWKfeS4R_C1PlYsrKkw,"{'compound_code': '4FW9+VX Keniten, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FW9+VX'}",4.3,ChIJPSpVaWKfeS4R_C1PlYsrKkw,"['tourist_attraction', 'park', 'food', 'point_of_interest', 'establishment']",1355.0,,https://www.google.com/maps/place/?q=place_id:ChIJPSpVaWKfeS4R_C1PlYsrKkw
OPERATIONAL,"Jl. HOS Cokroaminoto No.51, Bangunsari, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63411, Indonesia","{'location': {'lat': -7.8677452, 'lng': 111.4698664}, 'viewport': {'northeast': {'lat': -7.866395570107279, 'lng': 111.4712122798927}, 'southwest': {'lat': -7.869095229892722, 'lng': 111.4685126201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cokroaminoto Sidewalk Street,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104545614285284772631"">Edy Winoto</a>'], 'photo_reference': 'AUGGfZkbK4FtsUmpiYmyqm-jKaii9hA468gVhg-hEJ1T830eSghcTZeECRl5uMYxVW4Lk2wb2KkcAOdN2fTYFVejQUCZVftIb03KjczOvxGNTe4rlONe7uM7gSIPUzXk4O6JfDPAsizHJsCih1e4BDiEOPp9tJ4pYLg--LXtaab7prFmsobE', 'width': 4032}]",ChIJqzwEn4efeS4R0tKxFnkzB4Q,"{'compound_code': '4FJ9+WW Bangunsari, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FJ9+WW'}",5.0,ChIJqzwEn4efeS4R0tKxFnkzB4Q,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,,https://www.google.com/maps/place/?q=place_id:ChIJqzwEn4efeS4R0tKxFnkzB4Q
OPERATIONAL,"Jl. Alun-Alun Timur Barat No.7, Ponorogo, Mangkujayan, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63413, Indonesia","{'location': {'lat': -7.871017599999999, 'lng': 111.462488}, 'viewport': {'northeast': {'lat': -7.869577970107277, 'lng': 111.4638039298927}, 'southwest': {'lat': -7.872277629892721, 'lng': 111.4611042701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Alun-Alun Ponorogo,{'open_now': True},"[{'height': 3488, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109963913709782419493"">sugeng wahyudi</a>'], 'photo_reference': 'AUGGfZnsIjtkTlSyL5Mxjis_lVZ9xjGND1SbHLQrrmFwMU0530YIfLz3NkNQplSw5fduWDHwocIuxZlFE3GqN9IacXtAT6-hb0WwJCVOFaRROCNQcSJp2ALUrw9OfE9y7RjzyHstS1w3wW4i-G4AVX18uVycuso4FlXYa325r5rsNAA6aPPx', 'width': 5264}]",ChIJu3kdS4WfeS4RAR-tJ_WPLa4,"{'compound_code': '4FH6+HX Mangkujayan, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FH6+HX'}",4.4,ChIJu3kdS4WfeS4RAR-tJ_WPLa4,"['park', 'point_of_interest', 'establishment']",18360.0,,https://www.google.com/maps/place/?q=place_id:ChIJu3kdS4WfeS4RAR-tJ_WPLa4
,"Ponorogo Regency, East Java, Indonesia","{'location': {'lat': -7.8650759, 'lng': 111.4696322}, 'viewport': {'northeast': {'lat': -7.7669439, 'lng': 111.7857589}, 'southwest': {'lat': -8.175519099999999, 'lng': 111.273071}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ponorogo Regency,,"[{'height': 611, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115471493758745289876"">A Google User</a>'], 'photo_reference': 'AUGGfZl6koPnvE-NRpWW2ZqleKMQ4H6rukRe8JppM-hTZDNOEHlZIXdJHmoG0i3X0BNF3xUL6harUEwYHj8fzGAYzY9Fiag8Ygr9TSIoaFFNfjou1z6A_b0K5Xy7UI70TY6jcbKKowYrDr2vLT_MeYasMrA5rQgHfkrDMQStOS_rcwnC3660', 'width': 1080}]",ChIJUej-nIULeS4RoL5S43Z6AgM,,,ChIJUej-nIULeS4RoL5S43Z6AgM,"['administrative_area_level_2', 'political']",,,https://www.google.com/maps/place/?q=place_id:ChIJUej-nIULeS4RoL5S43Z6AgM
OPERATIONAL,"Taman Wisata Ngembag, Jl. Halim Perdana Kusuma, Ronowijayan, Kec. Siman, Kabupaten Ponorogo, Jawa Timur 63471, Indonesia","{'location': {'lat': -7.869732099999999, 'lng': 111.4988044}, 'viewport': {'northeast': {'lat': -7.868387770107277, 'lng': 111.5002573798927}, 'southwest': {'lat': -7.871087429892721, 'lng': 111.4975577201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Wisata Ngembag,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111611956916851052355"">Amirul solikin</a>'], 'photo_reference': 'AUGGfZlqkbg1YVW53L6tsDXAWPR7CYLvm7em2zPN40Uyp86IfzJ0Uz8mdz6lb08wKZ0OVET8HNL_DkOrclM7LR8ZvJFK4ru3E27sdiZTAJfqEMIJF6t10Rp57emj1nq4cxOFnhuYXR6osXj_K0ibqeQB1JRx_Htrmj01VbY2Vkbh9BRmjBpa', 'width': 3264}]",ChIJSfwc2DegeS4ROO_aQMG5sbc,"{'compound_code': '4FJX+4G Ronowijayan, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FJX+4G'}",3.9,ChIJSfwc2DegeS4ROO_aQMG5sbc,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",562.0,,https://www.google.com/maps/place/?q=place_id:ChIJSfwc2DegeS4ROO_aQMG5sbc
