business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,opening_hours,url
OPERATIONAL,"4G93+5F5, Tanggulrejo, Manuk, Kec. Siman, Kabupaten Ponorogo, Jawa Timur 63471, Indonesia","{'location': {'lat': -7.8821132, 'lng': 111.5037481}, 'viewport': {'northeast': {'lat': -7.880708770107278, 'lng': 111.5051023798927}, 'southwest': {'lat': -7.883408429892722, 'lng': 111.5024027201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embong sedodog,ChIJC0nApxWheS4RbvQG55gC53M,5.0,ChIJC0nApxWheS4RbvQG55gC53M,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJC0nApxWheS4RbvQG55gC53M
OPERATIONAL,"4F2H+V8, Sawah, Brahu, Kec. Siman, Kabupaten Ponorogo, Jawa Timur, Indonesia","{'location': {'lat': -7.8978565, 'lng': 111.4783459}, 'viewport': {'northeast': {'lat': -7.896524820107278, 'lng': 111.4797009298927}, 'southwest': {'lat': -7.899224479892722, 'lng': 111.4770012701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Buh Njugo Brahu,ChIJrT50TQCheS4RArsD1iC-20o,5.0,ChIJrT50TQCheS4RArsD1iC-20o,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJrT50TQCheS4RArsD1iC-20o
OPERATIONAL,"Jl. Pramuka No.31, Sultanagung, Kertosari, Kec. Siman, Kabupaten Ponorogo, Jawa Timur 63491, Indonesia","{'location': {'lat': -7.8642346, 'lng': 111.480171}, 'viewport': {'northeast': {'lat': -7.862901770107278, 'lng': 111.4815252298927}, 'southwest': {'lat': -7.865601429892722, 'lng': 111.4788255701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rest area kolam renang,ChIJu3IlWnqheS4Rr_SrpRofxbY,5.0,ChIJu3IlWnqheS4Rr_SrpRofxbY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107285554407389983115"">Rurin Setiana</a>'], 'photo_reference': 'AUGGfZmp0nGtbgxD5g4IVG5iCYcfmLt-Zq_ObywvNHYG71GoQwFBDeoNP02s67SXotNNtJomSDvrvvYQrwrlZ9JbEQVgLiYU4aGykKAD01UDSTi2JVtH6GDJ036kM1vtbYAusoPVQFRmT5D3rb6Zo_5ZTRqlS3U8m_9B8hfH8D5MsU_mVgvn', 'width': 1080}]","{'compound_code': '4FPJ+73 Sultanagung, Nologaten, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FPJ+73'}",,https://www.google.com/maps/place/?q=place_id:ChIJu3IlWnqheS4Rr_SrpRofxbY
OPERATIONAL,"Jalan Halim Perdana Kusuma km 2,2 RT. 01, Bakalan, Tajug, Kec. Siman, Kabupaten Ponorogo, Jawa Timur 63471, Indonesia","{'location': {'lat': -7.8692328, 'lng': 111.5129824}, 'viewport': {'northeast': {'lat': -7.868169570107278, 'lng': 111.5143415298927}, 'southwest': {'lat': -7.870869229892722, 'lng': 111.5116418701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Edukasi dan Angkringan Kebun Anggur Mas Ari Ponorogo,ChIJW18D31-heS4RfYUnNPMwuD4,4.5,ChIJW18D31-heS4RfYUnNPMwuD4,"['tourist_attraction', 'point_of_interest', 'establishment']",22,"[{'height': 3727, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104545614285284772631"">Edy Winoto</a>'], 'photo_reference': 'AUGGfZk90x6hIwDVpI1n9KJppmMYrMht066-bV0fxi3U9rk4TYimVCmreavY6ZJtDlMwZjDeH-NjfQSBrzK4DB7wxNszverpc37Tq_R-XeV9Vvrd3Z3IZN0jB7JRjxrW-_Nr4Nodg-AGDepCfWm1LXFfgoi4I20sVDN8ViR-OTwbyEuzOC75', 'width': 5591}]","{'compound_code': '4GJ7+85 Tajug, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4GJ7+85'}",{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJW18D31-heS4RfYUnNPMwuD4
OPERATIONAL,"4G85+472, Jl. Nakula, Putuk, Pijeran, Kec. Siman, Kabupaten Ponorogo, Jawa Timur 63471, Indonesia","{'location': {'lat': -7.8847295, 'lng': 111.5081463}, 'viewport': {'northeast': {'lat': -7.883377470107278, 'lng': 111.5094967298927}, 'southwest': {'lat': -7.886077129892722, 'lng': 111.5067970701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cakruk margo mulyo,ChIJJRcI_CmheS4RQp6mBqoCTbk,5.0,ChIJJRcI_CmheS4RQp6mBqoCTbk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103087093857293342535"">A Google User</a>'], 'photo_reference': 'AUGGfZmsPHMgC1F5sI6MgFTmGuMwaVDlMk1PiuzQxaZ_r_DIa3kxgjDPn_RNlJjxG3BX9ED34Nmm8czjkZC_P06Pg9v-NPDfYSJtBmobZmksSPSuDnPxlaK8xNvLNXRpW8gn4W2uiqjKHkrCmJafA3We8IIqSARG2Uv16ygHcTd3ok-vdIut', 'width': 1200}]",,,https://www.google.com/maps/place/?q=place_id:ChIJJRcI_CmheS4RQp6mBqoCTbk
OPERATIONAL,"Jl. Tribusono No.54, Sambirejo, Cokromenggalan, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63411, Indonesia","{'location': {'lat': -7.8548053, 'lng': 111.4769485}, 'viewport': {'northeast': {'lat': -7.853363870107278, 'lng': 111.4782878298927}, 'southwest': {'lat': -7.856063529892721, 'lng': 111.4755881701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ponorogo Dreamland,ChIJ29ug0d6heS4R41wPQjfokJY,4.1,ChIJ29ug0d6heS4R41wPQjfokJY,"['tourist_attraction', 'point_of_interest', 'establishment']",18,"[{'height': 2232, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102082294958107367424"">A Google User</a>'], 'photo_reference': 'AUGGfZkT8FVIUTATH1Davn_KSTAm8PRx54ufONqHz5nXFpS-vIAAby3Prpu0W37lj9nfpLfqSZZDq3RV7zlCz0oyV-n_F52RmJARilXEJDFR1QLfh-vTdyRdLPSJA7qQZZ_n_Odl27l7vpClC-CMPH3_-bf4qLZcnS4hJMjUZgdEkziHRFz7', 'width': 3968}]","{'compound_code': '4FWG+3Q Cokromenggalan, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FWG+3Q'}",{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJ29ug0d6heS4R41wPQjfokJY
OPERATIONAL,"Jl. Halim Perdana Kusuma, Bakalan, Tajug, Kec. Siman, Kabupaten Ponorogo, Jawa Timur 63471, Indonesia","{'location': {'lat': -7.8673028, 'lng': 111.5214329}, 'viewport': {'northeast': {'lat': -7.865861420107279, 'lng': 111.5227369298927}, 'southwest': {'lat': -7.868561079892722, 'lng': 111.5200372701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Bedali tajug,ChIJ1w3xXbCheS4RntITX3mUvIU,3.8,ChIJ1w3xXbCheS4RntITX3mUvIU,"['tourist_attraction', 'point_of_interest', 'establishment']",24,"[{'height': 3296, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117309484070072025917"">Lilik Setiyo</a>'], 'photo_reference': 'AUGGfZkFlGslR1FFfMSB0m3X5o1b-AgXVE5YZ6jVHUhQs20Y2nVpVZtKdjsOElz5cQhAHGOgvakjZW83b0UfPH38_dXIyLBLoU4PjIXBxPOnvGXbmU2DHPzIbczTdn4aEmxf-EzKuYVtQyqpbHfOkodhVKdidOVmUFSDtu9g0XmYeYfZomOd', 'width': 1536}]","{'compound_code': '4GMC+3H Tajug, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4GMC+3H'}",,https://www.google.com/maps/place/?q=place_id:ChIJ1w3xXbCheS4RntITX3mUvIU
OPERATIONAL,"Wonojati, Suren, Mlarak, Ponorogo Regency, East Java 63472, Indonesia","{'location': {'lat': -7.9028797, 'lng': 111.5512584}, 'viewport': {'northeast': {'lat': -7.901553520107278, 'lng': 111.5521193798927}, 'southwest': {'lat': -7.904253179892722, 'lng': 111.5494197201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gua Sahal,ChIJN3fXlAsKeS4RDe41pip3DRY,4.0,ChIJN3fXlAsKeS4RDe41pip3DRY,"['tourist_attraction', 'point_of_interest', 'establishment']",20,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110729091292173845388"">Peri Susilo</a>'], 'photo_reference': 'AUGGfZnpDAfUIEZr_0rGO2oTsIY0pdxb8NsjlwrKx7ccbsBmfOu-qJkkfYpTa9JEe-haJgo9D_OFpAqVmoevB50AVvArl5uiiOiHVz40VBBr72MdoGdH2_kNIw2KipZOPfQvYVl44Zi8EbACWM8-gFZtRzCIYtxfmOIFqfzCKnvuUWPV2ryu', 'width': 4128}]","{'compound_code': '3HW2+RG Suren, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H3HW2+RG'}",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJN3fXlAsKeS4RDe41pip3DRY
OPERATIONAL,"4FHP+MGJ, Jl. Ir. H Juanda, Tonatan, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63418, Indonesia","{'location': {'lat': -7.870787099999999, 'lng': 111.4862698}, 'viewport': {'northeast': {'lat': -7.869481020107277, 'lng': 111.4876212798927}, 'southwest': {'lat': -7.872180679892721, 'lng': 111.4849216201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DAM TAMBAK KEMANGI,ChIJRWx5dH2heS4RYDuoAGWSSig,1.0,ChIJRWx5dH2heS4RYDuoAGWSSig,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1908, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112177558540843247806"">A Google User</a>'], 'photo_reference': 'AUGGfZlq6lYPfstnRXvfV75QNctMAcWWlxzep5agWcEyuArRsUes3PhTWHawJvvjms9oG0-RzW3dPidwz9_tdN5aaZGtw11thP42eYiduTTTA5y85ZXtcUfZ3tFAmoTeiPDDJ9-RvXLMO1k5pPVN78SFFOtMMlxMRCBme5CZQLFbpzYsB7aQ', 'width': 4128}]",,,https://www.google.com/maps/place/?q=place_id:ChIJRWx5dH2heS4RYDuoAGWSSig
OPERATIONAL,"4F85+G4V, Jl. Pesantren, Lingkung Dua, Paju, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63415, Indonesia","{'location': {'lat': -7.883640499999999, 'lng': 111.4577945}, 'viewport': {'northeast': {'lat': -7.882746970107278, 'lng': 111.4591342798927}, 'southwest': {'lat': -7.885446629892722, 'lng': 111.4564346201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tiara farm grape ponorogo (p.Tarom),ChIJDZw3mDqfeS4R9bkII5bXHVE,5.0,ChIJDZw3mDqfeS4R9bkII5bXHVE,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113603887432699619570"">Radentarom Tarom</a>'], 'photo_reference': 'AUGGfZlHEwQ1SdeBiblV6KGijL6PW_I_I3KivUNsUIncRNHaJTiOOEoaaa51QpCc39x6RAdTabqNGbC-xGB1FCqT5CuuPWaZpTSzRg7YZv3H9ON4O8lc33oQ0QD1_dEWiZj2I0qWUpcl_mZDqrV4t6J7wPGA1rcZ8dncav6rn4ThJJbZud7c', 'width': 2448}]",,,https://www.google.com/maps/place/?q=place_id:ChIJDZw3mDqfeS4R9bkII5bXHVE
