business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,url
OPERATIONAL,"73WX+6C2, Kalome / Pagargom, Tingginambut, Puncak Jaya Regency, Papua 99563, Indonesia","{'location': {'lat': -3.7044829, 'lng': 138.098502}, 'viewport': {'northeast': {'lat': -3.70373605, 'lng': 138.1003360798927}, 'southwest': {'lat': -3.706723449999999, 'lng': 138.0976364201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pertemuan Tiga Sungai,"[{'height': 1500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112821397552069526926"">A Google User</a>'], 'photo_reference': 'AUGGfZm0QR3ovp0mrCYJxk5228WmWnq2DIQTgsDQTzcyikKMUtYrHBj4quKLWWMVXKQK5FWc9MTOF1THUhReXE8TLPM67Yicaid5LAuFVVwjEPcMwqOugZgIr0_8tOpJ3PPjHGt8ODo1SUfbCjagHRXcdykldqGoxCbkvQaEnFA1LwFnzGiT', 'width': 2000}]",ChIJW8oiM1ktFmgRvwals5rpWoc,5.0,ChIJW8oiM1ktFmgRvwals5rpWoc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJW8oiM1ktFmgRvwals5rpWoc
OPERATIONAL,"74VH+J3P, Aulame, Tingginambut, Puncak Jaya Regency, Papua 99563, Indonesia","{'location': {'lat': -3.7059042, 'lng': 138.1277048}, 'viewport': {'northeast': {'lat': -3.704641020107278, 'lng': 138.1289829798928}, 'southwest': {'lat': -3.707340679892722, 'lng': 138.1262833201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Kalome,,ChIJP2JQyi0tFmgRcyxcicF7JOA,0.0,ChIJP2JQyi0tFmgRcyxcicF7JOA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJP2JQyi0tFmgRcyxcicF7JOA
OPERATIONAL,"7XX6+FJQ, Wuyukwi, Mulia, Puncak Jaya Regency, Papua 98973, Indonesia","{'location': {'lat': -3.7012975, 'lng': 137.9616037}, 'viewport': {'northeast': {'lat': -3.699943670107278, 'lng': 137.9629428798928}, 'southwest': {'lat': -3.702643329892722, 'lng': 137.9602432201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Salib bandara,"[{'height': 473, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101133400787634982265"">Alex Pinibo</a>'], 'photo_reference': 'AUGGfZnvKBTUYJuWGK1le6vQw4kjYJ7PUY82XWFki6dpB50HgFw3hgxeDe7qEqB8VCWdCl9eSlj9IRzvKGSqlxTuWUh6k3SQQLv9A0jOrv3dK49z28mzd9KTCMTSCeb8HVNsAyzvLmKCeiNfhajxP3j1-au1I5VdS8keJSpMLXURFEg0bUCD', 'width': 684}]",ChIJB5BEuqLXF2gRTRjal70ZKJA,5.0,ChIJB5BEuqLXF2gRTRjal70ZKJA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJB5BEuqLXF2gRTRjal70ZKJA
OPERATIONAL,"7XMH+5VM, Pruleme, Mulia, Puncak Jaya Regency, Papua, Indonesia","{'location': {'lat': -3.7170291, 'lng': 137.9796663}, 'viewport': {'northeast': {'lat': -3.71494605, 'lng': 137.9812437798927}, 'southwest': {'lat': -3.71772345, 'lng': 137.9785441201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,POHON SATU,"[{'height': 1266, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101133400787634982265"">Alex Pinibo</a>'], 'photo_reference': 'AUGGfZnRX02hYmsXvIDveals32RBnOgpMnOXsdG8OcA-75O8fol0tJACs5BpO5HVj23AsvgU9WdXcPrX5CA5ewjigxwC9Y1DXdwthnvkBt8-6rCiFaba4smMfA8DD1-OsqdV_pAx_-k6HxytDAKhX97QMbqH9N_DmsFe5UVCxRGz1983V7N-', 'width': 720}]",ChIJfxG-vA3XF2gRhk4xHx9Z0-U,0.0,ChIJfxG-vA3XF2gRhk4xHx9Z0-U,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJfxG-vA3XF2gRhk4xHx9Z0-U
OPERATIONAL,"73VV+J56, Unnamed Road, Kalome / Pagargom, Tingginambut, Puncak Jaya Regency, Papua 99563, Indonesia","{'location': {'lat': -3.7059631, 'lng': 138.0928961}, 'viewport': {'northeast': {'lat': -3.704546820107278, 'lng': 138.0943672298927}, 'southwest': {'lat': -3.707246479892722, 'lng': 138.0916675701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dawe Dawe Performance Show,,ChIJm80umiItFmgRxXxaKPsuR4U,4.5,ChIJm80umiItFmgRxXxaKPsuR4U,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,https://www.google.com/maps/place/?q=place_id:ChIJm80umiItFmgRxXxaKPsuR4U
OPERATIONAL,"89H8+C53, Kanggime, Tolikara Regency, Papua, Indonesia","{'location': {'lat': -3.6714785, 'lng': 138.3654263}, 'viewport': {'northeast': {'lat': -3.667450999999999, 'lng': 138.3661899}, 'southwest': {'lat': -3.672821000000001, 'lng': 138.3631355}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bilip pagona,"[{'height': 324, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111760559571474171209"">A Google User</a>'], 'photo_reference': 'AUGGfZnak5EHKglNOEPsHyLlZDfT13mstYEwX1Tv81KO8d2iEfvv7v5vSpyo4tEgdR97lOKlK1cLLUCMLj3xZMqwNecwM4s87r1f_XaW9SwVs7gN_CZKKzf4QPQzWmKMlzKx3XGsI7d9LYhHgrv_dRXhCp_EIM-KYr5eEidz7JAuhYxckVGJ', 'width': 720}]",ChIJ5cq9E74jFmgR-eU8sa6tAcY,5.0,ChIJ5cq9E74jFmgR-eU8sa6tAcY,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJ5cq9E74jFmgR-eU8sa6tAcY
OPERATIONAL,"8FV3+QWM, Megapura, Biuk, Tolikara Regency, Papua 99567, Indonesia","{'location': {'lat': -3.6555389, 'lng': 138.4547834}, 'viewport': {'northeast': {'lat': -3.654189070107277, 'lng': 138.4561332298927}, 'southwest': {'lat': -3.656888729892721, 'lng': 138.4534335701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Alam Biuk 2,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102193025332062263985"">Ondiles Wanimbo</a>'], 'photo_reference': 'AUGGfZkWa1StzpoCuNg5GXA2FcZ2YcgOSTs-97f0r9YwdM7nSgAAVqTyz8MZjH1brTGrDCXB2Fs_JznROunQ6GT1ZgwJm4m84C4AKqeOO32Ap9Gyak26ccEPqqYW1XhfGnctshxagk_t8LDdoYkORxIM5ee3KqnahwMoYS_y76YR2zEnEmEk', 'width': 4160}]",ChIJjUrT3jIXFmgRKbr9_96h1is,4.4,ChIJjUrT3jIXFmgRKbr9_96h1is,"['tourist_attraction', 'point_of_interest', 'establishment']",5,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJjUrT3jIXFmgRKbr9_96h1is
OPERATIONAL,"6GHC+WR, Megalunik, Poga, Lanny Jaya Regency, Papua, Indonesia","{'location': {'lat': -3.7701965, 'lng': 138.5220362}, 'viewport': {'northeast': {'lat': -3.768882870107278, 'lng': 138.5233660798927}, 'southwest': {'lat': -3.771582529892722, 'lng': 138.5206664201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kubu Mbelela/Gunung Mega,,ChIJBzEK82MdFmgRxpLwgHsXSE8,5.0,ChIJBzEK82MdFmgRxpLwgHsXSE8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJBzEK82MdFmgRxpLwgHsXSE8
OPERATIONAL,"8F7J+PCQ, Karubaga, Tolikara Regency, Papua 99567, Indonesia","{'location': {'lat': -3.6856733, 'lng': 138.4811077}, 'viewport': {'northeast': {'lat': -3.684318570107278, 'lng': 138.4824867798928}, 'southwest': {'lat': -3.687018229892722, 'lng': 138.4797871201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ampera,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102150307344295780432"">A Google User</a>'], 'photo_reference': 'AUGGfZkAtYSUL5ckV8pDZn-f3Y6ifd98U379TGc9u5TlKNlnhBa7C6-1Q7Aw-5vfiLCRYD1-QILV3i-JrVlUfw6sIijCME2RAsamy1TB4aWQyvOlPyg8fURmn8z1KuujNyWlar_VJxdFRnIAx-zfTfX3CV4sybmV7Z0TAkkYRlejDbtuCbi6', 'width': 3120}]",ChIJB1rwSHAbFmgRxjncUIo0b7Q,4.0,ChIJB1rwSHAbFmgRxjncUIo0b7Q,"['tourist_attraction', 'point_of_interest', 'establishment']",8,,,https://www.google.com/maps/place/?q=place_id:ChIJB1rwSHAbFmgRxjncUIo0b7Q
CLOSED_PERMANENTLY,"7XR5+3F4, Wuyukwi, Mulia, Puncak Jaya Regency, Papua, Indonesia","{'location': {'lat': -3.7098732, 'lng': 137.9587011}, 'viewport': {'northeast': {'lat': -3.708523370107278, 'lng': 137.9600509298927}, 'southwest': {'lat': -3.711223029892722, 'lng': 137.9573512701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yilagun yegename Narchow,,ChIJm-Q8SI7XF2gRTcmfoyT6GZ0,0.0,ChIJm-Q8SI7XF2gRTcmfoyT6GZ0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,https://www.google.com/maps/place/?q=place_id:ChIJm-Q8SI7XF2gRTcmfoyT6GZ0
CLOSED_TEMPORARILY,"75XX+RW, Dolinggame, Ilu, Puncak Jaya Regency, Papua, Indonesia","{'location': {'lat': -3.7004785, 'lng': 138.1998673}, 'viewport': {'northeast': {'lat': -3.699140670107278, 'lng': 138.2012096298927}, 'southwest': {'lat': -3.701840329892722, 'lng': 138.1985099701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ilu puncak jaya,,ChIJ-Yra8Z4vFmgR8_TvxRECr2E,0.0,ChIJ-Yra8Z4vFmgR8_TvxRECr2E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,https://www.google.com/maps/place/?q=place_id:ChIJ-Yra8Z4vFmgR8_TvxRECr2E
CLOSED_TEMPORARILY,"73VR+RW3, Kalome / Pagargom, Tingginambut, Puncak Jaya Regency, Papua 99563, Indonesia","{'location': {'lat': -3.7054975, 'lng': 138.0923072}, 'viewport': {'northeast': {'lat': -3.704026320107278, 'lng': 138.0937096298927}, 'southwest': {'lat': -3.706725979892722, 'lng': 138.0910099701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Ikan,,ChIJfWz3-nctFmgRnwdDAlphR04,0.0,ChIJfWz3-nctFmgRnwdDAlphR04,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,https://www.google.com/maps/place/?q=place_id:ChIJfWz3-nctFmgRnwdDAlphR04
CLOSED_TEMPORARILY,"QPCG+JR, Fawi, Puncak Jaya Regency, Papua 98976, Indonesia","{'location': {'lat': -3.2284617, 'lng': 137.72701}, 'viewport': {'northeast': {'lat': -3.227078770107278, 'lng': 137.7283725798927}, 'southwest': {'lat': -3.229778429892723, 'lng': 137.7256729201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Green Valley Fawi Puncak Jaya Papua,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107827238346225468887"">A Google User</a>'], 'photo_reference': 'AUGGfZl-yCdhS9pjAHokyYgq39uaKaWGf88nJ-SsCauwQ_T8ITt0o7gb3BXqOJEATFJfVjn4JMoUaSd2dV17DMtyYbBrK_-fPnWO_FSveJDoa4eJJVDaTKfmWaXhcM56Fy74y8U6o0wCsy54PwwNrnFBrzHhevAS-yvYAvIr4O-h-HZRDrXy', 'width': 3840}]",ChIJ3dSgKL11F2gR3m37lsKto7s,0.0,ChIJ3dSgKL11F2gR3m37lsKto7s,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,https://www.google.com/maps/place/?q=place_id:ChIJ3dSgKL11F2gR3m37lsKto7s
