business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"8J94+QFP, Balongmulyo, Kec. Kragan, Kabupaten Rembang, Jawa Tengah 59273, Indonesia","{'location': {'lat': -6.678841900000001, 'lng': 111.6043531}, 'viewport': {'northeast': {'lat': -6.677528420107278, 'lng': 111.6056724298927}, 'southwest': {'lat': -6.680228079892722, 'lng': 111.6029727701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Indah Pantai Balongan,{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112582279875565053421"">Lancar_ Rezeki</a>'], 'photo_reference': 'AUGGfZl92zFowkTNevtALgHPIyBbN1C7IfAtrVMRC47UopWix2AQ2cFKrEXD7_lfYHOiSVhraN_sy88-_dEjxmriA7YmUPD0tijMKzc_Cprbo1rBOZ87Et1JGnlrgX-HXgDALPG8-VB4Bkhr8Mizgm9O5XSw7yoyyVjLXZFF41KhFqhsd1OW', 'width': 3120}]",ChIJAQAAAOsbdy4R1kAMSxN0wQo,4.3,ChIJAQAAAOsbdy4R1kAMSxN0wQo,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1144.0,,,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAOsbdy4R1kAMSxN0wQo
OPERATIONAL,"8J94+VPH, Balongmulyo, Kec. Kragan, Kabupaten Rembang, Jawa Tengah 59273, Indonesia","{'location': {'lat': -6.6803214, 'lng': 111.6068556}, 'viewport': {'northeast': {'lat': -6.679166570107277, 'lng': 111.6079647798927}, 'southwest': {'lat': -6.681866229892721, 'lng': 111.6052651201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pantai Balongan,,"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112211052736852586618"">abuazzam hawari</a>'], 'photo_reference': 'AUGGfZk-lYw9TYj27WBAqxriq2Hbpu4qbIchtRyf36rVtLxIC1kGiPF-mlq1RQARTGPxFkWNg4obaennj0D7kYhk9py3i464TrRSrHX38CCJolsGrvRnNnyTFKWLLepV5s1UlaFJo6TFmcrez2fSh1af0MJQt3qomRTiGeozDx128g99TPe_', 'width': 4624}]",ChIJb9ZtqeQbdy4R3uvXXhVwvV0,4.4,ChIJb9ZtqeQbdy4R3uvXXhVwvV0,"['tourist_attraction', 'point_of_interest', 'establishment']",29.0,,,https://www.google.com/maps/place/?q=place_id:ChIJb9ZtqeQbdy4R3uvXXhVwvV0
OPERATIONAL,"Unnamed Road, Hutan, Watupecah, Kec. Kragan, Kabupaten Rembang, Jawa Tengah 59273, Indonesia","{'location': {'lat': -6.694812, 'lng': 111.5368523}, 'viewport': {'northeast': {'lat': -6.693288170107278, 'lng': 111.5379169798927}, 'southwest': {'lat': -6.695987829892721, 'lng': 111.5352173201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Watu Krapyak Watupecah Kragan,{'open_now': True},"[{'height': 2883, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103822320892280351735"">A Google User</a>'], 'photo_reference': 'AUGGfZnOsuDLiRAEct558-9wM3IetSkXgSV-Sp7Bmqop8htHaD9_0tbU8SkGN1-2ZehpWGNnaIgMPY5INK8UONgm_1ZFSjN4SQ2FlMYrRpE9HQnJ4LBOJIQ2P9JLsgzSh2d7qKKMk70uA3Vk68XEyAt00HPjm7Un0B-p7m4Ose-7Ktvu2eLv', 'width': 2306}]",ChIJ0w7xTwsZdy4REeIigkiTjq4,4.6,ChIJ0w7xTwsZdy4REeIigkiTjq4,"['tourist_attraction', 'point_of_interest', 'establishment']",13.0,"{'compound_code': '8G4P+3P Watupecah, Rembang Regency, Central Java, Indonesia', 'global_code': '6P5H8G4P+3P'}",,https://www.google.com/maps/place/?q=place_id:ChIJ0w7xTwsZdy4REeIigkiTjq4
OPERATIONAL,"Jl. Sunan Bonang No.184, Sumbersari, Kec. Kragan, Kabupaten Rembang, Jawa Tengah 59273, Indonesia","{'location': {'lat': -6.6455027, 'lng': 111.5692426}, 'viewport': {'northeast': {'lat': -6.64477915, 'lng': 111.5700394798927}, 'southwest': {'lat': -6.647673350000001, 'lng': 111.5673398201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Watu gajah,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103134635352612804443"">listya ningrum</a>'], 'photo_reference': 'AUGGfZkXls_rxHHTX4ILy5Mx9hy6R3Mm_HbpzqzC3xJ-bxaIZ8txKOY06j283lZlvyMXbnj4zhMnrS50v1wCPNFM-DEZXiJb3QQlAh98BHTNziSCy1TMm9XTHPInFP7SKPKaJs7xFQsV5oGDuE7z_Twrwsaa_wTEFY69ZryRfu4hjbPrWrYu', 'width': 3000}]",ChIJjdzTLBMfdy4RpiEAEj3xyD0,4.2,ChIJjdzTLBMfdy4RpiEAEj3xyD0,"['tourist_attraction', 'point_of_interest', 'establishment']",107.0,"{'compound_code': '9H39+QM Sumbersari, Rembang Regency, Central Java, Indonesia', 'global_code': '6P5H9H39+QM'}",,https://www.google.com/maps/place/?q=place_id:ChIJjdzTLBMfdy4RpiEAEj3xyD0
,"Mojokerto, Kragan, Rembang Regency, Central Java, Indonesia","{'location': {'lat': -6.731913199999999, 'lng': 111.6094324}, 'viewport': {'northeast': {'lat': -6.708171999999999, 'lng': 111.6225759}, 'southwest': {'lat': -6.742309, 'lng': 111.595902}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mojokerto,,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105512548516253357368"">A Google User</a>'], 'photo_reference': 'AUGGfZk6s3szqhqj6SUqUT644YrPdVYUJKnqKSEdUQEAyL0OXfyMRKveyaCY0CenFFVxlksgCwwiH9qqcpD0qXfZMFL8SvfI4c02Ne9Ao3Kad4FdxU7qY6TYm9W_cNGAit6WKAa8xzF5McKHPcYucnGqRf1wik5Xip5Fwe1A1nlvcARxmAHL', 'width': 2322}]",ChIJm-FKnFEady4Rd3kTfwzP1xU,,ChIJm-FKnFEady4Rd3kTfwzP1xU,"['administrative_area_level_4', 'political']",,,,https://www.google.com/maps/place/?q=place_id:ChIJm-FKnFEady4Rd3kTfwzP1xU
OPERATIONAL,"8J59+9G8 NIPPON, Pantai, Kragan, Rembang Regency, Central Java 59273, Indonesia","{'location': {'lat': -6.691582299999999, 'lng': 111.6188236}, 'viewport': {'northeast': {'lat': -6.690329620107277, 'lng': 111.6201059798927}, 'southwest': {'lat': -6.693029279892721, 'lng': 111.6174063201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nippon Beach,,,ChIJR3PjD4kbdy4R3J6_u-hGkMY,5.0,ChIJR3PjD4kbdy4R3J6_u-hGkMY,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJR3PjD4kbdy4R3J6_u-hGkMY
OPERATIONAL,"8H45+2G6, Sawah & Hutan, Terjan, Kec. Kragan, Kabupaten Rembang, Jawa Tengah, Indonesia","{'location': {'lat': -6.6949542, 'lng': 111.558773}, 'viewport': {'northeast': {'lat': -6.693463670107278, 'lng': 111.5600607798927}, 'southwest': {'lat': -6.696163329892722, 'lng': 111.5573611201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata tlogo kamulyan,,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115127798257183335900"">Titah Raharjo</a>'], 'photo_reference': 'AUGGfZmv9nOjGOm-D5Es-qECoUKVs8QmZNXjhfFQ3CJZOWKRORUZd8xqMN6_PB39RKGNkT7QilrZw-yB6EPI2xwSmx4hgIt-0uzMx1xTP1cASzH0ZcVegqIOURCTATPB75tVHvT4g2hM3WJEPyIweNXrNgdhOAM4VCgPIUrz9Qn_4KFkCxnH', 'width': 4000}]",ChIJMcSyvtUZdy4RCbcFmxE7CqI,5.0,ChIJMcSyvtUZdy4RCbcFmxE7CqI,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJMcSyvtUZdy4RCbcFmxE7CqI
OPERATIONAL,"7JPH+7WX, Unnamed Road, Sawah & Kebun, Tanjungan, Kec. Kragan, Kabupaten Rembang, Jawa Tengah 59273, Indonesia","{'location': {'lat': -6.7142506, 'lng': 111.6298689}, 'viewport': {'northeast': {'lat': -6.712444370107279, 'lng': 111.6309967798927}, 'southwest': {'lat': -6.715144029892723, 'lng': 111.6282971201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Tanjungan,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106259825943708597752"">CUAH KENEDEWE</a>'], 'photo_reference': 'AUGGfZl0fjqhVpa0VRnmnC3OiFBcHPGuamTqoNnG2KRvVzChJPe_vxjOj0-gfPrKpypuYAbw2WQ770-VB4LarFFHfuODmPjolMu9CQHhdUdS_dwERsj32d5OaE7vfy4l9aLqe337f5tW8CxZPjeC-mRw1qzxfCFX4zi-g7CJvc864p3hhLD4', 'width': 3840}]",ChIJAV6z2K4bdy4RmLIAO6xhDZQ,4.5,ChIJAV6z2K4bdy4RmLIAO6xhDZQ,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJAV6z2K4bdy4RmLIAO6xhDZQ
,"Kragan, Rembang Regency, Central Java, Indonesia","{'location': {'lat': -6.6938132, 'lng': 111.6177695}, 'viewport': {'northeast': {'lat': -6.689558, 'lng': 111.62394}, 'southwest': {'lat': -6.7061289, 'lng': 111.6108311}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kragan,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102705023757027007876"">Joni Setyawan</a>'], 'photo_reference': 'AUGGfZnoy2Nlym1iJns4MMVPQFulCdHlSlBEuI7p-IM9fgChMMKSVtIRF8s3-PKg9gyLK3dzYYAZMwegOZfqxo6jcHYH1LkcqJzfe4XVkulUhWqzErmGY216uRW2a3WAvdL7lmRSRCt4jk3Y2WALgo5jklLWJtLILwu6YTamu0Uuib6chL1L', 'width': 3264}]",ChIJWc0R6Z8bdy4RProKWqPqM48,,ChIJWc0R6Z8bdy4RProKWqPqM48,"['administrative_area_level_4', 'political']",,,,https://www.google.com/maps/place/?q=place_id:ChIJWc0R6Z8bdy4RProKWqPqM48
OPERATIONAL,"Area, Sawah & Kebun, Jatisari, Kec. Sluke, Kabupaten Rembang, Jawa Tengah 59272, Indonesia","{'location': {'lat': -6.632772699999999, 'lng': 111.5145024}, 'viewport': {'northeast': {'lat': -6.631606120107278, 'lng': 111.5158828298927}, 'southwest': {'lat': -6.634305779892722, 'lng': 111.5131831701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Jatisari ꦥꦤ꧀ꦠꦻꦗꦠꦶꦱꦫꦶ,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108989530040210872011"">Sandi Nugroho</a>'], 'photo_reference': 'AUGGfZlGwjyZN_oh5_y3yVzM_IWf5JEIVC_TjgLRQwXOtB2ElKVNkuhSc3VHxqdL9v96AiD2a_2mLzAPkzScbIG6mjexvukknpkWvQ7z5VR6VgHEAR6LkejzkFrITdWsDIRyRfJy11HHrydqT-QZYvInclOu58MuwoUfEvBfCxSCQ_ovDoHR', 'width': 4608}]",ChIJY4-V0bEfdy4RQrhHubwKzG0,4.3,ChIJY4-V0bEfdy4RQrhHubwKzG0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1185.0,"{'compound_code': '9G87+VR Jatisari, Rembang Regency, Central Java, Indonesia', 'global_code': '6P5H9G87+VR'}",,https://www.google.com/maps/place/?q=place_id:ChIJY4-V0bEfdy4RQrhHubwKzG0
