business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Banaue, Ifugao, Philippines","{'location': {'lat': 16.9345369, 'lng': 121.1363619}, 'viewport': {'northeast': {'lat': 16.9368685, 'lng': 121.13963565}, 'southwest': {'lat': 16.9275421, 'lng': 121.12654065}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batad Rice Terraces,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100030814353360632948"">alex v</a>'], 'photo_reference': 'AUGGfZnGxyKKNwzYenQXPbNneHfRx1O0jDxNjxbG0VBqwEVAde-G4GRPyH7aKBNFln8eTskaeQzG_CR0dfDCPTwJtQpWsvT0y6GxVyCGLJHZ4wzhIzczdX0dchTAdzr6-PMHf-g61s8fedVFa0wLTMqqITkBRx--l81jepr3ANfJVHC_nwrX', 'width': 4032}]",ChIJU94yZT0okDMRXzcOhVSnOp4,"{'compound_code': 'W4MP+RG Banaue, Ifugao, Philippines', 'global_code': '7Q83W4MP+RG'}",4.7,ChIJU94yZT0okDMRXzcOhVSnOp4,"['tourist_attraction', 'point_of_interest', 'establishment']",1288,https://www.google.com/maps/place/?q=place_id:ChIJU94yZT0okDMRXzcOhVSnOp4
OPERATIONAL,"789V+P5W, Luna, Apayao, Philippines","{'location': {'lat': 18.2693736, 'lng': 121.3429645}, 'viewport': {'northeast': {'lat': 18.27072342989272, 'lng': 121.3443143298927}, 'southwest': {'lat': 18.26802377010728, 'lng': 121.3416146701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lussok Crystal Cave,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100323350902263733928"">alvin bensi</a>'], 'photo_reference': 'AUGGfZkDsL6_lEUW6PuXu-ClLVsb2WkKKVsUSo4XdO3yb-i5_jtQ4rDWcXQ81CVKrqUceJ1rGWGPpsoli9os9vOS_8q8xOU3Xhen81956FThjFndblY2dozESiw6Huc9jyhmr9zZtee08AuIBw7jWAW_VcITK26m6xiB1KVsblMN0ZdvUVxO', 'width': 4032}]",ChIJHe84hoW0iDMRA2jD0F2-b1Q,,4.7,ChIJHe84hoW0iDMRA2jD0F2-b1Q,"['tourist_attraction', 'point_of_interest', 'establishment']",84,https://www.google.com/maps/place/?q=place_id:ChIJHe84hoW0iDMRA2jD0F2-b1Q
OPERATIONAL,"62XM+5C6, Calanasan, Apayao, Philippines","{'location': {'lat': 18.2479181, 'lng': 121.03351}, 'viewport': {'northeast': {'lat': 18.25034975, 'lng': 121.0352970298927}, 'southwest': {'lat': 18.24710755, 'lng': 121.0325973701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Carmela Falls,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115358848509212346673"">A Google User</a>'], 'photo_reference': 'AUGGfZlb8-IXPMtmP0XrjO0cacO3mlt2fSuxYSgK-_tYUskP0YWIW5L_GXDa4NtUARHNFXSgzUSAAzLpYJC2oX6gYTN-iVDyqYMeq0CI4koguNptvruU24JSOLetU6IcOrGahgd3BAFLlmdfKKqTNpqrYshsH4819ySh60SGEvz2tnbe0_2m', 'width': 3000}]",ChIJrdv5mhMtjzMRR-g0fVAu89A,,5.0,ChIJrdv5mhMtjzMRR-g0fVAu89A,"['tourist_attraction', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJrdv5mhMtjzMRR-g0fVAu89A
OPERATIONAL,"W46G+6HW, Road, Banaue, Ifugao, Philippines","{'location': {'lat': 16.9106049, 'lng': 121.1264427}, 'viewport': {'northeast': {'lat': 16.91357805, 'lng': 121.1274031798927}, 'southwest': {'lat': 16.90961385, 'lng': 121.1247035201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bangaan Ifugao Rice Terraces,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114624039478058852070"">Anna Krzak</a>'], 'photo_reference': 'AUGGfZkvpyc5sZXbaEqWDndZKJrlyqG5BBhYbW70MPoC5eDw0TflLduYp8CYh6ECU-IbdUQnVrwsduJNnuhQai-HnY2QNPCheQT6_czkniZduHH3DLQ7cA9EWnfBuZDKAw69g7lc90PmJirwBRDbW23Q92LWZ5xs9rJXatmf5_uuia2Swcg', 'width': 4032}]",ChIJQVEHOXYnkDMR57gBEf1Bebs,,4.6,ChIJQVEHOXYnkDMR57gBEf1Bebs,"['tourist_attraction', 'point_of_interest', 'establishment']",68,https://www.google.com/maps/place/?q=place_id:ChIJQVEHOXYnkDMR57gBEf1Bebs
OPERATIONAL,"Sitio Libag, Mangatarem, Pangasinan, Philippines","{'location': {'lat': 15.6441875, 'lng': 120.3076406}, 'viewport': {'northeast': {'lat': 15.6450972, 'lng': 120.3138638}, 'southwest': {'lat': 15.6414584, 'lng': 120.3055662}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Canding/Kanding Falls Mangatarem Pangasinan,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109296789028674593989"">Arjay Robles</a>'], 'photo_reference': 'AUGGfZn443g-DGZtTk2qTgadIs5m3fdfgmjTLNOZ-dKerjEARfX970QO8G4Tm0Ty9kiEabCMULz-7b6vY_Lgz4SxfHz6oE0RsbsxKK4rbiD1SZhBjPTkXZnJd-niE5hzJiCbly15wcf9SDSRXYQp-I1HkAe-XR1QAZgSC1RVmx1Ydpv52jYi', 'width': 3024}]",ChIJ2ztdtsitljMRTeCl25_P-Mk,"{'compound_code': 'J8V5+M3 Mangatarem, Pangasinan, Philippines', 'global_code': '7Q72J8V5+M3'}",4.4,ChIJ2ztdtsitljMRTeCl25_P-Mk,"['tourist_attraction', 'point_of_interest', 'establishment']",117,https://www.google.com/maps/place/?q=place_id:ChIJ2ztdtsitljMRTeCl25_P-Mk
OPERATIONAL,"880, Taiwan, Penghu County, Magong City, 觀音亭海水浴場","{'location': {'lat': 23.5692483, 'lng': 119.5599959}, 'viewport': {'northeast': {'lat': 23.57059812989272, 'lng': 119.5613457298927}, 'southwest': {'lat': 23.56789847010727, 'lng': 119.5586460701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Xiying Rainbow Bridge,{'open_now': True},"[{'height': 1607, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101916002770678528681"">shaunhuang.t</a>'], 'photo_reference': 'AUGGfZlGzxuNCyGM6d3h5fuEcyjX6Rt0kOtTWitHau8y1C5XbM3iBPjqhBb9_oeGEI0Fj6NciU4teBS-eDd_bOfZf6dcGVsvLHIdZ2eNqceDwaxP0dwPDt9rhhL-8f8g6qKc_VUxipUFcWtAsGIfno-H9ES0RavL4lSMAYl5BU-zfFM57gzX', 'width': 2858}]",ChIJQbU0lPRabDQRownCt9m6zD4,"{'compound_code': 'HH95+MX Magong City, Penghu County', 'global_code': '7PMXHH95+MX'}",4.6,ChIJQbU0lPRabDQRownCt9m6zD4,"['tourist_attraction', 'point_of_interest', 'establishment']",752,https://www.google.com/maps/place/?q=place_id:ChIJQbU0lPRabDQRownCt9m6zD4
OPERATIONAL,"No. 25, Xincun Rd, Chenggong Township, Taitung County, Taiwan 96144","{'location': {'lat': 23.0201614, 'lng': 121.3245523}, 'viewport': {'northeast': {'lat': 23.02151122989272, 'lng': 121.3259021298928}, 'southwest': {'lat': 23.01881157010728, 'lng': 121.3232024701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,East Coast National Scenic Area,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116008797061629096734"">Henry Lam</a>'], 'photo_reference': 'AUGGfZmhu3YQydiFEgdGnuYmVdhA0vB4erI-ctIbq0b9vBACA9TTyjRG2r3vzOvMNY2H-Au_X2x1zimK-5huPLOY3m8UCx8vnUjz_CIlVdgyK3o32LAT31ptE5nVPwbbvKeo0nzz4Tj7-BqWfm1em5-N3AiYAaU4Lg-UIMpEQxwBqx9-_wvd', 'width': 1920}]",ChIJ82el9vKgaDQRoDGNDCMauMY,"{'compound_code': '28CF+3R 信義里 Taitung County, Chenggong Township', 'global_code': '7QM328CF+3R'}",4.5,ChIJ82el9vKgaDQRoDGNDCMauMY,"['tourist_attraction', 'point_of_interest', 'establishment']",14066,https://www.google.com/maps/place/?q=place_id:ChIJ82el9vKgaDQRoDGNDCMauMY
OPERATIONAL,"FC8X+2PM, San Jose, Tarlac, Philippines","{'location': {'lat': 15.4650501, 'lng': 120.4494385}, 'viewport': {'northeast': {'lat': 15.46623472989272, 'lng': 120.4507220798927}, 'southwest': {'lat': 15.46353507010728, 'lng': 120.4480224201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saipan Beach,,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113710498239581530654"">Bryle Sanchez</a>'], 'photo_reference': 'AUGGfZk3vcECNOHPMR284yHvfWAmo8Pn0YbMbxjuAEgh9GuGzLgbyaJZmxusVbi49G_zmpAhT3LpHCwrOxuWWXvKI9txUwOLIYZffbDLRWcVmNxdq7o4Z7VCYChOtCGm2Rxty5A8JngnWf9lzopPe2xH8kdFAzS4pJOt2QhoNLyd2sf1GRMT', 'width': 2048}]",ChIJ06uqyfy5ljMRXuwwFEBUAYA,,4.3,ChIJ06uqyfy5ljMRXuwwFEBUAYA,"['tourist_attraction', 'point_of_interest', 'establishment']",22,https://www.google.com/maps/place/?q=place_id:ChIJ06uqyfy5ljMRXuwwFEBUAYA
OPERATIONAL,"J886+J7X, San Clemente, Tarlac, Philippines","{'location': {'lat': 15.6166083, 'lng': 120.3107284}, 'viewport': {'northeast': {'lat': 15.61795812989272, 'lng': 120.3120782298927}, 'southwest': {'lat': 15.61525847010728, 'lng': 120.3093785701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mt. Damas,{'open_now': True},"[{'height': 1715, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111464606945520947694"">Darwin Dalisay</a>'], 'photo_reference': 'AUGGfZkIF2hl7gL2TDG5IrRDfT2P2_yhlqgSFNXFnB2VtMZ3D6cp3tSpazY2fu1m_9RNHWs8lapvHh3H3U_isrbp6uUmmwJzLl5pRJqXhB7bzURNuvJxnsNpxu7Zkg9r4Ae9p7U7YW5ubOHA-KiF4QNcTrYf095QYYr9Wk7JBXb88UIuJxha', 'width': 1717}]",ChIJFZh9ZHivljMRVNSveqVTbYE,,4.2,ChIJFZh9ZHivljMRVNSveqVTbYE,"['tourist_attraction', 'point_of_interest', 'establishment']",13,https://www.google.com/maps/place/?q=place_id:ChIJFZh9ZHivljMRVNSveqVTbYE
OPERATIONAL,"114, Taiwan, Taipei City, Neihu District, 碧山巖開漳聖王廟（停車場旁","{'location': {'lat': 25.099682, 'lng': 121.5873607}, 'viewport': {'northeast': {'lat': 25.10069372989272, 'lng': 121.5885934298927}, 'southwest': {'lat': 25.09799407010728, 'lng': 121.5858937701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Baishihu Suspension Bridge,{'open_now': True},"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117953892104768879277"">蘇立芳</a>'], 'photo_reference': 'AUGGfZl0zcPK6XgZ2x1EFmnx70pTlB2qK8OHIveAc6p1wIs5L5213KpqcBJc_KzSE4faM08Wy6pilICu-XD9mhqOYQ1yscfFVCVgxa_IiUUUvQSuUAXrGF2oUlzZaRHiFw2qpmO6PTVpDpnMMRaVh9H9WNc7YetPHU1EV2QQu4ARDmoPcWpS', 'width': 4624}]",ChIJMRbm0_usQjQROwTu4kmhUSI,"{'compound_code': '3HXP+VW Neihu District, Taipei City', 'global_code': '7QQ33HXP+VW'}",4.2,ChIJMRbm0_usQjQROwTu4kmhUSI,"['tourist_attraction', 'point_of_interest', 'establishment']",9256,https://www.google.com/maps/place/?q=place_id:ChIJMRbm0_usQjQROwTu4kmhUSI
