business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,permanently_closed,url
OPERATIONAL,"MGCJ+RQ, Empoto, Noyan, Sanggau Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.6720295, 'lng': 110.5318842}, 'viewport': {'northeast': {'lat': 0.6733793298927222, 'lng': 110.5332340298927}, 'southwest': {'lat': 0.6706796701072778, 'lng': 110.5305343701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bori dasat,ChIJpx3-WwBP_DERDZRrrKatbKI,0.0,ChIJpx3-WwBP_DERDZRrrKatbKI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJpx3-WwBP_DERDZRrrKatbKI
OPERATIONAL,"HGJJ+Q9R, Dusun apaTelogah, Idas, Kec. Noyan, Kabupaten Sanggau, Kalimantan Barat, Indonesia","{'location': {'lat': 0.5819759, 'lng': 110.5308879}, 'viewport': {'northeast': {'lat': 0.5833257298927222, 'lng': 110.5322377298927}, 'southwest': {'lat': 0.5806260701072778, 'lng': 110.5295380701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Riam telogah,ChIJOaQm-v1N_DERa-05U2oDnsg,5.0,ChIJOaQm-v1N_DERa-05U2oDnsg,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117470139141856839458"">surianto tan</a>'], 'photo_reference': 'AUGGfZlgfPt-yyCggs2NLLZ_dzN2sx2wXrbdbu4DgyQIT4UxuS4y0yLVY1Q7xhXxgFJnj0Jt0CIX6QQuDX4uD33VkMf8lTn86TTFxqtbH4FSgutanV0k4u9c7h5yTStez-L5VGAJ60jYLx9fg1lffd5zIJVCwHJ4cgxIIABp5onkA3MFlmqe', 'width': 3000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJOaQm-v1N_DERa-05U2oDnsg
OPERATIONAL,"GHXC+7PF dusun sum, Bantai, Kec. Bonti, Kabupaten Sanggau, Kalimantan Barat, Indonesia","{'location': {'lat': 0.5481805, 'lng': 110.5717992}, 'viewport': {'northeast': {'lat': 0.5495303298927223, 'lng': 110.5731490298927}, 'southwest': {'lat': 0.5468306701072778, 'lng': 110.5704493701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RIAM TINGKAS,ChIJXwH_UQCz_TERRuWF_We7u1g,0.0,ChIJXwH_UQCz_TERRuWF_We7u1g,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJXwH_UQCz_TERRuWF_We7u1g
OPERATIONAL,"PC84+W67 Kubing Batu Mangkei, Jalan Muara, Kasromego, Kec. Beduwai, Kabupaten Sanggau, Kalimantan Barat 78555, Indonesia","{'location': {'lat': 0.7172833, 'lng': 110.4055518}, 'viewport': {'northeast': {'lat': 0.7187831298927222, 'lng': 110.4066891}, 'southwest': {'lat': 0.7160834701072777, 'lng': 110.4021399}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Mangkei,ChIJRRITh9BZ_DERiAVpoQ5nIqw,5.0,ChIJRRITh9BZ_DERiAVpoQ5nIqw,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104138567271769357223"">alhuda19 19</a>'], 'photo_reference': 'AUGGfZnAv3d28YfHA_JduUzqj7Dj3vXBcMLbFvs2ohCYBScht6Re9i3JtW_WMasfY8Iz_MY7lWp8ZCccBi8bxj1IyUbPbCxBRmQYQjcFKxfYPnVgxkbeJixKG2ggu478b9UPlr9bpnG6TGmR6vARyRcIlLQHb6XYdBRaTzhKRJmf5o3FFEGU', 'width': 1920}]",,,https://www.google.com/maps/place/?q=place_id:ChIJRRITh9BZ_DERiAVpoQ5nIqw
OPERATIONAL,"RHJ8+HP, Lubuk Sabuk, Sekayam, Sanggau Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.832368, 'lng': 110.567523}, 'viewport': {'northeast': {'lat': 0.8337178298927223, 'lng': 110.5688728298927}, 'southwest': {'lat': 0.8310181701072777, 'lng': 110.5661731701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa lubuk sabuk dusun umbang,ChIJY_7uJQBD_DER39qmUvCCqVs,5.0,ChIJY_7uJQBD_DER39qmUvCCqVs,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105222181778849862247"">A Google User</a>'], 'photo_reference': 'AUGGfZm2NeiqB-OK4e5Xp6GO5j7jTeK9VJ3JpJJFmqFslsdBf4gv9sL6VOVyEJi41JQpWKspc1UlZQ2a52-WltpQ1Hi75t34PXKzMD2OkrrU3ynihDpLJOMDyoDGlFTA22HN56UpTbD-wMm147PhyT89cpbRWQD_YiDzqVs-r7f3hQOBig_U', 'width': 2352}]",,,https://www.google.com/maps/place/?q=place_id:ChIJY_7uJQBD_DER39qmUvCCqVs
OPERATIONAL,"GHWV+46F, Bantai, Bonti, Sanggau Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.5453154, 'lng': 110.5930548}, 'viewport': {'northeast': {'lat': 0.5471197298927222, 'lng': 110.59463905}, 'southwest': {'lat': 0.5444200701072777, 'lng': 110.58830205}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanah kito di lahat,ChIJDcWVOACz_TERW9Cldj7x0pw,0.0,ChIJDcWVOACz_TERW9Cldj7x0pw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJDcWVOACz_TERW9Cldj7x0pw
OPERATIONAL,"M9WV+J3C, Kasromego, Beduwai, Sanggau Regency, West Kalimantan 78555, Indonesia","{'location': {'lat': 0.6970493999999999, 'lng': 110.3927828}, 'viewport': {'northeast': {'lat': 0.6983504298927222, 'lng': 110.3940471798927}, 'southwest': {'lat': 0.6956507701072777, 'lng': 110.3913475201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata pantai Sekayam,ChIJwbakvLRX_DERSMN6zvrTIbA,5.0,ChIJwbakvLRX_DERSMN6zvrTIbA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100923301346185113682"">Lufsyie Anggra</a>'], 'photo_reference': 'AUGGfZn105vGf82KKMpZSaqcrV9fd-dlskJIMmIpuIvjeUD5pVdQuFOf7yjoFwj3LW3K4JZuwB5MQ-ygO4061nIIpNSUm6Fk9xs7EArX2tsoKazQS3akFI16_vll_J_Wq5mNM5vnRK4T3KZxRcBXOGZEV4kXRhmsAqNO-Ultfj-QpFJMLC-u', 'width': 4000}]",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJwbakvLRX_DERSMN6zvrTIbA
OPERATIONAL,"J9VP+329, Tunggal Bhakti, Kembayan, Sanggau Regency, West Kalimantan 78555, Indonesia","{'location': {'lat': 0.6431859, 'lng': 110.3862232}, 'viewport': {'northeast': {'lat': 0.64394035, 'lng': 110.3880754}, 'southwest': {'lat': 0.6409225500000001, 'lng': 110.3806666}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai kurangan,ChIJ9-uzFrdX_DERnh0d60HCOeI,0.0,ChIJ9-uzFrdX_DERnh0d60HCOeI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9-uzFrdX_DERnh0d60HCOeI
OPERATIONAL,"H8XX+5WJ, Semayang, Kembayan, Sanggau Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.5979685, 'lng': 110.3497698}, 'viewport': {'northeast': {'lat': 0.5993183298927222, 'lng': 110.3511196298927}, 'southwest': {'lat': 0.5966186701072776, 'lng': 110.3484199701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang Sawah,ChIJEf4iKABV_DERuMOcS4LAX_Q,5.0,ChIJEf4iKABV_DERuMOcS4LAX_Q,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJEf4iKABV_DERuMOcS4LAX_Q
OPERATIONAL,"GJV9+4RC, Bantai, Bonti, Sanggau Regency, West Kalimantan 78552, Indonesia","{'location': {'lat': 0.5428056, 'lng': 110.6195}, 'viewport': {'northeast': {'lat': 0.5441554298927221, 'lng': 110.6208498298927}, 'southwest': {'lat': 0.5414557701072776, 'lng': 110.6181501701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Sangkar,ChIJgWdkRJa1_TERDQtvmUirJbk,4.6,ChIJgWdkRJa1_TERDQtvmUirJbk,"['tourist_attraction', 'point_of_interest', 'establishment']",10,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103277631245527359132"">A Google User</a>'], 'photo_reference': 'AUGGfZlprajwclPgfGT98C1ZZjfllZm51oTLNthGwRjmj8RwXRnZQmw4XRvSNbh3Oq4VbgzyjTb36_vFSmSE4QxbFCXTvIgHMQZWSqqpG8utTme9rY-8AwQioRSBsGqJ9gzmXTrzUz-bwaAAHqGQoPleSqOREP_O6l4lMPpMKwONyz6sRRAq', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJgWdkRJa1_TERDQtvmUirJbk
