business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"GH7P+FG, Ngingas, Simpang, Kec. Prambon, Kabupaten Sidoarjo, Jawa Timur 61264, Indonesia","{'location': {'lat': -7.486312499999999, 'lng': 112.5863125}, 'viewport': {'northeast': {'lat': -7.484979270107277, 'lng': 112.5876608298927}, 'southwest': {'lat': -7.487678929892721, 'lng': 112.5849611701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Alas Prambon,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113197224629221338332"">A Google User</a>'], 'photo_reference': 'AUGGfZmtuEJFVuRL3M1JAEBylIPGfm0Vw3OVcHLnBj4nUIZQd45_VFNJXzZw2JhRLhlG50JXUdY47nbNam08sJ2Synqf_Scj70HFNH8_Hx1oUAltz-oIyDuYdHoaWUQpjsIMzjzmDyNUh2sseToOsIOf1A8pWyxvd3t7TRtFz0CfwuhbzEjX', 'width': 4160}]",ChIJU-3bIaAKeC4RK0lxNqoddu0,4.4,ChIJU-3bIaAKeC4RK0lxNqoddu0,"['tourist_attraction', 'campground', 'lodging', 'park', 'point_of_interest', 'establishment']",1185.0,,,https://www.google.com/maps/place/?q=place_id:ChIJU-3bIaAKeC4RK0lxNqoddu0
OPERATIONAL,"Jl. Raya Porong, Mindi, Kec. Porong, Kabupaten Sidoarjo, Jawa Timur 61274, Indonesia","{'location': {'lat': -7.5375293, 'lng': 112.7008702}, 'viewport': {'northeast': {'lat': -7.536123870107278, 'lng': 112.7020279298927}, 'southwest': {'lat': -7.538823529892722, 'lng': 112.6993282701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman APKASI,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106429895210029798813"">nanang ibarashi</a>'], 'photo_reference': 'AUGGfZmdJYKEodkw4S731HD23HT4U6J_FWc7-cI8Mf141OmZEyHqC_PA-AMwCpCBuVqBwMn6YNiDsyhFAFDx8MnhMUdZcThEkM4geTs9UjA0ZN6peFaehEcIRNfPZ6_H3EVbUeiI3jA9jQ0oMB_ixLa4OlBnqbXEHhjs9-QZr9Kg8NpPaGsv', 'width': 4000}]",ChIJ75CKZm7e1y0RFQ_16xEeGKc,4.3,ChIJ75CKZm7e1y0RFQ_16xEeGKc,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",796.0,"{'compound_code': 'FP62+X8 Mindi, Sidoarjo Regency, East Java, Indonesia', 'global_code': '6P4JFP62+X8'}",,https://www.google.com/maps/place/?q=place_id:ChIJ75CKZm7e1y0RFQ_16xEeGKc
OPERATIONAL,"Pondokjati, Pagerwojo, Buduran, Sidoarjo Regency, East Java 61252, Indonesia","{'location': {'lat': -7.440249000000001, 'lng': 112.705097}, 'viewport': {'northeast': {'lat': -7.438887470107277, 'lng': 112.7064578798927}, 'southwest': {'lat': -7.441587129892721, 'lng': 112.7037582201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Abhirama Sidoarjo,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114677561773462786307"">Nur Hidayat</a>'], 'photo_reference': 'AUGGfZl0nzgwRlXYKm_2zjl0TtD6ehBdSXzM4BT0OPZUHA7_ebVUq76sSOlJAX9YgYxBwE8382u2p_3bv5TSTg5Bflz9LQr2SBe6UPubukUP9Ma4r75lpBwxLPF-bbfQOaTEsGimxd5to09Elei0MQzwqFMLaJ6oVflm47-9PSfY45wzNKU2', 'width': 4000}]",ChIJRWscw0_h1y0RrtS4lCQa3HY,4.4,ChIJRWscw0_h1y0RrtS4lCQa3HY,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",6039.0,"{'compound_code': 'HP54+W2 Pagerwojo, Sidoarjo Regency, East Java, Indonesia', 'global_code': '6P4JHP54+W2'}",,https://www.google.com/maps/place/?q=place_id:ChIJRWscw0_h1y0RrtS4lCQa3HY
OPERATIONAL,"CRWW+W3F, Telocor, Tanjungsari, Kupang, Kec. Jabon, Kabupaten Sidoarjo, Jawa Timur 61276, Indonesia","{'location': {'lat': -7.5526757, 'lng': 112.8451825}, 'viewport': {'northeast': {'lat': -7.551356620107278, 'lng': 112.8465309798927}, 'southwest': {'lat': -7.554056279892722, 'lng': 112.8438313201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tlocor Marine Tourism,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106232643847201916054"">zaima faiza</a>'], 'photo_reference': 'AUGGfZkaqCDqC0XPHDRWNUI83II8PXITDpfVTEk4OPooNdsSW8Dp18mDAMj6Ndt_4P5m4LAE6lHREG4-jhmS3zTf4w__dXXlQu_OFYS8CSBeffPrE6sAntwHjROLysKqa0SgbuVsKhdSmm3-a5qCe0I6uC8eAR_gg_1aitQKzcPR84pM6GGe', 'width': 4608}]",ChIJtTVNvxrD1y0Rb7RA_w1twd8,4.1,ChIJtTVNvxrD1y0Rb7RA_w1twd8,"['tourist_attraction', 'point_of_interest', 'establishment']",2434.0,,,https://www.google.com/maps/place/?q=place_id:ChIJtTVNvxrD1y0Rb7RA_w1twd8
OPERATIONAL,"Jalan Nasional 1 Porong, Jatirejo, Sidoarjo, Kabupaten Sidoarjo, Jawa Timur 61274, Indonesia","{'location': {'lat': -7.533633000000001, 'lng': 112.7012887}, 'viewport': {'northeast': {'lat': -7.532303970107279, 'lng': 112.7027137798927}, 'southwest': {'lat': -7.535003629892723, 'lng': 112.7000141201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Dwarakerta,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102610788629493100683"">adi prastowo</a>'], 'photo_reference': 'AUGGfZkmeSByki_c9Eo0C_tm_ThV01-Y-IB0Xk4XwGa0eIzSjT-5CeG2GQcUZsrqu2m0WqXv-JAcBNSOrWdSZq7AY6JYKCHEqXyxsAe8G0_boO7dY54QtLqtT4UGu5zFzRYHdPkb_dU0eu4BIeeZ_773ig8Wj8joY3GT_ySVvCmRwmywRqUm', 'width': 4160}]",ChIJbzk5Pm3e1y0R2EO9nJETCvs,4.3,ChIJbzk5Pm3e1y0R2EO9nJETCvs,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",642.0,"{'compound_code': 'FP82+GG Jatirejo, Sidoarjo Regency, East Java, Indonesia', 'global_code': '6P4JFP82+GG'}",,https://www.google.com/maps/place/?q=place_id:ChIJbzk5Pm3e1y0R2EO9nJETCvs
OPERATIONAL,"JQ89+9G9, Jalakaca Juanda, Kepuh, Betro, Kec. Sedati, Kabupaten Sidoarjo, Jawa Timur 61253, Indonesia","{'location': {'lat': -7.384097199999998, 'lng': 112.7688492}, 'viewport': {'northeast': {'lat': -7.382726970107278, 'lng': 112.7702186298927}, 'southwest': {'lat': -7.385426629892722, 'lng': 112.7675189701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Jalakaca,{'open_now': False},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114764588372076390332"">rizal sam</a>'], 'photo_reference': 'AUGGfZnxrkYVOkF7LpxcPlnr9TfPI2yL9ps5647ZXlgMtY-fD8iIkJfwZAm8u5fTL-FFzF7blsnbz55BYVZAiuBBUY7GxPO1laxOBBFQTJ1hx1ZMJKIDoiQUbw-WBOfNveqkYh2Pg6u6tOLltNbRHpdI5S_PH2vwZjH5cjocxQYgBN974oAb', 'width': 4624}]",ChIJt2wtKwfl1y0R3FDEfeJF0bo,4.3,ChIJt2wtKwfl1y0R3FDEfeJF0bo,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",579.0,,,https://www.google.com/maps/place/?q=place_id:ChIJt2wtKwfl1y0R3FDEfeJF0bo
OPERATIONAL,"GPXR+2CC, Jalan Lingkar Timur, Dusun Rangkah Lor, Bluru Kidul, Kec. Sidoarjo, Kabupaten Sidoarjo, Jawa Timur 61233, Indonesia","{'location': {'lat': -7.452433399999999, 'lng': 112.7410116}, 'viewport': {'northeast': {'lat': -7.451154970107279, 'lng': 112.7424023298927}, 'southwest': {'lat': -7.453854629892723, 'lng': 112.7397026701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Tandjoeng Poeri,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112387647651078389452"">bagus romadhon</a>'], 'photo_reference': 'AUGGfZktZMOWEud1MSwkYPwjWU3Tz-2622AcIXS6OxcYL128LOKtJ-EkLhUbs7f00ejII_5cVLgdfj7dzwrluXkfiOOeR6F2oThOL3fzOIgpO_NorV3rbDnGCAv1h-99ddS1OXZQDzEyRaMCvuWyu7bRemRWlNuwdjjA-se_11FOGfkwazFZ', 'width': 2560}]",ChIJvUUYOerm1y0Rm5vThy107qo,4.1,ChIJvUUYOerm1y0Rm5vThy107qo,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",807.0,,,https://www.google.com/maps/place/?q=place_id:ChIJvUUYOerm1y0Rm5vThy107qo
OPERATIONAL,"Jl. Jenggolo No.21, Rw1, Sidokumpul, Kec. Sidoarjo, Kabupaten Sidoarjo, Jawa Timur 61212, Indonesia","{'location': {'lat': -7.446286199999999, 'lng': 112.7184411}, 'viewport': {'northeast': {'lat': -7.444387670107277, 'lng': 112.7196760798927}, 'southwest': {'lat': -7.447087329892721, 'lng': 112.7169764201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/monument_pinlet,Jayandaru Monument,{'open_now': True},"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101647317124372676260"">Ahmad Syaifudin</a>'], 'photo_reference': 'AUGGfZmMb4gkPoGdw-A6fCoPNJq7ZA1gBJmXQLdr5BJX9CbmUxOrSXFmLte6fGOLWxRESosAFchNiaym3po-KgG8TR3_uEqEPs7C2t0MwAhPnlAvTl9j029n9BkKKC7EgVTN4_flW8jC1Frw298A-PvauPsk-LEtx8AB8kdggTEVmqzaYFnK', 'width': 2160}]",ChIJ1VsiWbTm1y0R_8AbKOQZ4HQ,4.6,ChIJ1VsiWbTm1y0R_8AbKOQZ4HQ,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",7673.0,"{'compound_code': 'HP39+F9 Sidokumpul, Sidoarjo Regency, East Java, Indonesia', 'global_code': '6P4JHP39+F9'}",,https://www.google.com/maps/place/?q=place_id:ChIJ1VsiWbTm1y0R_8AbKOQZ4HQ
,"Taman, Sidoarjo Regency, East Java, Indonesia","{'location': {'lat': -7.353606999999999, 'lng': 112.6988252}, 'viewport': {'northeast': {'lat': -7.347942, 'lng': 112.704411}, 'southwest': {'lat': -7.358664000000001, 'lng': 112.6921239}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman,,,ChIJ26uAbkzj1y0RcvDZRYJsAUE,,ChIJ26uAbkzj1y0RcvDZRYJsAUE,"['administrative_area_level_4', 'political']",,,,https://www.google.com/maps/place/?q=place_id:ChIJ26uAbkzj1y0RcvDZRYJsAUE
OPERATIONAL,"FPP3+7VH, Jl. Mojopahit, Ketapang, Tanggulangin, Sidoarjo Regency, East Java, Indonesia","{'location': {'lat': -7.5143073, 'lng': 112.7047446}, 'viewport': {'northeast': {'lat': -7.512944420107279, 'lng': 112.7060785298927}, 'southwest': {'lat': -7.515644079892723, 'lng': 112.7033788701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Califour Ketapang,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114993889776865168742"">imam fakhruddin</a>'], 'photo_reference': 'AUGGfZl5Wptc9Ku10YYtM0fPi9U5dgA7pcPkYpomMpdNSUZYTM33RdsmO_TUTWdfKSvxXuMLwVlgxd2CyMX2pDlRWoRphswDLCtKshlRywtdzA_DmIqhMSccxqW63c_6RZ4kooXPObUKfEdkAU9wAJc2RFoozUH9WvsgLfFpuMUOzSiROrKA', 'width': 4000}]",ChIJ2UAxfQ_f1y0RXkRrD3-JBm8,4.6,ChIJ2UAxfQ_f1y0RXkRrD3-JBm8,"['tourist_attraction', 'point_of_interest', 'establishment']",71.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ2UAxfQ_f1y0RXkRrD3-JBm8
