business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,opening_hours,permanently_closed,url
OPERATIONAL,"3R2J+M9C, Balane, Kinovaro, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.9491679000000001, 'lng': 119.8304927}, 'viewport': {'northeast': {'lat': -0.9478298201072779, 'lng': 119.8318388798927}, 'southwest': {'lat': -0.9505294798927222, 'lng': 119.8291392201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata malam,ChIJseH6jtfziy0RLztPdoLScmU,0.0,ChIJseH6jtfziy0RLztPdoLScmU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJseH6jtfziy0RLztPdoLScmU
OPERATIONAL,"XQVV+HV8, Rondingo, Kinovaro, Sigi Regency, Central Sulawesi 94362, Indonesia","{'location': {'lat': -1.0060843, 'lng': 119.7947139}, 'viewport': {'northeast': {'lat': -1.004303170107278, 'lng': 119.7957766798927}, 'southwest': {'lat': -1.007002829892722, 'lng': 119.7930770201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Vatu lentaki,ChIJgcOoMwD1iy0RzKQ7oXjoLnc,0.0,ChIJgcOoMwD1iy0RzKQ7oXjoLnc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115649238966425061368"">A Google User</a>'], 'photo_reference': 'AUGGfZm1X-aTezsZG30KOKUo9KTaoHdWKMPSdj1r2NMecY__qc6TXf-ybR5lq3v7Oq0FJT9qDCRAicMwvDCfkDMyKVp78kT3chH-1elDFb_h80U7EZKuvtvlIEWP71r-nDV1Ztyrc9eSzD38bo8G6NyDBqbWTqOeyHrgLBDQK-3TJjVnVQr2', 'width': 2592}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJgcOoMwD1iy0RzKQ7oXjoLnc
OPERATIONAL,"XRJW+M45, Lebanu, Marawola, Sigi Regency, Central Sulawesi 94362, Indonesia","{'location': {'lat': -1.0183663, 'lng': 119.8453668}, 'viewport': {'northeast': {'lat': -1.017016470107278, 'lng': 119.8467166298927}, 'southwest': {'lat': -1.019716129892722, 'lng': 119.8440169701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kinore Kodi,ChIJ3_RDLbv1iy0Rzv-Rm9RfXKI,0.0,ChIJ3_RDLbv1iy0Rzv-Rm9RfXKI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3_RDLbv1iy0Rzv-Rm9RfXKI
OPERATIONAL,"XQVV+HV8, Rondingo, Kinovaro, Sigi Regency, Central Sulawesi 94362, Indonesia","{'location': {'lat': -1.0060843, 'lng': 119.7947139}, 'viewport': {'northeast': {'lat': -1.004303170107278, 'lng': 119.7957766798927}, 'southwest': {'lat': -1.007002829892722, 'lng': 119.7930770201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit lentora,ChIJ-dkNN7n1iy0RyUAFuJ7r7gA,1.0,ChIJ-dkNN7n1iy0RyUAFuJ7r7gA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101548657754947108743"">A Google User</a>'], 'photo_reference': 'AUGGfZn7SS05bp6KjjubGLSkOSKOU6t5mzJlxznMIm3CzzXq9GkpUvemTBiBOl9uWDm8sngReJTens4fkimo9HG2Td16z4xQ7-mqMf1nF-jKszhKIL070bUw28wH_aG6QvrvoK6dWSgzOihyTbOMgWFKfS40agTjyU5N-3GXTtCvIbvvnW2r', 'width': 3120}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ-dkNN7n1iy0RyUAFuJ7r7gA
OPERATIONAL,"Porame, Kinovaro, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.9602146999999999, 'lng': 119.837285}, 'viewport': {'northeast': {'lat': -0.958875720107278, 'lng': 119.8385826298927}, 'southwest': {'lat': -0.9615753798927222, 'lng': 119.8358829701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The Simore Garden,ChIJNyI3vfjziy0RzLEgIq-CTlM,5.0,ChIJNyI3vfjziy0RzLEgIq-CTlM,"['tourist_attraction', 'point_of_interest', 'establishment']",7,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111703862291817425812"">Suryadi Hadi</a>'], 'photo_reference': 'AUGGfZkvMNIleCsm_voDrg60NIASUMbJNZY7vdffWF2arJ-eYjJwHKZ79DdU7b7l42DZRLFLuCs3FCrZvcjHb1801l8mb_aA3o7QIMuCUUBhhQ-1wx2m6s7zeffU3eNLB1dpkwT7m1sPNlzHQivLXK9w0wBa5-05tMfnZiAWbPXv5YuSZ3Mo', 'width': 4000}]","{'compound_code': '2RQP+WW Porame, Sigi Regency, Central Sulawesi, Indonesia', 'global_code': '6PFX2RQP+WW'}",,,https://www.google.com/maps/place/?q=place_id:ChIJNyI3vfjziy0RzLEgIq-CTlM
OPERATIONAL,"3R4J+G76, Balane, Kinovaro, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.9437238, 'lng': 119.8306267}, 'viewport': {'northeast': {'lat': -0.9423648701072779, 'lng': 119.8319646798927}, 'southwest': {'lat': -0.9450645298927222, 'lng': 119.8292650201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,checkdam lewara,ChIJGxx-IQDziy0Ra9urfTgxMGE,0.0,ChIJGxx-IQDziy0Ra9urfTgxMGE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJGxx-IQDziy0Ra9urfTgxMGE
OPERATIONAL,"3R4J+C76, Balane, Kinovaro, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.9439704999999999, 'lng': 119.8306482}, 'viewport': {'northeast': {'lat': -0.9426035201072778, 'lng': 119.8319995298927}, 'southwest': {'lat': -0.9453031798927221, 'lng': 119.8292998701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Misterius,ChIJ1XzED5Xziy0R7SmD2q5lbBk,4.4,ChIJ1XzED5Xziy0R7SmD2q5lbBk,"['tourist_attraction', 'point_of_interest', 'establishment']",138,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117090256734946397023"">Dwi Budisantoso</a>'], 'photo_reference': 'AUGGfZkaoEHrxr4E0f7sgWMDP7FkWqYpbr-IS0y25ossZ6uQjUNJJRWmrmcOM0xtMJMlGuYa-RKqROwUv96uVFosjzLWSJOh4AbVlvx1q2KTOHFKxCkNXG_4fO8_LBYSIApLqLveuU8hGk9TD70q4BCpjGuatHTKR-Zn3Egu7ovXIcOEOTwf', 'width': 3024}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ1XzED5Xziy0R7SmD2q5lbBk
OPERATIONAL,"2RXP+7J4, Porame, Kinovaro, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.9518597999999999, 'lng': 119.8365826}, 'viewport': {'northeast': {'lat': -0.9505466701072777, 'lng': 119.8378838798927}, 'southwest': {'lat': -0.9532463298927218, 'lng': 119.8351842201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemandian Uwelera Porame,ChIJzToNtqrziy0RlTqelBaGMJs,4.1,ChIJzToNtqrziy0RlTqelBaGMJs,"['tourist_attraction', 'point_of_interest', 'establishment']",249,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114309609677536377749"">Shohifah Mawaddah</a>'], 'photo_reference': 'AUGGfZncCjnPR68LD9_Hd3P1u4NDW6o5dpop73dPsXB7ksavMdFWm7ZHqvGfLIbITp-nCOPqFig-RS5jYTwVmUe-bIyHwt2ivW-Xb4LGIxOk5TSej1Cd9vK-hHcKwEJEobzw44sPjWfbPOxL1MkVtroBmz-Z25t0Gba4E3QgLcG8or4c96RI', 'width': 3264}]",,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJzToNtqrziy0RlTqelBaGMJs
OPERATIONAL,"2VV4+Q2V, Binangga, Marawola, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.9555174999999999, 'lng': 119.8550313}, 'viewport': {'northeast': {'lat': -0.9541676701072778, 'lng': 119.8563811298927}, 'southwest': {'lat': -0.956867329892722, 'lng': 119.8536814701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BTN ondok indah,ChIJ4aVAKwDziy0RRci-OYOS1qg,0.0,ChIJ4aVAKwDziy0RRci-OYOS1qg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4aVAKwDziy0RRci-OYOS1qg
OPERATIONAL,"2RXP+FC4, Porame, Kinovaro, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.951346, 'lng': 119.836052}, 'viewport': {'northeast': {'lat': -0.9499993201072777, 'lng': 119.8373842298927}, 'southwest': {'lat': -0.952698979892722, 'lng': 119.8346845701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Porame Paradise Resort,ChIJK4vETVXyiy0R5EIrd4B3KHk,4.1,ChIJK4vETVXyiy0R5EIrd4B3KHk,"['tourist_attraction', 'point_of_interest', 'establishment']",54,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111618329263683413240"">A Google User</a>'], 'photo_reference': 'AUGGfZlRU9XhIma12yoCdMKT_Cch_ENXVUuYsum2agJgrFyaHnmy0xZqXyOhLURTD9K7sACLXqH4IJPnjJ05WrUd5uByO_Y8cYDEUKpdbugTdlsdZiCoeD9bUDor2yCNrMdMJgoEqvc7WD2PxHKjuhoNm9xPJRiTkNSQqD7fe2tmb6cb3odv', 'width': 4096}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJK4vETVXyiy0R5EIrd4B3KHk
