business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"77X4+HX, Mekendetung, Kangae, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7011293, 'lng': 122.257424}, 'viewport': {'northeast': {'lat': -8.699837520107277, 'lng': 122.2588189298927}, 'southwest': {'lat': -8.70253717989272, 'lng': 122.2561192701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Istana Raja Kangae,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101965752424862717879"">A Google User</a>'], 'photo_reference': 'AUGGfZmv3ABiiNNxk1OvUEliaj93gTrWU1ah22WZtmsfaFBdFIlVa6-L0bOQQxNy1E0zAgAGfGOgYLVL_cYvA2X_6jfXHhNmrLxichgPSSjzopOSiowG8P5GV9sb6e2n7gnwfjtIiIMdXJNJj0lGEzFmvr_qiVXq4xd1Fvxc_o1j8a_PS-Ex', 'width': 3120}]",ChIJCYS4U6EZrS0RYkyc92rfYrg,4.8,ChIJCYS4U6EZrS0RYkyc92rfYrg,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,,,https://www.google.com/maps/place/?q=place_id:ChIJCYS4U6EZrS0RYkyc92rfYrg
OPERATIONAL,"86HR+56, Tekaiku, Kangae, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6720153, 'lng': 122.2405916}, 'viewport': {'northeast': {'lat': -8.670840070107278, 'lng': 122.2418095798927}, 'southwest': {'lat': -8.673539729892722, 'lng': 122.2391099201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KOLIDOGON HILLS,,"[{'height': 3060, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110334224184491311589"">A Google User</a>'], 'photo_reference': 'AUGGfZk72N-TxvedFf3pwRQMqM-MK0ey_AJRAFHnvt5wIIfSjpeTUyv1okWbhCQ4g-WlYFtsFzyqQiG2bhVRBi9fwp41Z_tfd3_Q2_sd80GVwBDSwy_RDTtPM5-BCDMzoU2wRrNmkvu20PHBgPs4dbko3vkwB6d-vodX0pQRnV2SMbBVu53K', 'width': 4080}]",ChIJ86p6MwAZrS0R6UhKB8LT710,5.0,ChIJ86p6MwAZrS0R6UhKB8LT710,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ86p6MwAZrS0R6UhKB8LT710
OPERATIONAL,"977C+6JC, Tanaduen, Kangae, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.636936700000001, 'lng': 122.2715211}, 'viewport': {'northeast': {'lat': -8.63587287010728, 'lng': 122.2728265798928}, 'southwest': {'lat': -8.638572529892723, 'lng': 122.2701269201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Galilea Bolawolon,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116418529643484863242"">A Google User</a>'], 'photo_reference': 'AUGGfZmQyQ3RExNL3U4zY3Pb6X3Lwl1EpRnokjoAC6hLX9gQPfXtvP1zK9lMA1BtpiI46EDLc5lMj6kFtFUYNKN_Psj5uf7sHdSU5DdwIFMDQ-Sz66E7n2UxSWl6cSK-RYLqA97JnzRKRPK9wKNQrWN9Xuup-t4GHWjtRqktWQzWdKAHang', 'width': 2352}]",ChIJ7_rQZ_QfrS0RkkTT7rP9r7Y,4.8,ChIJ7_rQZ_QfrS0RkkTT7rP9r7Y,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ7_rQZ_QfrS0RkkTT7rP9r7Y
OPERATIONAL,"Jl. Raya Kewapante Ohe, Kajowair, Kec. Hewokloang, Kabupaten Sikka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.700733, 'lng': 122.3131865}, 'viewport': {'northeast': {'lat': -8.699407970107279, 'lng': 122.3144424298927}, 'southwest': {'lat': -8.702107629892723, 'lng': 122.3117427701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sanggar Budaya Tenun Bliran Sina - Watublapi,{'open_now': False},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101844050490016441861"">Asri Wijayanti</a>'], 'photo_reference': 'AUGGfZmi5HDDCuSqpZItxG987OFBw0WBG_e__quBkIyHrWyuv_FMaUdrWR00tP8YVQ_X3302cUwtIkqsKuHJN9ZFp3EiOhYuW2mWmI0VYbZgCiwNPjTsGXilXWW4a861yG1cIif2NWPuasVxnM-WufrFg3Y8NvTR4Ao17In4W75vXiK5cOEP', 'width': 1944}]",ChIJE55hIpsfrS0RIn2-f__qHcg,4.7,ChIJE55hIpsfrS0RIn2-f__qHcg,"['tourist_attraction', 'point_of_interest', 'establishment']",69.0,"{'compound_code': '78X7+P7 Kajowair, Sikka Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q3478X7+P7'}",,https://www.google.com/maps/place/?q=place_id:ChIJE55hIpsfrS0RIn2-f__qHcg
OPERATIONAL,"7695+3XH, Sikka, Lela, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7323238, 'lng': 122.2099742}, 'viewport': {'northeast': {'lat': -8.730973970107277, 'lng': 122.2113240298927}, 'southwest': {'lat': -8.73367362989272, 'lng': 122.2086243701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hira hotak,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108560631857034242362"">alexius marselino lory</a>'], 'photo_reference': 'AUGGfZno2FjNZtEI3vn2vO7VL7rMvK86ATRyU9WocIe_UkDnELZWRodGq4bqWkXPUS4DYG8bqxA44LFCm7Gofn614E4JLgQnd9jxYWS_YRXZjSSDC0X7Ta-0RMgc98NuPtF_clG-F2glqIly8CCfDu8frnS0MphkMDjZ-7CkuVVhdeljx_Cv', 'width': 5184}]",ChIJ9djx4rQjrS0RjfCnVgs3ouc,4.8,ChIJ9djx4rQjrS0RjfCnVgs3ouc,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ9djx4rQjrS0RjfCnVgs3ouc
OPERATIONAL,"Langir, Kangae, Sikka Regency, East Nusa Tenggara 86181, Indonesia","{'location': {'lat': -8.6551817, 'lng': 122.2445843}, 'viewport': {'northeast': {'lat': -8.653731320107278, 'lng': 122.2458524798927}, 'southwest': {'lat': -8.656430979892722, 'lng': 122.2431528201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata desa kolidogon hills,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110026580704086999509"">A Google User</a>'], 'photo_reference': 'AUGGfZk5fh9fcjsLqX-HuwKCZjEU95asmG1UVnk46WaFVY7nqtRdTF9jHLEsgIz47sR-dtSbRZOWM8BciG-OMhQx8DnHe4yAcFOQxxmK0JFZAySlMoBelMWKX1OzRWXElQU5gLML4blGpaxGUhzAnOfscUSs8uFF91q87CzhbmIkcENNzYU', 'width': 1600}]",ChIJ6WzTDysZrS0RoBmCBgPyXf8,0.0,ChIJ6WzTDysZrS0RoBmCBgPyXf8,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"{'compound_code': '86VV+WR Langir, Sikka Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q3486VV+WR'}",,https://www.google.com/maps/place/?q=place_id:ChIJ6WzTDysZrS0RoBmCBgPyXf8
OPERATIONAL,"Umauta, Bola, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7143687, 'lng': 122.3092659}, 'viewport': {'northeast': {'lat': -8.713002220107278, 'lng': 122.3106375298927}, 'southwest': {'lat': -8.715701879892721, 'lng': 122.3079378701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sanggar Doka Tawa Tana - Desa Wisata Umauta,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107453429248440706200"">sinyo delta</a>'], 'photo_reference': 'AUGGfZnqsuq5w4yr9AlSPVE5pQSzV_tthrSQO0vyALEbLDmWWTEMI73hdesXrEFWVSHlnoKjFCjT7q5BCRFf6CPeEuvOd2w40x3ndUx9YzA0dVtNnmeQ8U3yao11Rnzb45Ot2H6eHZ8_pdR7v_HlA0y_WBKd2Q8FLknDeDdaYe958AFWlyGz', 'width': 3120}]",ChIJHUa9mQ0hrS0RxWe_MgYBq_Q,4.5,ChIJHUa9mQ0hrS0RxWe_MgYBq_Q,"['tourist_attraction', 'point_of_interest', 'establishment']",18.0,"{'compound_code': '78P5+7P Umauta, Sikka Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q3478P5+7P'}",,https://www.google.com/maps/place/?q=place_id:ChIJHUa9mQ0hrS0RxWe_MgYBq_Q
OPERATIONAL,"764M+4R3, Hokor, Bola, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7447266, 'lng': 122.2345576}, 'viewport': {'northeast': {'lat': -8.743376770107277, 'lng': 122.2359074298927}, 'southwest': {'lat': -8.746076429892721, 'lng': 122.2332077701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Watu Melur,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108984167709964897374"">A Google User</a>'], 'photo_reference': 'AUGGfZnyztxJCrgIf_DWCSltVLNu53mOUa6GRA8lXQoetiQZ6n-qKCWI9t7TvhhstR3uhO46mQRjPwtPvXPFKivctjA0QMRpkYjhLskDd4oW4ym8tQyTBHB7zke9QH6UYD7Iu-AHd4R4cJ9_vCF4h8ea9A4PwOlctrtUasGpEtK05aefsUCj', 'width': 5184}]",ChIJo9pNyrMjrS0R3-pklP1cSy0,5.0,ChIJo9pNyrMjrS0R3-pklP1cSy0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJo9pNyrMjrS0R3-pklP1cSy0
OPERATIONAL,"96H9+FMC, Kota Baru, Alok Timur, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.621300399999999, 'lng': 122.2191305}, 'viewport': {'northeast': {'lat': -8.620110720107277, 'lng': 122.2203598798927}, 'southwest': {'lat': -8.622810379892721, 'lng': 122.2176602201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Kota Maumere,{'open_now': True},"[{'height': 1216, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112205317779176915825"">Kakang Paijo</a>'], 'photo_reference': 'AUGGfZnCewpoGmpR-pIadfYNzQpJn5Rwq2yENkgm9QkOjvigOK8kZf0dtu7rDd7XvUyudMF8dHNA77eR8vdkJIz3SINq4c4gFZulRX4qJweWvM4eF1w9kgWDJmDBl7to6v8xlpxnTctM-bYQA44xZOEoTaDcvxMI9xqeKt65LRSYMaXU7XpM', 'width': 2176}]",ChIJD_6PRi0arS0RvmgwnGGa3Go,4.1,ChIJD_6PRi0arS0RvmgwnGGa3Go,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",699.0,,,https://www.google.com/maps/place/?q=place_id:ChIJD_6PRi0arS0RvmgwnGGa3Go
OPERATIONAL,"C623+242, Jl. Bengkunis, Wolomarang, Kec. Alok Bar., Kabupaten Sikka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.5999805, 'lng': 122.2027536}, 'viewport': {'northeast': {'lat': -8.598617020107277, 'lng': 122.2040736298927}, 'southwest': {'lat': -8.60131667989272, 'lng': 122.2013739701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wuring,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103880317300518867989"">Fitrah Aditya</a>'], 'photo_reference': 'AUGGfZkxzE3DfA2dnlLx9JE3QmLftvO2WhtL1fRfCXOWDzknKm3VPUqtLX95irkkyl-cNNkQvULEC5PEkN49lopSTNguOszrjXNne2wWUVS5O0tIstZn5OWYYPbp0roN3rVKhik0EQcXbTwXKcAlu49kBH3NoytVCV6vhjpjGdoTW_P-wps5', 'width': 3024}]",ChIJUZyospobrS0R69t4pNIwnUU,4.2,ChIJUZyospobrS0R69t4pNIwnUU,"['tourist_attraction', 'point_of_interest', 'establishment']",48.0,,,https://www.google.com/maps/place/?q=place_id:ChIJUZyospobrS0R69t4pNIwnUU
