business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,url
OPERATIONAL,"W228+F2G, Siborna, Panei, Simalungun Regency, North Sumatra, Indonesia","{'location': {'lat': 2.9011753, 'lng': 99.0150669}, 'viewport': {'northeast': {'lat': 2.902516379892722, 'lng': 99.01638662989272}, 'southwest': {'lat': 2.899816720107277, 'lng': 99.01368697010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah josua nainggolan,ChIJMxckf_2PMTAReVQnFdpedKU,0.0,ChIJMxckf_2PMTAReVQnFdpedKU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJMxckf_2PMTAReVQnFdpedKU
OPERATIONAL,"Buntu Bartong, Tiga Dolok, Kec. Dolok Panribuan, Kabupaten Simalungun, Sumatera Utara 21173, Indonesia","{'location': {'lat': 2.8211072, 'lng': 99.0369858}, 'viewport': {'northeast': {'lat': 2.822421079892722, 'lng': 99.03831707989274}, 'southwest': {'lat': 2.819721420107277, 'lng': 99.03561742010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Manigom Nauli,ChIJL9RNlt-NMTARWVuv02q2TEw,4.4,ChIJL9RNlt-NMTARWVuv02q2TEw,"['tourist_attraction', 'point_of_interest', 'establishment']",540,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103842542584481180192"">Dede Nurul Iman</a>'], 'photo_reference': 'AUGGfZlep6oZO414ECVzV0oCfgVIEhFXqcnZbyzB076PSpYqIuKxNuLESs-cWxcLj-1_wJu3VtBsMJfZYq12MdElTxL8aiDeK6Bpj6fk-grHtYzWVFpj7fGO2JTaAt-Gqess47RUnsM5HtWdLKOjAln9cxcFfp8YEGIBA1j6cWVguFd-OqbR', 'width': 4000}]","{'compound_code': 'R2CP+CQ Tiga Dolok, Simalungun Regency, North Sumatra, Indonesia', 'global_code': '6MJXR2CP+CQ'}",https://www.google.com/maps/place/?q=place_id:ChIJL9RNlt-NMTARWVuv02q2TEw
OPERATIONAL,"X8M4+XH7, Silak Kidir, Huta Bayu Raja, Simalungun Regency, North Sumatra 21182, Indonesia","{'location': {'lat': 2.9849198, 'lng': 99.3064308}, 'viewport': {'northeast': {'lat': 2.986267579892723, 'lng': 99.30774857989273}, 'southwest': {'lat': 2.983567920107278, 'lng': 99.30504892010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Panatapan Huta Rihninggol,ChIJnY74G1wtMjARY0yqC0zB5xk,0.0,ChIJnY74G1wtMjARY0yqC0zB5xk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109533140998960580382"">Supra Yetno</a>'], 'photo_reference': 'AUGGfZlS0Tw0xorDmXWebYZvdc-Y5-P9NxDluDqtLSwe5lpi9gI5Tivr_IK5ZE0dbuXKO_BSFDccGs7LC9-SeqaOX7WUkoZw4kGd0ls3ag2yFpLQzZdBTb6kLMYaFlJKxBIRUMU-fGxXJbyvbcBLxOJiyi87SnYimQPPa_HtlgAjzR3SBmkY', 'width': 3120}]",,https://www.google.com/maps/place/?q=place_id:ChIJnY74G1wtMjARY0yqC0zB5xk
OPERATIONAL,"34RR+XP5, huta songal Nagori, Bah Tobu, Kec. Dolok Batu Nanggar, Kabupaten Simalungun, Sumatera Utara 21155, Indonesia","{'location': {'lat': 3.0923861, 'lng': 99.14185950000001}, 'viewport': {'northeast': {'lat': 3.093284179892722, 'lng': 99.14394960000001}, 'southwest': {'lat': 3.090584520107278, 'lng': 99.1411628}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Huta Songal Nagori Bahtobu, Serbalawan Kab. Simalungun",ChIJJX96ubd_MTARAwDDjfXXrdE,3.9,ChIJJX96ubd_MTARAwDDjfXXrdE,"['tourist_attraction', 'point_of_interest', 'establishment']",38,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109151849179851564136"">A Google User</a>'], 'photo_reference': 'AUGGfZlJWqx9W6hQLjjVqRNNR1UenRD7wbowv3bxW348OCRfXprfllLeanZj3-Sn0tYQGZU5T8mtqAbClIRIDIxCb1w25_OrSPD2YuivydF44S7pUNFCG2gHHgTU5nTqRu0Xegq1zhJAz1oKC4ItRkPic8062XWlHB1XYUjfE5Ja8KoD6Gqs', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJJX96ubd_MTARAwDDjfXXrdE
OPERATIONAL,"457P+7WR, Jl. Letda Sujono, L A R A S, Kec. Bandar Huluan, Kabupaten Simalungun, Sumatera Utara 21184, Indonesia","{'location': {'lat': 3.1132296, 'lng': 99.1872612}, 'viewport': {'northeast': {'lat': 3.114603829892722, 'lng': 99.18852552989273}, 'southwest': {'lat': 3.111904170107277, 'lng': 99.1858258701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wak mina,ChIJiWDPOuB_MTARmDYu5vW74KU,0.0,ChIJiWDPOuB_MTARmDYu5vW74KU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJiWDPOuB_MTARmDYu5vW74KU
OPERATIONAL,"Parbeokan, Kec. Hatonduhan, Kabupaten Simalungun, Sumatera Utara 21174, Indonesia","{'location': {'lat': 2.7763054, 'lng': 99.13681319999999}, 'viewport': {'northeast': {'lat': 2.777648979892723, 'lng': 99.13812617989272}, 'southwest': {'lat': 2.774949320107278, 'lng': 99.13542652010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GOKMA BASA SITORUS,ChIJqRtrldaLMTAREhK_CypjGLU,0.0,ChIJqRtrldaLMTAREhK_CypjGLU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112364945767347064470"">A Google User</a>'], 'photo_reference': 'AUGGfZlnbLOD7MxsLslK6nX6__evNoExv_ZFNtIRQCQryf5c1wMsxtBS16vGc5P5qK1jTbxkcjhExtZB42UYkc9cYV7HgNFhiNAPL-Xzt6U0ROuR3XfQmUuXe7OP19_cPIvaOnsrEOpGVmpTWJWjdn45f3D5lLU7U22f5mQhkwf9-Zd7A9Zh', 'width': 3000}]","{'compound_code': 'Q4GP+GP Tangga Batu, Simalungun Regency, North Sumatra, Indonesia', 'global_code': '6MJXQ4GP+GP'}",https://www.google.com/maps/place/?q=place_id:ChIJqRtrldaLMTAREhK_CypjGLU
OPERATIONAL,"RVMV+HPH, Sidamanik, Simalungun Regency, North Sumatra 21171, Indonesia","{'location': {'lat': 2.8339125, 'lng': 98.8943779}, 'viewport': {'northeast': {'lat': 2.835247179892723, 'lng': 98.89573632989271}, 'southwest': {'lat': 2.832547520107278, 'lng': 98.89303667010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BAH SIHILON,ChIJD9v-HtaXMTARO9yL8IOiRO4,0.0,ChIJD9v-HtaXMTARO9yL8IOiRO4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJD9v-HtaXMTARO9yL8IOiRO4
OPERATIONAL,"2568+3JX, Unnamed Road, Silulu, Kec. Gn. Malela, Kabupaten Simalungun, Sumatera Utara 21174, Indonesia","{'location': {'lat': 3.0102433, 'lng': 99.16661169999999}, 'viewport': {'northeast': {'lat': 3.011584979892723, 'lng': 99.16793822989274}, 'southwest': {'lat': 3.008885320107278, 'lng': 99.16523857010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Tunggul Naga,ChIJBzrkgs-BMTARg32TkVnNzUk,4.7,ChIJBzrkgs-BMTARg32TkVnNzUk,"['tourist_attraction', 'point_of_interest', 'establishment']",13,{'open_now': True},"[{'height': 867, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108001326493380332348"">Sri Handayani Saragih</a>'], 'photo_reference': 'AUGGfZnzIE2nMJrz8TPuCTBN_bU_xZIc8YZ993-RQ95T3Hja-XA3EEpNuA5n4-HkisLQTAAwCxzrxkFQyHv0NESXegW1g2e8FdeFU_22Md5gglgfluwvzxXHlMh2yh98FWaZ5dggDxeBPIMtCkKvgAtLeMq-dnvdTZ-56ddA7kCLgvzpzBvt', 'width': 1156}]",,https://www.google.com/maps/place/?q=place_id:ChIJBzrkgs-BMTARg32TkVnNzUk
OPERATIONAL,"P45G+W64, Bosar Nauli, Hatonduhan, Simalungun Regency, North Sumatra 21174, Indonesia","{'location': {'lat': 2.7097558, 'lng': 99.12559}, 'viewport': {'northeast': {'lat': 2.711105629892722, 'lng': 99.12693982989275}, 'southwest': {'lat': 2.708405970107277, 'lng': 99.1242401701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,LADANG MANURUNG,ChIJqS46KgD1MTARzp3GGuqNas4,5.0,ChIJqS46KgD1MTARzp3GGuqNas4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100582903392620326500"">A Google User</a>'], 'photo_reference': 'AUGGfZkO3YMYi6a2oCDndP4Bw5eP35frr3CUeWjWMzuBKivVRSdHajyhnoPUmh3P-jDdFDmI8j58n1vQ0bRZXg6VnfZ-LAMFGINz_vEu_kmsjZS-KB4pSFx6xlu29qOdzHUk9wAcYGbFyATF2Ck6YNETfBTddPNlaYuEa9jlAAJ9ZKJbW_2b', 'width': 2252}]",,https://www.google.com/maps/place/?q=place_id:ChIJqS46KgD1MTARzp3GGuqNas4
OPERATIONAL,"Jl. Asahan No.km 17, RW.5, Senio, Kec. Gn. Malela, Kabupaten Simalungun, Sumatera Utara, Indonesia","{'location': {'lat': 2.9822276, 'lng': 99.1854286}, 'viewport': {'northeast': {'lat': 2.983577379892722, 'lng': 99.18677847989272}, 'southwest': {'lat': 2.980877720107277, 'lng': 99.18407882010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Bangun Land,ChIJn2JR5QKBMTARfNhf8d0MNik,4.8,ChIJn2JR5QKBMTARfNhf8d0MNik,"['tourist_attraction', 'point_of_interest', 'establishment']",4,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109083967667972072114"">rey anipar</a>'], 'photo_reference': 'AUGGfZlrwvUuteg4oDom3s6xC3dVrTR6Lc8AvNaRK8c7n3e4lCzUPw5HA6lQyABt9UK4MUhbEg_w50BI3pMfqWSCbojt1OpYM5tatszBZhex414wYuGs3R5Y0hSx8VLzs5u3CopTcItIglgAfPToTzZPCe7jAhW2C2Jo4ZWFa1AYIn6lGQoE', 'width': 1920}]","{'compound_code': 'X5JP+V5 Senio, Simalungun Regency, North Sumatra, Indonesia', 'global_code': '6MJXX5JP+V5'}",https://www.google.com/maps/place/?q=place_id:ChIJn2JR5QKBMTARfNhf8d0MNik
