business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Tonduhan, Hatonduhan, Simalungun Regency, North Sumatra 21181, Indonesia","{'location': {'lat': 2.8572056, 'lng': 99.223861}, 'viewport': {'northeast': {'lat': 2.861648899999999, 'lng': 99.22487337989273}, 'southwest': {'lat': 2.8557245, 'lng': 99.22217372010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,AIR TERJUN TURUNAN BUHIT (JABEL),"[{'height': 4108, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106008649017076825487"">arini hafsari</a>'], 'photo_reference': 'AUGGfZk0l9rJm0buCUKOgBOP7SOXEo_pSTTyASU8hDwIqXV6RvCvYtU1KFo2HS_uGx-bKCMYm93y9Hwwuu3DTtIItDZhkbdqkwfXmIiUelvy-rmRGudUC8y4pYNOAAZLG5u_oyqNckeaPclW2l1lOsSeVOBGpjA-I1AWvKIXnPserynBD9MX', 'width': 2311}]",ChIJWQqjOAiKMTARxANCEbrgsqw,"{'compound_code': 'V64F+VG Tonduhan, Simalungun Regency, North Sumatra, Indonesia', 'global_code': '6MJXV64F+VG'}",4.5,ChIJWQqjOAiKMTARxANCEbrgsqw,"['tourist_attraction', 'point_of_interest', 'establishment']",76,,https://www.google.com/maps/place/?q=place_id:ChIJWQqjOAiKMTARxANCEbrgsqw
OPERATIONAL,"X8M4+XH7, Silak Kidir, Huta Bayu Raja, Simalungun Regency, North Sumatra 21182, Indonesia","{'location': {'lat': 2.9849198, 'lng': 99.3064308}, 'viewport': {'northeast': {'lat': 2.986267579892723, 'lng': 99.30774857989273}, 'southwest': {'lat': 2.983567920107278, 'lng': 99.30504892010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Panatapan Huta Rihninggol,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109533140998960580382"">Supra Yetno</a>'], 'photo_reference': 'AUGGfZl7-VGFKYUOOBR7okIEEMm-5IxUs6b14JcAmxa-jgsD6HdBn4N2klWN983Cuy59_FWjoVIySIPnzfh6TVo8wvQruWYdinfgAEtZvqJ3_8-i7F1CM-v1slbnXeZcaJqk95l_RwBSWVzbSDxx99oq2WW1JVXINGsFFG5UO0RQuuNnNlcL', 'width': 3120}]",ChIJnY74G1wtMjARY0yqC0zB5xk,,0.0,ChIJnY74G1wtMjARY0yqC0zB5xk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJnY74G1wtMjARY0yqC0zB5xk
OPERATIONAL,"Parbeokan, Kec. Hatonduhan, Kabupaten Simalungun, Sumatera Utara 21174, Indonesia","{'location': {'lat': 2.7763054, 'lng': 99.13681319999999}, 'viewport': {'northeast': {'lat': 2.777648979892723, 'lng': 99.13812617989272}, 'southwest': {'lat': 2.774949320107278, 'lng': 99.13542652010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GOKMA BASA SITORUS,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112364945767347064470"">A Google User</a>'], 'photo_reference': 'AUGGfZmm9jEI3gkVcTFR6vSMCCiAxtcBM5jUBIEZN93f_idaAdPvnebzVJ4nsminxVOavcdj8tpNSknVnMkKbDNHcXwFkdSVz9ADgmzlLb6Y2x2XM2zOqrTSm0U2Qv9wvG29gPpRUDYOSV8kgmWmM-hySEczpIRZk4VL2z_gNENzX4Y5wNyE', 'width': 3000}]",ChIJqRtrldaLMTAREhK_CypjGLU,"{'compound_code': 'Q4GP+GP Tangga Batu, Simalungun Regency, North Sumatra, Indonesia', 'global_code': '6MJXQ4GP+GP'}",0.0,ChIJqRtrldaLMTAREhK_CypjGLU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJqRtrldaLMTAREhK_CypjGLU
OPERATIONAL,"457P+7WR, Jl. Letda Sujono, L A R A S, Kec. Bandar Huluan, Kabupaten Simalungun, Sumatera Utara 21184, Indonesia","{'location': {'lat': 3.1132296, 'lng': 99.1872612}, 'viewport': {'northeast': {'lat': 3.114603829892722, 'lng': 99.18852552989273}, 'southwest': {'lat': 3.111904170107277, 'lng': 99.1858258701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wak mina,,ChIJiWDPOuB_MTARmDYu5vW74KU,,0.0,ChIJiWDPOuB_MTARmDYu5vW74KU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJiWDPOuB_MTARmDYu5vW74KU
OPERATIONAL,"W7XV+G5Q, Pulo Bayu, Huta Bayu Raja, Simalungun Regency, North Sumatra, Indonesia","{'location': {'lat': 2.9488282, 'lng': 99.2929972}, 'viewport': {'northeast': {'lat': 2.950140879892722, 'lng': 99.29435712989273}, 'southwest': {'lat': 2.947441220107277, 'lng': 99.29165747010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Tolumboru - Marihat Mayang,,ChIJa5hnP5gvMjARIzlYhupW9Z8,,0.0,ChIJa5hnP5gvMjARIzlYhupW9Z8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJa5hnP5gvMjARIzlYhupW9Z8
OPERATIONAL,"V6CM+HWV, Bayu Bagasan, Tanah Jawa, Simalungun Regency, North Sumatra 21181, Indonesia","{'location': {'lat': 2.871499, 'lng': 99.23480780000001}, 'viewport': {'northeast': {'lat': 2.872869029892723, 'lng': 99.23615622989273}, 'southwest': {'lat': 2.870169370107278, 'lng': 99.2334565701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hurung Bayu,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112313409304771108524"">Freddy Manurung</a>'], 'photo_reference': 'AUGGfZmtqYR9SvSXpNHn_w7ZByiNM2w4lpqUR8p-JIHjpqorwVHXFv_XdFtCSVNu9-zCg8Zz0RxFOPZ1JxtqoZz2z22P2-X7RwWXdn0rQZuwy1RSAml0Olep7AKg1-YuJsy6M42vp1fabRlM8pNaoUKstYAoiaS1VeEsQXpTWOIqLcr3tx9e', 'width': 3096}]",ChIJlYK1z9EnMjARD41scKdGdMA,,0.0,ChIJlYK1z9EnMjARD41scKdGdMA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJlYK1z9EnMjARD41scKdGdMA
OPERATIONAL,"48QC+MG2, Dolok Sinumbah, Huta Bayu Raja, Simalungun Regency, North Sumatra 21184, Indonesia","{'location': {'lat': 3.1391476, 'lng': 99.321259}, 'viewport': {'northeast': {'lat': 3.140528879892722, 'lng': 99.32261747989273}, 'southwest': {'lat': 3.137829220107278, 'lng': 99.31991782010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KOLAM FILADELFIA,,ChIJ2xDrAbzRMzARifMoScrCmwE,,5.0,ChIJ2xDrAbzRMzARifMoScrCmwE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJ2xDrAbzRMzARifMoScrCmwE
OPERATIONAL,"V64Q+3W6, Bayu Bagasan, Tanah Jawa, Simalungun Regency, North Sumatra 21181, Indonesia","{'location': {'lat': 2.855165, 'lng': 99.2397606}, 'viewport': {'northeast': {'lat': 2.856410279892722, 'lng': 99.24095607989273}, 'southwest': {'lat': 2.853710620107277, 'lng': 99.23825642010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,air terjun katasa,,ChIJ1Xy4awAnMjARS73GZC9oekk,,0.0,ChIJ1Xy4awAnMjARS73GZC9oekk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ1Xy4awAnMjARS73GZC9oekk
OPERATIONAL,"34RR+XP5, huta songal Nagori, Bah Tobu, Kec. Dolok Batu Nanggar, Kabupaten Simalungun, Sumatera Utara 21155, Indonesia","{'location': {'lat': 3.0923861, 'lng': 99.14185950000001}, 'viewport': {'northeast': {'lat': 3.093284179892722, 'lng': 99.14394960000001}, 'southwest': {'lat': 3.090584520107278, 'lng': 99.1411628}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Huta Songal Nagori Bahtobu, Serbalawan Kab. Simalungun","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109151849179851564136"">A Google User</a>'], 'photo_reference': 'AUGGfZmR1l8FwX9c9hPir-HEEnTUwzxXSe7DxvpLkYAO90Eh0SkJkttC1ttq3ZwUxIv2Y35qDdP1r-C7FyJKfh3P3SVrNGjTMLAUuid4YpukpBt7OpXBMnB99C2Vj9TDPT-mR7SA5cJoRQQmqcPwOTcVqx00vJiQxr0TNUetncemPPD3XNQR', 'width': 4160}]",ChIJJX96ubd_MTARAwDDjfXXrdE,,3.9,ChIJJX96ubd_MTARAwDDjfXXrdE,"['tourist_attraction', 'point_of_interest', 'establishment']",38,,https://www.google.com/maps/place/?q=place_id:ChIJJX96ubd_MTARAwDDjfXXrdE
OPERATIONAL,"RVMV+HPH, Sidamanik, Simalungun Regency, North Sumatra 21171, Indonesia","{'location': {'lat': 2.8339125, 'lng': 98.8943779}, 'viewport': {'northeast': {'lat': 2.835247179892723, 'lng': 98.89573632989271}, 'southwest': {'lat': 2.832547520107278, 'lng': 98.89303667010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BAH SIHILON,,ChIJD9v-HtaXMTARO9yL8IOiRO4,,0.0,ChIJD9v-HtaXMTARO9yL8IOiRO4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJD9v-HtaXMTARO9yL8IOiRO4
