business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"GWVV+JG, Congko, Mario Riwawo, Soppeng Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.4559054, 'lng': 119.9437972}, 'viewport': {'northeast': {'lat': -4.454544320107278, 'lng': 119.9451531298927}, 'southwest': {'lat': -4.457243979892722, 'lng': 119.9424534701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampiri,ChIJbQo_DQAdvi0Rx3ThWGE_uHI,0.0,ChIJbQo_DQAdvi0Rx3ThWGE_uHI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJbQo_DQAdvi0Rx3ThWGE_uHI
OPERATIONAL,"H2G2+7MP, Mariorilau, Mario Riwawo, Soppeng Regency, South Sulawesi 90861, Indonesia","{'location': {'lat': -4.424606799999999, 'lng': 120.0021527}, 'viewport': {'northeast': {'lat': -4.423221420107277, 'lng': 120.0035128298927}, 'southwest': {'lat': -4.425921079892721, 'lng': 120.0008131701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Permandian Bujung Lompoe,ChIJO299KAADvi0RHclTmQagBDs,4.5,ChIJO299KAADvi0RHclTmQagBDs,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 6944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101589056540782632399"">Muhammad Arief</a>'], 'photo_reference': 'AUGGfZlNOTc3f8AMdoruPFydJQ6evn0f6Pmb4_RAfbCZ38RfgNqrDFVmmGpGhfiQgizaVNSY_9A-vLOtX3Yw84Cmcuo7lu11CB_FXA4svn4Re8UUNOOjnUdvrCBRDMtwyvrF1u2NifTpXZJ7UYWPYCQNY3OcefipQQpBMWKEYUqVEWwGwtc', 'width': 9248}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJO299KAADvi0RHclTmQagBDs
OPERATIONAL,"FRR3+474, Gattareng Toa, Mario Riwawo, Soppeng Regency, South Sulawesi 90862, Indonesia","{'location': {'lat': -4.509727499999999, 'lng': 119.8031945}, 'viewport': {'northeast': {'lat': -4.508527070107277, 'lng': 119.8044432798927}, 'southwest': {'lat': -4.511226729892721, 'lng': 119.8017436201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Permandian Lereng Hijau Bulu Dua,ChIJn3YGCWUYvi0Rtt1qKNSetmY,4.3,ChIJn3YGCWUYvi0Rtt1qKNSetmY,"['tourist_attraction', 'point_of_interest', 'establishment']",824,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104608170892113885471"">Andi Aqbal</a>'], 'photo_reference': 'AUGGfZn8LN7f2TxcimweuAI6n29M1khkMv9M_Oy3dlh9vZs564U-kHy66jTP9c8dBnthbVZwNVcjwA8ur-A2DprX1oHMCqxF9ZuJFJcavldsoLHqdxh5hfitGtN7HQQoRQ1ICmvSyDM6VHecBEkEQwVwrc8qAZh9_g5eaJfh92XTZTf-ICYJ', 'width': 4624}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJn3YGCWUYvi0Rtt1qKNSetmY
OPERATIONAL,"G2VJ+99, Mariorilau, Mario Riwawo, Soppeng Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.4565613, 'lng': 120.0308751}, 'viewport': {'northeast': {'lat': -4.454766920107278, 'lng': 120.0316947}, 'southwest': {'lat': -4.457466579892722, 'lng': 120.0284163}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Permandian bakunge,ChIJSxpZdQAFvi0R8WpZOrLaPxE,0.0,ChIJSxpZdQAFvi0R8WpZOrLaPxE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJSxpZdQAFvi0R8WpZOrLaPxE
OPERATIONAL,"Jl. Poros Maros - Soppeng No.1, Labessi, Kec. Mario Riwawo, Kabupaten Soppeng, Sulawesi Selatan 90862, Indonesia","{'location': {'lat': -4.4440044, 'lng': 119.9552324}, 'viewport': {'northeast': {'lat': -4.442660320107279, 'lng': 119.9566011298927}, 'southwest': {'lat': -4.445359979892722, 'lng': 119.9539014701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah andhy,ChIJ-bKki9Edvi0RocHsMst2Fp0,3.3,ChIJ-bKki9Edvi0RocHsMst2Fp0,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 732, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118416734251343122502"">A Google User</a>'], 'photo_reference': 'AUGGfZm-IBppJVMg3bjQEQEOS9kmVTOS89JV130A9NaLYcSwUCsjP9WlmXuB_OO9JupN1mj1OCpH1KnJYnZZF5C6Z-4kr3e1EbpfnBCyOfAfocpNZQ2XFGBTfpmYW6XIotXAfq7MS0Bq_4adTL8oM_SSDLXLMzsYhzfJkbPtpoMwy7IyYxDj', 'width': 732}]",,"{'compound_code': 'HX44+94 Labessi, Soppeng Regency, South Sulawesi, Indonesia', 'global_code': '6P7XHX44+94'}",,https://www.google.com/maps/place/?q=place_id:ChIJ-bKki9Edvi0RocHsMst2Fp0
OPERATIONAL,"G28W+PXX, Barae, Mario Riwawo, Soppeng Regency, South Sulawesi 90862, Indonesia","{'location': {'lat': -4.483131, 'lng': 120.0474696}, 'viewport': {'northeast': {'lat': -4.482110470107278, 'lng': 120.05165955}, 'southwest': {'lat': -4.484810129892722, 'lng': 120.04607295}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ladenring Waterfall,ChIJ3ZWfazcEvi0RA-YmQAR0l-s,5.0,ChIJ3ZWfazcEvi0RA-YmQAR0l-s,"['tourist_attraction', 'point_of_interest', 'establishment']",5,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110454858127338275199"">Mardi Anto</a>'], 'photo_reference': 'AUGGfZkwBwtarvN5n2ZqRarZdNAp0i54SDP6m6iF8bzmzca4xZOURkQPlxSMoZpQO6T1bKPsJ6-MzPdxqh7xtEE7Ur0jaAqOj78rUg2DDwH4xDvws0xYDzGtSOsV06duq4oAYzem-N5V8RnyPWEYQ0KJNFbIFEimsVY2hB3RUTXH0Bk-YDEX', 'width': 4096}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ3ZWfazcEvi0RA-YmQAR0l-s
OPERATIONAL,"G244+3J, Soga, Mario Riwawo, Soppeng Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.4948641, 'lng': 120.0065854}, 'viewport': {'northeast': {'lat': -4.488465400000001, 'lng': 120.0074805798927}, 'southwest': {'lat': -4.496997, 'lng': 120.0047809201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tebing cikke'e,ChIJrbmG7UQFvi0RD9kdachvo4A,5.0,ChIJrbmG7UQFvi0RD9kdachvo4A,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112217017419634730320"">A Google User</a>'], 'photo_reference': 'AUGGfZm83DSVGYBizXIY9Zx88ns8KHNuuyY1kAYsIISgj44OFCfvdv1BqHHFlgGdziskUIizNcKXhs2P2FaTj_z9ynHz1MFquT0mcu1SIoFsujRLb0wb3Yk_7TvwJEEJz5CA0G8FFoYAW5tbJZI5qQcsrN-r_FNQY1HJGrKsrHuz-aq-H5Nm', 'width': 4000}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJrbmG7UQFvi0RD9kdachvo4A
OPERATIONAL,"HW66+H5W, Timusu, Liliriaja, Soppeng Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.438507299999999, 'lng': 119.9104436}, 'viewport': {'northeast': {'lat': -4.434127900000001, 'lng': 119.9117161798927}, 'southwest': {'lat': -4.439967099999999, 'lng': 119.9090165201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kaluku rakko,ChIJg2dWSAAdvi0Rv1yg5iNvwzo,0.0,ChIJg2dWSAAdvi0Rv1yg5iNvwzo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJg2dWSAAdvi0Rv1yg5iNvwzo
OPERATIONAL,"G244+3J, Soga, Mario Riwawo, Soppeng Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.4936574, 'lng': 120.0068335}, 'viewport': {'northeast': {'lat': -4.489068749999999, 'lng': 120.0076046298927}, 'southwest': {'lat': -4.49518695, 'lng': 120.0049049701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak pecari,ChIJLVvZAAAFvi0RX95r65GUPUs,0.0,ChIJLVvZAAAFvi0RX95r65GUPUs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 2312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105935729776516447675"">A Google User</a>'], 'photo_reference': 'AUGGfZmhq0oIt9PaKU76Ca7NrqipWLosD3NadLL2KTGLNzrzOAYkGraZ-QO1yfJtaIF5Y54N4ZqUH5jmDIpjWyOzZgbOFmgvS2nWW4nHF-5zJ-coh7FPfAVixeTJGRHDqant-dF9WMsOXU9jLhcKxST_a9I7FmvOAwxN9piSbOM-Dwe5xGVi', 'width': 1736}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJLVvZAAAFvi0RX95r65GUPUs
OPERATIONAL,"HW66+H5W, Timusu, Liliriaja, Soppeng Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.438507299999999, 'lng': 119.9104436}, 'viewport': {'northeast': {'lat': -4.434127900000001, 'lng': 119.9117161798927}, 'southwest': {'lat': -4.439967099999999, 'lng': 119.9090165201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Long wide,ChIJLbwVGAAdvi0RBAwcT0MO4hI,0.0,ChIJLbwVGAAdvi0RBAwcT0MO4hI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJLbwVGAAdvi0RBAwcT0MO4hI
