business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"MR4H+9V5, Kebayanan II, Pendem, Kec. Sumberlawang, Kabupaten Sragen, Jawa Tengah 57272, Indonesia","{'location': {'lat': -7.3450763, 'lng': 110.8295656}, 'viewport': {'northeast': {'lat': -7.343706370107276, 'lng': 110.8309011298927}, 'southwest': {'lat': -7.346406029892719, 'lng': 110.8282014701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The New Kemukus,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105067904382437139855"">Febri Nur R</a>'], 'photo_reference': 'AUGGfZm4q9Vx4Khf8Ksv7-lphMoDm3oCb4J6-8zW2FTzGECCdXIltScTX8Br3rwHF227qAKxSCt3u2BN2hYIk-AdtOeeZ-vujQVhqzpysQBhbMB463seeagDih--aArX9264Y382PmtHi0yK1EnUyallL2Ilt-jlZ1Q-afdB2BpkRg1nsDnj', 'width': 4000}]",ChIJ5a9zL_MJei4RLaidNwGKvz4,4.5,ChIJ5a9zL_MJei4RLaidNwGKvz4,"['tourist_attraction', 'point_of_interest', 'establishment']",77,,,,https://www.google.com/maps/place/?q=place_id:ChIJ5a9zL_MJei4RLaidNwGKvz4
OPERATIONAL,"Jalan Raya Kedungombo Boyolayar, Kebayanan II, Ngargosari, Kec. Sumberlawang, Kabupaten Sragen, Jawa Tengah 57272, Indonesia","{'location': {'lat': -7.2676909, 'lng': 110.8399631}, 'viewport': {'northeast': {'lat': -7.266289770107279, 'lng': 110.8412218798927}, 'southwest': {'lat': -7.268989429892723, 'lng': 110.8385222201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata boyolayar,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100845228656754371602"">Irfan_Endrie KJ</a>'], 'photo_reference': 'AUGGfZkSrpS_ckKp57vMP9_Tqkw23CEgO--KcIwAFWaO3XNUO8JG5xj9zeF--Q-q2Ua19XAb5ngyo_VdGfqFJt6gK0wBiGA4bNJsJTAJ6vfzZ_P5bTyPc2Ras_LFrNJZND-9Lftg1E36H-yxsO5VwXwqfRtyhVrklS1aUc7jYl5H4pQV1t5K', 'width': 3120}]",ChIJbYiR826ncC4RfP1FTrWZalY,4.2,ChIJbYiR826ncC4RfP1FTrWZalY,"['tourist_attraction', 'point_of_interest', 'establishment']",305,{'open_now': True},"{'compound_code': 'PRJQ+WX Ngargosari, Sragen Regency, Central Java, Indonesia', 'global_code': '6P4GPRJQ+WX'}",,https://www.google.com/maps/place/?q=place_id:ChIJbYiR826ncC4RfP1FTrWZalY
OPERATIONAL,"Keduguter RT 02, Kebayanan II, Pendem, Kec. Sumberlawang, Kabupaten Sragen, Jawa Tengah 57272, Indonesia","{'location': {'lat': -7.342482, 'lng': 110.831304}, 'viewport': {'northeast': {'lat': -7.341126320107279, 'lng': 110.8326213298927}, 'southwest': {'lat': -7.343825979892722, 'lng': 110.8299216701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sendang Ontrowulan Gunung Kemukus,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103797296455515042421"">A Google User</a>'], 'photo_reference': 'AUGGfZksZk_bqW83-UAoQ6ja3YptMD_WjB0T8iUnltSErjSekkpbnlBvi5DFcJMocGJmQDhLbP4KvRcwIILZFCnfGcCASNoABKcbEuDvHDtfskcoNMuOfixuVzSvqWY0vZNslDjZX2uKTdyqvn-1Dby0SU70vp-h5wttoOqqHmSLm2CGkwhS', 'width': 3840}]",ChIJzTarHOkJei4RYQhi0WxaIVs,4.9,ChIJzTarHOkJei4RYQhi0WxaIVs,"['tourist_attraction', 'point_of_interest', 'establishment']",28,{'open_now': True},"{'compound_code': 'MR5J+2G Pendem, Sragen Regency, Central Java, Indonesia', 'global_code': '6P4GMR5J+2G'}",,https://www.google.com/maps/place/?q=place_id:ChIJzTarHOkJei4RYQhi0WxaIVs
OPERATIONAL,"MR4J+64J, Jl. Gn. Kemukus, Kebayanan II, Pendem, Kec. Sumberlawang, Kabupaten Sragen, Jawa Tengah 57272, Indonesia","{'location': {'lat': -7.3444242, 'lng': 110.8302774}, 'viewport': {'northeast': {'lat': -7.343047770107279, 'lng': 110.8316105798927}, 'southwest': {'lat': -7.345747429892723, 'lng': 110.8289109201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata kemukus,"[{'height': 2336, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111770877135368012106"">Arif Nasrullah</a>'], 'photo_reference': 'AUGGfZkX4LlLRwTdsW172YZnJcqi5gMKn3t80c9QKwTC7sdTcP1dWLv3zXJ1ZPFJPgVZ9F97DurRpP0ZopWAhPAsVtbwmda0D8lfoER8CVlzkFZSpy5BBfn2N2IHuP5KjxHuWdJnsqzuKZh8U6GPWdPz_nDQAfz6qhsh4r3CBs2Ph-W7eXuF', 'width': 4160}]",ChIJDdUp4xQJei4RVXBzhUj3Aco,4.0,ChIJDdUp4xQJei4RVXBzhUj3Aco,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,,https://www.google.com/maps/place/?q=place_id:ChIJDdUp4xQJei4RVXBzhUj3Aco
OPERATIONAL,"Soko, Kebayanan II, Pendem, Kec. Sumberlawang, Kabupaten Sragen, Jawa Tengah 57276, Indonesia","{'location': {'lat': -7.3437417, 'lng': 110.8294106}, 'viewport': {'northeast': {'lat': -7.342446370107279, 'lng': 110.8305890298927}, 'southwest': {'lat': -7.345146029892723, 'lng': 110.8278893701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung Kemukus,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110209671338641293938"">Freedom Solossa</a>'], 'photo_reference': 'AUGGfZlbz-g3_zzydmvMH6YSKT0PID9Fdvf_tNmTwLudYZe1jsA3GgzSadk_tYdgsVM-X-BkQT0DhheGYkqzViwSh12_0bd6VZk-GfkpkRErSEolyrdkJetMDurMlCKcATMVcrBLzbV6JRZ1gp_KqzN0XeQgrHGgmz1VaXx8su0HIX9zJxx3', 'width': 4624}]",ChIJw3jWVkAJei4RF97m2DtzeDw,4.2,ChIJw3jWVkAJei4RF97m2DtzeDw,"['tourist_attraction', 'point_of_interest', 'establishment']",2495,{'open_now': True},"{'compound_code': 'MR4H+GQ Pendem, Sragen Regency, Central Java, Indonesia', 'global_code': '6P4GMR4H+GQ'}",,https://www.google.com/maps/place/?q=place_id:ChIJw3jWVkAJei4RF97m2DtzeDw
OPERATIONAL,"PV85+GCR, Jl. Sumberlawang - Kedungombo, Kebayanan II, Ngargosari, Kec. Sumberlawang, Kabupaten Sragen, Jawa Tengah 57272, Indonesia","{'location': {'lat': -7.283649899999999, 'lng': 110.8585256}, 'viewport': {'northeast': {'lat': -7.282357070107278, 'lng': 110.8599115798927}, 'southwest': {'lat': -7.285056729892721, 'lng': 110.8572119201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ss,,ChIJyWyuDwAJei4R-1BHT4JxH0w,0.0,ChIJyWyuDwAJei4R-1BHT4JxH0w,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJyWyuDwAJei4R-1BHT4JxH0w
OPERATIONAL,"MVVJ+GC3, Kebayanan III, Kacangan, Kec. Sumberlawang, Kabupaten Sragen, Jawa Tengah, Indonesia","{'location': {'lat': -7.3068151, 'lng': 110.881209}, 'viewport': {'northeast': {'lat': -7.305425070107278, 'lng': 110.8825499798927}, 'southwest': {'lat': -7.308124729892722, 'lng': 110.8798503201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,FRUTASS,,ChIJ0cGI4Z0Jei4RgaPswUQEfaE,0.0,ChIJ0cGI4Z0Jei4RgaPswUQEfaE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0cGI4Z0Jei4RgaPswUQEfaE
OPERATIONAL,"PVH3+P5, Kebayanan II, Ngargosari, Kec. Sumberlawang, Kabupaten Sragen, Jawa Tengah, Indonesia","{'location': {'lat': -7.270675100000001, 'lng': 110.852944}, 'viewport': {'northeast': {'lat': -7.269860850000001, 'lng': 110.8560604}, 'southwest': {'lat': -7.273117849999998, 'lng': 110.8519052}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot Rinjani,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114239459247054854529"">Feri S</a>'], 'photo_reference': 'AUGGfZkn3DU3F9tYJJGCVIgx-6qidCB3ok8YaDFSLEioVt54clSdh3skoCeaQQJQC2Ay25xXd20z5Td6xl_fWdnqUsHqIC-Nmq-qfChTIW4jkrwf7T9b598gQc0q3xGvzYwQs6F0I2I0n-Ha1g6wCIJtbkLUOhSRwz07b2ljFOM22FUGyjkD', 'width': 3472}]",ChIJP6jZPpencC4RFXe6hQ2nWsQ,5.0,ChIJP6jZPpencC4RFXe6hQ2nWsQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJP6jZPpencC4RFXe6hQ2nWsQ
OPERATIONAL,"MR4H+9HV, Kebayanan II, Pendem, Kec. Sumberlawang, Kabupaten Sragen, Jawa Tengah 57272, Indonesia","{'location': {'lat': -7.3435106, 'lng': 110.8294274}, 'viewport': {'northeast': {'lat': -7.342627249999999, 'lng': 110.8306158298927}, 'southwest': {'lat': -7.34616065, 'lng': 110.8279161701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Makam Pangeran Samodra,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108597166281955526084"">ikhsanul khoiri</a>'], 'photo_reference': 'AUGGfZkF7NoSghrbhtrrvYEYdOXlJuCYcNQA9Vx3xFDb2t9U3qKWgyK4kzGwFlUHGjijvzjEFrRSVRCsjC0ZmVQG6XUK2mXUIcUvZaaN_VTtCWukhH7fh68pWN-7p7bmQU1pGvtU6KQmHvzf3LDpYBstdt_VEjZL8ddv04MQ5bzzS9c09TVt', 'width': 1920}]",ChIJ9Ql6eesJei4R4LvePigS-d4,4.5,ChIJ9Ql6eesJei4R4LvePigS-d4,"['tourist_attraction', 'point_of_interest', 'establishment']",19,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9Ql6eesJei4R4LvePigS-d4
OPERATIONAL,"MRVR+QQ6, Kebayanan II, Ngargotirto, Kec. Sumberlawang, Kabupaten Sragen, Jawa Tengah, Indonesia","{'location': {'lat': -7.305598, 'lng': 110.8418758}, 'viewport': {'northeast': {'lat': -7.304836420107276, 'lng': 110.8434458298927}, 'southwest': {'lat': -7.30753607989272, 'lng': 110.8407461701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot MuTing,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113875392527440377823"">A Google User</a>'], 'photo_reference': 'AUGGfZmcluHoOb0SwLNwybZuF68KW5Vw4mVcI-DK-rs13IziTI40Cw195LYuo1HiIyN6uyWw0D8ZJD-bOUKpOTcp3_mXbCVcVQfV0aWTlOEcLLFLeS4uF4DXwnBNar13IbsjVWUoGY7xvGHoKewgZdkpJAZlNIl62XDRRWPYrMcnYOB6iYRc', 'width': 3264}]",ChIJceQuAAAJei4RoSCUmRZkSF8,4.5,ChIJceQuAAAJei4RoSCUmRZkSF8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJceQuAAAJei4RoSCUmRZkSF8
