business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,plus_code,opening_hours,permanently_closed,url
OPERATIONAL,"FMG9+VV9, Gg. Mangga, Kalijati Bar., Kec. Kalijati, Kabupaten Subang, Jawa Barat 41271, Indonesia","{'location': {'lat': -6.52283, 'lng': 107.6697432}, 'viewport': {'northeast': {'lat': -6.521476570107279, 'lng': 107.6710568798927}, 'southwest': {'lat': -6.524176229892722, 'lng': 107.6683572201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114782741776380715435"">A Google User</a>'], 'photo_reference': 'AUGGfZmwac9CtPsKL927-EYF46xvvzfiWZCYepUHKwddjJicDL6kNR91LKhu39WjfiWerSoRFyOObZeJjcB-0zawRcd3kM3nOex2_Lg1XjiU4bX1GoHkW9TnA7kCHxbsrRL8UYhz_Ayo91hxRIPvNY3Be-xnp1HFaSxvk_OIrOFSm-pwjbPb', 'width': 4160}]",ChIJX7efW0Q9aS4RaFnMBisd5kg,0.0,ChIJX7efW0Q9aS4RaFnMBisd5kg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJX7efW0Q9aS4RaFnMBisd5kg
OPERATIONAL,"FMGG+QF4, West Kalijati, Kalijati, Subang Regency, West Java, Indonesia","{'location': {'lat': -6.52372, 'lng': 107.67639}, 'viewport': {'northeast': {'lat': -6.522371870107277, 'lng': 107.6777612798927}, 'southwest': {'lat': -6.525071529892721, 'lng': 107.6750616201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SITU CIKALIJATI,"[{'height': 2352, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116139515959602947084"">Didin Rukmana</a>'], 'photo_reference': 'AUGGfZkJMPA7ib5nStppmE6n4iqOyVu9jnOmsL5T0a7He9dUvpauaR3NhAeIfbGVTEPpxngLQsgLM4rzRFQwFvfk5wNpqZa8gX0Bhe-iYCarCTmGWPFQkR7hEV0jJ0JeB9EzqzUp2atFZz4CNoVsqk2OHovPJeG8yNGjF9z5JufzRHMnaN5x', 'width': 4160}]",ChIJdbhvQwA9aS4RQCrooEvtZWA,0.0,ChIJdbhvQwA9aS4RQCrooEvtZWA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJdbhvQwA9aS4RQCrooEvtZWA
OPERATIONAL,"GJJR+RVX, Caracas, Kalijati, Subang Regency, West Java, Indonesia","{'location': {'lat': -6.4678928, 'lng': 107.6422488}, 'viewport': {'northeast': {'lat': -6.466646670107277, 'lng': 107.6437213298927}, 'southwest': {'lat': -6.469346329892721, 'lng': 107.6410216701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Syariah,,ChIJOUVgPDUVaS4RvKlHFF3rMrE,5.0,ChIJOUVgPDUVaS4RvKlHFF3rMrE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJOUVgPDUVaS4RvKlHFF3rMrE
OPERATIONAL,"CJQR+FX5, West Tanggulun, Kalijati, Subang Regency, West Java, Indonesia","{'location': {'lat': -6.5613518, 'lng': 107.6424688}, 'viewport': {'northeast': {'lat': -6.560535870107278, 'lng': 107.6438971298927}, 'southwest': {'lat': -6.563235529892721, 'lng': 107.6411974701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aim,,ChIJ1Q61oRQXaS4Ryst_rH-w0xo,0.0,ChIJ1Q61oRQXaS4Ryst_rH-w0xo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1Q61oRQXaS4Ryst_rH-w0xo
OPERATIONAL,"Perumahan Pramanti Griya Sedayu Blok J No 32, Kalijati Bar., Kec. Kalijati, Kabupaten Subang, Jawa Barat 41271, Indonesia","{'location': {'lat': -6.5328567, 'lng': 107.6686667}, 'viewport': {'northeast': {'lat': -6.531549720107278, 'lng': 107.6700421298927}, 'southwest': {'lat': -6.534249379892722, 'lng': 107.6673424701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,POS JAGA SITU CIKALILUBANG,,ChIJf6aBJgAXaS4RErUDzkLR5R8,0.0,ChIJf6aBJgAXaS4RErUDzkLR5R8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'FM89+VF West Kalijati, Subang Regency, West Java, Indonesia', 'global_code': '6P59FM89+VF'}",,,https://www.google.com/maps/place/?q=place_id:ChIJf6aBJgAXaS4RErUDzkLR5R8
OPERATIONAL,"FJ7V+3HQ, West Tanggulun, Kalijati, Subang Regency, West Java, Indonesia","{'location': {'lat': -6.5372955, 'lng': 107.643987}, 'viewport': {'northeast': {'lat': -6.535972970107277, 'lng': 107.6453754798927}, 'southwest': {'lat': -6.538672629892721, 'lng': 107.6426758201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan A RIZKY,,ChIJtRIXSQAXaS4RUVJOfKhnAQc,0.0,ChIJtRIXSQAXaS4RUVJOfKhnAQc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJtRIXSQAXaS4RUVJOfKhnAQc
OPERATIONAL,"Unnamed Road, Jalupang, Kec. Kalijati, Kabupaten Subang, Jawa Barat 41272, Indonesia","{'location': {'lat': -6.5400882, 'lng': 107.5969417}, 'viewport': {'northeast': {'lat': -6.538738370107278, 'lng': 107.5982915298927}, 'southwest': {'lat': -6.541438029892721, 'lng': 107.5955918701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Luhur,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108599222170365282519"">Iin Solihin</a>'], 'photo_reference': 'AUGGfZkyQQX2lZERdD912zPsDWMi_qqGa9jOKSIEpic5o5lP6I5Peo2chc817QtmWKnE_8tucYlW-g8OOHmNLGDRjXvjDsbehzjHSDmgn-U35kn1BoOJ3U_Hgjg_HdxJ9DMINCFZGqe05VIGF7yiqAUCnm9ki1goRct-jAh8JTflyBMYhCCn', 'width': 3000}]",ChIJK1oJVqsXaS4Rw9X1KsiTXRU,4.6,ChIJK1oJVqsXaS4Rw9X1KsiTXRU,"['tourist_attraction', 'point_of_interest', 'establishment']",7,"{'compound_code': 'FH5W+XQ Jalupang, Subang Regency, West Java, Indonesia', 'global_code': '6P59FH5W+XQ'}",{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJK1oJVqsXaS4Rw9X1KsiTXRU
OPERATIONAL,"West Tanggulun, Kalijati, Subang Regency, West Java 41271, Indonesia","{'location': {'lat': -6.5498056, 'lng': 107.6422967}, 'viewport': {'northeast': {'lat': -6.548475370107278, 'lng': 107.6436756798927}, 'southwest': {'lat': -6.551175029892722, 'lng': 107.6409760201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Renang Tirta Jaya,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108416319015015693203"">Kolam Renang Tirta Mulya</a>'], 'photo_reference': 'AUGGfZm9UJCcwbi2HdJU_TtdGdFM1ssYMfV_DniPJJCrZFa0ho_t3MLydcOQUL28Zhd4pBXaHG8fxvHYcGrPTtZ8ujZBq8q1U9UGvPcIDFtR9cI6wxtxURSCOhDTAwOOFfLJ1pLcpIpJPSR_ruJtXR260mRSW1W8oD2YJHnKMKs4xIDmTzP1', 'width': 4000}]",ChIJX9WQqkkWaS4R5TADUueIGbU,3.8,ChIJX9WQqkkWaS4R5TADUueIGbU,"['tourist_attraction', 'point_of_interest', 'establishment']",58,"{'compound_code': 'FJ2R+3W West Tanggulun, Subang Regency, West Java, Indonesia', 'global_code': '6P59FJ2R+3W'}",{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJX9WQqkkWaS4R5TADUueIGbU
CLOSED_TEMPORARILY,"Gg. H. Aan Mas'an Dusun Bina Warga, RT.013/RW.04, Kalijati Tim., Kec. Kalijati, Kabupaten Subang, Jawa Barat 41271, Indonesia","{'location': {'lat': -6.5276358, 'lng': 107.6784904}, 'viewport': {'northeast': {'lat': -6.526297570107278, 'lng': 107.6798699298927}, 'southwest': {'lat': -6.528997229892722, 'lng': 107.6771702701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Villa Koneng Kayu Bajaringan Kalijati Subang,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108739729878619437559"">Galih Albarra</a>'], 'photo_reference': 'AUGGfZmx2nAdtprzktjbVu4SkuSoS9rmthnCiuau1s5eUr3sgsQwyR-UtAqHfFKH8bHKov5Wnap88ryt8ksDSIb6n0jvBjILU1pNVfZMZ1b63yD3ogezOnFJ4zQ0RoOW4LN3S8qHsUxaaH-8CmApD3t3GeYvqA90VyTekoKcsqTIMhnL9m1e', 'width': 1600}]",ChIJFz8oXi09aS4RyNfsxGUpQGc,0.0,ChIJFz8oXi09aS4RyNfsxGUpQGc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'FMCH+W9 East Kalijati, Subang Regency, West Java, Indonesia', 'global_code': '6P59FMCH+W9'}",,True,https://www.google.com/maps/place/?q=place_id:ChIJFz8oXi09aS4RyNfsxGUpQGc
OPERATIONAL,"Jalan Raya Dawuan Subang Kp. Sukaresmi RT. 001/001 Dusun Cikadu, Manyeti, Kec. Dawuan, Kabupaten Subang, Jawa Barat 41272, Indonesia","{'location': {'lat': -6.5427667, 'lng': 107.6951629}, 'viewport': {'northeast': {'lat': -6.541805570107278, 'lng': 107.6959500798927}, 'southwest': {'lat': -6.544505229892722, 'lng': 107.6932504201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situ Bojong Jeruk Desa Manyeti,"[{'height': 2128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117089309503329077135"">Nova nada pratama</a>'], 'photo_reference': 'AUGGfZmmCPWCQIsmMaKqF5lqxBXqx1dOelqAvsRC6kJXsYi8ZBRLAWOkTRRm4IaO3aXJcXyBCIH3zHXB1PH_ArdYZViBnf1wRzhsBBKupkjcHsaZ3XF6yo_KkrtUoAF2yQvkhR25NR2U-8GqODG7wiP0EbE397brh_SauuSF8qy20GglhMoy', 'width': 4608}]",ChIJ81khMcY9aS4RQ4XFogopWEY,4.5,ChIJ81khMcY9aS4RQ4XFogopWEY,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"{'compound_code': 'FM4W+V3 Manyeti, Subang Regency, West Java, Indonesia', 'global_code': '6P59FM4W+V3'}",,,https://www.google.com/maps/place/?q=place_id:ChIJ81khMcY9aS4RQ4XFogopWEY
