business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,opening_hours,url
OPERATIONAL,"P5QC+3FX, Natai Kondang, Permata Kecubung, Sukamara Regency, Central Kalimantan 74173, Indonesia","{'location': {'lat': -2.262259, 'lng': 111.1712303}, 'viewport': {'northeast': {'lat': -2.260909170107277, 'lng': 111.1725801298927}, 'southwest': {'lat': -2.263608829892722, 'lng': 111.1698804701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit harapan,ChIJZ1zUEAABBi4R_gUyfkxMuus,0.0,ChIJZ1zUEAABBi4R_gUyfkxMuus,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJZ1zUEAABBi4R_gUyfkxMuus
OPERATIONAL,"Sp 3, RT.10/RW.02, Bangun Jaya, Kec. Balai Riam, Indonesia","{'location': {'lat': -2.2956019, 'lng': 111.1923135}, 'viewport': {'northeast': {'lat': -2.294261070107277, 'lng': 111.1937218798927}, 'southwest': {'lat': -2.296960729892722, 'lng': 111.1910222201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agro wisata hidroponik,ChIJ6WD4sj6pCC4Rf0ICxXF8oR4,5.0,ChIJ6WD4sj6pCC4Rf0ICxXF8oR4,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113373319492703134894"">A Google User</a>'], 'photo_reference': 'AUGGfZm86Agl02_0mo7UFul6BGdP_L31Ra2jkB9gO1t4-Sjs2XZ0c1v0drBKgwbQdX7r361mlhXnXPE9LdLi6Yhd63hGSXeBYV0HF9WAe9OJk0ajI6sRcx8tc-7QtWFWP2gVy7jOI__C5INku7THh5H5UyNbz5uZhVEQk3ajIsrK4Has_BG0', 'width': 4608}]","{'compound_code': 'P53R+QW Bangun Jaya, Sukamara Regency, Central Kalimantan, Indonesia', 'global_code': '6P9HP53R+QW'}",,https://www.google.com/maps/place/?q=place_id:ChIJ6WD4sj6pCC4Rf0ICxXF8oR4
OPERATIONAL,"P4MV+JG, Nibung Terjun, Permata Kecubung, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.265965, 'lng': 111.143859}, 'viewport': {'northeast': {'lat': -2.264615170107277, 'lng': 111.1452088298927}, 'southwest': {'lat': -2.267314829892722, 'lng': 111.1425091701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Kebonku,ChIJdUlim2gBBi4R5SaGtevEmyU,0.0,ChIJdUlim2gBBi4R5SaGtevEmyU,"['park', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJdUlim2gBBi4R5SaGtevEmyU
OPERATIONAL,"P887+RX, Ajang, Permata Kecubung, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.282884, 'lng': 111.3148928}, 'viewport': {'northeast': {'lat': -2.281557570107278, 'lng': 111.3161014}, 'southwest': {'lat': -2.284257229892722, 'lng': 111.311267}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Tempat Istirahat,ChIJGx1swUsdBi4RuLy5VZHYpw0,0.0,ChIJGx1swUsdBi4RuLy5VZHYpw0,"['park', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJGx1swUsdBi4RuLy5VZHYpw0
OPERATIONAL,"M4XX+9V, Balai Riam, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.3015034, 'lng': 111.1496959}, 'viewport': {'northeast': {'lat': -2.300153570107278, 'lng': 111.1510457298927}, 'southwest': {'lat': -2.302853229892722, 'lng': 111.1483460701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun silingan,ChIJu78f5QGrCC4Rez-HqKLN_Qc,5.0,ChIJu78f5QGrCC4Rez-HqKLN_Qc,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117774314089806665978"">A Google User</a>'], 'photo_reference': 'AUGGfZmtyDldzGySQbna3Og_E1ydGFq91p-lvv_nFgPt3sUoBYTLQ5eTxs-JIXsvbpnUiS1sPZqRsZ-EQTxyGLzhJczweI2_DNJ0Ur46QC32V9XzeYah1k1n3kuTNImNlHo4CqB-aCFqv4Y3aLZ-76f2Dhl6diwJhrQBWj3KEJUQ7l19qI5r', 'width': 4032}]",,,https://www.google.com/maps/place/?q=place_id:ChIJu78f5QGrCC4Rez-HqKLN_Qc
OPERATIONAL,"P8HR+44, Laman Baru, Permata Kecubung, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.2722209, 'lng': 111.3403466}, 'viewport': {'northeast': {'lat': -2.270843370107278, 'lng': 111.34174225}, 'southwest': {'lat': -2.273543029892723, 'lng': 111.33615965}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Menara Pantau Api,ChIJGdtHIHQdBi4Rw7OVdOPRcMM,0.0,ChIJGdtHIHQdBi4Rw7OVdOPRcMM,"['park', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJGdtHIHQdBi4Rw7OVdOPRcMM
OPERATIONAL,"V33X+WGV, Nibung Terjun, Permata Kecubung, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.1451428, 'lng': 111.0987932}, 'viewport': {'northeast': {'lat': -2.139244800000001, 'lng': 111.1002793798927}, 'southwest': {'lat': -2.147108799999999, 'lng': 111.0975797201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,Pondok Nibung Terjun,ChIJUaRzKcQJBi4RfhBbafMTnsY,3.0,ChIJUaRzKcQJBi4RfhBbafMTnsY,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",1.0,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109449004198367449795"">Mustain Romli</a>'], 'photo_reference': 'AUGGfZk2-7Ob7yy68E2MhbVU0YzchEOhYcHlKaurzQ_7wN52pNm4TNCVj62E7CaVDDEwE741KQ-roUYJT4XzBgZydu6V9UgL9MwP8gpai_JW0CV1q6voKdAF8x3hFblPzK2NRmwgL7od1p1FB41s5YCVuRmFugdY3vteF8pGiX1F0u_DmH9o', 'width': 4096}]",,,https://www.google.com/maps/place/?q=place_id:ChIJUaRzKcQJBi4RfhBbafMTnsY
,"Permata Kecubung, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.1946076, 'lng': 111.157699}, 'viewport': {'northeast': {'lat': -2.054348, 'lng': 111.3906801}, 'southwest': {'lat': -2.311958, 'lng': 111.031838}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Permata Kecubung,ChIJv6TOy8oFBi4RO3s0hPPyE1k,,ChIJv6TOy8oFBi4RO3s0hPPyE1k,"['administrative_area_level_3', 'political']",,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113216650755461725124"">A Google User</a>'], 'photo_reference': 'AUGGfZnaFlrJ5nmjio-urVpcNbgU5_PUdMrRXWjYz9Z_tbvNbNdBwkXbN9-v_i81TmSgteW2DYeL2_akqYfvv88-JhZvgpFSFtjzq3LcnA-f7v9STrNik3KnWbPzL51N6qtemtt1G3ZzNeY4qF1y8jWyCAx9_FFoSjdxyH9bGgUdMmp1-Aq4', 'width': 3120}]",,,https://www.google.com/maps/place/?q=place_id:ChIJv6TOy8oFBi4RO3s0hPPyE1k
OPERATIONAL,"H4RW+RG8, Jihing, Balai Riam, Sukamara Regency, Central Kalimantan 74172, Indonesia","{'location': {'lat': -2.40792, 'lng': 111.147368}, 'viewport': {'northeast': {'lat': -2.406483920107277, 'lng': 111.1486747798927}, 'southwest': {'lat': -2.409183579892722, 'lng': 111.1459751201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kantor Pokdarwis Sungai Mapam Desa Jihing,ChIJW5T5T0atCC4RH3pL_N1GvtU,0.0,ChIJW5T5T0atCC4RH3pL_N1GvtU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJW5T5T0atCC4RH3pL_N1GvtU
OPERATIONAL,"M75G+H3F, Sukamulya, Kotawaringin Lama, West Kotawaringin Regency, Central Kalimantan 74172, Indonesia","{'location': {'lat': -2.3419491, 'lng': 111.2762431}, 'viewport': {'northeast': {'lat': -2.340390020107278, 'lng': 111.2775988298927}, 'southwest': {'lat': -2.343089679892723, 'lng': 111.2748991701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Penangkaran Burung Hantu ( Tyto alba ),ChIJ0cx2f0OpCC4RdNfly7Ihlcc,0.0,ChIJ0cx2f0OpCC4RdNfly7Ihlcc,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109480028734979374356"">A Google User</a>'], 'photo_reference': 'AUGGfZmgL-Fu8vzVUlsTwxdtpwyk82oa_SGY-OZvvo7RVoVHLYhraJSjfEsSrdZMgpx-haRaUfpEURmLyT3UmH9pc7nyGwbfXQCntD1fmfVbv1TWPOkT1zRXCThx72NYA_tlUMoD4x_KYwGuQap-bJv5GrVmZQ8bxN08D6gObcX-s6qCb-a8', 'width': 1080}]",,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJ0cx2f0OpCC4RdNfly7Ihlcc
