business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"C83R+P98, Waikelo Sawah, Tema Tana, Kec. Wewewa Tim., Kabupaten Sumba Barat Daya, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.5957201, 'lng': 119.3409631}, 'viewport': {'northeast': {'lat': -9.59439952010728, 'lng': 119.3422969798927}, 'southwest': {'lat': -9.597099179892723, 'lng': 119.3395973201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Waikelo Sawah,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118388653370535455497"">A Google User</a>'], 'photo_reference': 'AUGGfZl4LX0BJNEsXmufCJV57jOIRrqA0Ljirzux6iwxrjKxwefAuc-yFxHYSfM5wYOBUnlk-gYpfInlHHkZNwHa4fnzfiS1LIc0p67nrNBkvP1HpaquHzdiJ1N0VYk1Fr1Vgjzz6p71hRSSUO6_IHmOzLGV1S-YKr5KtyUWCf5ayuYqIino', 'width': 4032}]",ChIJJQ0EoBzeSiwRJb2KH0bZT4c,4.6,ChIJJQ0EoBzeSiwRJb2KH0bZT4c,"['tourist_attraction', 'point_of_interest', 'establishment']",311,,,https://www.google.com/maps/place/?q=place_id:ChIJJQ0EoBzeSiwRJb2KH0bZT4c
OPERATIONAL,"Unnamed Road, Tema Tana, Kec. Wewewa Tim., Kabupaten Sumba Barat Daya, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.5996051, 'lng': 119.3371006}, 'viewport': {'northeast': {'lat': -9.598140170107277, 'lng': 119.3379073298928}, 'southwest': {'lat': -9.60083982989272, 'lng': 119.3352076701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wee Kacura,,"[{'height': 6944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117952781575678935640"">A Google User</a>'], 'photo_reference': 'AUGGfZmVFEbL3tFMld8GCakHuO0wr4xYpcLHd5cd6jOpLE_paWuUNyKTMY_3V7I1bVo6Z6hrO8bW0bLgKFmmRWKcQIRjdrOdrMaN2P8Cm_T7umoqIisradzi2-PbPeg6nmDx4fj4yAa5TldjWIXw-KgAs5ieRo8hZGLPEBFvfRZxFKtD91Oz', 'width': 9248}]",ChIJ49pKdGvfSiwRn5Y1mHVZy0I,4.5,ChIJ49pKdGvfSiwRn5Y1mHVZy0I,"['tourist_attraction', 'point_of_interest', 'establishment']",101,"{'compound_code': 'C82P+5R Tema Tana, Southwest Sumba Regency, East Nusa Tenggara, Indonesia', 'global_code': '6P2XC82P+5R'}",,https://www.google.com/maps/place/?q=place_id:ChIJ49pKdGvfSiwRn5Y1mHVZy0I
OPERATIONAL,"C8Q5+HP, Omba Rade, Central Wewewa, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.5611187, 'lng': 119.3092816}, 'viewport': {'northeast': {'lat': -9.559846120107277, 'lng': 119.3105760798927}, 'southwest': {'lat': -9.562545779892721, 'lng': 119.3078764201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wanno puu mawo,,"[{'height': 957, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104475631413502495250"">A Google User</a>'], 'photo_reference': 'AUGGfZno9qFW-0ByAn8pNUNBjsPAEI8TCvuJKdrEZYjToYcwPTBnsBC28BUToP5u9eUHDQhNI2xgq6sedi14OYHwdAvHVnkQKBUUV9ZdS1cTUmytGAtFfQ5ftgQQwPFMDbYFaZAdOYZgGwO_qDpRy75OJ_lW-2TOAsdaLb6arXCqLfFMtZqD', 'width': 720}]",ChIJgyvzwd3dSiwRcf0lpWanL4o,5.0,ChIJgyvzwd3dSiwRcf0lpWanL4o,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJgyvzwd3dSiwRcf0lpWanL4o
OPERATIONAL,"C9P3+MWQ Gollu Ole, Desa, Weelimbu, Wewewa Timur, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.5632865, 'lng': 119.3548666}, 'viewport': {'northeast': {'lat': -9.562013520107278, 'lng': 119.3562071798927}, 'southwest': {'lat': -9.564713179892722, 'lng': 119.3535075201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gollu Ole,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116878651042613205477"">Julius gonoate</a>'], 'photo_reference': 'AUGGfZl_GTp7D0b92-LLcZEPDP1h18ex7DEnpFzdAFN1CCjU2UYJ1fvziBkHR3KwFFtrK8EHtlJeK5RbwpiBcPIe5MA9XPNofzPSf0WqLG0KtFzs7Sy1Z4WyDKa8xVko41hO-2rzdwxdl8aO1I0HGI8mYU-smA7m-caLAQgAcIr20PPN5ZgQ', 'width': 4160}]",ChIJm-TbzHLfSiwRaapzwu3ceBk,4.0,ChIJm-TbzHLfSiwRaapzwu3ceBk,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJm-TbzHLfSiwRaapzwu3ceBk
OPERATIONAL,"97PX+8VM, Pada Ewata, Wewewa Timur, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6141537, 'lng': 119.2996691}, 'viewport': {'northeast': {'lat': -9.613369120107278, 'lng': 119.3024477}, 'southwest': {'lat': -9.616068779892721, 'lng': 119.2987429}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Ngadulara,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106839434479457928306"">A Google User</a>'], 'photo_reference': 'AUGGfZkgr_eNs5AZI3TW8HQvdM-yN_dltptlnqvXxh75nKhJQTmYLCz2VHZGa2xEmJ3-QBd3xc0qaYl_OOh5NOVWQyJ9r2aLo9P4EMwHP7jfP6DOWsFhsd1x2AhVKl0Q7jmpv1kwP-FitnKs7k89ucaQki1sWftuOCtob8mKFO969Lmw0hQi', 'width': 1280}]",ChIJR3Rod2jnSiwRH8A_kucnJ0k,4.7,ChIJR3Rod2jnSiwRH8A_kucnJ0k,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,https://www.google.com/maps/place/?q=place_id:ChIJR3Rod2jnSiwRH8A_kucnJ0k
OPERATIONAL,"C9C7+VWW, Jln raya puu delo, Mata Pyawu, Indonesia","{'location': {'lat': -9.577761599999999, 'lng': 119.3648333}, 'viewport': {'northeast': {'lat': -9.576351270107278, 'lng': 119.3665193798927}, 'southwest': {'lat': -9.579050929892722, 'lng': 119.3638197201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata wee pauruka,,,ChIJYf3J81rfSiwRi4zQWnwBkj0,5.0,ChIJYf3J81rfSiwRi4zQWnwBkj0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJYf3J81rfSiwRi4zQWnwBkj0
OPERATIONAL,"97FW+FR, Pada Ewata, Wewewa Timur, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6262727, 'lng': 119.2970968}, 'viewport': {'northeast': {'lat': -9.624922870107278, 'lng': 119.2984466298927}, 'southwest': {'lat': -9.627622529892722, 'lng': 119.2957469701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Loko We'e Ra'a,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103747949761907313505"">A Google User</a>'], 'photo_reference': 'AUGGfZlizcdpFMsEM_vcS-EbqgyAFI2lvvdaMAwxWe_mckU8VTE375HUIzdVfYu-r2Qgz2WyBytr1aIdoPHdDRUiQBgvRq6QUBBE-rOjhtAsx9dvS0Fu3uIoAscL7VbVYseXyQ0uhUnvcTM73KQfAxSaJE31Eql1W8y2NDaeqfK2Ux-af6_K', 'width': 3000}]",ChIJmUWVVK7nSiwR0VkT7x7dpFE,3.0,ChIJmUWVVK7nSiwR0VkT7x7dpFE,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJmUWVVK7nSiwR0VkT7x7dpFE
OPERATIONAL,"C725+87, Dikira, Wewewa Timur, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.5991261, 'lng': 119.2581294}, 'viewport': {'northeast': {'lat': -9.597776270107278, 'lng': 119.2594792298927}, 'southwest': {'lat': -9.600475929892722, 'lng': 119.2567795701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung Yawila,,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111429712807651976065"">A Google User</a>'], 'photo_reference': 'AUGGfZneg4eICWQvXGmHAghicZEGQ5voWf9iM_-eBhAqrinOj3wyth032fg5lCpHKLMg3gjY_rWVMpseIQNZMkN9w7GAKx-2Rz11OmdA0pb_28XkKP5waEx-jHSGAeOLSCTqvso7cYqzV9wR-dyujalOurfEnd_ip7rYHCglO6NmcGC8-gB7', 'width': 960}]",ChIJc5jc-6HdSiwRxZjIlHKPSTs,4.2,ChIJc5jc-6HdSiwRxZjIlHKPSTs,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,https://www.google.com/maps/place/?q=place_id:ChIJc5jc-6HdSiwRxZjIlHKPSTs
OPERATIONAL,"C9W8+MGP Mainda Ole, Desa, Letekamouna, Wewewa Timur, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.5532974, 'lng': 119.3663216}, 'viewport': {'northeast': {'lat': -9.55208202010728, 'lng': 119.3676870298927}, 'southwest': {'lat': -9.554781679892724, 'lng': 119.3649873701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kabu Ngaba SHM Yulius Gono Ate,,,ChIJ3bvodF3fSiwR58MEEEhJreo,5.0,ChIJ3bvodF3fSiwR58MEEEhJreo,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJ3bvodF3fSiwR58MEEEhJreo
OPERATIONAL,"98MP+53, Pada Ewata, Wewewa Timur, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.617089499999999, 'lng': 119.3351949}, 'viewport': {'northeast': {'lat': -9.615794120107278, 'lng': 119.3366219798927}, 'southwest': {'lat': -9.618493779892722, 'lng': 119.3339223201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Weekadoppu water pool,,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111865663075801190869"">A Google User</a>'], 'photo_reference': 'AUGGfZmL5mjGRhZW_ktpjiRAOO7TwsqlMBkfH6g10N0C-A10RlFvW4JUJnH0W31vVep0q27pCUA6LdjaR2P-ecuPoV0lyXKPLJBqmYm66WF0_kQhdhyEiNRiHRCS4UOmBctEC__nmnWPN1ttV7cVWzAchiiqTdmeHn6IER-15jcfpK1zoEey', 'width': 2602}]",ChIJDeP_HgDhSiwRpi9k_IJEtKo,5.0,ChIJDeP_HgDhSiwRpi9k_IJEtKo,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJDeP_HgDhSiwRpi9k_IJEtKo
