business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,permanently_closed,url
OPERATIONAL,"M5MF+44J, Prai Salura, Karera, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.3168898, 'lng': 120.1716462}, 'viewport': {'northeast': {'lat': -10.31542997010728, 'lng': 120.1736498298927}, 'southwest': {'lat': -10.31812962989272, 'lng': 120.1709501701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot foto,ChIJ40ivcAAHTCwRe9AEbyaW1Vw,0.0,ChIJ40ivcAAHTCwRe9AEbyaW1Vw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ40ivcAAHTCwRe9AEbyaW1Vw
OPERATIONAL,"R737+747, Nggongi, Karera, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.196831, 'lng': 120.2628111}, 'viewport': {'northeast': {'lat': -10.19548117010728, 'lng': 120.2641609298927}, 'southwest': {'lat': -10.19818082989272, 'lng': 120.2614612701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Pahawura,ChIJ5XscU0kNTCwRWBAIWszgo0g,5.0,ChIJ5XscU0kNTCwRWBAIWszgo0g,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114069435370195992811"">Bonefasius Bapa</a>'], 'photo_reference': 'AUGGfZm0CVwk2ofRNnr745RzPvyCJ_eM-FSlRuegg2fhtH9DKZEE9Oxmxnot0eB2hIh5CHg-YWE0laIMinD3-ydT-FYYStwiozc7q3AQmNXO-ZQnaODTGLwGST2ca8XJMDm-EoXKTqLSBnq1RMTnWe0TOdxZ4YqSw9IejvWhhYuBhwhbsHAw', 'width': 3264}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ5XscU0kNTCwRWBAIWszgo0g
OPERATIONAL,"Q4PV+W4, Praimadita, Karera, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.2127254, 'lng': 120.1427705}, 'viewport': {'northeast': {'lat': -10.21079032010728, 'lng': 120.1435724798927}, 'southwest': {'lat': -10.21348997989272, 'lng': 120.1408728201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hillside Katundu,ChIJ4VWrkUT1SywRhy-u_lr031M,5.0,ChIJ4VWrkUT1SywRhy-u_lr031M,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113916984879001592115"">Yusuf Umbu Damu</a>'], 'photo_reference': 'AUGGfZlb4Ku0_tFv3E3FVnPAu51NyJgPm1SwKCVcv_VxfCkd-Vw_W75RsDKuLTbyDjH5jZf3LWi49f-j9drv3IiUXLFRSEB48EllqfEN0Ihg9ltZb4DPPXRTCU99mYCfr2IlmtMg2BkvOC2Y0R1lZmvLHkNgwlLSQJkQK_qmN9BpFK-DVV0C', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ4VWrkUT1SywRhy-u_lr031M
OPERATIONAL,"M5MF+4X9, Prai Salura, Karera, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.3172065, 'lng': 120.1749862}, 'viewport': {'northeast': {'lat': -10.31586202010728, 'lng': 120.1763139798928}, 'southwest': {'lat': -10.31856167989272, 'lng': 120.1736143201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sumur alam di pulau salura,ChIJMx0vINcHTCwRC3Ff5uN4Pdw,0.0,ChIJMx0vINcHTCwRC3Ff5uN4Pdw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 867, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103353906306562412737"">A Google User</a>'], 'photo_reference': 'AUGGfZn7o3VwhnvbaS6DjROMWSQns_RNBj0s3_t48CrXX7SYasSuuXMMh_Hd4LZk9eHOWZ1vIZvgM3KHsVmJtIWZhXw7b0Eik_S4Cnk8iBuLAHeFF3pxz1UobBg1UxqAhsO7oWtF6xDZ4C8SKoW6m4dnqgSkToULyyiaWDtax4kOwgb9-KWo', 'width': 1156}]",,,https://www.google.com/maps/place/?q=place_id:ChIJMx0vINcHTCwRC3Ff5uN4Pdw
OPERATIONAL,"W9MC+H8C, Karera Jangga, Paberiwai, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.066059, 'lng': 120.370753}, 'viewport': {'northeast': {'lat': -10.06455492010728, 'lng': 120.3719919298927}, 'southwest': {'lat': -10.06725457989272, 'lng': 120.3692922701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Batukarera,ChIJX0uRY9FtTCwR2NXgngKgrdY,3.5,ChIJX0uRY9FtTCwR2NXgngKgrdY,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118020519400841088364"">Subianto Waingapu</a>'], 'photo_reference': 'AUGGfZl3VQSXONTZfu-_kLIuwz_hqjim1wB30UN_Yz3G-ycT3BjDU3mGwIXD3ujDGyK2C5AcN8uhaCYKNHYBUkilCCWsQu3AQVL7C4JqVcVWnXV6GHBTR1UwThANdWQvpsvtiPHHw_7Orz8yGA5qSQfJ4DqXoiNXUOtiOeJDZj9oS3vSqC_j', 'width': 3264}]",,,https://www.google.com/maps/place/?q=place_id:ChIJX0uRY9FtTCwR2NXgngKgrdY
OPERATIONAL,"V92Q+PX, Prau Raming, Ngadu Ngala, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.1481548, 'lng': 120.3899891}, 'viewport': {'northeast': {'lat': -10.14680497010728, 'lng': 120.3913389298927}, 'southwest': {'lat': -10.14950462989272, 'lng': 120.3886392701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun La Pirrik,ChIJe5ARedkTTCwRt52ONH0AmHk,5.0,ChIJe5ARedkTTCwRt52ONH0AmHk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1970, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118020519400841088364"">Subianto Waingapu</a>'], 'photo_reference': 'AUGGfZkcgA05oGYZDBZgEEuOWzyYDmjkohfu_6foUY7ZpklbkqtVkaOjQ7k3x26EAXjuE64spoYK-O5S2YCcvL--3ZIZZvO4OLcbJr4ow_C5DxMAt8NdOeOt-xjy396ywcPo4-YNdA2fMBkwFhdcDymCzVFWWy1-_tCKTbWOANgZwGIYIF3H', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJe5ARedkTTCwRt52ONH0AmHk
OPERATIONAL,"X7CQ+WM, Katikutana, Matawai La Pawu, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0276984, 'lng': 120.2892205}, 'viewport': {'northeast': {'lat': -10.02628937010728, 'lng': 120.2900992298927}, 'southwest': {'lat': -10.02898902989272, 'lng': 120.2873995701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TANARARA SPOT,ChIJoa3PStlxTCwReASuKwpqfXc,0.0,ChIJoa3PStlxTCwReASuKwpqfXc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJoa3PStlxTCwReASuKwpqfXc
OPERATIONAL,"W72X+5MM, Wanggameti, Matawai La Pawu, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0995366, 'lng': 120.2991798}, 'viewport': {'northeast': {'lat': -10.09811677010728, 'lng': 120.3002291798927}, 'southwest': {'lat': -10.10081642989272, 'lng': 120.2975295201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Pahulubandil,ChIJf3eaN79zTCwRDZs03Dy6Ldw,5.0,ChIJf3eaN79zTCwRDZs03Dy6Ldw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118020519400841088364"">Subianto Waingapu</a>'], 'photo_reference': 'AUGGfZk0UnS6KgH2eQYbjZI5FMj50HIE-ftmO1WSXpqcVDXPBWjVWmuQuej8Ts3uKD27I8DuuMLRxJeI0UpVDcTL72wlCxiDdh6ZTDQKd4OCb6-S3HRb8k42DUeD30F36gEpp7cbNEj7CvjC4_W49-OMJpFFHz-IhD7aJWH005Ve1opBEc2L', 'width': 3072}]",,,https://www.google.com/maps/place/?q=place_id:ChIJf3eaN79zTCwRDZs03Dy6Ldw
OPERATIONAL,"X827+XVH, Karipi, Matawai La Pawu, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0475519, 'lng': 120.3147208}, 'viewport': {'northeast': {'lat': -10.04630157010728, 'lng': 120.3160034798927}, 'southwest': {'lat': -10.04900122989272, 'lng': 120.3133038201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang padanjara,ChIJ7wL4WABxTCwRsKP_1d68fZs,0.0,ChIJ7wL4WABxTCwRsKP_1d68fZs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7wL4WABxTCwRsKP_1d68fZs
OPERATIONAL,"X7MV+G9G, Prai Bokul, Matawai La Pawu, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0161995, 'lng': 120.293446}, 'viewport': {'northeast': {'lat': -10.01480517010728, 'lng': 120.2949315798927}, 'southwest': {'lat': -10.01750482989272, 'lng': 120.2922319201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tana Rara,ChIJw5uD5QpxTCwRe8TtUpIRHSY,5.0,ChIJw5uD5QpxTCwRe8TtUpIRHSY,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103760759777383613019"">michael paty</a>'], 'photo_reference': 'AUGGfZlGSKG3sG_K0JsWhi0GbyNUFQDxoNg-GzIGzDjToBbUbzVbkRzarhf1PRaylkrnCpNG1cFXjiwsKz1LeFnADrq25eJmNocKjw2Fb5F_Whm5cT8Y9g9AyRUggUP0LeKEyqiN5JSoRMlMj9nn1lG9mft-NWoJSIVdxejcmVbf-VPW9XA', 'width': 3264}]",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJw5uD5QpxTCwRe8TtUpIRHSY
