business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,photos,plus_code,permanently_closed,url
OPERATIONAL,"X5J6+JH, Waikanabu, Tabundung, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.018445, 'lng': 120.1614622}, 'viewport': {'northeast': {'lat': -10.01709517010728, 'lng': 120.1628120298927}, 'southwest': {'lat': -10.01979482989272, 'lng': 120.1601123701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Patamawai,{'open_now': False},ChIJVWxwYQJ3TCwRz4RCcZAjkkM,0.0,ChIJVWxwYQJ3TCwRz4RCcZAjkkM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJVWxwYQJ3TCwRz4RCcZAjkkM
OPERATIONAL,"Tarimbang, Tabundung, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.9728579, 'lng': 119.9458569}, 'viewport': {'northeast': {'lat': -9.971067920107279, 'lng': 119.9472321798927}, 'southwest': {'lat': -9.973767579892723, 'lng': 119.9445325201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Tarimbang,{'open_now': True},ChIJiyV1ehmbSywRselRwI0tiH4,4.7,ChIJiyV1ehmbSywRselRwI0tiH4,"['tourist_attraction', 'point_of_interest', 'establishment']",153,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105925473887760639961"">Umbu Kapu</a>'], 'photo_reference': 'AUGGfZk5md8yJHjZFaksV9db2cXcdLjj9NNS0AdnQr22-nDSV-n3NJPZlIvxFfU9G95KQfLMDdNqE4JIW0C8sYXqNyIF2JsDST2FOVllbVuq2B06mJFBLlKW-FXwpvmHl4ODf-raOXVjBDbbJlR8PftP-ewEh2AZNXqZ_cWtyVmNS_Gomywg', 'width': 960}]","{'compound_code': '2WGW+V8 Tarimbang, East Sumba Regency, East Nusa Tenggara, Indonesia', 'global_code': '6P2X2WGW+V8'}",,https://www.google.com/maps/place/?q=place_id:ChIJiyV1ehmbSywRselRwI0tiH4
OPERATIONAL,"XXFM+J5P, Pindu Hurani, Tabundung, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0259241, 'lng': 119.9829571}, 'viewport': {'northeast': {'lat': -10.02400567010728, 'lng': 119.9844845298928}, 'southwest': {'lat': -10.02670532989272, 'lng': 119.9817848701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Pantai Pindu Hurani, Tabundung,sumba Timur",{'open_now': True},ChIJJ2rD1PqPSywRJoik04iDe_s,5.0,ChIJJ2rD1PqPSywRJoik04iDe_s,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 453, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108800310989424228519"">Simon renggi kelambani</a>'], 'photo_reference': 'AUGGfZkvsxohIS0c4oxSBVbJyOsheQ-ilGVhxBZyJFf4mPh-73ZoRQewf93JoyOjff1RGqJgBTkVYWhu-wCYFLhx_zLJ-Jc6dnO8FF-UWgcmNF5CcW3jxv6ThwSg9atc8urrBjP48JI_Odrw2T27hdPpb_3koSfJgRCAasOe2afFQY7UyxRe', 'width': 604}]",,,https://www.google.com/maps/place/?q=place_id:ChIJJ2rD1PqPSywRJoik04iDe_s
OPERATIONAL,"34X5+H69, Unnamed Road, Kuki Talu, Kec. Tabundung, Kabupaten Sumba Timur, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.9010929, 'lng': 120.108112}, 'viewport': {'northeast': {'lat': -9.899743070107275, 'lng': 120.1094618298927}, 'southwest': {'lat': -9.90244272989272, 'lng': 120.1067621701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Lapolu Kuki Talu,{'open_now': False},ChIJl2VUwkWBSywRB2gU7HLGLXY,4.5,ChIJl2VUwkWBSywRB2gU7HLGLXY,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103186435363975711973"">Umbu Pandabandjal</a>'], 'photo_reference': 'AUGGfZln5eUdiQ7smP3t1DTg7oV9ZZYA9a7ZVJIOwHwe9cmpkON9U2uDZCQAk6mI1o8TIO566L_HKl9tYj3YVpiZ7kSrGIKnQiOnPDV7rv-LuHRS1_1GKbYMZx7TxH3b0GxwUyFJEj_PyfxpN7riIgyTI7n3vIrGXSts7b8WWUehnSsjfxLY', 'width': 3264}]",,,https://www.google.com/maps/place/?q=place_id:ChIJl2VUwkWBSywRB2gU7HLGLXY
OPERATIONAL,"2255+7R2, Tapil, Tabundung, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.9918611, 'lng': 120.0095127}, 'viewport': {'northeast': {'lat': -9.9903089, 'lng': 120.01304985}, 'southwest': {'lat': -9.9965177, 'lng': 120.00833365}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Laindamuki,,ChIJozlwbw2FSywRP5Svyap_v8U,4.0,ChIJozlwbw2FSywRP5Svyap_v8U,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114298885541644971876"">dani ringu</a>'], 'photo_reference': 'AUGGfZmxpwYYs_GQL9kDhn1oJezayYsUQRnVQ6_HJmL7I70JEawaY9uhR-5v_MBl4hp3FebTZrjr4h586VD3wRUdZpheI9lrUXZBfSw2onFgBqcEpsmkLHEQTNL8TqE-COYP4TMOxYqyZKbSZU7099DZ-Cl_LA180DDis7ssOLhoywDt0o_5', 'width': 4608}]",,,https://www.google.com/maps/place/?q=place_id:ChIJozlwbw2FSywRP5Svyap_v8U
OPERATIONAL,"3XJ7+7GV, Unnamed Road, Tarimbang, Kec. Tabundung, Kabupaten Sumba Timur, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.919268800000001, 'lng': 119.9637971}, 'viewport': {'northeast': {'lat': -9.918068670107276, 'lng': 119.9645269798927}, 'southwest': {'lat': -9.92076832989272, 'lng': 119.9618273201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Air Terjun Kabubul, Bangga Watu",{'open_now': False},ChIJv5b8oHCdSywR844Kvgba3Ag,5.0,ChIJv5b8oHCdSywR844Kvgba3Ag,"['tourist_attraction', 'point_of_interest', 'establishment']",5,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115522458291426323015"">A Google User</a>'], 'photo_reference': 'AUGGfZnc-lj4Wl9fGF-Mxxh92fQ45GCIyZOvY9UsbEk1xD9YIthd5kCuF8rJgbm45JtadYe_-E4WOyiORPuzTzCNPZJ1FJPABks65DGlrK5Tc4ulcyyBN1pfULEWa9BHmaDoYYrxvl_eH2SfpELz4us3bpCIdCoFmkAUMrYXQ-Vlg-pmfTlD', 'width': 4128}]",,,https://www.google.com/maps/place/?q=place_id:ChIJv5b8oHCdSywR844Kvgba3Ag
OPERATIONAL,"Praing Kareha, Tabundung, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0246875, 'lng': 120.0575625}, 'viewport': {'northeast': {'lat': -10.02322242010728, 'lng': 120.0590309298927}, 'southwest': {'lat': -10.02592207989272, 'lng': 120.0563312701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Danau Laputi,{'open_now': False},ChIJex9q3kiPSywRTZcDHckFtns,4.4,ChIJex9q3kiPSywRTZcDHckFtns,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",16,"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106829922519578482130"">A Google User</a>'], 'photo_reference': 'AUGGfZk-xmEgqmuF8PJYfDpvyvXxSJt-r-fRKY9u5mqgVHJl_y7s6ml3BDhCDlIeYWI4vzrwm35AcRvVPuK0adLfgFPdKl-7O5stWEY_96dxjanZ4mfvqF_2Qk4IEzdq5KXQ1s0h4FQJVhr05N_Pfgafyk4X192-y8qKF7AEaNxygX8S07Yv', 'width': 4288}]","{'compound_code': 'X3G5+42 Praing Kareha, East Sumba Regency, East Nusa Tenggara, Indonesia', 'global_code': '5QX2X3G5+42'}",,https://www.google.com/maps/place/?q=place_id:ChIJex9q3kiPSywRTZcDHckFtns
CLOSED_TEMPORARILY,"X2FQ+J8F, Praing Kareha, Tabundung, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0259485, 'lng': 120.0382995}, 'viewport': {'northeast': {'lat': -10.02467802010728, 'lng': 120.0399991798927}, 'southwest': {'lat': -10.02737767989272, 'lng': 120.0372995201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Laingogor,,ChIJG2DY-muPSywRyvZB74JMXWU,2.5,ChIJG2DY-muPSywRyvZB74JMXWU,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,True,https://www.google.com/maps/place/?q=place_id:ChIJG2DY-muPSywRyvZB74JMXWU
CLOSED_TEMPORARILY,"2VRM+R2, Lai Lara, Katala Hamu Lingu, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.9579375, 'lng': 119.8825625}, 'viewport': {'northeast': {'lat': -9.956587670107279, 'lng': 119.8839123298927}, 'southwest': {'lat': -9.959287329892723, 'lng': 119.8812126701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot foto terbagus di tarimbang,,ChIJUwmXcqibSywRmC7rV3ti9Lw,0.0,ChIJUwmXcqibSywRmC7rV3ti9Lw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,True,https://www.google.com/maps/place/?q=place_id:ChIJUwmXcqibSywRmC7rV3ti9Lw
CLOSED_TEMPORARILY,"4V3M+6W, Prai Bakul, Katala Hamu Lingu, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8969495, 'lng': 119.8847594}, 'viewport': {'northeast': {'lat': -9.895681920107277, 'lng': 119.8861882798927}, 'southwest': {'lat': -9.898381579892721, 'lng': 119.8834886201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Kambaru, Desa Praibakul, Kec. Katala Hamu Lingu, Kab. Sumba Timur.",,ChIJt9OBPGOdSywRpNYNoKvABqo,0.0,ChIJt9OBPGOdSywRpNYNoKvABqo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117984631276631032508"">Bram Border</a>'], 'photo_reference': 'AUGGfZksoPaq8Q_vXnbUU_ET2sPTloFh4qpIAuKYSBFfgOKjmNs1Mju381H9NzBAit1r45c0PwImco7YT9FztwvPQAQj1MiHPP7yperYeM8W4fl3PvkeqzxUojgble7duPW1BWW5tbUgnA-a6CxWe-NW-4LYgq1QALwN7yLejK_6GioF_IbC', 'width': 2250}]",,True,https://www.google.com/maps/place/?q=place_id:ChIJt9OBPGOdSywRpNYNoKvABqo
