business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,permanently_closed,url
OPERATIONAL,"X6J8+MC, Perung, Lunyuk, Sumbawa Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -9.0183511, 'lng': 117.2160503}, 'viewport': {'northeast': {'lat': -9.01716657010728, 'lng': 117.21863855}, 'southwest': {'lat': -9.019866229892724, 'lng': 117.21518755}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lunyuk,ChIJG2W3dABjyy0RMaUi2ZNEGqk,0.0,ChIJG2W3dABjyy0RMaUi2ZNEGqk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJG2W3dABjyy0RMaUi2ZNEGqk
OPERATIONAL,"X5GG+HXF, Dusun Emang, Desa, Emang Lestari, Kec. Lunyuk, Kabupaten Sumbawa, Nusa Tenggara Bar. 84373, Indonesia","{'location': {'lat': -9.023563099999999, 'lng': 117.1774146}, 'viewport': {'northeast': {'lat': -9.02178372010728, 'lng': 117.1781253}, 'southwest': {'lat': -9.024483379892724, 'lng': 117.1752825}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Full of Stone beach,ChIJIfcDdYFiyy0RbpaBj9D2Ww4,4.4,ChIJIfcDdYFiyy0RbpaBj9D2Ww4,"['tourist_attraction', 'point_of_interest', 'establishment']",56,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109850184705554313929"">Hardani Anugrah Pratama</a>'], 'photo_reference': 'AUGGfZnKTEfglqnBIn9c1UZjR1DzNrGWIQpwViD_dU6iXl5oHZyDs14ws_m4FcIkZ7xUtz42MU-hg8ZV4ThMnkNC9pigUkzncKoXQ7fgN6hPYegvnfK0Npoc2lQJk4n5Cqkt2PZIOM4h3dWCvibbqPml11AA6jEsH4eC10cPb8l6_ljCg9So', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJIfcDdYFiyy0RbpaBj9D2Ww4
OPERATIONAL,"W5V2+3W2, Pada Suka, Lunyuk, Sumbawa Regency, West Nusa Tenggara 84373, Indonesia","{'location': {'lat': -9.057351299999999, 'lng': 117.1522627}, 'viewport': {'northeast': {'lat': -9.056001470107276, 'lng': 117.1536125298927}, 'southwest': {'lat': -9.05870112989272, 'lng': 117.1509128701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Liang Kewa Lunyuk,ChIJJSkdAeidzC0R5_r6T4Ipcnc,4.1,ChIJJSkdAeidzC0R5_r6T4Ipcnc,"['tourist_attraction', 'point_of_interest', 'establishment']",8,{'open_now': False},"[{'height': 2171, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115961356497600322014"">115961356497600322014</a>'], 'photo_reference': 'AUGGfZk_ox9dvap7_lhjeTVgiUJ3x0XoZKimsuuhx3X9dF8FYlKnqP_h7J7WZZSShIHz_2w9Mxc7FXohcQjctmAmZWj-WaIfmAjv-9_xHcmX4WJAIvv8ARkcFfw9lSxvghfnMiWVnhMdI7hmsjQmU4vikEvWuRDovCcgi4W7uDWdDT--5cpY', 'width': 3862}]",,,https://www.google.com/maps/place/?q=place_id:ChIJJSkdAeidzC0R5_r6T4Ipcnc
OPERATIONAL,"W48P+X7H, Emang Lestari, Lunyuk, Sumbawa Regency, West Nusa Tenggara 84373, Indonesia","{'location': {'lat': -9.082569, 'lng': 117.1357467}, 'viewport': {'northeast': {'lat': -9.081219170107278, 'lng': 117.1370965298927}, 'southwest': {'lat': -9.083918829892722, 'lng': 117.1343968701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Bongkang,ChIJt9W-BGWezC0Rz5ozb4QDsV4,4.6,ChIJt9W-BGWezC0Rz5ozb4QDsV4,"['tourist_attraction', 'point_of_interest', 'establishment']",23,,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111336953616112642486"">A Google User</a>'], 'photo_reference': 'AUGGfZmXBcQ9uKo-rldzPa9gZ0sUe8_DjtabxKePr1RurnzMVCqCk8qlLMDmChGNeZVroq4gwUWNyErjUbK92XHZbKdBY6BDzQuxoyU2A3vy1GQCB5aa5FSLPcYBECRPjm7XIyB63S2FXMgxwlElVDzeMCvQ2Vewg1qy5ndwz0x-0NnP1IjL', 'width': 2048}]",,,https://www.google.com/maps/place/?q=place_id:ChIJt9W-BGWezC0Rz5ozb4QDsV4
OPERATIONAL,"Sampar goal, jalan lingkar selatan, Pada Suka, Kec. Lunyuk, Kabupaten Sumbawa, Nusa Tenggara Bar. 84373, Indonesia","{'location': {'lat': -9.0692614, 'lng': 117.1355784}, 'viewport': {'northeast': {'lat': -9.067666770107278, 'lng': 117.1369538298927}, 'southwest': {'lat': -9.070366429892722, 'lng': 117.1342541701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pantai Selatan Lunyuk Sampar Goal pasir putih batu bongkang,ChIJ05A_SEKdzC0RTF2wIy6B0Tw,0.0,ChIJ05A_SEKdzC0RTF2wIy6B0Tw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},"[{'height': 1040, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104450896439605512992"">A Google User</a>'], 'photo_reference': 'AUGGfZlqp07rOmymXYipLTgdnSsYYoqZ7I6ogPPSDJPNbMNPaYiyk-SdJeAqkpukTrt8FtwHe8sZnm76vfavu4Fp5ghlT0F1oHyOKOjp_Rp5BOMgZfz004v24ITTDNTAlbut7-zAHhk5pxb83nKnE9oyEVhHJnBlT8qeyqtc1yRmKyT36OQ8', 'width': 1080}]","{'compound_code': 'W4JP+76 Pada Suka, Sumbawa Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P2VW4JP+76'}",,https://www.google.com/maps/place/?q=place_id:ChIJ05A_SEKdzC0RTF2wIy6B0Tw
OPERATIONAL,"W47C+8X, Emang Lestari, Lunyuk, Sumbawa Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -9.0866643, 'lng': 117.1224603}, 'viewport': {'northeast': {'lat': -9.085314470107276, 'lng': 117.1238101298927}, 'southwest': {'lat': -9.08801412989272, 'lng': 117.1211104701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Liang kewa,ChIJ3XePeUCfzC0RjUD8rfNCQb0,4.7,ChIJ3XePeUCfzC0RjUD8rfNCQb0,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,"[{'height': 536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111175203202976472804"">A Google User</a>'], 'photo_reference': 'AUGGfZkbM1bNlRLscyCsDx_z9VcHeGJljhsOoOVkWty1tYbPTSRY3LxRwBiwBPXvirmvnZffNaUSUXEkjsU36sC3-_Vtf6hpwE3fMndJiO-xbCvxS8O6_NgjHIoyt49amNv0nXdRiYRp7btFIXRzaSZE-8mBo_G2NW-wPRDCQLoVwratDVP5', 'width': 715}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ3XePeUCfzC0RjUD8rfNCQb0
OPERATIONAL,"X6HF+VG, Perung, Lunyuk, Sumbawa Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -9.020323600000001, 'lng': 117.2238079}, 'viewport': {'northeast': {'lat': -9.018421570107279, 'lng': 117.2254002298927}, 'southwest': {'lat': -9.021121229892723, 'lng': 117.2227005701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PANTAI BMS,ChIJ8XCu039jyy0RUBdq3LlHOv4,4.4,ChIJ8XCu039jyy0RUBdq3LlHOv4,"['tourist_attraction', 'point_of_interest', 'establishment']",7,{'open_now': False},"[{'height': 8160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104261686796879318378"">A Google User</a>'], 'photo_reference': 'AUGGfZl2TjCt3OROazX6xzrmCijGp_Iw7nSLkau8nr1Ni36cOg0_tCyEu4IQUTa-Me9f01JIzTmqW8Eq6xdrEOwzrknyltRQemjB0Aw-UXeWYdWmkII0_LVMFKHtJdbLCr0bmUJ86l4QnmtOAlU0pzfdLMccfVB384gLxPtwYZU0d5DDgMMq', 'width': 6144}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ8XCu039jyy0RUBdq3LlHOv4
OPERATIONAL,"X6MQ+2PR, Perung, Lunyuk, Sumbawa Regency, West Nusa Tenggara 84373, Indonesia","{'location': {'lat': -9.0173921, 'lng': 117.2392518}, 'viewport': {'northeast': {'lat': -9.016044520107277, 'lng': 117.2406923298927}, 'southwest': {'lat': -9.018744179892723, 'lng': 117.2379926701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Line Pak Di,ChIJjfz9BwBjyy0RPqc6Gm5Zp_4,0.0,ChIJjfz9BwBjyy0RPqc6Gm5Zp_4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,,,https://www.google.com/maps/place/?q=place_id:ChIJjfz9BwBjyy0RPqc6Gm5Zp_4
OPERATIONAL,"X6QH+479, Perung, Lunyuk, Sumbawa Regency, West Nusa Tenggara 84373, Indonesia","{'location': {'lat': -9.012214199999999, 'lng': 117.2282245}, 'viewport': {'northeast': {'lat': -9.010642170107277, 'lng': 117.2297789298927}, 'southwest': {'lat': -9.01334182989272, 'lng': 117.2270792701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Gungung sari,ChIJrRJGa0Fjyy0RVDld5Uvcqds,5.0,ChIJrRJGa0Fjyy0RVDld5Uvcqds,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJrRJGa0Fjyy0RVDld5Uvcqds
OPERATIONAL,"X5FF+GG, Pada Suka, Lunyuk, Sumbawa Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -9.026171999999999, 'lng': 117.173776}, 'viewport': {'northeast': {'lat': -9.024806520107278, 'lng': 117.1750937298928}, 'southwest': {'lat': -9.027506179892722, 'lng': 117.1723940701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai wisata petani,ChIJo1VzZnFjyy0RJFUpexsCeVM,4.5,ChIJo1VzZnFjyy0RJFUpexsCeVM,"['tourist_attraction', 'point_of_interest', 'establishment']",10,,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102567356166628101264"">A Google User</a>'], 'photo_reference': 'AUGGfZktS4dIYeTn7X_ybbIy8qHZQz3UQGzfpp2qwUVDmy9JqJtDqKg4LRM0snGqh7EcSuOQpGvLaL2lJFe2rA9K7xILLXj9a6WuKoJ_CrImC0fWizQNbXA2yTXSUC7SPVS3f-UBov8TCL9orJ1cjrfkMJnD7Tj9riiJ-ni96f9agZv-Y7ir', 'width': 3060}]",,,https://www.google.com/maps/place/?q=place_id:ChIJo1VzZnFjyy0RJFUpexsCeVM
