business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"4RFG+F8V, Dusun Babakan, RW.08, Pamulihan, Kec. Pamulihan, Kabupaten Sumedang, Jawa Barat 45365, Indonesia","{'location': {'lat': -6.8762533, 'lng': 107.8258075}, 'viewport': {'northeast': {'lat': -6.874879270107278, 'lng': 107.8271581798927}, 'southwest': {'lat': -6.877578929892722, 'lng': 107.8244585201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kelompok Tani Babakan Situhiang Pamulihan,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111580130354617966218"">A Google User</a>'], 'photo_reference': 'AUGGfZlixAbSjCGenWRHO48GxemHBGqwhMvoeJOa4lQa7W6CwuZkG8FfaLEuLd7Xh5lbImIjf_1bHGh1dHeSQCnNWy8WtIs1scjAP-vmyO6n8bLCD_QeAScTr_UBWh1C2jJP08WNjJZ4E53BYrUd7tygV36AE0SrefVEg8u3ayl1EYNwE2cz', 'width': 4160}]",ChIJEeHDqVbbaC4RK9NbfPd1zbE,5.0,ChIJEeHDqVbbaC4RK9NbfPd1zbE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJEeHDqVbbaC4RK9NbfPd1zbE
OPERATIONAL,"Dusun Babakan Anjun, RT. 3/10, Desa Cilembu, Kecamatan Pamulihan, Cilembu, Kec. Pamulihan, Kabupaten Sumedang, Jawa Barat 45365, Indonesia","{'location': {'lat': -6.9165038, 'lng': 107.8484998}, 'viewport': {'northeast': {'lat': -6.915161020107278, 'lng': 107.8498528298927}, 'southwest': {'lat': -6.917860679892722, 'lng': 107.8471531701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pangjugjugan,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105356727405581645102"">A Google User</a>'], 'photo_reference': 'AUGGfZm8Y-HoI61ePSvTlP412gKIJGhyNql3I-aMCUwGUMmPajrlMcdD48iKDimJpsWEc6SjEUMuu5dkpkL0GkbA8ZvJzsGGISjgKAJ3onBfr7t89sgXe8z87XYJ_sj1SLAMkUT4rYllf3CS_u1wjZhr_dxaE7G9OapYCmZdde_qBEDn0mhe', 'width': 4608}]",ChIJX6RTDK3aaC4RxJxrbszp9no,4.0,ChIJX6RTDK3aaC4RxJxrbszp9no,"['tourist_attraction', 'point_of_interest', 'establishment']",775,"{'compound_code': '3RMX+99 Cilembu, Sumedang Regency, West Java, Indonesia', 'global_code': '6P593RMX+99'}",,https://www.google.com/maps/place/?q=place_id:ChIJX6RTDK3aaC4RxJxrbszp9no
OPERATIONAL,"4V98+MW, Cimarias, Pamulihan, Sumedang Regency, West Java 45365, Indonesia","{'location': {'lat': -6.8807725, 'lng': 107.8672541}, 'viewport': {'northeast': {'lat': -6.877805500000001, 'lng': 107.8680238798927}, 'southwest': {'lat': -6.8817615, 'lng': 107.8653242201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah Panineungan,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117362358434960144996"">heri hoerudin</a>'], 'photo_reference': 'AUGGfZnjjLeH8wsLe8-cts-0XfNb46qjsd65Su_Y_f0E84o79I7JkbN_4POLTuvf4JaYjnneABiB9PvquiCSPnRi_OdxAQHyD3t9ov0hf2sVJ6XGNyzriwF1ATxh3izAJ9HKyxdBh0T98aFMYWhIauYR3h5pFOjvL8pu1rSe_QIaDdF19E0i', 'width': 1920}]",ChIJ_WsT9xXRaC4R8xk3igZlrag,4.0,ChIJ_WsT9xXRaC4R8xk3igZlrag,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJ_WsT9xXRaC4R8xk3igZlrag
OPERATIONAL,"4R2X+6CX, Cigendel, Pamulihan, Sumedang Regency, West Java, Indonesia","{'location': {'lat': -6.899324500000001, 'lng': 107.8486726}, 'viewport': {'northeast': {'lat': -6.897818270107278, 'lng': 107.8501581798927}, 'southwest': {'lat': -6.900517929892722, 'lng': 107.8474585201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,LINGGA FARM,,,ChIJR25spJbbaC4Rx9zKfirpq5Q,0.0,ChIJR25spJbbaC4Rx9zKfirpq5Q,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJR25spJbbaC4Rx9zKfirpq5Q
OPERATIONAL,"Cigendel, Pamulihan, Sumedang Regency, West Java 45365, Indonesia","{'location': {'lat': -6.892061999999999, 'lng': 107.8451872}, 'viewport': {'northeast': {'lat': -6.890710120107277, 'lng': 107.8464745798927}, 'southwest': {'lat': -6.893409779892721, 'lng': 107.8437749201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tepas Tarunduh.,{'open_now': True},,ChIJQb32wqfbaC4RQyT2tnpWzjE,5.0,ChIJQb32wqfbaC4RQyT2tnpWzjE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"{'compound_code': '4R5W+53 Cigendel, Sumedang Regency, West Java, Indonesia', 'global_code': '6P594R5W+53'}",,https://www.google.com/maps/place/?q=place_id:ChIJQb32wqfbaC4RQyT2tnpWzjE
OPERATIONAL,"Kp ciseda 3, RT.01/RW.01, Cimarias, Kec. Pamulihan, Kabupaten Sumedang, Indonesia","{'location': {'lat': -6.901630399999999, 'lng': 107.8664356}, 'viewport': {'northeast': {'lat': -6.900349120107277, 'lng': 107.8678289798927}, 'southwest': {'lat': -6.903048779892721, 'lng': 107.8651293201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Lereng Gunung Kareumbi (ipung sebleng pamungkas),{'open_now': True},"[{'height': 899, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109189703727439364547"">A Google User</a>'], 'photo_reference': 'AUGGfZn1Ie66a3zd6vuw-C0Tqk1BAXJztPzAXyjLZ0rwnstkeOwirbrtrcNwhA901qIk7ndi6n0FdDVhMo3auhXRySQ9GdKppiWeImvqN5C4MYJHfqvxnDOlYVt9or7xSsafIGCZPv9RzagMh41AJ2ivXRlFRCAFqkTufsPI1CjbJaw-rqEK', 'width': 1599}]",ChIJObELPBTRaC4RGixNlDKJ4qA,5.0,ChIJObELPBTRaC4RGixNlDKJ4qA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"{'compound_code': '3VX8+8H Cimarias, Sumedang Regency, West Java, Indonesia', 'global_code': '6P593VX8+8H'}",,https://www.google.com/maps/place/?q=place_id:ChIJObELPBTRaC4RGixNlDKJ4qA
OPERATIONAL,"4RX6+HV8, Sukamaju, Sukawangi, Kec. Pamulihan, Kabupaten Sumedang, Jawa Barat 45365, Indonesia","{'location': {'lat': -6.851483399999999, 'lng': 107.81151}, 'viewport': {'northeast': {'lat': -6.850196670107277, 'lng': 107.8132766298927}, 'southwest': {'lat': -6.852896329892721, 'lng': 107.8105769701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KUBUN H JOFRI SUMEDANG,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112454565362793242020"">milas run</a>'], 'photo_reference': 'AUGGfZmMVsbOmYKCUUYzxaImdaYlJKZ2oqLAbeDwvkz_dwL4C6fmv08UjKRUelpDHQE3D04k7PkJdm3PMoZ5ieb2Wj9O5GcPWiCr-OM0JhaMU4Ku8v6NuRyCVWGTk6fFXUq-zUpyh6Jk4UFSOd-4H96bFWJAsvhH6_pN-5vsWE4bdqsLJjVA', 'width': 1080}]",ChIJoVKL0w_baC4R2WlhZGaTR8M,0.0,ChIJoVKL0w_baC4R2WlhZGaTR8M,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJoVKL0w_baC4R2WlhZGaTR8M
OPERATIONAL,"4RW6+4F, Sukawangi, Pamulihan, Sumedang Regency, West Java 45365, Indonesia","{'location': {'lat': -6.854633499999999, 'lng': 107.8111473}, 'viewport': {'northeast': {'lat': -6.853338970107278, 'lng': 107.8124334798927}, 'southwest': {'lat': -6.856038629892722, 'lng': 107.8097338201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanah Sukawangi,,"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108901107726936366285"">Satria Bakti Mulyawan</a>'], 'photo_reference': 'AUGGfZnKH42eCmZ3dGj4L3Wg-LjPF70NNMo0033fG-m-DNN5VY3WrDCEGH10kX7A93fV6nba5bZ-F2wuGJnpHFM8uWIfmc_Yku4kQ5HjLRWr4f0VV2Fpiuv4f1uoX3FJ3Od3hmKnISr8m3II4K4_aN-DQaKI0QFwrMKcaLQyBK1HJO77Yca4', 'width': 9248}]",ChIJi0LPOgvbaC4RC8HE3lNQWu0,5.0,ChIJi0LPOgvbaC4RC8HE3lNQWu0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJi0LPOgvbaC4RC8HE3lNQWu0
OPERATIONAL,"4V85+WCC, Jl. Nasional 5, Cijeruk, Kec. Pamulihan, Kabupaten Sumedang, Jawa Barat 45365, Indonesia","{'location': {'lat': -6.8826864, 'lng': 107.8585084}, 'viewport': {'northeast': {'lat': -6.881300720107278, 'lng': 107.8598517798927}, 'southwest': {'lat': -6.884000379892722, 'lng': 107.8571521201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cadas Pangeran Sumedang,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100795039220348128341"">Bro Dienz</a>'], 'photo_reference': 'AUGGfZms04D7-viKkHfBSsOgXWBaRBfvYpkttpq4Ou8ng3y22C7htYjhxm-UV-9R2vkljufU6wDVaEbckmtz0Bm8mL1iL-WqVV9ziX1Vgv8Ko06rSdEPwHZbUIEewT56YT97iMWvdM59PzjvHLEEEYOIYLQlTxbyuj9OjDerR-CaaHnzI32E', 'width': 3840}]",ChIJh6Pd8-PRaC4RT7XMpGjIQ98,4.6,ChIJh6Pd8-PRaC4RT7XMpGjIQ98,"['tourist_attraction', 'point_of_interest', 'establishment']",555,,,https://www.google.com/maps/place/?q=place_id:ChIJh6Pd8-PRaC4RT7XMpGjIQ98
OPERATIONAL,"4R2R+QM2, Jl. Cigendel, Cigendel, Kec. Pamulihan, Kabupaten Sumedang, Jawa Barat 45365, Indonesia","{'location': {'lat': -6.8981124, 'lng': 107.8416452}, 'viewport': {'northeast': {'lat': -6.896746020107278, 'lng': 107.8430217798927}, 'southwest': {'lat': -6.899445679892722, 'lng': 107.8403221201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PAMIDANGAN CIGENDEL,{'open_now': False},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114722544921819596384"">A Google User</a>'], 'photo_reference': 'AUGGfZnemvt4ouuotoinLv4LnAV1ef2Gzzr-u1ADRbkyj9AqPI5H-HsVdqidVRwxIJQGjNeR54dJWe7GwZjwg-TxD2HaR-UstnCMMBz-L4sAD0uLSR6tkCwd_B_hGiy7ZcG6ZS8GhzcnUAcneWK1ZYUVKv7hvOlh9EsK2irzKFP9y_-BFv3b', 'width': 4096}]",ChIJSa-BPwjbaC4RJ_WbkoDex7s,5.0,ChIJSa-BPwjbaC4RJ_WbkoDex7s,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJSa-BPwjbaC4RJ_WbkoDex7s
