business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,url
OPERATIONAL,"64PM+82H, Tomo, Sumedang Regency, West Java, Indonesia","{'location': {'lat': -6.764191, 'lng': 108.132599}, 'viewport': {'northeast': {'lat': -6.762180370107278, 'lng': 108.133329}, 'southwest': {'lat': -6.764880029892723, 'lng': 108.130409}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yamin greeg,ChIJgyOOPQArby4R13a_mOW_o2I,0.0,ChIJgyOOPQArby4R13a_mOW_o2I,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJgyOOPQArby4R13a_mOW_o2I
OPERATIONAL,"64PH+9WX, Jl. Raya Cijelag, Tomo, Kec. Tomo, Kabupaten Sumedang, Jawa Barat 45382, Indonesia","{'location': {'lat': -6.7640047, 'lng': 108.1298628}, 'viewport': {'northeast': {'lat': -6.762654870107278, 'lng': 108.1312126298927}, 'southwest': {'lat': -6.765354529892722, 'lng': 108.1285129701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cijelag,ChIJfce1JQArby4R7ASO8p-0Y2w,0.0,ChIJfce1JQArby4R7ASO8p-0Y2w,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJfce1JQArby4R7ASO8p-0Y2w
OPERATIONAL,"64JC+R6, Tomo, Sumedang Regency, West Java, Indonesia","{'location': {'lat': -6.7679664, 'lng': 108.1205833}, 'viewport': {'northeast': {'lat': -6.766585520107277, 'lng': 108.1218856798927}, 'southwest': {'lat': -6.769285179892721, 'lng': 108.1191860201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Cimanuk Tomo Sumedang,ChIJ2fYFdOMrby4RlRwmVT7LNUQ,5.0,ChIJ2fYFdOMrby4RlRwmVT7LNUQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 2240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118091733993761158839"">feri_entrance@yahoo.com</a>'], 'photo_reference': 'AUGGfZkqGpgaSe89kH9ZTnTAvEXjdZhw21GfsObEuxiLHQpMlMDPqewuUVyDhTAsyI5esG307r1j8-CDMA-D0hoGp6rxMd51nl3o_ZAwjrEJhZ8q4NNYvkoxHkeEkCVdkuT4qbDPKWmw50FaUGNMeWcr2HrK4Iqp6ia25gr2xOyU8pIAkEYp', 'width': 4608}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ2fYFdOMrby4RlRwmVT7LNUQ
OPERATIONAL,"54HJ+4C4, Darmawangi, Tomo, Sumedang Regency, West Java 45382, Indonesia","{'location': {'lat': -6.822232199999999, 'lng': 108.1310689}, 'viewport': {'northeast': {'lat': -6.820873270107278, 'lng': 108.1323560298927}, 'southwest': {'lat': -6.823572929892721, 'lng': 108.1296563701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Geopark Lembah Cisaar,ChIJ153bWQArby4RETMeonEY_nQ,0.0,ChIJ153bWQArby4RETMeonEY_nQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ153bWQArby4RETMeonEY_nQ
OPERATIONAL,"6499+642, Jl. Bantargintung, Karyamukti, Kec. Tomo, Kabupaten Sumedang, Jawa Barat 45382, Indonesia","{'location': {'lat': -6.7819851, 'lng': 108.1177613}, 'viewport': {'northeast': {'lat': -6.780618820107278, 'lng': 108.1191381798927}, 'southwest': {'lat': -6.783318479892722, 'lng': 108.1164385201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata sungai cimanuk sumedang,ChIJTZy-i_Yrby4RKvOjdy-0fII,4.0,ChIJTZy-i_Yrby4RKvOjdy-0fII,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118413013930325290690"">A Google User</a>'], 'photo_reference': 'AUGGfZlmY1Lhhi8Gq5D0T--9V-Sy1dr9IkS9qke6_FazW2myuFfh9ylY94VsuGxQAj-_idRSEX_0v9NvmAbaZqTQSPesvId-65-8C7SMeMzfJP5JkB_Zh210gE-no1-AXbhrUcwddceQoPBmbdjiYLZEOD59x39EB0zTehpeX08lomsOuZ3Y', 'width': 1080}]",{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJTZy-i_Yrby4RKvOjdy-0fII
OPERATIONAL,"Dusun Situsari, RT.01/RW.05, Tolengas, Kec. Tomo, Kabupaten Sumedang, Jawa Barat 45382, Indonesia","{'location': {'lat': -6.7660934, 'lng': 108.1515767}, 'viewport': {'northeast': {'lat': -6.764679870107278, 'lng': 108.1531129298927}, 'southwest': {'lat': -6.767379529892722, 'lng': 108.1504132701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Situsari,ChIJxdQsCQApby4R_ZbVCB9cpqw,0.0,ChIJxdQsCQApby4R_ZbVCB9cpqw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112679377961383003971"">A Google User</a>'], 'photo_reference': 'AUGGfZk99MAifdZA9-ul9nmJEStgX6bVNYD8R9dHOYXhxuM05NQNs_YRxfa5dl0WQCaMYDI_i5Dpn_5AnWXKBN3mEzftkU3Wz3HnRDOrWg-GFfaq-9PRMVbj2d_EBbTLfgJREw4NJWrQVwvoL5yvSuPoQaNnCaqjhwjRBSnbwYk51tKUYiZl', 'width': 4000}]",{'open_now': False},"{'compound_code': '65M2+HJ Tolengas, Sumedang Regency, West Java, Indonesia', 'global_code': '6P5C65M2+HJ'}",https://www.google.com/maps/place/?q=place_id:ChIJxdQsCQApby4R_ZbVCB9cpqw
OPERATIONAL,"65J6+3P3, Jl. Tolengas, Tolengas, Kec. Tomo, Kabupaten Sumedang, Jawa Barat 45382, Indonesia","{'location': {'lat': -6.769874199999999, 'lng': 108.1617832}, 'viewport': {'northeast': {'lat': -6.768524820107277, 'lng': 108.1631647298927}, 'southwest': {'lat': -6.771224479892721, 'lng': 108.1604650701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bedugan jatigede,ChIJ1ajOLMcpby4RnZMVq22gHgU,0.0,ChIJ1ajOLMcpby4RnZMVq22gHgU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115540769519281353023"">Emus Mustopa</a>'], 'photo_reference': 'AUGGfZlHcUxwFtFWXLva70BuMk3PWO0S536e2kPiedcOr84WAHaKSfO_yYpavper6uBTP7B8O4nlE4Ehh0-8Hs2Z8QO4i-NMxdPJ-GJWPPgERkzSqz6EbDvx9hjb-XlkubX5T9WDHaIGB47xiu5sP4wnKISxkHQkN-dAfvF3GUyoQgHDYQe4', 'width': 3000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ1ajOLMcpby4RnZMVq22gHgU
OPERATIONAL,"64WP+VQQ, Palabuan, Ujung Jaya, Sumedang Regency, West Java 45383, Indonesia","{'location': {'lat': -6.7524725, 'lng': 108.1375222}, 'viewport': {'northeast': {'lat': -6.751078370107278, 'lng': 108.1389397298927}, 'southwest': {'lat': -6.753778029892722, 'lng': 108.1362400701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pasar malam,ChIJtXy0VHUrby4R4l_CpueWEH0,0.0,ChIJtXy0VHUrby4R4l_CpueWEH0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJtXy0VHUrby4R4l_CpueWEH0
OPERATIONAL,"745R+3F7, Kebon Cau, Ujung Jaya, Sumedang Regency, West Java 45383, Indonesia","{'location': {'lat': -6.742333700000001, 'lng': 108.1411679}, 'viewport': {'northeast': {'lat': -6.741008470107277, 'lng': 108.1425157798927}, 'southwest': {'lat': -6.743708129892721, 'lng': 108.1398161201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang 3 Pasir Tengah,ChIJo4xWTivVbi4ReS1CtXhApwQ,4.8,ChIJo4xWTivVbi4ReS1CtXhApwQ,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113673235907367126263"">A Google User</a>'], 'photo_reference': 'AUGGfZm70UsOihwey70FQQTM4jg5BBXcG3Dc1lIpDRHAXl2lLet-4BtuvmMf3xrZ19zaybr02o-tDtaFp1QRJ4wP3JyxFAkWvXbAA6Nhs5ps4DM4RlfZOMhgaPPKHL8WQM_wjXWBMXCqh1VzQ3fmj8t1GikmE1FrunIvZUPLHUvGr9cPbPhq', 'width': 900}]",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJo4xWTivVbi4ReS1CtXhApwQ
OPERATIONAL,"73QM+29, Sakurjaya, Ujung Jaya, Sumedang Regency, West Java, Indonesia","{'location': {'lat': -6.712423500000001, 'lng': 108.0834143}, 'viewport': {'northeast': {'lat': -6.711073670107279, 'lng': 108.0847641298927}, 'southwest': {'lat': -6.713773329892723, 'lng': 108.0820644701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung eyang,ChIJn1QtXj7Vbi4RP0LJMXrX6OU,0.0,ChIJn1QtXj7Vbi4RP0LJMXrX6OU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJn1QtXj7Vbi4RP0LJMXrX6OU
