business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"G62G+3P, Huraba, Sibio-Bio, Angkola Timur, Tapanuli Selatan, Sibio-Bio, Kec. Sipirok, Kabupaten Tapanuli Selatan, Sumatera Utara 22733, Indonesia","{'location': {'lat': 1.4968924, 'lng': 99.2312338}, 'viewport': {'northeast': {'lat': 1.498235629892722, 'lng': 99.23259937989273}, 'southwest': {'lat': 1.495535970107278, 'lng': 99.2298997201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sibiobio Adventure Park,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112733919981779160059"">A Google User</a>'], 'photo_reference': 'AUGGfZkK3Q6ic3KKsCkn58_zXDTz2qKSZ8F7_VLg6TEpGKCdSWQw4VXnNkVk7lgPnKHKG-GgJkGL4PNop_jeg6AWxvuuOU6iUlsHtbs2jV4hh8RoiA6zlPR7hPfX1ruJIViOqpGFl9FWBEbtD8i_12vszPMtcS67B-0SYVkDGYuxBB_hQmgY', 'width': 4096}]",ChIJB38caYEfLDARyfTtjwyRF-4,4.1,ChIJB38caYEfLDARyfTtjwyRF-4,"['tourist_attraction', 'point_of_interest', 'establishment']",271,,https://www.google.com/maps/place/?q=place_id:ChIJB38caYEfLDARyfTtjwyRF-4
OPERATIONAL,"C69F+J6H, Jalan Sitara toit, Sialogo, Kec. Angkola Bar., Kabupaten Tapanuli Selatan, Sumatera Utara 22733, Indonesia","{'location': {'lat': 1.4193207, 'lng': 99.2237487}, 'viewport': {'northeast': {'lat': 1.420212279892722, 'lng': 99.22445445000002}, 'southwest': {'lat': 1.417512620107278, 'lng': 99.22163144999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JUT Saba Sigordang Sialogo Kec. A. Barat,,,ChIJddd4ffwdLDARjHzmfn2nw7E,0.0,ChIJddd4ffwdLDARjHzmfn2nw7E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'C69F+PF Sialogo, South Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHXC69F+PF'}",https://www.google.com/maps/place/?q=place_id:ChIJddd4ffwdLDARjHzmfn2nw7E
OPERATIONAL,"Bonan Dolok, Marancar, South Tapanuli Regency, North Sumatra 22735, Indonesia","{'location': {'lat': 1.5296596, 'lng': 99.1913115}, 'viewport': {'northeast': {'lat': 1.5317107, 'lng': 99.19205255}, 'southwest': {'lat': 1.5289759, 'lng': 99.18908834999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Sitimbulan,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113636667142164758958"">irwan efendi</a>'], 'photo_reference': 'AUGGfZmtCxYzo89Xkv2KsDIJBi9MmFGwXJsnKKgLzRHcic-SVUmNCYdl93aFOuYvO61YnyuvxNIhBlKJbjm_k3D4B-DpwDytvnGAdhXKjj22tT13JE-6L4FWJ9AICh5qprjacKqmoHDneWvSW0aavCARYpMVocdWo9tXyEa2ZN2IsOtR13qj', 'width': 4160}]",ChIJq6qqWn0gLDAR5VVTM8yD1Gs,4.5,ChIJq6qqWn0gLDAR5VVTM8yD1Gs,"['tourist_attraction', 'point_of_interest', 'establishment']",52,"{'compound_code': 'G5HR+VG Bonan Dolok, South Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHXG5HR+VG'}",https://www.google.com/maps/place/?q=place_id:ChIJq6qqWn0gLDAR5VVTM8yD1Gs
OPERATIONAL,"G5MC+C3F, Maju Mambe, Marancar, South Tapanuli Regency, North Sumatra 22742, Indonesia","{'location': {'lat': 1.533572, 'lng': 99.1701779}, 'viewport': {'northeast': {'lat': 1.534921829892722, 'lng': 99.17152772989273}, 'southwest': {'lat': 1.532222170107278, 'lng': 99.16882807010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Silima-lima,{'open_now': True},"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103811480159910449295"">A Google User</a>'], 'photo_reference': 'AUGGfZk0iWRhmtDP_Hy10ucy_dtqNrYQBu6oQiIElK8I4zJ2tFMJwYOWMPafLH4kwkwV8cc4LSezx2hxG7zDOkhEe9d9nSsbZIL8u7aOx1R97v9kPctwfX0YqtcSQJwEzHAoua_f_cybQzdsCmTyu_VxatA9g6YZpKIhchNRbAtyAK3lT0YW', 'width': 3072}]",ChIJR4zzjcyfLjARsqLUn_3wUzk,4.4,ChIJR4zzjcyfLjARsqLUn_3wUzk,"['tourist_attraction', 'point_of_interest', 'establishment']",369,,https://www.google.com/maps/place/?q=place_id:ChIJR4zzjcyfLjARsqLUn_3wUzk
OPERATIONAL,"H78X+752, Siala Gundi, Sipirok, South Tapanuli Regency, North Sumatra 22742, Indonesia","{'location': {'lat': 1.5656671, 'lng': 99.2979003}, 'viewport': {'northeast': {'lat': 1.567059779892722, 'lng': 99.29926692989272}, 'southwest': {'lat': 1.564360120107278, 'lng': 99.29656727010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sialagundi,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106930576485647915114"">A Google User</a>'], 'photo_reference': 'AUGGfZl2GfrvxPJCt0OiZRh_H0ODhr3qKQQvVYLnuY20JUtT_7TGHr_U5MqZr5H_NHkBcKwVXFwi61OqcIrzu7qQ9QeP02TDbxG83E6jCyxNv3OfxWwkuxrmv1SdiRhYYzpUwg86RHGA7w4DpViF3sjnRbMNwzC0vEyuFo_s88foJIjF_9NQ', 'width': 1968}]",ChIJad4dOBEjLDARml-3oWlkujk,5.0,ChIJad4dOBEjLDARml-3oWlkujk,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJad4dOBEjLDARml-3oWlkujk
OPERATIONAL,"96Q4+VWR, Sihopur, Angkola Selatan, South Tapanuli Regency, North Sumatra, Indonesia","{'location': {'lat': 1.3897368, 'lng': 99.20725780000001}, 'viewport': {'northeast': {'lat': 1.39181595, 'lng': 99.20811417989272}, 'southwest': {'lat': 1.38904375, 'lng': 99.20541452010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,kolam ritonga,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113885353900054516164"">A Google User</a>'], 'photo_reference': 'AUGGfZlpq7gT5viY7lFhCYkgWNvjUHeChP9Uror752ljWYmT7HYp0KLALph0mifGOpsDvSmf97-VS7xHmDHiXxspNO1Kkwq61JByTjSDjTOOlEajVE06WFCp0CqXwU_P7eS3BrwxllIdj_B7sAIjQXeC-d9eyL3_wvRYDzIKMA8lFDpFz6ry', 'width': 3264}]",ChIJAeY8VwAdLDARkqweqZ1bo3M,0.0,ChIJAeY8VwAdLDARkqweqZ1bo3M,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJAeY8VwAdLDARkqweqZ1bo3M
OPERATIONAL,"G5G9+H8H, Desa, Simaninggir, Kec. Marancar, Kabupaten Tapanuli Selatan, Sumatera Utara, Indonesia","{'location': {'lat': 1.5264375, 'lng': 99.1683594}, 'viewport': {'northeast': {'lat': 1.527782479892722, 'lng': 99.16970802989273}, 'southwest': {'lat': 1.525082820107278, 'lng': 99.16700837010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sagala family,,,ChIJVdJ7AwCfLjARJya0qJeMFk4,0.0,ChIJVdJ7AwCfLjARJya0qJeMFk4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJVdJ7AwCfLjARJya0qJeMFk4
OPERATIONAL,"G7XV+C6P, Hasahatan Situmba, Sipirok, South Tapanuli Regency, North Sumatra, Indonesia","{'location': {'lat': 1.548597, 'lng': 99.2930724}, 'viewport': {'northeast': {'lat': 1.549673479892722, 'lng': 99.29400792989271}, 'southwest': {'lat': 1.546973820107278, 'lng': 99.29130827010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,T O Sawah,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106219734978654266037"">A Google User</a>'], 'photo_reference': 'AUGGfZloBC-GBoR_x_5N25vIIPjBuSyP2NdCMPVluv7-z3SpijFB1mTxiwJ9oHjNrrUk-kBPwctPBGgmout984L8CKC-JFn0RXSYHDytkEyQcFWyQ4rVV7Pf4hj2plTRSe4UDq0ZzT08GlRTO-mmsCM8wEJ4_b33q6op2K3p4NTdIwWsovol', 'width': 1080}]",ChIJz5oh5wEjLDAROIzgO3eHLYw,4.0,ChIJz5oh5wEjLDAROIzgO3eHLYw,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJz5oh5wEjLDAROIzgO3eHLYw
OPERATIONAL,"Parsalakan, Angkola Barat, South Tapanuli Regency, North Sumatra, Indonesia","{'location': {'lat': 1.4091717, 'lng': 99.2130735}, 'viewport': {'northeast': {'lat': 1.410593929892722, 'lng': 99.21445427989272}, 'southwest': {'lat': 1.407894270107278, 'lng': 99.21175462010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SALAK AZKA,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116907165350647523690"">A Google User</a>'], 'photo_reference': 'AUGGfZl9zgdb_9Q5RecmGq9Qo212Xq2BP5zxbN9yPBxUR02GXaFJvdVGNRZlinJQJZE52TJdfLiFQiVgM5w9b-q7NrBvpO05kQCU7hyHqSXmmnAYsiAYeHp5SwIo4Gi6mGXqISJ24Y9wZYJGA_E8hv_zrmU5cIkwkPMkKAMFZ43ufkH9yksA', 'width': 1872}]",ChIJvdR9jmMdLDAR8jwF6laV5NY,0.0,ChIJvdR9jmMdLDAR8jwF6laV5NY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'C657+M6 Parsalakan, South Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHXC657+M6'}",https://www.google.com/maps/place/?q=place_id:ChIJvdR9jmMdLDAR8jwF6laV5NY
OPERATIONAL,"J8HW+695, Kelurahan, Bunga Bondar, Sipirok, South Tapanuli Regency, North Sumatra 22742, Indonesia","{'location': {'lat': 1.6280002, 'lng': 99.34597049999999}, 'viewport': {'northeast': {'lat': 1.629350029892722, 'lng': 99.34732032989272}, 'southwest': {'lat': 1.626650370107278, 'lng': 99.34462067010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Marsabut,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111914083568567521672"">ananda afandy</a>'], 'photo_reference': 'AUGGfZkdKUG25WO2UQGuo4BAQgeSInQLWXrHTPi_CajKdE_Hqw74d0pp4IEOoSK5ZW2jq6O0RvchpZvaFb9aaDi4CiaHn0uzhQ0tl88DijsWh4I-e0fQOCkBiu3VsNm76MSGQ3h9k86THPRuSViIHNe14SSqHyVExgro1ceBBgmsQ2GQLaNn', 'width': 3264}]",ChIJ3eeKmj0lLDAR-JdaKA4smNg,4.0,ChIJ3eeKmj0lLDAR-JdaKA4smNg,"['tourist_attraction', 'point_of_interest', 'establishment']",22,,https://www.google.com/maps/place/?q=place_id:ChIJ3eeKmj0lLDAR-JdaKA4smNg
