business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,url
OPERATIONAL,"45C4+2M, Sabungan Nihuta V, Sipahutar, North Tapanuli Regency, North Sumatra, Indonesia","{'location': {'lat': 2.1190386, 'lng': 99.15580729999999}, 'viewport': {'northeast': {'lat': 2.119725629892722, 'lng': 99.15680884999999}, 'southwest': {'lat': 2.117025970107278, 'lng': 99.15280265000001}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hauma Lohuk,ChIJETUzEQALLjARIIXTHQz3-MI,5.0,ChIJETUzEQALLjARIIXTHQz3-MI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJETUzEQALLjARIIXTHQz3-MI
OPERATIONAL,"8X7C+V7P, Sitanggor, Muara, North Tapanuli Regency, North Sumatra 22476, Indonesia","{'location': {'lat': 2.3147226, 'lng': 98.97069529999999}, 'viewport': {'northeast': {'lat': 2.316117679892723, 'lng': 98.97196007989272}, 'southwest': {'lat': 2.313418020107278, 'lng': 98.96926042010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hutaginjang Hang Gliding Deck View,ChIJe8F6NQAbLjARnF6PJgey19I,4.7,ChIJe8F6NQAbLjARnF6PJgey19I,"['tourist_attraction', 'point_of_interest', 'establishment']",35,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114027823948495974066"">urat hombing</a>'], 'photo_reference': 'AUGGfZmNyo0d1TE3UE4EfOkmQH2QCsvGKelzdzyOXhhULzzfsG8elAXEiSY49IxzhqBSEeNBcIa55Chp0RQf4vmwGDqbrT682DMChHq1qUh5tFyjDyjNYXkv-gv85mknnSfnbvuK7-gA2Gvr_mufZKj-6BvCevwtl__zvsy0t9Oa6KhqfRQz', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJe8F6NQAbLjARnF6PJgey19I
OPERATIONAL,"W77G+9FG, Silantom Julu, Kec. Pangaribuan, Kabupaten Tapanuli Utara, Sumatera Utara, Indonesia","{'location': {'lat': 1.9134416, 'lng': 99.2762063}, 'viewport': {'northeast': {'lat': 1.914799729892722, 'lng': 99.27756102989272}, 'southwest': {'lat': 1.912100070107278, 'lng': 99.27486137010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aek Borotan,ChIJHeY2yZ7XLTARd5PUg8mW2Ak,3.5,ChIJHeY2yZ7XLTARd5PUg8mW2Ak,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111786516199753226685"">daniel siregar</a>'], 'photo_reference': 'AUGGfZnJo5X_l_RXZQRfwVDX9P_3jnAN3r36lidP9AXB20O8wn-IThyVfMNdLIx9m4IR1oSvVuqTotPuNheOBpT0r9M8T61_YRqQCuEIl8KJ_nPcyCQm2pr6VSXQDKW_8zihQVhv-CGcxhQEa1ALyhPzqAl9JMBSgvZK2wuC2HEtRwm95NCS', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJHeY2yZ7XLTARd5PUg8mW2Ak
OPERATIONAL,"32MR+HCH, Jalan l, Onan Runggu I, Sipahutar, North Tapanuli Regency, North Sumatra 22474, Indonesia","{'location': {'lat': 2.0839443, 'lng': 99.0410979}, 'viewport': {'northeast': {'lat': 2.085407329892722, 'lng': 99.04243412989273}, 'southwest': {'lat': 2.082707670107277, 'lng': 99.03973447010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Hutadolok Simanjuntak,ChIJNew2YxdzLjARYRVmMZYgx_E,0.0,ChIJNew2YxdzLjARYRVmMZYgx_E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113360385481684512697"">Demoses simanjuntak</a>'], 'photo_reference': 'AUGGfZncSfJ8DA3jk_gO5z2xNXTRfN3EHJmGhznYiSVEZeqm4YghPOgaBSj9nQDQDaHu6C-8ddqBJUqHUuOJVucpOTgUMUcMWC7jO_1qmeQ1cSrWPxTDlx_tLRRTmrq9-reYD3egwTcbqC8syoi6eAuPzqP7-kB_9npnfXNO7SbDqoUtVD_4', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJNew2YxdzLjARYRVmMZYgx_E
OPERATIONAL,"4582+VH, Sabungan Nihuta V, Sipahutar, North Tapanuli Regency, North Sumatra, Indonesia","{'location': {'lat': 2.1172008, 'lng': 99.15142890000001}, 'viewport': {'northeast': {'lat': 2.118020279892723, 'lng': 99.15303437989273}, 'southwest': {'lat': 2.115320620107278, 'lng': 99.15033472010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hauma Siabal abal,ChIJqexKBQB1LjARbXTsHTaEyfg,0.0,ChIJqexKBQB1LjARbXTsHTaEyfg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJqexKBQB1LjARbXTsHTaEyfg
OPERATIONAL,"2X8W+HX6, Jalan Salib Kasih Siatasbarita, Si Raja Hutagalung, Kec. Tarutung, Kabupaten Tapanuli Utara, Sumatera Utara 22416, Indonesia","{'location': {'lat': 2.0165044, 'lng': 98.9982486}, 'viewport': {'northeast': {'lat': 2.017809979892722, 'lng': 98.99957962989274}, 'southwest': {'lat': 2.015110320107278, 'lng': 98.99687997010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tambak Guru Mangaloksa Hasibuan,ChIJ7eM9-4VvLjARN7IawbFiMAQ,4.0,ChIJ7eM9-4VvLjARN7IawbFiMAQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114843021615713576829"">A Google User</a>'], 'photo_reference': 'AUGGfZnp9ltQucdeHcH8YzMwGw66zmDu_XRqDx33nDpg3MI0cIQvUCDKvIXVK_NCmy1HuGQ3NKHjy761t3S_5rloVuIeW5dV_w8DlcxlwpCCXC2ApUy97DjS15oAgUf9jNssohemUXpLbtr9v_O25VaUkHgfUumcgOoq8gSpuHa0t0i1wVlq', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ7eM9-4VvLjARN7IawbFiMAQ
OPERATIONAL,"P488+42, Janji Nauli, Purbatua, North Tapanuli Regency, North Sumatra, Indonesia","{'location': {'lat': 1.7153637, 'lng': 99.1150401}, 'viewport': {'northeast': {'lat': 1.716713529892722, 'lng': 99.11638992989273}, 'southwest': {'lat': 1.714013870107278, 'lng': 99.11369027010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Torsimin,ChIJbfKYZwCDLjAR4FT2oz08J64,0.0,ChIJbfKYZwCDLjAR4FT2oz08J64,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJbfKYZwCDLjAR4FT2oz08J64
OPERATIONAL,"32JG+Q37, Onan Runggu I, Sipahutar, North Tapanuli Regency, North Sumatra 22474, Indonesia","{'location': {'lat': 2.0819277, 'lng': 99.0251983}, 'viewport': {'northeast': {'lat': 2.083255529892722, 'lng': 99.02646442989271}, 'southwest': {'lat': 2.080555870107278, 'lng': 99.02376477010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Bajahuring Simanjuntak,ChIJS-v1U39zLjAR9c5bYLfar8Y,5.0,ChIJS-v1U39zLjAR9c5bYLfar8Y,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113360385481684512697"">Demoses simanjuntak</a>'], 'photo_reference': 'AUGGfZlvxhpaAQClHGrQHz79sTry57awAhheldwWvPDx1mwFWFb2MUoM0hd8t3Hua08a7OH51G4LozEk6Pfzcxhji4Ozkidh1x_CWbmigg_M7vHHn-nR4rrFwtB3yS4xnPhyXAF-LHcxdxhVukCdKgpeJLmtBP5knjJSklV6W3b5o--tIaJh', 'width': 1536}]",,,https://www.google.com/maps/place/?q=place_id:ChIJS-v1U39zLjAR9c5bYLfar8Y
OPERATIONAL,"WW4C+GFM, Jl. Sibolga - Tarutung, Dolok Nauli, Kec. Adian Koting, Kabupaten Tapanuli Utara, Sumatera Utara 22461, Indonesia","{'location': {'lat': 1.907686, 'lng': 98.921245}, 'viewport': {'northeast': {'lat': 1.908757429892722, 'lng': 98.92247297989272}, 'southwest': {'lat': 1.906057770107277, 'lng': 98.91977332010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit anugerah,ChIJUWUyQ_FnLjAR_143jX3HRcI,5.0,ChIJUWUyQ_FnLjAR_143jX3HRcI,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113393566494193085716"">A Google User</a>'], 'photo_reference': 'AUGGfZmmaVEC2fvztYDaFHBtlXqqejVJtismoi2OODP-UxUkN_DC2K1v97rj91Ob55lj1U3d1Dn3GLajQGTEzAn9vJtquUwPAfgTnOBGG1MDwTwWstJ4D-pgp6YzkZE4vSM5P74Sx9eAIYSEa2JP3n-_GU05gOislysWpXQTsRVYRDZwhvhG', 'width': 715}]",,,https://www.google.com/maps/place/?q=place_id:ChIJUWUyQ_FnLjAR_143jX3HRcI
OPERATIONAL,"22C2+QV, Desa, Simorangkir Julu, Kec. Siatas Barita, Kabupaten Tapanuli Utara, Sumatera Utara, Indonesia","{'location': {'lat': 2.0219375, 'lng': 99.00218749999999}, 'viewport': {'northeast': {'lat': 2.023244829892723, 'lng': 99.00355307989273}, 'southwest': {'lat': 2.020545170107278, 'lng': 99.00085342010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lolago Garden,ChIJlx1RSgBvLjARXnsIohvM0Co,5.0,ChIJlx1RSgBvLjARXnsIohvM0Co,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114682747082053008709"">Toni Rianto Sitorus</a>'], 'photo_reference': 'AUGGfZn9ZOe_QAmdoI6r8rbmMSOkL0MWfrZlRZE01XIJTWRorbZchOyS9I_MDpAwA1DXAe1DCDsf0g9zIbvDBEpGYhOGsROzMCquvSsQkl_u9npvWtPxfXB31gSXpPEk2EXz0PyZKAhyIkaGdAm22Y_7Sh7_91ngGCH59GOuHxVm-fGwEiWs', 'width': 1080}]",,,https://www.google.com/maps/place/?q=place_id:ChIJlx1RSgBvLjARXnsIohvM0Co
