business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,url
OPERATIONAL,"Jl. Pasanggrahan, Manggungjaya, Kec. Rajapolah, Kabupaten Tasikmalaya, Jawa Barat 46155, Indonesia","{'location': {'lat': -7.217811699999999, 'lng': 108.1820661}, 'viewport': {'northeast': {'lat': -7.216556670107277, 'lng': 108.1833702798927}, 'southwest': {'lat': -7.219256329892721, 'lng': 108.1806706201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JAPSUKI,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116254496938252716501"">A Google User</a>'], 'photo_reference': 'AUGGfZlW77sKSetl8darspws0QlMM7g_bB7tDNBbjJgbS-Bpg3yIRO518LkI76cS1aDsA-yYzXfCRHnWvcVNjhPwpzLyBWumoF_X5pNXOZIbEFQZS40bjZ_qSQHhnT1ALPfLgWyREOAMFZqb10dTPdU3duXKof2cCln7dcoNz-UOyMsAUXpK', 'width': 1600}]",ChIJ6VBwSL1Pby4RVXRFK-jVx9E,"{'compound_code': 'Q5JJ+VR Manggungjaya, Tasikmalaya Regency, West Java, Indonesia', 'global_code': '6P4CQ5JJ+VR'}",5.0,ChIJ6VBwSL1Pby4RVXRFK-jVx9E,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ6VBwSL1Pby4RVXRFK-jVx9E
OPERATIONAL,"R53W+23V, Tanjungpura, Rajapolah, Tasikmalaya Regency, West Java 46155, Indonesia","{'location': {'lat': -7.198089, 'lng': 108.194791}, 'viewport': {'northeast': {'lat': -7.196659370107279, 'lng': 108.1962086798927}, 'southwest': {'lat': -7.199359029892722, 'lng': 108.1935090201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Jeruk DP,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101871822178072857460"">A Google User</a>'], 'photo_reference': 'AUGGfZlr8ewmtu3z3nU61-GSDtkXFciQ59njf-aZWwZZcGDpI2tUULa2EpsxoWbHU0bIcHZz7CwE609SgQ-n87Musd9BRTOczKKZkTkgX8pP5KUTGfWUteF5ZI1J4QXYpq9tl9tMHl7Pjg7RTNgZnf_aM7IIYkkShjLEBMuSxJLBfxgQnUF4', 'width': 2240}]",ChIJXcAotqFPby4RBncGtWwF2GM,,5.0,ChIJXcAotqFPby4RBncGtWwF2GM,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJXcAotqFPby4RBncGtWwF2GM
OPERATIONAL,"Q5VW+V3, Manggungsari, Rajapolah, Tasikmalaya Regency, West Java, Indonesia","{'location': {'lat': -7.205255800000001, 'lng': 108.1951893}, 'viewport': {'northeast': {'lat': -7.203479320107278, 'lng': 108.1960891}, 'southwest': {'lat': -7.206178979892722, 'lng': 108.1924899}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kincir Air Pak Encep,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106855392495375913406"">Asep Ridwan</a>'], 'photo_reference': 'AUGGfZlN21zn0w9xOMiBemG8W10XiCGU_ORFx1H8y03sCxK6R1SCokkMxwg5ivWfZ9rGHDWol-518BnRrmgMom-f_1RxGhgVmkvoSz_7SRQ2PgklklVKV1U9FSQYQxNx87mIfnL3nnOzeJAi3nDobvfqXDhWxCn5Lhlh20RdiYcvrBzpzIQF', 'width': 4000}]",ChIJlf4VcGBPby4RS3MmvPemEI8,,5.0,ChIJlf4VcGBPby4RS3MmvPemEI8,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJlf4VcGBPby4RS3MmvPemEI8
OPERATIONAL,"Q5H9+J56, Sukanagalih, Rajapolah, Tasikmalaya Regency, West Java 46155, Indonesia","{'location': {'lat': -7.221385000000001, 'lng': 108.1684071}, 'viewport': {'northeast': {'lat': -7.219837270107279, 'lng': 108.1695371298927}, 'southwest': {'lat': -7.222536929892723, 'lng': 108.1668374701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan DR,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115509915831381117957"">dani r</a>'], 'photo_reference': 'AUGGfZmBbRvu1tXSy6dlodMnHSwwgCOX5UgJRCoHA7zWjowRrThr5lVq9KCaoyuFpbne0K3Ruvm0yG5YhRxE2RioIves4rPEHagecfXjRJinBFe28iM7AbP0YB3y2FEYliayqdss0cvrVruyYgA5MYCDBadCLoJtNE-xfxkYzJk-P2hOs4_z', 'width': 1080}]",ChIJqfMgVu9Pby4RrdreQeg8bMw,,0.0,ChIJqfMgVu9Pby4RrdreQeg8bMw,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJqfMgVu9Pby4RrdreQeg8bMw
OPERATIONAL,"Q5RW+J3P, Manggungsari, Rajapolah, Tasikmalaya Regency, West Java 46155, Indonesia","{'location': {'lat': -7.208401800000001, 'lng': 108.1952057}, 'viewport': {'northeast': {'lat': -7.206219900000002, 'lng': 108.1964886}, 'southwest': {'lat': -7.209129100000002, 'lng': 108.191357}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Kincir Leuwi Panjang,,ChIJlzWiAvBPby4RatbIkd_YASI,,5.0,ChIJlzWiAvBPby4RatbIkd_YASI,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJlzWiAvBPby4RatbIkd_YASI
OPERATIONAL,"Q5VR+5VQ, Jl. Cimanggung, Manggungsari, Kec. Rajapolah, Kabupaten Tasikmalaya, Jawa Barat 46155, Indonesia","{'location': {'lat': -7.2062361, 'lng': 108.1923817}, 'viewport': {'northeast': {'lat': -7.204938870107278, 'lng': 108.1939379798927}, 'southwest': {'lat': -7.207638529892722, 'lng': 108.1912383201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Republik Mongor,,ChIJt2lJ4kBPby4R7_MSayzKsSY,,0.0,ChIJt2lJ4kBPby4R7_MSayzKsSY,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJt2lJ4kBPby4R7_MSayzKsSY
OPERATIONAL,"Q56G+9F, Dawagung, Rajapolah, Tasikmalaya Regency, West Java, Indonesia","{'location': {'lat': -7.2391058, 'lng': 108.1761444}, 'viewport': {'northeast': {'lat': -7.238192520107279, 'lng': 108.1768919298927}, 'southwest': {'lat': -7.240892179892723, 'lng': 108.1741922701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung tali kolot Abah engkur,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104384441536843321376"">A Google User</a>'], 'photo_reference': 'AUGGfZl6Fx_o-OLTFVMRgGKzBACqgJQoSZL72K6eOmazJ02wXPGWclCieLLi8vP-IRTcNUrzi1AWyVvJbbP-DmDBhyYqPLvUTb7WaYwOhogKK3sfOPw9HnFl4rSXbbshMnRVz4oGnyPlw0qV-6rw-OfwTvMZyRWaycE8Hw8HCojFXc5jkJA', 'width': 1920}]",ChIJS6MOlAFRby4ReBtJtwsr8pA,,5.0,ChIJS6MOlAFRby4ReBtJtwsr8pA,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJS6MOlAFRby4ReBtJtwsr8pA
OPERATIONAL,"Q5CM+PJ5, Jl. Nagrog, Dawagung, Kec. Rajapolah, Kabupaten Tasikmalaya, Jawa Barat 46155, Indonesia","{'location': {'lat': -7.2282287, 'lng': 108.1841221}, 'viewport': {'northeast': {'lat': -7.226849220107278, 'lng': 108.1854826798927}, 'southwest': {'lat': -7.229548879892722, 'lng': 108.1827830201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,NAROGOG,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116974412814101676084"">Eddy Catur Sugiarto</a>'], 'photo_reference': 'AUGGfZkW-R2EMRQOB_kH3VVTuClZCwE052ibOvT2lPJ6ZFy5in4jMWJSVqsUpkygozPDZSVHCmRVMrWl1WqUtoNaq_XOL0YplY_O8_9h862TTwi9rWJ0vPZg7ftK0Rldj8NNMcAhwAh_99M_tcTH9hE23o-6rPyZ3Pp1g5fUAI5GZGsYs8XX', 'width': 4160}]",ChIJAQE9s4JPby4RxnjYsnuIdAo,,5.0,ChIJAQE9s4JPby4RxnjYsnuIdAo,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJAQE9s4JPby4RxnjYsnuIdAo
OPERATIONAL,"Q5VC+C37, Sukaraja, Rajapolah, Tasikmalaya Regency, West Java 46175, Indonesia","{'location': {'lat': -7.218288200000001, 'lng': 108.1669589}, 'viewport': {'northeast': {'lat': -7.217312520107277, 'lng': 108.16900775}, 'southwest': {'lat': -7.220012179892721, 'lng': 108.16627595}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Balong Nyingkur Pelangi Sukaraja,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113336410469868939418"">Basaruddin Harahap</a>'], 'photo_reference': 'AUGGfZlmBbgJKXIrZHu94KPikZysiwSPisSYzCGXdzkomkvbagQJtdlcp-jp7XYBm1TC7pxEjVnxFEcWzF5PzDOxUvvVkqleAa7X48x9dNaXCe_1b96mpdG35jsjCvEJSOXC926uwxQP9CrEOJL1QtZpxOUojRxLso_eWOqkqzoj_uiGIX9o', 'width': 2268}]",ChIJR0wus1pPby4RFOSUQuETf3A,,5.0,ChIJR0wus1pPby4RFOSUQuETf3A,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJR0wus1pPby4RFOSUQuETf3A
CLOSED_TEMPORARILY,"Q5P9+VRF, Sukanagalih, Rajapolah, Tasikmalaya Regency, West Java 46155, Indonesia","{'location': {'lat': -7.212808899999999, 'lng': 108.1695504}, 'viewport': {'northeast': {'lat': -7.211483770107278, 'lng': 108.1709844298927}, 'southwest': {'lat': -7.214183429892722, 'lng': 108.1682847701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Ipank,,ChIJdxwDx_tPby4R53IZxKqFAnI,,0.0,ChIJdxwDx_tPby4R53IZxKqFAnI,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,True,https://www.google.com/maps/place/?q=place_id:ChIJdxwDx_tPby4R53IZxKqFAnI
