business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Nagrog, RT.1/RW.1, Tanjungsari, Kec. Cipatujah, Kabupaten Tasikmalaya, Jawa Barat 46189, Indonesia","{'location': {'lat': -7.6696764, 'lng': 108.033546}, 'viewport': {'northeast': {'lat': -7.668749800000003, 'lng': 108.03490805}, 'southwest': {'lat': -7.672456199999998, 'lng': 108.02945985}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tonjong Canyon,"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116266461853733278122"">A Google User</a>'], 'photo_reference': 'AUGGfZlKfceuMjpO34tFCO8Mzf_y6dHyGLIVKpA8g4nX2qkhFec493X8AFUKND4r1WMZrJBzWiUQUsmX-zYAO3qjs0oItT1Z6uVc23ZKww5C2eoVwPEaFvS_diTf5mpm24ZC2RDbOARYLVe1DGf5AKW22hzzoFemCfSuJyFNnJ0OTx2eTi9a', 'width': 3072}]",ChIJZxycYtsLZi4RNX7u5KdHEcE,"{'compound_code': '82JM+4C Nangelasari, Tasikmalaya Regency, West Java, Indonesia', 'global_code': '6P4C82JM+4C'}",4.4,ChIJZxycYtsLZi4RNX7u5KdHEcE,"['tourist_attraction', 'point_of_interest', 'establishment']",27,,https://www.google.com/maps/place/?q=place_id:ChIJZxycYtsLZi4RNX7u5KdHEcE
OPERATIONAL,"985F+7FM, Cikatomas, Tawang, Kec. Pancatengah, Kabupaten Tasikmalaya, Jawa Barat 46194, Indonesia","{'location': {'lat': -7.6417968, 'lng': 108.3236802}, 'viewport': {'northeast': {'lat': -7.640536370107276, 'lng': 108.3250199298927}, 'southwest': {'lat': -7.64323602989272, 'lng': 108.3223202701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Dengdeng,"[{'height': 566, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113401175379292014028"">A Google User</a>'], 'photo_reference': 'AUGGfZliAZETmBWrM_Moc21Gw6xxD62hWPZASE5Rd2mF2Yohdxuy3VDCCscjYuYjvd2sGTjx66lE3v9TBbA-TD2RiJRIK5txGlAOEuw8SFxgHMCq4AKeF4W3LhjMD2w8sBItyeobdj2LI-ghAwEcYGm7OMf_X8TfTbseWvRG13HxgeW5bOJS', 'width': 848}]",ChIJcZbpHa3uZS4RWsOH42wds3k,,4.3,ChIJcZbpHa3uZS4RWsOH42wds3k,"['tourist_attraction', 'point_of_interest', 'establishment']",928,,https://www.google.com/maps/place/?q=place_id:ChIJcZbpHa3uZS4RWsOH42wds3k
OPERATIONAL,"7732+MX7, Pangliaran, Pancatengah, Tasikmalaya Regency, West Java 46194, Indonesia","{'location': {'lat': -7.745832399999999, 'lng': 108.2524236}, 'viewport': {'northeast': {'lat': -7.744912770107278, 'lng': 108.2543207}, 'southwest': {'lat': -7.747612429892722, 'lng': 108.2467323}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Panetean,"[{'height': 590, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108746673538808062717"">Taufik ramdhani</a>'], 'photo_reference': 'AUGGfZnzvYZXUswG-4qkvRIcRrBr7HSgI_MyRj7aguYequTjELnMhRY0lFwxK04eiS4ANrqmJKoV0jlRkkMXDaWH-7fIwr1qQpDYCQC1Gur_53EtioTdMWYh0Fyn5DMZGTwVonUc5WXzCFkq7YY5okNmjgmRbRQt4sZvX4_34U3B7An_4Zt_', 'width': 1091}]",ChIJ-3qLtxLDZS4ReWvy0Za2Gh8,,4.5,ChIJ-3qLtxLDZS4ReWvy0Za2Gh8,"['tourist_attraction', 'point_of_interest', 'establishment']",270,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ-3qLtxLDZS4ReWvy0Za2Gh8
OPERATIONAL,"M57Q+VQJ, Jl. Situ Gede, Linggajaya, Kec. Mangkubumi, Kab. Tasikmalaya, Jawa Barat 46181, Indonesia","{'location': {'lat': -7.3352805, 'lng': 108.1894024}, 'viewport': {'northeast': {'lat': -7.334221820107278, 'lng': 108.1910396798927}, 'southwest': {'lat': -7.336921479892722, 'lng': 108.1883400201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situ Gede Attractions,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114961997524825490093"">Julie gustiyawan</a>'], 'photo_reference': 'AUGGfZlu0NUrLWZbxMVTypC01MkkRTuhsHuQeEsLr-jnG3vmN5qUVcU9fTT5RUIoV5CsycU8SdSq5jLqD8vT-J2r2stjbZ4ij-uTowywVyrs20h3osy6FmXJZpSr2xKZoZbnTNj8m-JzRUi0tJTLS631gX6BS0ASBkM9igGJgdAdGGQdrep0', 'width': 8000}]",ChIJDV8XDCBXby4R_QqZgsJwRw8,,4.4,ChIJDV8XDCBXby4R_QqZgsJwRw8,"['tourist_attraction', 'point_of_interest', 'establishment']",1507,,https://www.google.com/maps/place/?q=place_id:ChIJDV8XDCBXby4R_QqZgsJwRw8
OPERATIONAL,"Neglasari, Salawu, Tasikmalaya Regency, West Java 46471, Indonesia","{'location': {'lat': -7.3609563, 'lng': 107.9923573}, 'viewport': {'northeast': {'lat': -7.359708200000001, 'lng': 107.99492245}, 'southwest': {'lat': -7.364700599999998, 'lng': 107.99150225}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Naga,"[{'height': 1077, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117978936348997758063"">A Google User</a>'], 'photo_reference': 'AUGGfZkMtljexSxLVRDdD-6ZHPrUoVs93nwTlz5O-6dVE1xVPJAfrHSbHy959AebhAWmlKqm_vDvUkR3bQLJNK01F_3-qPfJJZFMX9R2l88trjrwHzQZg0U_YjUM7hKJ7U6DDOU9PFwdAEK_sD7QC-S9zmJg54W7DLn3h7BXlwYnDBfHSe5f', 'width': 1616}]",ChIJgXM-U4GraC4R6TNrs7DX06o,"{'compound_code': 'JXQR+JW Neglasari, Tasikmalaya Regency, West Java, Indonesia', 'global_code': '6P49JXQR+JW'}",4.7,ChIJgXM-U4GraC4R6TNrs7DX06o,"['tourist_attraction', 'point_of_interest', 'establishment']",1116,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJgXM-U4GraC4R6TNrs7DX06o
OPERATIONAL,"F2X2+74, Gunung Tenjo laut, Cukangjayaguna, Kec. Sodonghilir, Kabupaten Tasikmalaya, Jawa Barat, Indonesia","{'location': {'lat': -7.502349699999999, 'lng': 108.0000962}, 'viewport': {'northeast': {'lat': -7.500500170107277, 'lng': 108.00096715}, 'southwest': {'lat': -7.503199829892721, 'lng': 107.99748335}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Anai,"[{'height': 3060, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102992473043849793005"">Asep Supriadi Asep Supriadi</a>'], 'photo_reference': 'AUGGfZm5C81hGkucQYqZM3XV0tPkyMX9c_YIusOC52npv-R6WckrXX5JDcz7Rbyow3aGHnF2sqeFY9g89gQWpbkzJVsK8xxrs7Zp1Fzsj-oBA75AQHJg-zMstyh46H-6fKx6aE8uaxYEvmqqm_SRWQMFeJsv5em30rkpYW9Tgde2nUNl0ap5', 'width': 4080}]",ChIJ2TO8kDcHZi4R5BcOJHpklZk,,5.0,ChIJ2TO8kDcHZi4R5BcOJHpklZk,"['point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJ2TO8kDcHZi4R5BcOJHpklZk
OPERATIONAL,"P34M+WMF, Cigadog, Leuwisari, Tasikmalaya Regency, West Java 46464, Indonesia","{'location': {'lat': -7.292684800000001, 'lng': 108.0841844}, 'viewport': {'northeast': {'lat': -7.291334970107279, 'lng': 108.0855342298927}, 'southwest': {'lat': -7.294034629892723, 'lng': 108.0828345701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Pamutuh,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102761333391772119472"">A Google User</a>'], 'photo_reference': 'AUGGfZkJvAi4886vNzzaHiit1LyDMwQWJmP5yP4fgLZIsyUxtqwjGYqYdP3gHwDdl_avb3sWbPbAbCSKvaK3pa0gTRuPsGvDdMLPGkX25SYZvKyFTMJ52DCIvsI5vbkX2t_SFAJHJiP4GR06_rHnaWMmHiSDmtZMQsLx3sGFJn6bOWTqerdP', 'width': 3072}]",ChIJ6-Xt3A9Tby4RoeL0F-fsXkQ,,4.4,ChIJ6-Xt3A9Tby4RoeL0F-fsXkQ,"['tourist_attraction', 'point_of_interest', 'establishment']",118,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJ6-Xt3A9Tby4RoeL0F-fsXkQ
OPERATIONAL,"Komplek Plaza Asia, Tuguraja, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46125, Indonesia","{'location': {'lat': -7.341963, 'lng': 108.214687}, 'viewport': {'northeast': {'lat': -7.340639820107278, 'lng': 108.2160178298927}, 'southwest': {'lat': -7.343339479892722, 'lng': 108.2133181701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TeeJay Waterpark,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114931980659139527981"">Fahmi Hudaya</a>'], 'photo_reference': 'AUGGfZm7hNgaJ61pwAjSEDFL_VqwTxIcrnwN4k7cF7ycODex0qGFxWMn-CXxSH-FVCU1kXros_1YDKEIbqn5Rje4v8pPWVz2AWl9-FlBifqpwyY5IM6kQa1n-15xhdPVyDfTcyURwkH8uHftkttHV2S2zKkgHMyAkl3vn5uWgYu3jekRuIFr', 'width': 1920}]",ChIJ99A4UmtXby4RQg4i8BAQ8Qc,"{'compound_code': 'M657+6V Tuguraja, Tasikmalaya Regency, West Java, Indonesia', 'global_code': '6P4CM657+6V'}",4.4,ChIJ99A4UmtXby4RQg4i8BAQ8Qc,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",6111,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJ99A4UmtXby4RQg4i8BAQ8Qc
OPERATIONAL,"5453+H2, Kadujaya, Jatigede, Sumedang Regency, West Java 45377, Indonesia","{'location': {'lat': -6.841001899999999, 'lng': 108.1025934}, 'viewport': {'northeast': {'lat': -6.840274570107277, 'lng': 108.1042929798927}, 'southwest': {'lat': -6.842974229892721, 'lng': 108.1015933201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pasir Tenjo Laut,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113953395706294584485"">khoir.roni</a>'], 'photo_reference': 'AUGGfZlEuzivNSIROHanKLkpd578Gs6RF0XfTFT5rp4lbQ-uTUAi8YEiAjqJ7KIWGkwu0ESccgE4eEIkI4GEsmfhEaklrFJ3RsT80c0KZyyzC6-vogR-9UeWQJelHiub-QzPH6Cm_b1wVxPq6abpZPGaSrsXskYghpitkEdr2GdlRImPppRh', 'width': 4000}]",ChIJ9beO4fMtby4ROWmg_lErmXw,,3.0,ChIJ9beO4fMtby4ROWmg_lErmXw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJ9beO4fMtby4ROWmg_lErmXw
OPERATIONAL,"PX72+35C, Sirnagalih, Cigalontang, Tasikmalaya Regency, West Java 46463, Indonesia","{'location': {'lat': -7.2873202, 'lng': 107.9503821}, 'viewport': {'northeast': {'lat': -7.286003620107278, 'lng': 107.9517374298927}, 'southwest': {'lat': -7.288703279892722, 'lng': 107.9490377701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pineus Forest View,"[{'height': 6240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117138631208338714773"">Intan Lulu</a>'], 'photo_reference': 'AUGGfZm1Er1-8nf2lLYw-yrL6udOmpwuYL_VxcQwV-o2AXjSNHtAQ5q3fdjvZqgfZs-LSItm_ogqv-05HwpJuQyDpNDsUrmTZ_4Hx3y2N5VDIIbpcOlO6rLMfuQmC5FYkKiVjQ7-fuVsIz6W2EIYRVCjCn_ve4J1SAXHWQmnk2KNhJtyd47U', 'width': 4160}]",ChIJF-yueZqvaC4RXQDrbGFhu-0,,4.4,ChIJF-yueZqvaC4RXQDrbGFhu-0,"['tourist_attraction', 'point_of_interest', 'establishment']",309,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJF-yueZqvaC4RXQDrbGFhu-0
OPERATIONAL,"Jl. AH Nasution No.Km 7, Mangkubumi, Kec. Mangkubumi, Kab. Tasikmalaya, Jawa Barat 46418, Indonesia","{'location': {'lat': -7.345650200000001, 'lng': 108.1857252}, 'viewport': {'northeast': {'lat': -7.344382770107277, 'lng': 108.1870270798927}, 'southwest': {'lat': -7.347082429892722, 'lng': 108.1843274201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mangkubumi Recration and Water Park,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104991866181343075446"">A Google User</a>'], 'photo_reference': 'AUGGfZkPVs9B_jWcaz_aXhlDwWEzEHP0O5QPWd9mj7Oab5V5G_B-daaZ6JCnK-uRSqO4ggisZqKK2IhSxA_8lXGkI9v6hEflsSUdDI-dSA7OikLjR68MccSK6tfLcuKHhLE_-JQiN86RkpbEhIwes7Nq5AeJp8aUL9IJV2JF-vLapdgRCdNM', 'width': 1080}]",ChIJlfPDzuVWby4R7vSSIseIzLc,"{'compound_code': 'M53P+P7 Mangkubumi, Tasikmalaya Regency, West Java, Indonesia', 'global_code': '6P4CM53P+P7'}",4.5,ChIJlfPDzuVWby4R7vSSIseIzLc,"['tourist_attraction', 'amusement_park', 'park', 'point_of_interest', 'establishment']",1496,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJlfPDzuVWby4R7vSSIseIzLc
