business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"WG44+VQ, Tuapakas, Kualin, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0927717, 'lng': 124.5069233}, 'viewport': {'northeast': {'lat': -10.09137697010728, 'lng': 124.5082278298927}, 'southwest': {'lat': -10.09407662989272, 'lng': 124.5055281701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ENOKIU,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101833888118063191703"">A Google User</a>'], 'photo_reference': 'AUGGfZnLl4a2vyGWL_JoEzT5GKpg2vNM1IGm0g0g37VSI-aKpM9OwrrhG71L5NJ1AAOEDHCQLb07Em-wLv1uPqt9SSK1XBPzIZzldjFM1jPa8YhN1AqxEO4U5vKge0Hrn9QtKq4M7EAaUk4k-kUZWqtBvR07XTEBTfEFY4aL4w-BvUCn6HOY', 'width': 3000}]",ChIJ8RBCOaQDViwRbkmCeMUtM84,0.0,ChIJ8RBCOaQDViwRbkmCeMUtM84,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ8RBCOaQDViwRbkmCeMUtM84
OPERATIONAL,"WG87+WVH, Oebon, Tuapakas, Kec. Kualin, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.0826766, 'lng': 124.514738}, 'viewport': {'northeast': {'lat': -10.08113312010728, 'lng': 124.5158152298927}, 'southwest': {'lat': -10.08383277989272, 'lng': 124.5131155701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Oebon Desa Tuapakas Kecamatan Kualin,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101833888118063191703"">A Google User</a>'], 'photo_reference': 'AUGGfZk1jHFCSfdc4EVl1o94qW8-YoMGjLxtKXf0lNKq5ar1l7v2cnT7zoFdcfhD4q0PCWhdcZgXThJxNYuqWBT6MnHwzwfXW_i4jvVE49y4ArlWuHu6SqhXpqpXOzA2JK7dzBf53xPLNo5otk-66g3kbjA0mickuPEJZg-BQ7OE6emhkCXm', 'width': 3000}]",ChIJxeIYGQup-CwRVMRkXw2sRzA,5.0,ChIJxeIYGQup-CwRVMRkXw2sRzA,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJxeIYGQup-CwRVMRkXw2sRzA
OPERATIONAL,"V946+WJ6, Jln lintas selatan, Toineke, Kec. Kualin, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.1427132, 'lng': 124.3615212}, 'viewport': {'northeast': {'lat': -10.14133837010728, 'lng': 124.3628547298927}, 'southwest': {'lat': -10.14403802989272, 'lng': 124.3601550701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Oebono,,,ChIJP0sHdQAFViwRTV--Q2J9fRI,0.0,ChIJP0sHdQAFViwRTV--Q2J9fRI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJP0sHdQAFViwRTV--Q2J9fRI
OPERATIONAL,"XF34+WQM, Oni, Kualin, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0451723, 'lng': 124.456911}, 'viewport': {'northeast': {'lat': -10.04441325, 'lng': 124.4587006298927}, 'southwest': {'lat': -10.04744945, 'lng': 124.4560009701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Oemaman,,"[{'height': 8000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116349472521450529460"">A Google User</a>'], 'photo_reference': 'AUGGfZnvcQAkHaWk2E47-lty8r2sewTj0xthLgL7Nn-Mbb_49kNPOXKtog1JSo4DHOAObcu_h02Iwa0qWRhHb5FYcWXTiHnmHHL0QAl--9ruqwK48eHZ-e--ZXpjfg1jN0VY45XUJXHofj7cMrcrA4fvz2aEhW25Y-QTSFo0om1xmCvEGgzV', 'width': 6000}]",ChIJI9ABagQBViwR87EReVQHs1Y,4.8,ChIJI9ABagQBViwR87EReVQHs1Y,"['tourist_attraction', 'point_of_interest', 'establishment']",25,,,https://www.google.com/maps/place/?q=place_id:ChIJI9ABagQBViwR87EReVQHs1Y
OPERATIONAL,"WG44+9F, Tuapakas, Kualin, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0941077, 'lng': 124.5062123}, 'viewport': {'northeast': {'lat': -10.09264807010728, 'lng': 124.5073813298928}, 'southwest': {'lat': -10.09534772989272, 'lng': 124.5046816701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Tuapakas Kolbano,,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108100230066744034823"">Melanton Natti</a>'], 'photo_reference': 'AUGGfZlc0bQqCsR5MK28z7BFv0a55mzcy2R0b8Yf1-xU0UWQHWu-F8N1EXcsepVFFADXcH77NsRBKEclf0XrE_WTx5A0BLxIqXIbf4loh-4RTtXUa2bOHn5nbKdnSspcDWp3pW9id-diEQ_SHqUQ51hJtRpfQulnO1ObQrWNZqUq70sxPJpk', 'width': 4032}]",ChIJw7QT4MMDViwRneR6UGrfuI8,5.0,ChIJw7QT4MMDViwRneR6UGrfuI8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJw7QT4MMDViwRneR6UGrfuI8
OPERATIONAL,"R9JW+9RX Pantai Oetune, Tuafanu, Kec. Kualin, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.1690246, 'lng': 124.3971128}, 'viewport': {'northeast': {'lat': -10.16744542010728, 'lng': 124.3982073298927}, 'southwest': {'lat': -10.17014507989272, 'lng': 124.3955076701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Oetune,,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105444846364792126985"">A Google User</a>'], 'photo_reference': 'AUGGfZl7dRfDehc3LCylLpXaduT-jKXRudgJm-sUyu9sTS-wedXvoqGe55wuw7ueYreOcZm8gb1_GxSpyAyJ8uL295F6WpWmC75fPdT0ol6Pg3SVJKeAJ0Fmuu6C_4D3Skc_CpUhlsxB50zxLZVOM8Vl8CX1BEoDIrbpXIJ_BkOPxKHq_Io6', 'width': 4128}]",ChIJC9w_Y3EbViwRBqXI1UrnkmU,4.7,ChIJC9w_Y3EbViwRBqXI1UrnkmU,"['tourist_attraction', 'point_of_interest', 'establishment']",14,,,https://www.google.com/maps/place/?q=place_id:ChIJC9w_Y3EbViwRBqXI1UrnkmU
OPERATIONAL,"Kusi, Kualin, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0451776, 'lng': 124.4569143}, 'viewport': {'northeast': {'lat': -10.04442085, 'lng': 124.4587019798927}, 'southwest': {'lat': -10.04744785, 'lng': 124.4560023201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Hono Desa Kusi,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103393645092217092363"">A Google User</a>'], 'photo_reference': 'AUGGfZmFCgYdei1Ox_j5_2Wlzz_Z0Hzf1YHQajOq5_VcgZ2i1InYnjTPYuUvcs0X3rqdBznD61neQ4f2A0Y6G0iMph9rXNrCElLTqX9WSdsuaylEKBwpE-e3DHSzV-wAVQOnv-uUWobjBzu4F1R3smQc3ie6lMxUORot3VCqFHljy-02qnPO', 'width': 2448}]",ChIJP2rvVQABViwR5thbgllkmJU,0.0,ChIJP2rvVQABViwR5thbgllkmJU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'XF34+WQ Kusi, South Timor Tengah Regency, East Nusa Tenggara, Indonesia', 'global_code': '5QX6XF34+WQ'}",,https://www.google.com/maps/place/?q=place_id:ChIJP2rvVQABViwR5thbgllkmJU
OPERATIONAL,"RCQ6+6WR, Tuafanu, Kualin, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.1618897, 'lng': 124.4122649}, 'viewport': {'northeast': {'lat': -10.15995792010728, 'lng': 124.4134605298927}, 'southwest': {'lat': -10.16265757989272, 'lng': 124.4107608701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Padang Pasir Pantai Oetune,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106701172261157010300"">Ryu An</a>'], 'photo_reference': 'AUGGfZms1uM98GLh_m3NxtLiXC91F007tdbor6HfvXVEb0WlNfTt76oQy3y5vklOvLnfQKV9wzBDOe4AbpNEdLbuh1IdBbgGf-5D2DVjWz1zWq628q3hGxAzBnMwHIe4PnoKp3kLEVK4qTkZrZWC5KW8jrxpnIAcLCi3Ab2l_-BvPlhVJzxi', 'width': 4160}]",ChIJVRHi5UQbViwRIA_GPrsyq7Q,4.9,ChIJVRHi5UQbViwRIA_GPrsyq7Q,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,https://www.google.com/maps/place/?q=place_id:ChIJVRHi5UQbViwRIA_GPrsyq7Q
CLOSED_TEMPORARILY,"WC3V+77, Kualin, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0968426, 'lng': 124.4431908}, 'viewport': {'northeast': {'lat': -10.09520552010728, 'lng': 124.4445821798927}, 'southwest': {'lat': -10.09790517989272, 'lng': 124.4418825201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Eli,,,ChIJz9YlgDoDViwRZ3_-EhX1kyc,0.0,ChIJz9YlgDoDViwRZ3_-EhX1kyc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,https://www.google.com/maps/place/?q=place_id:ChIJz9YlgDoDViwRZ3_-EhX1kyc
OPERATIONAL,"RCM3+G84, Tuafanu, Kualin, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.1662311, 'lng': 124.4033154}, 'viewport': {'northeast': {'lat': -10.16006025, 'lng': 124.4046206298927}, 'southwest': {'lat': -10.16828805, 'lng': 124.4019209701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Padang pasir oetune,,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117846988667707010712"">Henry Eko</a>'], 'photo_reference': 'AUGGfZmdZXhT4t7FIZowG7-37wt1hicYMgDRlfWxIrMq8MHwRluyGnaLC0tMHDQ1F3Kyrvm4EMa3Bo4aXt9Xf4D-Dqqys8AUp30idjPqBsPXagkkSIIC6KRBQylNJAI5XpVv2zpQ-1YusMXdmb1YL7qn4H8LglzeLwqOzHO8aqolnssphBtV', 'width': 4000}]",ChIJJWx1osMbViwRefM6Avvpt8I,4.8,ChIJJWx1osMbViwRefM6Avvpt8I,"['tourist_attraction', 'point_of_interest', 'establishment']",16,,,https://www.google.com/maps/place/?q=place_id:ChIJJWx1osMbViwRefM6Avvpt8I
