business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"XQ89+WQ9, Lelean Nono, Baolan, Toli-Toli Regency, Central Sulawesi 94516, Indonesia","{'location': {'lat': 0.9672777, 'lng': 120.769476}, 'viewport': {'northeast': {'lat': 0.9686275298927223, 'lng': 120.7708258298927}, 'southwest': {'lat': 0.9659278701072781, 'lng': 120.7681261701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,desa lelean nono,{'open_now': True},"[{'height': 5184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115120125303540273674"">Icha Icha</a>'], 'photo_reference': 'AUGGfZmQZTcgUNbf3hsWL6wLVfkS_1dbnD0N5sQQ_DJeGhqhfcYReQ7BljFaPMjqPFSWx2t9H68WsWbFjQlnmUzykDNxoNqtU848g4gaHYgIzQ5eO4jO_nXnoNX41ta-wHJP5TdbhvBX9qlhwY6WN1bGklpSJNIHM0xtEALWDfWTN0Cj2K3T', 'width': 3456}]",ChIJLY8YAXLRdjIRBxcHhAGNAJ4,3.4,ChIJLY8YAXLRdjIRBxcHhAGNAJ4,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,,,https://www.google.com/maps/place/?q=place_id:ChIJLY8YAXLRdjIRBxcHhAGNAJ4
OPERATIONAL,"2RWM+G6F, Jl. Gn. Cengkeh, Tuweley, Kec. Baolan, Kabupaten Toli-Toli, Sulawesi Tengah 94512, Indonesia","{'location': {'lat': 1.0463192, 'lng': 120.8330424}, 'viewport': {'northeast': {'lat': 1.047665529892722, 'lng': 120.8343585298927}, 'southwest': {'lat': 1.044965870107278, 'lng': 120.8316588701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JEMBATAN BOMBONLAYANG,,,ChIJvW72P-QrcTIRVJ6OSMr-ebc,2.0,ChIJvW72P-QrcTIRVJ6OSMr-ebc,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJvW72P-QrcTIRVJ6OSMr-ebc
OPERATIONAL,"2RWR+Q9, Tuweley, Baolan, Toli-Toli Regency, Central Sulawesi, Indonesia","{'location': {'lat': 1.0469109, 'lng': 120.840939}, 'viewport': {'northeast': {'lat': 1.0476703, 'lng': 120.84215555}, 'southwest': {'lat': 1.0447391, 'lng': 120.83728335}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pemandian Tuweley,,"[{'height': 1868, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109542906757598464992"">Ali Akbarul Falah</a>'], 'photo_reference': 'AUGGfZkvlCG2OtnqtwFt5lfWmdUL9aazkq_XIs-GkFwpatCbehw9IMnMG7sUEkJkmllzgqyOSpv55d7Fv8_OcIxRd_A6F6Sti61iW53YGOhFC0FX-xjuS4cjhkj847yhhYL5ujoJtme-hbVOl7xPEN8WO7SN3TC3pGKciOo_1z7uf9hYQIT7', 'width': 4000}]",ChIJx5AiARgrcTIRAJzr8wcaU2c,4.0,ChIJx5AiARgrcTIRAJzr8wcaU2c,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJx5AiARgrcTIRAJzr8wcaU2c
OPERATIONAL,"3V79+32, Tuweley, Baolan, Toli-Toli Regency, Central Sulawesi, Indonesia","{'location': {'lat': 1.0626306, 'lng': 120.8675336}, 'viewport': {'northeast': {'lat': 1.063980429892722, 'lng': 120.8688834298927}, 'southwest': {'lat': 1.061280770107278, 'lng': 120.8661837701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Pak Sudirman,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100265971719787981253"">Archer Queen</a>'], 'photo_reference': 'AUGGfZkv3QPvOowzkxrhronUAVaxl_PdR5z2jcs9f2y7UCy-DPaDInA869FzH1GEnDMZ_BzXzqVrvcTDeOmbvWbIhoHjHFdd04l0vTfj0vGpTWSLkpGQ633xZRZazf9TOU4AvtJoWMrcmBxQeTlPcU12NkEcFB72pf2n10vkKplqgKLXF2Yw', 'width': 3120}]",ChIJv7ltYcgrcTIRytE00sY_8uA,0.0,ChIJv7ltYcgrcTIRytE00sY_8uA,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJv7ltYcgrcTIRytE00sY_8uA
OPERATIONAL,"2XJ3+G7G, Tuweley, Baolan, Toli-Toli Regency, Central Sulawesi, Indonesia","{'location': {'lat': 1.0313069, 'lng': 120.9532123}, 'viewport': {'northeast': {'lat': 1.032656729892722, 'lng': 120.9545621298927}, 'southwest': {'lat': 1.029957070107278, 'lng': 120.9518624701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Dinas PDAM,,,ChIJmfLpzcIrdzIRIKRKpMufyw0,0.0,ChIJmfLpzcIrdzIRIKRKpMufyw0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJmfLpzcIrdzIRIKRKpMufyw0
OPERATIONAL,"3VC6+HM8, Tuweley, Baolan, Toli-Toli Regency, Central Sulawesi, Indonesia","{'location': {'lat': 1.0714187, 'lng': 120.8617155}, 'viewport': {'northeast': {'lat': 1.07438585, 'lng': 120.8629453298927}, 'southwest': {'lat': 1.07042965, 'lng': 120.8602456701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kiramang woods,{'open_now': True},,ChIJo_Jf0z4rcTIRCWBVDnHzs7I,5.0,ChIJo_Jf0z4rcTIRCWBVDnHzs7I,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJo_Jf0z4rcTIRCWBVDnHzs7I
OPERATIONAL,"Lelean Nono, Baolan, Toli-Toli Regency, Central Sulawesi 94516, Indonesia","{'location': {'lat': 0.9732215, 'lng': 120.7812063}, 'viewport': {'northeast': {'lat': 0.9747111798927222, 'lng': 120.7825608298927}, 'southwest': {'lat': 0.9720115201072779, 'lng': 120.7798611701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Siapo,,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116686096254898528187"">Yulis Husain</a>'], 'photo_reference': 'AUGGfZn1HwHfo3PhXEbOdrl8DPEvwLCB_Z6tXXC4JOYYKDQ3oJdSNaogfrLi3VWJgTWhTIAx4YSOuU7WUOSkkFH6qWAvv4Fe1J4ahfVf3sx2YiC3aH4AIjuC9CLGi2rvNlxpdZD4PTThkt5P9TGVdEMiL0yMXhznDW9oA2bKE8c0W7FzxcbK', 'width': 4000}]",ChIJ60NOSFHRdjIRlJlTROpd2lQ,3.5,ChIJ60NOSFHRdjIRlJlTROpd2lQ,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"{'compound_code': 'XQFJ+7F Lelean Nono, Toli-Toli Regency, Central Sulawesi, Indonesia', 'global_code': '6QG2XQFJ+7F'}",,https://www.google.com/maps/place/?q=place_id:ChIJ60NOSFHRdjIRlJlTROpd2lQ
OPERATIONAL,"2QRF+9CR, Nalu, Baolan, Toli-Toli Regency, Central Sulawesi, Indonesia","{'location': {'lat': 1.0414092, 'lng': 120.7742846}, 'viewport': {'northeast': {'lat': 1.042857229892722, 'lng': 120.7753834798927}, 'southwest': {'lat': 1.040157570107278, 'lng': 120.7726838201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga lutungan,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109542906757598464992"">Ali Akbarul Falah</a>'], 'photo_reference': 'AUGGfZmMzwX-8Zgb9xYFixF6BNiKUXW3tEhJGxNZyRzDoqJW6TwPXYhntPfcoiw94BVA_DeoY9AecWkyr_5dWANw-B83aPIJ_kmxT9EJhS_CBXJFaIiSIyoiulGyo12N1tdNllWrXCVmaU2iNKyNKdBUEQ_T4xscZOz9KoRUpS7tp9TkvXjr', 'width': 4000}]",ChIJF7koXR3TdjIRNETSOnwophQ,3.0,ChIJF7koXR3TdjIRNETSOnwophQ,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJF7koXR3TdjIRNETSOnwophQ
OPERATIONAL,"3VVJ+7MX, Dusun, Desa Kinopasan, Kec. Galang, Kabupaten Toli-Toli, Sulawesi Tengah 94561, Indonesia","{'location': {'lat': 1.0932478, 'lng': 120.8817329}, 'viewport': {'northeast': {'lat': 1.0941455, 'lng': 120.8824375798927}, 'southwest': {'lat': 1.0905547, 'lng': 120.8797379201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tolis Tour,{'open_now': True},"[{'height': 405, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103310148384152342111"">A Google User</a>'], 'photo_reference': 'AUGGfZmbFacRJGpHzBdgG33iPDIS0ErxAj1GAv78WxJdAN8vCO4FfMVxp6vv7FpQ2pw-L1dvOSabNMhhB9WzFcGmQzlRBoYs0O3d-0nJZEKxTEnRSB_6pM7sLNbQzPuaQxT678V58KRRcZfxoBiW54FUzZ-pxx1K6t-tco1YyTUaGr-_ua8u', 'width': 720}]",ChIJD5JvYZ4rcTIRc6iExgdKPwk,5.0,ChIJD5JvYZ4rcTIRc6iExgdKPwk,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJD5JvYZ4rcTIRc6iExgdKPwk
OPERATIONAL,"2Q3C+4VR, Tambun, Baolan, Toli-Toli Regency, Central Sulawesi, Indonesia","{'location': {'lat': 1.0028559, 'lng': 120.7721542}, 'viewport': {'northeast': {'lat': 1.004338079892722, 'lng': 120.7734953798927}, 'southwest': {'lat': 1.001638420107278, 'lng': 120.7707957201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,pokdakan Anugerah tambak,,,ChIJuXLnSwDTdjIRqGAT992uyrc,0.0,ChIJuXLnSwDTdjIRqGAT992uyrc,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJuXLnSwDTdjIRqGAT992uyrc
